#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Velenje - S podatkom o prevzemu stoodstotnega lastniškega deleža v švedski družbi Asko Appliances Group je prvi mož Gorenja Franjo Bobinac napovedal začetek delovne jeseni in poudaril , da gre za nov zgodovinski mejnik v razvoju podjetja . Gorenje , ki je 27 . julija podpisalo pogodbo o prevzemu , s tem mejnikom zapolnjuje zadnje sive lise v Evropi , z lastno proizvodnjo širi in krepi svoj trg v skandinavskih državah , Severni Ameriki in Avstraliji , obenem pa prevzema blagovni znamki Asko v najvišjem tržnem segmentu in Upo v srednjem , ki bosta dopolnjevali program Gorenja . Kupnina prevzema od italijanskega lastnika , skupine Antonio Merloni Group , je znašala 4,5 milijona evra , kar je po besedah predsednika uprave Gorenja Franja Bobinca manj , kot so ocenjevali analitiki ( Antonio Merloni Group je pred desetimi leti za Asko odštel okoli 75 milijonov evrov ) . Gorenje je financiranje zagotovilo iz svežega kapitala , ki ga je v ta namen v junijski dokapitalizaciji zagotovil IFC ( International Finance Corporation ) , ki je del skupine Svetovne banke . Predvideni učinki prevzema bodo tako na letošnji poslovni načrt Gorenja kot tudi na strateški načrt Skupine Gorenje pozitivni , so prepričani v podjetju , z nakupom pa bodo prodrli tako na skandinavski , na katerem nameravajo doseči 10 - odstotni tržni delež , kot tudi na severnoameriški in avstralski trg . Kdo ali kaj je Asko ? Švedska družba Asko je stara 60 let in je ena največjih proizvajalcev in prodajalcev velikih gospodinjskih aparatov s sedežem v Vari na Švedskem . Svojo lastno proizvodnjo pomivalnih , pralnih in sušilnih strojev ima v Vari , proizvodnjo kuhalnih aparatov , pečic in likalnih sistemov pa v Lahtiju na Finskem . Prva finančnica Gorenja Mirjana Dimc Perko je predstavila podatke o poslovanju švedske družbe . Lani je Asko ustvaril 173 milijonov evrov prihodkov , za letos pa načrtuje 176 milijonov prihodkov in EBITDA v višini 7,2 milijona evrov . Kapital podjetja je konec junija znašal 26,5 milijona evrov . " Med Gorenjem in Askom vidim številne sinergije na področju prodaje in marketinga , raziskav in razvoja , nabave in proizvodnje , " je pojasnil Bobinac in dodal , da bo Gorenje v Asko vlagalo od štiri do pet milijonov evrov na leto , prvo večjo finančno injekcijo pa naj bi družba dobila morda že konec letošnjega leta
1-1	0-7	Velenje	LOC	3 - Nevtralno	*->1-1	*[1]	
1-74	431-438	Ameriki	LOC[3]	3 - Nevtralno[11]	*->5-1	*[5]	
1-75	439-441	in	_	_	_	_	
1-76	442-452	Avstraliji	LOC	3 - Nevtralno	*->6-1	*[6]	
1-77	453-454	,	_	_	_	_	
1-78	455-461	obenem	_	_	_	_	
1-79	462-464	pa	_	_	_	_	
1-80	465-473	prevzema	_	_	*->17-9	*[17]	
1-81	474-482	blagovni	_	_	_	_	
1-82	483-489	znamki	_	_	_	_	
1-83	490-494	Asko	ORG	_	*->2-2	*[2]	
1-84	495-496	v	_	_	_	_	
1-85	497-506	najvišjem	_	_	_	_	
1-86	507-513	tržnem	_	_	_	_	
1-87	514-522	segmentu	_	_	_	_	
1-88	523-525	in	_	_	_	_	
1-89	526-529	Upo	ORG	3 - Nevtralno	*->7-1	*[7]	
1-90	530-531	v	_	_	_	_	
1-91	532-540	srednjem	_	_	_	_	
1-92	541-542	,	_	_	_	_	
1-93	543-545	ki	_	_	_	_	
1-94	546-551	bosta	_	_	_	_	
1-95	552-564	dopolnjevali	_	_	_	_	
1-96	565-572	program	_	_	_	_	
1-97	573-580	Gorenja	ORG	_	*->17-10	*[17]	
1-98	581-582	.	_	_	_	_	
1-99	583-590	Kupnina	_	_	_	_	
1-100	591-599	prevzema	_	_	_	_	
1-101	600-602	od	_	_	_	_	
1-102	603-616	italijanskega	_	_	*->8-1	*[8]	
1-103	617-625	lastnika	_	_	*->8-1	*[8]	
1-104	626-627	,	_	_	_	_	
1-105	628-635	skupine	_	_	*->8-2	*[8]	
1-106	636-643	Antonio	ORG[4]	_	*->8-2	*[8]	
1-107	644-651	Merloni	ORG[4]	_	*->8-2	*[8]	
1-108	652-657	Group	ORG[4]	_	*->8-2	*[8]	
1-109	658-659	,	_	_	_	_	
1-110	660-662	je	_	_	_	_	
1-111	663-670	znašala	_	_	_	_	
1-112	671-674	4,5	_	_	_	_	
1-113	675-683	milijona	_	_	_	_	
1-114	684-688	evra	_	_	_	_	
1-115	689-690	,	_	_	_	_	
1-116	691-694	kar	_	_	_	_	
1-117	695-697	je	_	_	_	_	
1-118	698-700	po	_	_	_	_	
1-119	701-708	besedah	_	_	_	_	
1-120	709-720	predsednika	_	_	*->3-3	*[3]	
1-121	721-727	uprave	_	_	*->3-3	*[3]	
1-122	728-735	Gorenja	ORG	_	*->3-3|*->17-11	*[3]|*[17]	
1-123	736-742	Franja	PER[5]	_	*->3-3	*[3]	
1-124	743-750	Bobinca	PER[5]	_	*->3-3	*[3]	
1-125	751-755	manj	_	_	_	_	
1-126	756-757	,	_	_	_	_	
1-127	758-761	kot	_	_	_	_	
1-128	762-764	so	_	_	_	_	
1-129	765-775	ocenjevali	_	_	_	_	
1-130	776-785	analitiki	_	_	_	_	
1-131	786-787	(	_	_	_	_	
1-132	788-795	Antonio	ORG[6]	3 - Nevtralno[12]	*->8-3	*[8]	
1-133	796-803	Merloni	ORG[6]	3 - Nevtralno[12]	*->8-3	*[8]	
1-134	804-809	Group	ORG[6]	3 - Nevtralno[12]	*->8-3	*[8]	
1-135	810-812	je	_	_	_	_	
1-136	813-817	pred	_	_	_	_	
1-137	818-826	desetimi	_	_	_	_	
1-138	827-831	leti	_	_	_	_	
1-139	832-834	za	_	_	_	_	
1-140	835-839	Asko	ORG	_	*->2-3	*[2]	
1-141	840-846	odštel	_	_	_	_	
1-142	847-852	okoli	_	_	_	_	
1-143	853-855	75	_	_	_	_	
1-144	856-865	milijonov	_	_	_	_	
1-145	866-871	evrov	_	_	_	_	
1-146	872-873	)	_	_	_	_	
1-147	874-875	.	_	_	_	_	
1-148	876-883	Gorenje	ORG	_	*->17-12	*[17]	
1-149	884-886	je	_	_	_	_	
1-150	887-899	financiranje	_	_	_	_	
1-151	900-910	zagotovilo	_	_	_	_	
1-152	911-913	iz	_	_	_	_	
1-153	914-921	svežega	_	_	_	_	
1-154	922-930	kapitala	_	_	_	_	
1-155	931-932	,	_	_	_	_	
1-156	933-935	ki	_	_	_	_	
1-157	936-938	ga	_	_	_	_	
1-158	939-941	je	_	_	_	_	
1-159	942-943	v	_	_	_	_	
1-160	944-946	ta	_	_	_	_	
1-161	947-952	namen	_	_	_	_	
1-162	953-954	v	_	_	_	_	
1-163	955-963	junijski	_	_	_	_	
1-164	964-980	dokapitalizaciji	_	_	_	_	
1-165	981-990	zagotovil	_	_	_	_	
1-166	991-994	IFC	ORG	_	*->9-1	*[9]	
1-167	995-996	(	_	_	_	_	
1-168	997-1010	International	ORG[7]	_	*->9-2	*[9]	
1-169	1011-1018	Finance	ORG[7]	_	*->9-2	*[9]	
1-170	1019-1030	Corporation	ORG[7]	_	*->9-2	*[9]	
1-171	1031-1032	)	_	_	_	_	
1-172	1033-1034	,	_	_	_	_	
1-173	1035-1037	ki	_	_	_	_	
1-174	1038-1040	je	_	_	*->9-3	*[9]	
1-175	1041-1044	del	_	3 - Nevtralno[13]	*->9-4	*[9]	
1-176	1045-1052	skupine	_	3 - Nevtralno[13]	*->9-4	*[9]	
1-177	1053-1061	Svetovne	ORG[8]	3 - Nevtralno[13]|3 - Nevtralno[14]	*->9-4|*->10-1	*[9]|*[10]	
1-178	1062-1067	banke	ORG[8]	3 - Nevtralno[13]|3 - Nevtralno[14]	*->9-4|*->10-1	*[9]|*[10]	
1-179	1068-1069	.	_	_	_	_	
1-180	1070-1080	Predvideni	_	_	_	_	
1-181	1081-1087	učinki	_	_	_	_	
1-182	1088-1096	prevzema	_	_	_	_	
1-183	1097-1101	bodo	_	_	_	_	
1-184	1102-1106	tako	_	_	_	_	
1-185	1107-1109	na	_	_	_	_	
1-186	1110-1118	letošnji	_	_	_	_	
1-187	1119-1127	poslovni	_	_	_	_	
1-188	1128-1133	načrt	_	_	_	_	
1-189	1134-1141	Gorenja	ORG	_	*->17-13	*[17]	
1-190	1142-1145	kot	_	_	_	_	
1-191	1146-1150	tudi	_	_	_	_	
1-192	1151-1153	na	_	_	_	_	
1-193	1154-1163	strateški	_	_	_	_	
1-194	1164-1169	načrt	_	_	_	_	
1-195	1170-1177	Skupine	ORG[9]	3 - Nevtralno[15]	*->11-1	*[11]	
1-196	1178-1185	Gorenje	ORG[9]	3 - Nevtralno[15]	*->11-1	*[11]	
1-197	1186-1195	pozitivni	_	_	_	_	
1-198	1196-1197	,	_	_	_	_	
1-199	1198-1200	so	_	_	_	_	
1-200	1201-1211	prepričani	_	_	_	_	
1-201	1212-1213	v	_	_	_	_	
1-202	1214-1222	podjetju	_	_	*->17-14	*[17]	
1-203	1223-1224	,	_	_	_	_	
1-204	1225-1226	z	_	_	_	_	
1-205	1227-1234	nakupom	_	_	_	_	
1-206	1235-1237	pa	_	_	_	_	
1-207	1238-1242	bodo	_	_	_	_	
1-208	1243-1250	prodrli	_	_	*->17-15	*[17]	
1-209	1251-1255	tako	_	_	_	_	
1-210	1256-1258	na	_	_	_	_	
1-211	1259-1271	skandinavski	_	_	_	_	
1-212	1272-1273	,	_	_	_	_	
1-213	1274-1276	na	_	_	_	_	
1-214	1277-1284	katerem	_	_	_	_	
1-215	1285-1295	nameravajo	_	_	*->17-16	*[17]	
1-216	1296-1302	doseči	_	_	_	_	
1-217	1303-1305	10	_	_	_	_	
1-218	1306-1307	-	_	_	_	_	
1-219	1308-1316	odstotni	_	_	_	_	
1-220	1317-1322	tržni	_	_	_	_	
1-221	1323-1328	delež	_	_	_	_	
1-222	1329-1330	,	_	_	_	_	
1-223	1331-1334	kot	_	_	_	_	
1-224	1335-1339	tudi	_	_	_	_	
1-225	1340-1342	na	_	_	_	_	
1-226	1343-1358	severnoameriški	_	_	_	_	
1-227	1359-1361	in	_	_	_	_	
1-228	1362-1372	avstralski	_	_	_	_	
1-229	1373-1376	trg	_	_	_	_	
1-230	1377-1378	.	_	_	_	_	
1-231	1379-1382	Kdo	_	_	_	_	
1-232	1383-1386	ali	_	_	_	_	
1-233	1387-1390	kaj	_	_	_	_	
1-234	1391-1393	je	_	_	_	_	
1-235	1394-1398	Asko	ORG	_	*->2-4	*[2]	
1-236	1399-1400	?	_	_	_	_	
1-237	1401-1408	Švedska	_	_	*->2-5	*[2]	
1-238	1409-1415	družba	_	_	*->2-5	*[2]	
1-239	1416-1420	Asko	ORG	_	*->2-5	*[2]	
1-240	1421-1423	je	_	_	_	_	
1-241	1424-1429	stara	_	_	_	_	
1-242	1430-1432	60	_	_	_	_	
1-243	1433-1436	let	_	_	_	_	
1-244	1437-1439	in	_	_	_	_	
1-245	1440-1442	je	_	_	*->2-6	*[2]	
1-246	1443-1446	ena	_	_	*->2-7	*[2]	
1-247	1447-1456	največjih	_	_	*->2-7	*[2]	
1-248	1457-1470	proizvajalcev	_	_	*->2-7	*[2]	
1-249	1471-1473	in	_	_	*->2-7	*[2]	
1-250	1474-1485	prodajalcev	_	_	*->2-7	*[2]	
1-251	1486-1493	velikih	_	_	*->2-7	*[2]	
1-252	1494-1507	gospodinjskih	_	_	*->2-7	*[2]	
1-253	1508-1516	aparatov	_	_	*->2-7	*[2]	
1-254	1517-1518	s	_	_	*->2-7	*[2]	
1-255	1519-1526	sedežem	_	_	*->2-7	*[2]	
1-256	1527-1528	v	_	_	*->2-7	*[2]	
1-257	1529-1533	Vari	LOC	_	*->2-7|*->12-1	*[2]|*[12]	
1-258	1534-1536	na	_	_	*->2-7	*[2]	
1-259	1537-1545	Švedskem	LOC	3 - Nevtralno	*->2-7|*->13-1	*[2]|*[13]	
1-260	1546-1547	.	_	_	_	_	
1-261	1548-1553	Svojo	_	_	*->2-8	*[2]	
1-262	1554-1560	lastno	_	_	*->2-9	*[2]	
1-263	1561-1572	proizvodnjo	_	_	_	_	
1-264	1573-1583	pomivalnih	_	_	_	_	
1-265	1584-1585	,	_	_	_	_	
1-266	1586-1593	pralnih	_	_	_	_	
1-267	1594-1596	in	_	_	_	_	
1-268	1597-1605	sušilnih	_	_	_	_	
1-269	1606-1613	strojev	_	_	_	_	
1-270	1614-1617	ima	_	_	*->2-10	*[2]	
1-271	1618-1619	v	_	_	_	_	
1-272	1620-1624	Vari	LOC	3 - Nevtralno	*->12-2	*[12]	
1-273	1625-1626	,	_	_	_	_	
1-274	1627-1638	proizvodnjo	_	_	_	_	
1-275	1639-1647	kuhalnih	_	_	_	_	
1-276	1648-1656	aparatov	_	_	_	_	
1-277	1657-1658	,	_	_	_	_	
1-278	1659-1664	pečic	_	_	_	_	
1-279	1665-1667	in	_	_	_	_	
1-280	1668-1676	likalnih	_	_	_	_	
1-281	1677-1685	sistemov	_	_	_	_	
1-282	1686-1688	pa	_	_	_	_	
1-283	1689-1690	v	_	_	_	_	
1-284	1691-1698	Lahtiju	LOC	3 - Nevtralno	*->14-1	*[14]	
1-285	1699-1701	na	_	_	_	_	
1-286	1702-1709	Finskem	LOC	3 - Nevtralno	*->15-1	*[15]	
1-287	1710-1711	.	_	_	_	_	
1-288	1712-1716	Prva	_	3 - Nevtralno[16]	*->16-1	*[16]	
1-289	1717-1727	finančnica	_	3 - Nevtralno[16]	*->16-1	*[16]	
1-290	1728-1735	Gorenja	ORG	3 - Nevtralno[16]	*->16-1|*->17-17	*[16]|*[17]	
1-291	1736-1743	Mirjana	PER[10]	3 - Nevtralno[16]	*->16-1	*[16]	
1-292	1744-1748	Dimc	PER[10]	3 - Nevtralno[16]	*->16-1	*[16]	
1-293	1749-1754	Perko	PER[10]	3 - Nevtralno[16]	*->16-1	*[16]	
1-294	1755-1757	je	_	_	_	_	
1-295	1758-1769	predstavila	_	_	_	_	
1-296	1770-1777	podatke	_	_	_	_	
1-297	1778-1779	o	_	_	_	_	
1-298	1780-1790	poslovanju	_	_	_	_	
1-299	1791-1798	švedske	_	_	*->2-11	*[2]	
1-300	1799-1805	družbe	_	_	*->2-11	*[2]	
1-301	1806-1807	.	_	_	_	_	
1-302	1808-1812	Lani	_	_	_	_	
1-303	1813-1815	je	_	_	_	_	
1-304	1816-1820	Asko	ORG	_	*->2-12	*[2]	
1-305	1821-1829	ustvaril	_	_	_	_	
1-306	1830-1833	173	_	_	_	_	
1-307	1834-1843	milijonov	_	_	_	_	
1-308	1844-1849	evrov	_	_	_	_	
1-309	1850-1859	prihodkov	_	_	_	_	
1-310	1860-1861	,	_	_	_	_	
1-311	1862-1864	za	_	_	_	_	
1-312	1865-1870	letos	_	_	_	_	
1-313	1871-1873	pa	_	_	_	_	
1-314	1874-1882	načrtuje	_	_	*->2-13	*[2]	
1-315	1883-1886	176	_	_	_	_	
1-316	1887-1896	milijonov	_	_	_	_	
1-317	1897-1906	prihodkov	_	_	_	_	
1-318	1907-1909	in	_	_	_	_	
1-319	1910-1916	EBITDA	_	_	_	_	
1-320	1917-1918	v	_	_	_	_	
1-321	1919-1925	višini	_	_	_	_	
1-322	1926-1929	7,2	_	_	_	_	
1-323	1930-1938	milijona	_	_	_	_	
1-324	1939-1944	evrov	_	_	_	_	
1-325	1945-1946	.	_	_	_	_	
1-326	1947-1954	Kapital	_	_	_	_	
1-327	1955-1963	podjetja	_	_	*->2-14	*[2]	
1-328	1964-1966	je	_	_	_	_	
1-329	1967-1972	konec	_	_	_	_	
1-330	1973-1979	junija	_	_	_	_	
1-331	1980-1986	znašal	_	_	_	_	
1-332	1987-1991	26,5	_	_	_	_	
1-333	1992-2000	milijona	_	_	_	_	
1-334	2001-2006	evrov	_	_	_	_	
1-335	2007-2008	.	_	_	_	_	
1-336	2009-2010	"	_	_	_	_	
1-337	2011-2014	Med	_	_	_	_	
1-338	2015-2023	Gorenjem	ORG	_	*->17-18	*[17]	
1-339	2024-2026	in	_	_	_	_	
1-340	2027-2032	Askom	ORG	_	*->2-15	*[2]	
1-341	2033-2038	vidim	_	_	_	_	
1-342	2039-2047	številne	_	_	_	_	
1-343	2048-2057	sinergije	_	_	_	_	
1-344	2058-2060	na	_	_	_	_	
1-345	2061-2069	področju	_	_	_	_	
1-346	2070-2077	prodaje	_	_	_	_	
1-347	2078-2080	in	_	_	_	_	
1-348	2081-2091	marketinga	_	_	_	_	
1-349	2092-2093	,	_	_	_	_	
1-350	2094-2102	raziskav	_	_	_	_	
1-351	2103-2105	in	_	_	_	_	
1-352	2106-2113	razvoja	_	_	_	_	
1-353	2114-2115	,	_	_	_	_	
1-354	2116-2122	nabave	_	_	_	_	
1-355	2123-2125	in	_	_	_	_	
1-356	2126-2137	proizvodnje	_	_	_	_	
1-357	2138-2139	,	_	_	_	_	
1-358	2140-2141	"	_	_	_	_	
1-359	2142-2144	je	_	_	_	_	
1-360	2145-2153	pojasnil	_	_	_	_	
1-361	2154-2161	Bobinac	ORG	_	*->3-4	*[3]	
1-362	2162-2164	in	_	_	_	_	
1-363	2165-2170	dodal	_	3 - Nevtralno	*->3-5	*[3]	
1-364	2171-2172	,	_	_	_	_	
1-365	2173-2175	da	_	_	_	_	
1-366	2176-2178	bo	_	_	_	_	
1-367	2179-2186	Gorenje	ORG	4 - Pozitivno	*->17-19	*[17]	
1-368	2187-2188	v	_	_	_	_	
1-369	2189-2193	Asko	ORG	_	*->2-16	*[2]	
1-370	2194-2201	vlagalo	_	_	_	_	
1-371	2202-2204	od	_	_	_	_	
1-372	2205-2210	štiri	_	_	_	_	
1-373	2211-2213	do	_	_	_	_	
1-374	2214-2217	pet	_	_	_	_	
1-375	2218-2227	milijonov	_	_	_	_	
1-376	2228-2233	evrov	_	_	_	_	
1-377	2234-2236	na	_	_	_	_	
1-378	2237-2241	leto	_	_	_	_	
1-379	2242-2243	,	_	_	_	_	
1-380	2244-2248	prvo	_	_	_	_	
1-381	2249-2254	večjo	_	_	_	_	
1-382	2255-2263	finančno	_	_	_	_	
1-383	2264-2273	injekcijo	_	_	_	_	
1-384	2274-2276	pa	_	_	_	_	
1-385	2277-2280	naj	_	_	_	_	
1-386	2281-2283	bi	_	_	_	_	
1-387	2284-2290	družba	_	4 - Pozitivno	*->2-17	*[2]	
1-388	2291-2297	dobila	_	_	_	_	
1-389	2298-2303	morda	_	_	_	_	
1-390	2304-2306	že	_	_	_	_	
1-391	2307-2312	konec	_	_	_	_	
1-392	2313-2323	letošnjega	_	_	_	_	
1-393	2324-2328	leta	_	_	_	_	
