#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Celje - Cinkarna Celje je na celjsko okrožno sodišče vložila tožbo za plačilo odškodnine 30.000 evrov in stroškov postopka proti koordinatorju Civilnih iniciativ Celje Borisu Šuštarju . Članica uprave družbe Nikolaja Podgoršek Selič je danes povedala , da so tožbo vložili , ker je Šuštar blatil ime podjetja . Podgoršek Seličeva je dejala , da je Šuštar podal več izjav glede Cinkarne Celje , ki jih je uprava družbe potem ovrgla . Predvsem uprava Cinkarne Celje Šuštarju oz . Celjskim civilnim iniciativam očita , da so manipulirali s podatki o vsebnosti talija v sadri na deponiji . " Imeli smo dovolj dokazov , da smo ovrgli navedbe Šuštarja in smo se odločili zaščiti ime podjetja ter interese naših zaposlenih , " je še pojasnila Podgoršek Seličeva . Že na aprilski novinarski konferenci je predsednik uprave Cinkarne Celje Tomaž Benčina dejal , da so Celjske civilne iniciative pri Zavodu za zdravstveno varstvo ( ZZV ) Maribor naknadno naročile analizo strupenega talija v istem vzorcu , ki je bil poslan nedavno v kanadski laboratorij . Iz kanadskega laboratorija so po opravljeni analizi sporočili , da talija v vzorcu sadre titanovega dioksida niso zasledili , do enakih izsledkov so prišli tudi v ZZV Maribor . " Rezultat , ki Celjskim civilnim iniciativam očitno ni ustrezal , so širši javnosti preprosto zamolčale . Iz tega sklepamo , da iniciative manipulirajo s podatki in da njihov namen ni ugotavljanje verodostojnosti izjav in rezultatov Cinkarne Celje , " je takrat ocenil Benčina . Šuštar pa je danes znova poudaril , da je Cinkarna Celje tovarna , ki je s svojim delovanjem od ustanovitve grozovito uničila okolje in za stoletja onemogočila normalno , zdravo življenje prebivalstva celjske kotline . Po navedbah Šuštarja je Cinkarna Celje prikrila raziskavo krvi delavcev družbe , kjer je imelo kar 60 odstotkov poškodovane kromosome , kar vodstvo cinkarne zavrača kot neresnično navedbo . " Na podlagi vseh uradnih podatkov , strokovnih analiz , ki smo jih plačevali sami , utemeljeno in legitimno opozarjamo na nesprejemljivost delovanja tako ekološko sporne in nesprejemljive industrije sredi Celja . Tudi z vloženo tožbo , s katero poskušajo skrajno nesprejemljivo ustrahovati predstavnike civilne družbe , nas ne bodo ustavili , " je še povedal Šuštar
1-1	0-5	Celje	LOC	_	*->1-1	*[1]	
1-137	824-829	Celje	ORG[14]|LOC[15]	_	*->5-1|*->7-11|*->1-6	*[5]|*[7]|*[1]	
1-138	830-835	Tomaž	PER[16]	_	*->5-1	*[5]	
1-139	836-843	Benčina	PER[16]	_	*->5-1	*[5]	
1-140	844-849	dejal	_	_	_	_	
1-141	850-851	,	_	_	_	_	
1-142	852-854	da	_	_	_	_	
1-143	855-857	so	_	_	_	_	
1-144	858-865	Celjske	ORG[17]	_	*->2-4	*[2]	
1-145	866-873	civilne	ORG[17]	_	*->2-4	*[2]	
1-146	874-884	iniciative	ORG[17]	_	*->2-4	*[2]	
1-147	885-888	pri	_	_	_	_	
1-148	889-895	Zavodu	ORG[18]	_	*->8-1	*[8]	
1-149	896-898	za	ORG[18]	_	*->8-1	*[8]	
1-150	899-910	zdravstveno	ORG[18]	_	*->8-1	*[8]	
1-151	911-918	varstvo	ORG[18]	_	*->8-1	*[8]	
1-152	919-920	(	ORG[18]	_	*->8-1	*[8]	
1-153	921-924	ZZV	ORG[18]	_	*->8-1	*[8]	
1-154	925-926	)	ORG[18]	_	*->8-1	*[8]	
1-155	927-934	Maribor	ORG[18]|LOC[19]	_	*->8-1|*->6-1	*[8]|*[6]	
1-156	935-943	naknadno	_	_	_	_	
1-157	944-952	naročile	_	_	_	_	
1-158	953-960	analizo	_	_	_	_	
1-159	961-971	strupenega	_	_	_	_	
1-160	972-978	talija	_	_	_	_	
1-161	979-980	v	_	_	_	_	
1-162	981-986	istem	_	_	_	_	
1-163	987-993	vzorcu	_	_	_	_	
1-164	994-995	,	_	_	_	_	
1-165	996-998	ki	_	_	_	_	
1-166	999-1001	je	_	_	_	_	
1-167	1002-1005	bil	_	_	_	_	
1-168	1006-1012	poslan	_	_	_	_	
1-169	1013-1020	nedavno	_	_	_	_	
1-170	1021-1022	v	_	_	_	_	
1-171	1023-1031	kanadski	_	_	_	_	
1-172	1032-1043	laboratorij	_	_	_	_	
1-173	1044-1045	.	_	_	_	_	
1-174	1046-1048	Iz	_	_	_	_	
1-175	1049-1059	kanadskega	_	_	_	_	
1-176	1060-1072	laboratorija	_	_	_	_	
1-177	1073-1075	so	_	_	_	_	
1-178	1076-1078	po	_	_	_	_	
1-179	1079-1089	opravljeni	_	_	_	_	
1-180	1090-1097	analizi	_	_	_	_	
1-181	1098-1107	sporočili	_	_	_	_	
1-182	1108-1109	,	_	_	_	_	
1-183	1110-1112	da	_	_	_	_	
1-184	1113-1119	talija	_	_	_	_	
1-185	1120-1121	v	_	_	_	_	
1-186	1122-1128	vzorcu	_	_	_	_	
1-187	1129-1134	sadre	_	_	_	_	
1-188	1135-1145	titanovega	_	_	_	_	
1-189	1146-1154	dioksida	_	_	_	_	
1-190	1155-1159	niso	_	_	_	_	
1-191	1160-1169	zasledili	_	_	_	_	
1-192	1170-1171	,	_	_	_	_	
1-193	1172-1174	do	_	_	_	_	
1-194	1175-1181	enakih	_	_	_	_	
1-195	1182-1191	izsledkov	_	_	_	_	
1-196	1192-1194	so	_	_	_	_	
1-197	1195-1201	prišli	_	_	_	_	
1-198	1202-1206	tudi	_	_	_	_	
1-199	1207-1208	v	_	_	_	_	
1-200	1209-1212	ZZV	ORG[20]	3 - Nevtralno[30]	*->8-2	*[8]	
1-201	1213-1220	Maribor	ORG[20]|LOC[21]	3 - Nevtralno[30]|3 - Nevtralno[31]	*->8-2|*->6-2	*[8]|*[6]	
1-202	1221-1222	.	_	_	_	_	
1-203	1223-1224	"	_	_	_	_	
1-204	1225-1233	Rezultat	_	_	_	_	
1-205	1234-1235	,	_	_	_	_	
1-206	1236-1238	ki	_	_	_	_	
1-207	1239-1247	Celjskim	ORG[22]	_	*->2-5	*[2]	
1-208	1248-1256	civilnim	ORG[22]	_	*->2-5	*[2]	
1-209	1257-1268	iniciativam	ORG[22]	_	*->2-5	*[2]	
1-210	1269-1275	očitno	_	_	_	_	
1-211	1276-1278	ni	_	_	_	_	
1-212	1279-1287	ustrezal	_	_	_	_	
1-213	1288-1289	,	_	_	_	_	
1-214	1290-1292	so	_	_	_	_	
1-215	1293-1298	širši	_	_	_	_	
1-216	1299-1307	javnosti	_	_	_	_	
1-217	1308-1317	preprosto	_	_	_	_	
1-218	1318-1327	zamolčale	_	_	*->2-6	*[2]	
1-219	1328-1329	.	_	_	_	_	
1-220	1330-1332	Iz	_	_	_	_	
1-221	1333-1337	tega	_	_	_	_	
1-222	1338-1346	sklepamo	_	_	_	_	
1-223	1347-1348	,	_	_	_	_	
1-224	1349-1351	da	_	_	_	_	
1-225	1352-1362	iniciative	_	_	*->2-7	*[2]	
1-226	1363-1375	manipulirajo	_	_	_	_	
1-227	1376-1377	s	_	_	_	_	
1-228	1378-1385	podatki	_	_	_	_	
1-229	1386-1388	in	_	_	_	_	
1-230	1389-1391	da	_	_	_	_	
1-231	1392-1398	njihov	_	2 - Negativno	*->2-8	*[2]	
1-232	1399-1404	namen	_	_	_	_	
1-233	1405-1407	ni	_	_	_	_	
1-234	1408-1420	ugotavljanje	_	_	_	_	
1-235	1421-1436	verodostojnosti	_	_	_	_	
1-236	1437-1442	izjav	_	_	_	_	
1-237	1443-1445	in	_	_	_	_	
1-238	1446-1456	rezultatov	_	_	_	_	
1-239	1457-1465	Cinkarne	ORG[23]	_	*->7-12	*[7]	
1-240	1466-1471	Celje	ORG[23]|LOC[24]	_	*->7-12|*->1-7	*[7]|*[1]	
1-241	1472-1473	,	_	_	_	_	
1-242	1474-1475	"	_	_	_	_	
1-243	1476-1478	je	_	_	_	_	
1-244	1479-1485	takrat	_	_	_	_	
1-245	1486-1492	ocenil	_	_	_	_	
1-246	1493-1500	Benčina	PER	2 - Negativno	*->5-2	*[5]	
1-247	1501-1502	.	_	_	_	_	
1-248	1503-1509	Šuštar	PER	_	*->3-6	*[3]	
1-249	1510-1512	pa	_	_	_	_	
1-250	1513-1515	je	_	_	_	_	
1-251	1516-1521	danes	_	_	_	_	
1-252	1522-1527	znova	_	_	_	_	
1-253	1528-1536	poudaril	_	_	_	_	
1-254	1537-1538	,	_	_	_	_	
1-255	1539-1541	da	_	_	_	_	
1-256	1542-1544	je	_	_	_	_	
1-257	1545-1553	Cinkarna	ORG[25]	_	*->7-13	*[7]	
1-258	1554-1559	Celje	ORG[25]|LOC[26]	_	*->7-13|*->1-8	*[7]|*[1]	
1-259	1560-1567	tovarna	_	_	*->7-14	*[7]	
1-260	1568-1569	,	_	_	_	_	
1-261	1570-1572	ki	_	_	_	_	
1-262	1573-1575	je	_	_	_	_	
1-263	1576-1577	s	_	_	_	_	
1-264	1578-1584	svojim	_	_	*->7-15	*[7]	
1-265	1585-1595	delovanjem	_	_	_	_	
1-266	1596-1598	od	_	_	_	_	
1-267	1599-1610	ustanovitve	_	_	_	_	
1-268	1611-1620	grozovito	_	_	_	_	
1-269	1621-1628	uničila	_	_	*->7-16	*[7]	
1-270	1629-1635	okolje	_	_	_	_	
1-271	1636-1638	in	_	_	_	_	
1-272	1639-1641	za	_	_	_	_	
1-273	1642-1650	stoletja	_	_	_	_	
1-274	1651-1662	onemogočila	_	_	*->7-17	*[7]	
1-275	1663-1671	normalno	_	_	_	_	
1-276	1672-1673	,	_	_	_	_	
1-277	1674-1680	zdravo	_	_	_	_	
1-278	1681-1690	življenje	_	_	_	_	
1-279	1691-1703	prebivalstva	_	_	_	_	
1-280	1704-1711	celjske	_	_	_	_	
1-281	1712-1719	kotline	_	_	_	_	
1-282	1720-1721	.	_	_	_	_	
1-283	1722-1724	Po	_	_	_	_	
1-284	1725-1733	navedbah	_	_	_	_	
1-285	1734-1742	Šuštarja	PER	_	*->3-7	*[3]	
1-286	1743-1745	je	_	_	_	_	
1-287	1746-1754	Cinkarna	ORG[27]	_	*->7-18	*[7]	
1-288	1755-1760	Celje	ORG[27]|LOC[28]	_	*->7-18|*->1-9	*[7]|*[1]	
1-289	1761-1769	prikrila	_	_	_	_	
1-290	1770-1779	raziskavo	_	_	_	_	
1-291	1780-1784	krvi	_	_	_	_	
1-292	1785-1793	delavcev	_	_	_	_	
1-293	1794-1800	družbe	_	_	*->7-19	*[7]	
1-294	1801-1802	,	_	_	_	_	
1-295	1803-1807	kjer	_	_	_	_	
1-296	1808-1810	je	_	_	_	_	
1-297	1811-1816	imelo	_	_	_	_	
1-298	1817-1820	kar	_	_	_	_	
1-299	1821-1823	60	_	_	_	_	
1-300	1824-1833	odstotkov	_	_	_	_	
1-301	1834-1845	poškodovane	_	_	_	_	
1-302	1846-1855	kromosome	_	_	_	_	
1-303	1856-1857	,	_	_	_	_	
1-304	1858-1861	kar	_	_	_	_	
1-305	1862-1869	vodstvo	_	_	_	_	
1-306	1870-1878	cinkarne	_	2 - Negativno	*->7-20	*[7]	
1-307	1879-1886	zavrača	_	_	_	_	
1-308	1887-1890	kot	_	_	_	_	
1-309	1891-1901	neresnično	_	_	_	_	
1-310	1902-1909	navedbo	_	_	_	_	
1-311	1910-1911	.	_	_	_	_	
1-312	1912-1913	"	_	_	_	_	
1-313	1914-1916	Na	_	_	_	_	
1-314	1917-1924	podlagi	_	_	_	_	
1-315	1925-1929	vseh	_	_	_	_	
1-316	1930-1937	uradnih	_	_	_	_	
1-317	1938-1946	podatkov	_	_	_	_	
1-318	1947-1948	,	_	_	_	_	
1-319	1949-1959	strokovnih	_	_	_	_	
1-320	1960-1966	analiz	_	_	_	_	
1-321	1967-1968	,	_	_	_	_	
1-322	1969-1971	ki	_	_	_	_	
1-323	1972-1975	smo	_	_	_	_	
1-324	1976-1979	jih	_	_	_	_	
1-325	1980-1989	plačevali	_	_	_	_	
1-326	1990-1994	sami	_	_	_	_	
1-327	1995-1996	,	_	_	_	_	
1-328	1997-2007	utemeljeno	_	_	_	_	
1-329	2008-2010	in	_	_	_	_	
1-330	2011-2020	legitimno	_	_	_	_	
1-331	2021-2031	opozarjamo	_	_	_	_	
1-332	2032-2034	na	_	_	_	_	
1-333	2035-2051	nesprejemljivost	_	_	_	_	
1-334	2052-2061	delovanja	_	_	_	_	
1-335	2062-2066	tako	_	_	_	_	
1-336	2067-2075	ekološko	_	_	_	_	
1-337	2076-2082	sporne	_	_	_	_	
1-338	2083-2085	in	_	_	_	_	
1-339	2086-2100	nesprejemljive	_	_	_	_	
1-340	2101-2111	industrije	_	_	_	_	
1-341	2112-2117	sredi	_	_	_	_	
1-342	2118-2123	Celja	LOC	3 - Nevtralno	*->1-10	*[1]	
1-343	2124-2125	.	_	_	_	_	
1-344	2126-2130	Tudi	_	_	_	_	
1-345	2131-2132	z	_	_	_	_	
1-346	2133-2140	vloženo	_	_	_	_	
1-347	2141-2146	tožbo	_	_	_	_	
1-348	2147-2148	,	_	_	_	_	
1-349	2149-2150	s	_	_	_	_	
1-350	2151-2157	katero	_	_	_	_	
1-351	2158-2167	poskušajo	_	_	_	_	
1-352	2168-2175	skrajno	_	_	_	_	
1-353	2176-2190	nesprejemljivo	_	_	_	_	
1-354	2191-2202	ustrahovati	_	_	_	_	
1-355	2203-2215	predstavnike	_	_	_	_	
1-356	2216-2223	civilne	_	_	_	_	
1-357	2224-2230	družbe	_	_	_	_	
1-358	2231-2232	,	_	_	_	_	
1-359	2233-2236	nas	_	_	_	_	
1-360	2237-2239	ne	_	_	_	_	
1-361	2240-2244	bodo	_	_	_	_	
1-362	2245-2253	ustavili	_	_	_	_	
1-363	2254-2255	,	_	_	_	_	
1-364	2256-2257	"	_	_	_	_	
1-365	2258-2260	je	_	_	_	_	
1-366	2261-2263	še	_	_	_	_	
1-367	2264-2271	povedal	_	_	_	_	
1-368	2272-2278	Šuštar	PER	2 - Negativno	*->3-8	*[3]	
