#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Nova Slovenija je podprla prizadevanja ankaranske civilne iniciative za ustanovitev občine Ankaran . Koprski občinski svetniki so imeli na dnevnem redu včerajšnje seje predlog za začetek postopka za spremembo območij naselij v občini , čemur nasprotujejo v krajevni skupnosti ( KS ) Ankaran . " Sprejeli smo sklep , da smo proti spreminjanju meja naselij v koprski občini , " pravi Boštjan Hrabar , novi predsednik ankaranske KS . Zdaj bodo počakali na odločitev občinskih svetnikov . " S pobudo za ustanovitev občine Ankaran nismo uradno seznanjeni . " Mojca Beljan iz koprske občine Spor zaradi pristanišča Predlog , pod katerega je podpisan koprski župan Boris Popovič , predvideva , da se iz naselja Ankaran administrativno izloči območje koprskega pristanišča , ki naj bi kot enotna ekonomska cona spadalo pod naselje Koper . Ankarančani se bojijo predvsem , da ne bi imeli več besede glede ekološke problematike in davščin povezanih s pristaniščem , kar je za Žunal24 povedal že Oliver Morgan , eden izmed 165 Ankarančanov , ki bi v primeru spremembe meja naselij " postal " Koprčan . Morgan je na ustavnem sodišču enkrat že dosegel , da so tak občinski odlok razveljavili . Poslanska pobuda NSi Anton Kokalj , poslanec NSi , pa je včeraj presenetil z vložitvijo predloga za začetek postopka za ustanovitev občine Ankaran , ki bi obsegala meje sedanje krajevne skupnosti . V NSi se sklicujejo na prizadevanja civilne iniciative , vendar so nam tako v KS Ankaran kot tudi Edi Pucer , ki vodi Civilno iniciativo Ankaran – ta se bori proti tretjemu pomolu v koprskem pristanišču , zagotovili , da s pobudo nimajo nič . Izkazalo se je , da za njo stoji Ankarančan Gregor Strmčnik , ki pa
1-1	0-4	Nova	ORG[1]	_	*->1-1	*[1]	
1-66	404-414	predsednik	_	3 - Nevtralno[18]	*->6-2	*[6]	
1-67	415-425	ankaranske	ORG[7]	3 - Nevtralno[18]	*->6-2|*->5-2	*[6]|*[5]	
1-68	426-428	KS	ORG[7]	3 - Nevtralno[18]	*->6-2|*->5-2	*[6]|*[5]	
1-69	429-430	.	_	_	_	_	
1-70	431-435	Zdaj	_	_	_	_	
1-71	436-440	bodo	_	_	_	_	
1-72	441-449	počakali	_	_	_	_	
1-73	450-452	na	_	_	_	_	
1-74	453-462	odločitev	_	_	_	_	
1-75	463-472	občinskih	_	_	_	_	
1-76	473-482	svetnikov	_	_	_	_	
1-77	483-484	.	_	_	_	_	
1-78	485-486	"	_	_	_	_	
1-79	487-488	S	_	_	_	_	
1-80	489-495	pobudo	_	_	_	_	
1-81	496-498	za	_	_	_	_	
1-82	499-510	ustanovitev	_	_	_	_	
1-83	511-517	občine	_	_	*->4-3	*[4]	
1-84	518-525	Ankaran	LOC	_	*->4-3	*[4]	
1-85	526-531	nismo	_	_	_	_	
1-86	532-538	uradno	_	_	_	_	
1-87	539-549	seznanjeni	_	_	_	_	
1-88	550-551	.	_	_	_	_	
1-89	552-553	"	_	_	_	_	
1-90	554-559	Mojca	PER[8]	3 - Nevtralno[19]	*->7-1	*[7]	
1-91	560-566	Beljan	PER[8]	3 - Nevtralno[19]	*->7-1	*[7]	
1-92	567-569	iz	_	_	_	_	
1-93	570-577	koprske	_	_	*->15-2	*[15]	
1-94	578-584	občine	_	_	*->15-2	*[15]	
1-95	585-589	Spor	_	_	_	_	
1-96	590-596	zaradi	_	_	_	_	
1-97	597-608	pristanišča	_	_	_	_	
1-98	609-616	Predlog	_	_	_	_	
1-99	617-618	,	_	_	_	_	
1-100	619-622	pod	_	_	_	_	
1-101	623-631	katerega	_	_	_	_	
1-102	632-634	je	_	_	_	_	
1-103	635-643	podpisan	_	_	_	_	
1-104	644-651	koprski	_	2 - Negativno[20]	*->8-1	*[8]	
1-105	652-657	župan	_	2 - Negativno[20]	*->8-1	*[8]	
1-106	658-663	Boris	PER[9]	2 - Negativno[20]	*->8-1	*[8]	
1-107	664-671	Popovič	PER[9]	2 - Negativno[20]	*->8-1	*[8]	
1-108	672-673	,	_	_	_	_	
1-109	674-684	predvideva	_	_	_	_	
1-110	685-686	,	_	_	_	_	
1-111	687-689	da	_	_	_	_	
1-112	690-692	se	_	_	_	_	
1-113	693-695	iz	_	_	_	_	
1-114	696-703	naselja	_	_	*->4-4	*[4]	
1-115	704-711	Ankaran	LOC	_	*->4-4	*[4]	
1-116	712-727	administrativno	_	_	_	_	
1-117	728-734	izloči	_	_	_	_	
1-118	735-742	območje	_	_	_	_	
1-119	743-752	koprskega	_	_	_	_	
1-120	753-764	pristanišča	_	_	_	_	
1-121	765-766	,	_	_	_	_	
1-122	767-769	ki	_	_	_	_	
1-123	770-773	naj	_	_	_	_	
1-124	774-776	bi	_	_	_	_	
1-125	777-780	kot	_	_	_	_	
1-126	781-787	enotna	_	_	_	_	
1-127	788-797	ekonomska	_	_	_	_	
1-128	798-802	cona	_	_	_	_	
1-129	803-810	spadalo	_	_	_	_	
1-130	811-814	pod	_	_	_	_	
1-131	815-822	naselje	_	3 - Nevtralno[21]	*->15-3	*[15]	
1-132	823-828	Koper	LOC	3 - Nevtralno[21]	*->15-3	*[15]	
1-133	829-830	.	_	_	_	_	
1-134	831-842	Ankarančani	PER	_	*->9-1	*[9]	
1-135	843-845	se	_	_	_	_	
1-136	846-852	bojijo	_	_	_	_	
1-137	853-861	predvsem	_	_	_	_	
1-138	862-863	,	_	_	_	_	
1-139	864-866	da	_	_	_	_	
1-140	867-869	ne	_	_	_	_	
1-141	870-872	bi	_	_	_	_	
1-142	873-878	imeli	_	_	_	_	
1-143	879-882	več	_	_	_	_	
1-144	883-889	besede	_	_	_	_	
1-145	890-895	glede	_	_	_	_	
1-146	896-904	ekološke	_	_	_	_	
1-147	905-917	problematike	_	_	_	_	
1-148	918-920	in	_	_	_	_	
1-149	921-928	davščin	_	_	_	_	
1-150	929-938	povezanih	_	_	_	_	
1-151	939-940	s	_	_	_	_	
1-152	941-953	pristaniščem	_	_	_	_	
1-153	954-955	,	_	_	_	_	
1-154	956-959	kar	_	_	_	_	
1-155	960-962	je	_	_	_	_	
1-156	963-965	za	_	_	_	_	
1-157	966-973	Žunal24	ORG	3 - Nevtralno	*->10-1	*[10]	
1-158	974-981	povedal	_	_	_	_	
1-159	982-984	že	_	_	_	_	
1-160	985-991	Oliver	PER[10]	_	*->11-1	*[11]	
1-161	992-998	Morgan	PER[10]	_	*->11-1	*[11]	
1-162	999-1000	,	_	_	_	_	
1-163	1001-1005	eden	_	_	*->11-2	*[11]	
1-164	1006-1011	izmed	_	_	*->11-2	*[11]	
1-165	1012-1015	165	_	_	*->11-2	*[11]	
1-166	1016-1028	Ankarančanov	PER	3 - Nevtralno	*->11-2|*->9-2	*[11]|*[9]	
1-167	1029-1030	,	_	_	_	_	
1-168	1031-1033	ki	_	_	_	_	
1-169	1034-1036	bi	_	_	_	_	
1-170	1037-1038	v	_	_	_	_	
1-171	1039-1046	primeru	_	_	_	_	
1-172	1047-1056	spremembe	_	_	_	_	
1-173	1057-1061	meja	_	_	_	_	
1-174	1062-1069	naselij	_	_	_	_	
1-175	1070-1071	"	_	_	_	_	
1-176	1072-1078	postal	_	_	_	_	
1-177	1079-1080	"	_	_	_	_	
1-178	1081-1088	Koprčan	_	_	_	_	
1-179	1089-1090	.	_	_	_	_	
1-180	1091-1097	Morgan	PER	3 - Nevtralno	*->11-3	*[11]	
1-181	1098-1100	je	_	_	_	_	
1-182	1101-1103	na	_	_	_	_	
1-183	1104-1112	ustavnem	_	_	_	_	
1-184	1113-1120	sodišču	_	_	_	_	
1-185	1121-1127	enkrat	_	_	_	_	
1-186	1128-1130	že	_	_	_	_	
1-187	1131-1138	dosegel	_	_	_	_	
1-188	1139-1140	,	_	_	_	_	
1-189	1141-1143	da	_	_	_	_	
1-190	1144-1146	so	_	_	_	_	
1-191	1147-1150	tak	_	_	_	_	
1-192	1151-1159	občinski	_	_	_	_	
1-193	1160-1165	odlok	_	_	_	_	
1-194	1166-1178	razveljavili	_	_	_	_	
1-195	1179-1180	.	_	_	_	_	
1-196	1181-1190	Poslanska	_	_	_	_	
1-197	1191-1197	pobuda	_	_	_	_	
1-198	1198-1201	NSi	ORG	_	*->1-2	*[1]	
1-199	1202-1207	Anton	PER[11]	_	*->12-1	*[12]	
1-200	1208-1214	Kokalj	PER[11]	_	*->12-1	*[12]	
1-201	1215-1216	,	_	_	_	_	
1-202	1217-1225	poslanec	_	3 - Nevtralno[22]	*->12-2	*[12]	
1-203	1226-1229	NSi	ORG	3 - Nevtralno[22]	*->12-2|*->1-3	*[12]|*[1]	
1-204	1230-1231	,	_	_	_	_	
1-205	1232-1234	pa	_	_	_	_	
1-206	1235-1237	je	_	_	_	_	
1-207	1238-1244	včeraj	_	_	_	_	
1-208	1245-1255	presenetil	_	_	_	_	
1-209	1256-1257	z	_	_	_	_	
1-210	1258-1268	vložitvijo	_	_	_	_	
1-211	1269-1277	predloga	_	_	_	_	
1-212	1278-1280	za	_	_	_	_	
1-213	1281-1288	začetek	_	_	_	_	
1-214	1289-1297	postopka	_	_	_	_	
1-215	1298-1300	za	_	_	_	_	
1-216	1301-1312	ustanovitev	_	_	_	_	
1-217	1313-1319	občine	_	_	*->4-5	*[4]	
1-218	1320-1327	Ankaran	LOC	_	*->4-5	*[4]	
1-219	1328-1329	,	_	_	_	_	
1-220	1330-1332	ki	_	_	_	_	
1-221	1333-1335	bi	_	_	_	_	
1-222	1336-1344	obsegala	_	_	_	_	
1-223	1345-1349	meje	_	_	_	_	
1-224	1350-1357	sedanje	_	_	_	_	
1-225	1358-1366	krajevne	_	_	_	_	
1-226	1367-1376	skupnosti	_	_	_	_	
1-227	1377-1378	.	_	_	_	_	
1-228	1379-1380	V	_	_	_	_	
1-229	1381-1384	NSi	ORG	3 - Nevtralno	*->1-4	*[1]	
1-230	1385-1387	se	_	_	_	_	
1-231	1388-1398	sklicujejo	_	_	_	_	
1-232	1399-1401	na	_	_	_	_	
1-233	1402-1414	prizadevanja	_	_	_	_	
1-234	1415-1422	civilne	_	_	*->3-2	*[3]	
1-235	1423-1433	iniciative	_	_	*->3-2	*[3]	
1-236	1434-1435	,	_	_	_	_	
1-237	1436-1442	vendar	_	_	_	_	
1-238	1443-1445	so	_	_	_	_	
1-239	1446-1449	nam	_	_	_	_	
1-240	1450-1454	tako	_	_	_	_	
1-241	1455-1456	v	_	_	_	_	
1-242	1457-1459	KS	ORG[12]	3 - Nevtralno[23]	*->5-3	*[5]	
1-243	1460-1467	Ankaran	ORG[12]|LOC[13]	3 - Nevtralno[23]	*->5-3|*->4-6	*[5]|*[4]	
1-244	1468-1471	kot	_	_	_	_	
1-245	1472-1476	tudi	_	_	_	_	
1-246	1477-1480	Edi	PER[14]	3 - Nevtralno[24]	*->13-1	*[13]	
1-247	1481-1486	Pucer	PER[14]	3 - Nevtralno[24]	*->13-1	*[13]	
1-248	1487-1488	,	_	_	_	_	
1-249	1489-1491	ki	_	_	_	_	
1-250	1492-1496	vodi	_	_	_	_	
1-251	1497-1504	Civilno	ORG[15]	3 - Nevtralno[25]	*->3-3	*[3]	
1-252	1505-1515	iniciativo	ORG[15]	3 - Nevtralno[25]	*->3-3	*[3]	
1-253	1516-1523	Ankaran	ORG[15]|LOC[16]	3 - Nevtralno[25]|3 - Nevtralno[26]	*->3-3|*->4-7	*[3]|*[4]	
1-254	1524-1525	–	_	_	_	_	
1-255	1526-1528	ta	_	_	_	_	
1-256	1529-1531	se	_	_	_	_	
1-257	1532-1536	bori	_	_	_	_	
1-258	1537-1542	proti	_	_	_	_	
1-259	1543-1551	tretjemu	_	_	_	_	
1-260	1552-1558	pomolu	_	_	_	_	
1-261	1559-1560	v	_	_	_	_	
1-262	1561-1569	koprskem	_	_	_	_	
1-263	1570-1581	pristanišču	_	_	_	_	
1-264	1582-1583	,	_	_	_	_	
1-265	1584-1594	zagotovili	_	_	_	_	
1-266	1595-1596	,	_	_	_	_	
1-267	1597-1599	da	_	_	_	_	
1-268	1600-1601	s	_	_	_	_	
1-269	1602-1608	pobudo	_	_	_	_	
1-270	1609-1615	nimajo	_	_	_	_	
1-271	1616-1619	nič	_	_	_	_	
1-272	1620-1621	.	_	_	_	_	
1-273	1622-1630	Izkazalo	_	_	_	_	
1-274	1631-1633	se	_	_	_	_	
1-275	1634-1636	je	_	_	_	_	
1-276	1637-1638	,	_	_	_	_	
1-277	1639-1641	da	_	_	_	_	
1-278	1642-1644	za	_	_	_	_	
1-279	1645-1648	njo	_	_	_	_	
1-280	1649-1654	stoji	_	_	_	_	
1-281	1655-1665	Ankarančan	_	3 - Nevtralno[27]	*->14-1	*[14]	
1-282	1666-1672	Gregor	PER[17]	3 - Nevtralno[27]	*->14-1	*[14]	
1-283	1673-1681	Strmčnik	PER[17]	3 - Nevtralno[27]	*->14-1	*[14]	
1-284	1682-1683	,	_	_	_	_	
1-285	1684-1686	ki	_	_	_	_	
1-286	1687-1689	pa	_	_	_	_	
