#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Občina Velenje je za pomoč delavcem Preventa in Vegrada , ki so izgubili delo , namenila 40 tisoč evrov . Delavci lahko dobijo tudi brezplačno hrano in zaprosijo za izredno finančno pomoč . Župan Srečko Meh poudarja , da bi tudi država morala v sedanjih razmerah bolj pomagati . Na Mestni občini Velenje so se aktivno vključili v pomoč svojim občanom , ki so zaradi težav v Preventu in Vegradu že nekaj mesecev brez svojih dohodkov . Občina je za najnujnejše ukrepe že namenila 40.000 evrov , aktivno se je v pomoč vključil lani ustanovljeni odbor za pomoč občanom Velenja . Kot ocenjujejo , bo pomoč potrebovalo okoli 600 delavcev . Velenjski župan Srečko Meh je danes med drugim povedal , da so že pred časom omogočili brezplačne obroke v mestni javni kuhinji , takšno možnost pa trenutno koristi 180 Vegradovih delavcev . Odbor za pomoč , ki je sestavljen iz različnih humanitarnih , socialnih , zdravstvenih in drugih ustanov , je poskrbel za različne humanitarne akcije , med slednjimi bo tudi prireditev z dražbo likovnih del 10 . septembra . Humanitarna prireditev se bo imenovala Dobro delo . Nastopilo bo več glasbenih skupin , Društvo šaleških likovnikov pa bo prispevalo likovna dela za dražbo . Izkupiček prireditve in dražbe bo namenjen socialno ogroženim posameznikom in družinam . Prispevke zanje je moč nakazati tudi na podračun Mestne občine Velenje za dobrodelne namene , in sicer na 01333 - 6000000925 . Župan Velenja Meh meni , da je za delavce najboljša rešitev v Vegradu takojšen stečaj . Stečaj zato , da bodo delavci lahko zaščiteni in bodo dobili tisto , kar jim pripada , še dodaja . Kot je še poudaril Meh , lahko delavci na mestno občino naslovijo tudi vlogo za enkratno izredno denarno pomoč , ki jo bodo dodeljevali v skladu s pravilnikom . Ob tem je posebej poudaril , naj se delavci brez dohodkov najprej javijo na Centru za socialno delo Velenje , kjer v tem trenutku že rešujejo okoli 300 vlog za izredno pomoč . Šele ko bodo izkoristili to možnost , pa se lahko obrnejo tudi na njih , je še dodal velenjski župan . Z leve predsednik Rdečega križa Velenje Jože Kožar , podžupan MO Velenje Bojan Kontič , župan MO Velenje Srečko Meh in sodelavka Urada za negospodarske javne službe MO Velenje Nevenka Lempl . Meh Kje je tu menedžment ? Ob tem pa se je Meh vprašal , kje je tu menedžment in kje je morala tistih , ki so vodili podjetja in jih pripeljali v sedanji položaj . Prav tako se je vprašal , ali svojo vlogo dovolj dobro opravljajo sindikati . Ta ni odigral svoje vloge . Če se bori zgolj za plače in dolžino delovne dobe , ne pa tudi v kakšnem položaju so dejansko delavci , potem to zagotovo ni pravilno ravnanje , je dejal Meh . Foto POP TV Delavcem obeh podjetij so takoj ponudili tudi brezplačno pravno pomoč , hkrati pa se z direktorji nekaterih večjih podjetij v regiji dogovarjajo , da bi finančno pomagali prebroditi najhujše težave . Župan Meh še opozarja , da stečaj Vegrada posebej velikega vpliva na socialne razmere v Šaleški dolini ne bo imel , če bodo vsi skupaj pravočasno ukrepali . Poslanec SD Bojan Kontič je ob tem opomnil , da se je znova v praksi pokazalo , kako nekdo v času uspehov ne potrebuje države in lokalne skupnosti , ko pa pride do težav , kakršnim smo danes priča v Vegradu , potem je klic na pomoč hitro tu . Država mora zagotoviti predvsem sprejem zakonodaje , ki bi preprečila posamezne nepravilne odklone , ki se zdaj dogajajo v naši družbi . A z zakoni se vsega ne da preprečiti , če ni posluha za pravno državo , socialo in solidarnost , je dejal Kontič . Predsednik Rdečega križa Velenje Jože Kožar je izrazil veselje zaradi lanske ustanovitve že omenjenega odbora za pomoč , saj so na ta način tisti , ki želijo in lahko pomagajo , postali bolj močni . Kot je dejal , so sami sicer že pred tremi tedni po seznamu , ki so ga prejeli od Vegradovega sindikata , 230 delavcem razdelili prehranske pakete in pralni prašek . Paketov imajo še dovolj in jih delijo vsako sredo , skupaj z občino pa so poskrbeli tudi za šolske potrebščine 118 otrok
1-1	0-6	Občina	ORG[1]	_	*->7-1	*[7]	
1-94	524-528	lani	_	_	_	_	
1-95	529-541	ustanovljeni	_	_	_	_	
1-96	542-547	odbor	_	_	_	_	
1-97	548-550	za	_	_	_	_	
1-98	551-556	pomoč	_	_	_	_	
1-99	557-564	občanom	_	_	_	_	
1-100	565-572	Velenja	LOC	_	*->9-3	*[9]	
1-101	573-574	.	_	_	_	_	
1-102	575-578	Kot	_	_	_	_	
1-103	579-589	ocenjujejo	_	_	_	_	
1-104	590-591	,	_	_	_	_	
1-105	592-594	bo	_	_	_	_	
1-106	595-600	pomoč	_	_	_	_	
1-107	601-612	potrebovalo	_	_	_	_	
1-108	613-618	okoli	_	_	_	_	
1-109	619-622	600	_	_	_	_	
1-110	623-631	delavcev	_	_	_	_	
1-111	632-633	.	_	_	_	_	
1-112	634-643	Velenjski	_	_	*->11-2	*[11]	
1-113	644-649	župan	_	_	*->11-2	*[11]	
1-114	650-656	Srečko	PER[6]	_	*->11-2	*[11]	
1-115	657-660	Meh	PER[6]	_	*->11-2	*[11]	
1-116	661-663	je	_	_	_	_	
1-117	664-669	danes	_	_	_	_	
1-118	670-673	med	_	_	_	_	
1-119	674-680	drugim	_	_	_	_	
1-120	681-688	povedal	_	_	_	_	
1-121	689-690	,	_	_	_	_	
1-122	691-693	da	_	_	_	_	
1-123	694-696	so	_	_	_	_	
1-124	697-699	že	_	_	_	_	
1-125	700-704	pred	_	_	_	_	
1-126	705-710	časom	_	_	_	_	
1-127	711-720	omogočili	_	_	_	_	
1-128	721-731	brezplačne	_	_	_	_	
1-129	732-738	obroke	_	_	_	_	
1-130	739-740	v	_	_	_	_	
1-131	741-747	mestni	_	_	*->9-4	*[9]	
1-132	748-753	javni	_	_	_	_	
1-133	754-761	kuhinji	_	_	_	_	
1-134	762-763	,	_	_	_	_	
1-135	764-770	takšno	_	_	_	_	
1-136	771-778	možnost	_	_	_	_	
1-137	779-781	pa	_	_	_	_	
1-138	782-790	trenutno	_	_	_	_	
1-139	791-798	koristi	_	_	_	_	
1-140	799-802	180	_	_	_	_	
1-141	803-813	Vegradovih	_	_	*->16-3	*[16]	
1-142	814-822	delavcev	_	_	_	_	
1-143	823-824	.	_	_	_	_	
1-144	825-830	Odbor	_	_	_	_	
1-145	831-833	za	_	_	_	_	
1-146	834-839	pomoč	_	_	_	_	
1-147	840-841	,	_	_	_	_	
1-148	842-844	ki	_	_	_	_	
1-149	845-847	je	_	_	_	_	
1-150	848-858	sestavljen	_	_	_	_	
1-151	859-861	iz	_	_	_	_	
1-152	862-871	različnih	_	_	_	_	
1-153	872-884	humanitarnih	_	_	_	_	
1-154	885-886	,	_	_	_	_	
1-155	887-896	socialnih	_	_	_	_	
1-156	897-898	,	_	_	_	_	
1-157	899-911	zdravstvenih	_	_	_	_	
1-158	912-914	in	_	_	_	_	
1-159	915-921	drugih	_	_	_	_	
1-160	922-929	ustanov	_	_	_	_	
1-161	930-931	,	_	_	_	_	
1-162	932-934	je	_	_	_	_	
1-163	935-943	poskrbel	_	_	_	_	
1-164	944-946	za	_	_	_	_	
1-165	947-955	različne	_	_	_	_	
1-166	956-967	humanitarne	_	_	_	_	
1-167	968-974	akcije	_	_	_	_	
1-168	975-976	,	_	_	_	_	
1-169	977-980	med	_	_	_	_	
1-170	981-990	slednjimi	_	_	_	_	
1-171	991-993	bo	_	_	_	_	
1-172	994-998	tudi	_	_	_	_	
1-173	999-1009	prireditev	_	_	_	_	
1-174	1010-1011	z	_	_	_	_	
1-175	1012-1018	dražbo	_	_	_	_	
1-176	1019-1027	likovnih	_	_	_	_	
1-177	1028-1031	del	_	_	_	_	
1-178	1032-1034	10	_	_	_	_	
1-179	1035-1036	.	_	_	_	_	
1-180	1037-1046	septembra	_	_	_	_	
1-181	1047-1048	.	_	_	_	_	
1-182	1049-1060	Humanitarna	_	_	*->3-1	*[3]	
1-183	1061-1071	prireditev	_	_	*->3-1	*[3]	
1-184	1072-1074	se	_	_	_	_	
1-185	1075-1077	bo	_	_	_	_	
1-186	1078-1087	imenovala	_	_	_	_	
1-187	1088-1093	Dobro	ORG[7]	_	*->3-2	*[3]	
1-188	1094-1098	delo	ORG[7]	_	*->3-2	*[3]	
1-189	1099-1100	.	_	_	_	_	
1-190	1101-1110	Nastopilo	_	_	_	_	
1-191	1111-1113	bo	_	_	_	_	
1-192	1114-1117	več	_	_	_	_	
1-193	1118-1127	glasbenih	_	_	_	_	
1-194	1128-1134	skupin	_	_	_	_	
1-195	1135-1136	,	_	_	_	_	
1-196	1137-1144	Društvo	ORG[8]	4 - Pozitivno[33]	*->2-1	*[2]	
1-197	1145-1153	šaleških	ORG[8]	4 - Pozitivno[33]	*->2-1	*[2]	
1-198	1154-1164	likovnikov	ORG[8]	4 - Pozitivno[33]	*->2-1	*[2]	
1-199	1165-1167	pa	_	_	_	_	
1-200	1168-1170	bo	_	_	_	_	
1-201	1171-1181	prispevalo	_	_	_	_	
1-202	1182-1189	likovna	_	_	_	_	
1-203	1190-1194	dela	_	_	_	_	
1-204	1195-1197	za	_	_	_	_	
1-205	1198-1204	dražbo	_	_	_	_	
1-206	1205-1206	.	_	_	_	_	
1-207	1207-1216	Izkupiček	_	_	_	_	
1-208	1217-1227	prireditve	_	4 - Pozitivno	*->3-3	*[3]	
1-209	1228-1230	in	_	_	_	_	
1-210	1231-1237	dražbe	_	_	_	_	
1-211	1238-1240	bo	_	_	_	_	
1-212	1241-1249	namenjen	_	_	_	_	
1-213	1250-1258	socialno	_	_	_	_	
1-214	1259-1268	ogroženim	_	_	_	_	
1-215	1269-1281	posameznikom	_	_	_	_	
1-216	1282-1284	in	_	_	_	_	
1-217	1285-1293	družinam	_	_	_	_	
1-218	1294-1295	.	_	_	_	_	
1-219	1296-1305	Prispevke	_	_	_	_	
1-220	1306-1311	zanje	_	_	_	_	
1-221	1312-1314	je	_	_	_	_	
1-222	1315-1318	moč	_	_	_	_	
1-223	1319-1327	nakazati	_	_	_	_	
1-224	1328-1332	tudi	_	_	_	_	
1-225	1333-1335	na	_	_	_	_	
1-226	1336-1344	podračun	_	_	_	_	
1-227	1345-1351	Mestne	ORG[9]	_	*->7-4	*[7]	
1-228	1352-1358	občine	ORG[9]	_	*->7-4	*[7]	
1-229	1359-1366	Velenje	ORG[9]|LOC[10]	_	*->7-4|*->9-5	*[7]|*[9]	
1-230	1367-1369	za	_	_	_	_	
1-231	1370-1380	dobrodelne	_	_	_	_	
1-232	1381-1387	namene	_	_	_	_	
1-233	1388-1389	,	_	_	_	_	
1-234	1390-1392	in	_	_	_	_	
1-235	1393-1398	sicer	_	_	_	_	
1-236	1399-1401	na	_	_	_	_	
1-237	1402-1407	01333	_	_	_	_	
1-238	1408-1409	-	_	_	_	_	
1-239	1410-1420	6000000925	_	_	_	_	
1-240	1421-1422	.	_	_	_	_	
1-241	1423-1428	Župan	_	_	*->11-3	*[11]	
1-242	1429-1436	Velenja	_	_	*->11-3|*->9-6	*[11]|*[9]	
1-243	1437-1440	Meh	_	_	*->11-3	*[11]	
1-244	1441-1445	meni	_	_	_	_	
1-245	1446-1447	,	_	_	_	_	
1-246	1448-1450	da	_	_	_	_	
1-247	1451-1453	je	_	_	_	_	
1-248	1454-1456	za	_	_	_	_	
1-249	1457-1464	delavce	_	_	_	_	
1-250	1465-1474	najboljša	_	_	_	_	
1-251	1475-1482	rešitev	_	_	_	_	
1-252	1483-1484	v	_	_	_	_	
1-253	1485-1492	Vegradu	ORG	_	*->16-4	*[16]	
1-254	1493-1501	takojšen	_	_	_	_	
1-255	1502-1508	stečaj	_	_	_	_	
1-256	1509-1510	.	_	_	_	_	
1-257	1511-1517	Stečaj	_	_	_	_	
1-258	1518-1522	zato	_	_	_	_	
1-259	1523-1524	,	_	_	_	_	
1-260	1525-1527	da	_	_	_	_	
1-261	1528-1532	bodo	_	_	_	_	
1-262	1533-1540	delavci	_	_	_	_	
1-263	1541-1546	lahko	_	_	_	_	
1-264	1547-1556	zaščiteni	_	_	_	_	
1-265	1557-1559	in	_	_	_	_	
1-266	1560-1564	bodo	_	_	_	_	
1-267	1565-1571	dobili	_	_	_	_	
1-268	1572-1577	tisto	_	_	_	_	
1-269	1578-1579	,	_	_	_	_	
1-270	1580-1583	kar	_	_	_	_	
1-271	1584-1587	jim	_	_	_	_	
1-272	1588-1595	pripada	_	_	_	_	
1-273	1596-1597	,	_	_	_	_	
1-274	1598-1600	še	_	_	_	_	
1-275	1601-1607	dodaja	_	_	*->11-4	*[11]	
1-276	1608-1609	.	_	_	_	_	
1-277	1610-1613	Kot	_	_	_	_	
1-278	1614-1616	je	_	_	_	_	
1-279	1617-1619	še	_	_	_	_	
1-280	1620-1628	poudaril	_	_	_	_	
1-281	1629-1632	Meh	PER	_	*->11-5	*[11]	
1-282	1633-1634	,	_	_	_	_	
1-283	1635-1640	lahko	_	_	_	_	
1-284	1641-1648	delavci	_	_	_	_	
1-285	1649-1651	na	_	_	_	_	
1-286	1652-1658	mestno	_	_	*->7-5	*[7]	
1-287	1659-1665	občino	_	_	*->7-5	*[7]	
1-288	1666-1675	naslovijo	_	_	_	_	
1-289	1676-1680	tudi	_	_	_	_	
1-290	1681-1686	vlogo	_	_	_	_	
1-291	1687-1689	za	_	_	_	_	
1-292	1690-1698	enkratno	_	_	_	_	
1-293	1699-1706	izredno	_	_	_	_	
1-294	1707-1714	denarno	_	_	_	_	
1-295	1715-1720	pomoč	_	_	_	_	
1-296	1721-1722	,	_	_	_	_	
1-297	1723-1725	ki	_	_	_	_	
1-298	1726-1728	jo	_	_	_	_	
1-299	1729-1733	bodo	_	_	_	_	
1-300	1734-1745	dodeljevali	_	_	_	_	
1-301	1746-1747	v	_	_	_	_	
1-302	1748-1754	skladu	_	_	_	_	
1-303	1755-1756	s	_	_	_	_	
1-304	1757-1768	pravilnikom	_	_	_	_	
1-305	1769-1770	.	_	_	_	_	
1-306	1771-1773	Ob	_	_	_	_	
1-307	1774-1777	tem	_	_	_	_	
1-308	1778-1780	je	_	_	_	_	
1-309	1781-1788	posebej	_	_	_	_	
1-310	1789-1797	poudaril	_	_	*->11-6	*[11]	
1-311	1798-1799	,	_	_	_	_	
1-312	1800-1803	naj	_	_	_	_	
1-313	1804-1806	se	_	_	_	_	
1-314	1807-1814	delavci	_	_	_	_	
1-315	1815-1819	brez	_	_	_	_	
1-316	1820-1828	dohodkov	_	_	_	_	
1-317	1829-1836	najprej	_	_	_	_	
1-318	1837-1843	javijo	_	_	_	_	
1-319	1844-1846	na	_	_	_	_	
1-320	1847-1853	Centru	ORG[11]	_	*->4-1	*[4]	
1-321	1854-1856	za	ORG[11]	_	*->4-1	*[4]	
1-322	1857-1865	socialno	ORG[11]	_	*->4-1	*[4]	
1-323	1866-1870	delo	ORG[11]	_	*->4-1	*[4]	
1-324	1871-1878	Velenje	ORG[11]|LOC[12]	_	*->4-1|*->9-7	*[4]|*[9]	
1-325	1879-1880	,	_	_	_	_	
1-326	1881-1885	kjer	_	_	_	_	
1-327	1886-1887	v	_	_	_	_	
1-328	1888-1891	tem	_	_	_	_	
1-329	1892-1900	trenutku	_	_	_	_	
1-330	1901-1903	že	_	_	_	_	
1-331	1904-1912	rešujejo	_	4 - Pozitivno	*->4-2	*[4]	
1-332	1913-1918	okoli	_	_	_	_	
1-333	1919-1922	300	_	_	_	_	
1-334	1923-1927	vlog	_	_	_	_	
1-335	1928-1930	za	_	_	_	_	
1-336	1931-1938	izredno	_	_	_	_	
1-337	1939-1944	pomoč	_	_	_	_	
1-338	1945-1946	.	_	_	_	_	
1-339	1947-1951	Šele	_	_	_	_	
1-340	1952-1954	ko	_	_	_	_	
1-341	1955-1959	bodo	_	_	_	_	
1-342	1960-1971	izkoristili	_	_	_	_	
1-343	1972-1974	to	_	_	_	_	
1-344	1975-1982	možnost	_	_	_	_	
1-345	1983-1984	,	_	_	_	_	
1-346	1985-1987	pa	_	_	_	_	
1-347	1988-1990	se	_	_	_	_	
1-348	1991-1996	lahko	_	_	_	_	
1-349	1997-2004	obrnejo	_	_	_	_	
1-350	2005-2009	tudi	_	_	_	_	
1-351	2010-2012	na	_	_	_	_	
1-352	2013-2017	njih	_	_	*->7-6	*[7]	
1-353	2018-2019	,	_	_	_	_	
1-354	2020-2022	je	_	_	_	_	
1-355	2023-2025	še	_	_	_	_	
1-356	2026-2031	dodal	_	_	*->11-7	*[11]	
1-357	2032-2041	velenjski	_	_	*->11-8	*[11]	
1-358	2042-2047	župan	_	_	*->11-8	*[11]	
1-359	2048-2049	.	_	_	_	_	
1-360	2050-2051	Z	_	_	_	_	
1-361	2052-2056	leve	_	_	_	_	
1-362	2057-2067	predsednik	_	_	*->5-1	*[5]	
1-363	2068-2075	Rdečega	ORG[13]	_	*->5-1|*->6-1	*[5]|*[6]	
1-364	2076-2081	križa	ORG[13]	_	*->5-1|*->6-1	*[5]|*[6]	
1-365	2082-2089	Velenje	ORG[13]|LOC[14]	_	*->5-1|*->6-1|*->9-8	*[5]|*[6]|*[9]	
1-366	2090-2094	Jože	PER[15]	_	*->5-1	*[5]	
1-367	2095-2100	Kožar	PER[15]	_	*->5-1	*[5]	
1-368	2101-2102	,	_	_	_	_	
1-369	2103-2111	podžupan	_	_	*->15-1	*[15]	
1-370	2112-2114	MO	ORG[16]	_	*->15-1|*->7-7	*[15]|*[7]	
1-371	2115-2122	Velenje	ORG[16]|LOC[17]	_	*->15-1|*->7-7|*->9-9	*[15]|*[7]|*[9]	
1-372	2123-2128	Bojan	PER[18]	_	*->15-1	*[15]	
1-373	2129-2135	Kontič	PER[18]	_	*->15-1	*[15]	
1-374	2136-2137	,	_	_	_	_	
1-375	2138-2143	župan	_	_	*->11-9	*[11]	
1-376	2144-2146	MO	ORG[19]	_	*->11-9|*->7-8	*[11]|*[7]	
1-377	2147-2154	Velenje	ORG[19]|LOC[20]	_	*->11-9|*->7-8|*->9-10	*[11]|*[7]|*[9]	
1-378	2155-2161	Srečko	PER[21]	_	*->11-9	*[11]	
1-379	2162-2165	Meh	PER[21]	_	*->11-9	*[11]	
1-380	2166-2168	in	_	_	_	_	
1-381	2169-2178	sodelavka	_	3 - Nevtralno[34]	*->8-1	*[8]	
1-382	2179-2184	Urada	ORG[22]	3 - Nevtralno[34]|3 - Nevtralno[35]	*->8-1|*->17-1	*[8]|*[17]	
1-383	2185-2187	za	ORG[22]	3 - Nevtralno[34]|3 - Nevtralno[35]	*->8-1|*->17-1	*[8]|*[17]	
1-384	2188-2201	negospodarske	ORG[22]	3 - Nevtralno[34]|3 - Nevtralno[35]	*->8-1|*->17-1	*[8]|*[17]	
1-385	2202-2207	javne	ORG[22]	3 - Nevtralno[34]|3 - Nevtralno[35]	*->8-1|*->17-1	*[8]|*[17]	
1-386	2208-2214	službe	ORG[22]	3 - Nevtralno[34]|3 - Nevtralno[35]	*->8-1|*->17-1	*[8]|*[17]	
1-387	2215-2217	MO	ORG[22]|ORG[23]	3 - Nevtralno[34]|3 - Nevtralno[35]	*->8-1|*->17-1|*->7-9	*[8]|*[17]|*[7]	
1-388	2218-2225	Velenje	ORG[22]|ORG[23]|LOC[24]	3 - Nevtralno[34]|3 - Nevtralno[35]	*->8-1|*->17-1|*->7-9|*->9-11	*[8]|*[17]|*[7]|*[9]	
1-389	2226-2233	Nevenka	PER[25]	3 - Nevtralno[34]	*->8-1	*[8]	
1-390	2234-2239	Lempl	PER[25]	3 - Nevtralno[34]	*->8-1	*[8]	
1-391	2240-2241	.	_	_	_	_	
