#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Slovenci danes tretjič obeležujemo dan spomina na žrtve holokavsta . Eno najtemnejših poglavij zgodovine človeštva je sledove za vedno pustilo tudi na našem območju . Generalna skupščina Združenih narodov je 1 . novembra 2005 razglasila 27 . januar za dan spomina na žrtve holokavsta . " Ta nepopisno brutalen zločin brez primere še danes predstavlja eno najtemnejših poglavij v zgodovini človeštva , " ob dnevu spomina meni Pavel Gantar , predsednik državnega zbora . Pravi še , da bomo le s skrbnim negovanjem spomina na pretekle grozote in krivice lahko računali na spremembe v miselnosti in posledično tudi v ravnanju . " Vse to z osnovnim namenom , da se takšna tragedija ne bi nikoli več ponovila , " dodaja . Ob 18 . uri bo v Sinagogi Maribor spominska slovesnost za žrtve holokavsta in odprtje mednarodne fotografske razstave Preteklo in pozabljeno – Judovska kultura v Sloveniji . V Krškem pa bo ob 11 . uri odprtje razstave o genocidni politiki fašistov in nacistov do slovanskih narodov med drugo svetovno vojno , ki jo pripravlja Društvo izgnancev Slovenije 1941 – 1945 . Sprva za politične zapornike in Sovjete Kot je znano , so nacisti januarja 1940 v bližini znanega poljskega mesta Oswięcim ( bolj znan kot Auschwitz ) začele graditi koncentracijsko taborišče , sprva namenjeno političnim zapornikom in sovjetskim vojnim ujetnikom . Kmalu je taborišče postalo premajhno , zato so zgradili še Auschwitz II - Birkenau . Ugotovili so , da je Zyklon B učinkovito morilsko sredstvo , in ker so lahko vzeli več življenj , kot so sprva načrtovali , so zgradili še več plinskih celic . Po koncu romali v Izrael in ZDA Prvi judovski ujetniki so tja prispeli pozimi leta 1942 . Tja je bilo deportiranih tudi 2.346 zapornikov iz Slovenije , od tega jih je v taborišču umrlo 1.351 . Na današnji dan pred 66 leti je Rdeča armada vkorakala v Auschwitz in osvobodila več kot 7.000 zapornikov , med njimi tudi 21 Slovenk . Mnogi so nato odšli v Izrael , drugi v ZDA , tretji pa v sosednje države . Nacizem je v Sloveniji pustil zelo močen pečat in številni se niso želeli vrniti domov . Ena redkih , ki pa se je odločila za vrnitev v Mursko Soboto , je Erika Fürst . Ob prihodu v taborišče je bila stara 13 let , rešila pa se je z laganjem zloglasnemu zdravniku Josephu Mengeleju , znanemu tudi kot Angelu smrti . Če Fürstova ne bi rekla , da je nekaj let starejša , se smrti ne bi mogla izogniti . Danes bo svojo zgodbo predstavila tudi obiskovalcem razstave in slovesnosti v Sinagogi Maribor . Ob dnevu spomina na žrtve holokavsta smo se pogovarjali z vodjo Sinagoge Maribor , Marjanom Tošem . Slovenska judovska skupnost si ni nikoli opomogla , ubitih je bilo okoli 87 odstotkov slovenskih Judov , opozarja . Več si preberite tukaj
1-1	0-8	Slovenci	PER	3 - Nevtralno	*->1-1	*[1]	
1-244	1462-1463	B	_	_	_	_	
1-245	1464-1474	učinkovito	_	_	_	_	
1-246	1475-1483	morilsko	_	_	_	_	
1-247	1484-1492	sredstvo	_	_	_	_	
1-248	1493-1494	,	_	_	_	_	
1-249	1495-1497	in	_	_	_	_	
1-250	1498-1501	ker	_	_	_	_	
1-251	1502-1504	so	_	_	_	_	
1-252	1505-1510	lahko	_	_	_	_	
1-253	1511-1516	vzeli	_	_	_	_	
1-254	1517-1520	več	_	_	_	_	
1-255	1521-1529	življenj	_	_	_	_	
1-256	1530-1531	,	_	_	_	_	
1-257	1532-1535	kot	_	_	_	_	
1-258	1536-1538	so	_	_	_	_	
1-259	1539-1544	sprva	_	_	_	_	
1-260	1545-1555	načrtovali	_	_	_	_	
1-261	1556-1557	,	_	_	_	_	
1-262	1558-1560	so	_	_	_	_	
1-263	1561-1569	zgradili	_	_	_	_	
1-264	1570-1572	še	_	_	_	_	
1-265	1573-1576	več	_	_	_	_	
1-266	1577-1585	plinskih	_	_	_	_	
1-267	1586-1591	celic	_	_	_	_	
1-268	1592-1593	.	_	_	_	_	
1-269	1594-1596	Po	_	_	_	_	
1-270	1597-1602	koncu	_	_	_	_	
1-271	1603-1609	romali	_	_	_	_	
1-272	1610-1611	v	_	_	_	_	
1-273	1612-1618	Izrael	LOC	_	*->12-1	*[12]	
1-274	1619-1621	in	_	_	_	_	
1-275	1622-1625	ZDA	LOC	_	*->13-1	*[13]	
1-276	1626-1630	Prvi	_	_	_	_	
1-277	1631-1639	judovski	_	_	_	_	
1-278	1640-1648	ujetniki	_	_	_	_	
1-279	1649-1651	so	_	_	_	_	
1-280	1652-1655	tja	_	_	_	_	
1-281	1656-1664	prispeli	_	_	_	_	
1-282	1665-1671	pozimi	_	_	_	_	
1-283	1672-1676	leta	_	_	_	_	
1-284	1677-1681	1942	_	_	_	_	
1-285	1682-1683	.	_	_	_	_	
1-286	1684-1687	Tja	_	_	_	_	
1-287	1688-1690	je	_	_	_	_	
1-288	1691-1695	bilo	_	_	_	_	
1-289	1696-1708	deportiranih	_	_	_	_	
1-290	1709-1713	tudi	_	_	_	_	
1-291	1714-1719	2.346	_	_	_	_	
1-292	1720-1730	zapornikov	_	_	_	_	
1-293	1731-1733	iz	_	_	_	_	
1-294	1734-1743	Slovenije	LOC	_	*->6-3	*[6]	
1-295	1744-1745	,	_	_	_	_	
1-296	1746-1748	od	_	_	_	_	
1-297	1749-1753	tega	_	_	_	_	
1-298	1754-1757	jih	_	_	_	_	
1-299	1758-1760	je	_	_	_	_	
1-300	1761-1762	v	_	_	_	_	
1-301	1763-1772	taborišču	_	_	_	_	
1-302	1773-1778	umrlo	_	_	_	_	
1-303	1779-1784	1.351	_	_	_	_	
1-304	1785-1786	.	_	_	_	_	
1-305	1787-1789	Na	_	_	_	_	
1-306	1790-1798	današnji	_	_	_	_	
1-307	1799-1802	dan	_	_	_	_	
1-308	1803-1807	pred	_	_	_	_	
1-309	1808-1810	66	_	_	_	_	
1-310	1811-1815	leti	_	_	_	_	
1-311	1816-1818	je	_	_	_	_	
1-312	1819-1824	Rdeča	_	_	_	_	
1-313	1825-1831	armada	_	_	_	_	
1-314	1832-1841	vkorakala	_	_	_	_	
1-315	1842-1843	v	_	_	_	_	
1-316	1844-1853	Auschwitz	LOC	1 - Zelo negativno	*->10-4	*[10]	
1-317	1854-1856	in	_	_	_	_	
1-318	1857-1867	osvobodila	_	_	_	_	
1-319	1868-1871	več	_	_	_	_	
1-320	1872-1875	kot	_	_	_	_	
1-321	1876-1881	7.000	_	_	_	_	
1-322	1882-1892	zapornikov	_	_	_	_	
1-323	1893-1894	,	_	_	_	_	
1-324	1895-1898	med	_	_	_	_	
1-325	1899-1904	njimi	_	_	_	_	
1-326	1905-1909	tudi	_	_	_	_	
1-327	1910-1912	21	_	_	_	_	
1-328	1913-1920	Slovenk	PER	3 - Nevtralno	*->14-1	*[14]	
1-329	1921-1922	.	_	_	_	_	
1-330	1923-1928	Mnogi	_	_	_	_	
1-331	1929-1931	so	_	_	_	_	
1-332	1932-1936	nato	_	_	_	_	
1-333	1937-1942	odšli	_	_	_	_	
1-334	1943-1944	v	_	_	_	_	
1-335	1945-1951	Izrael	LOC	3 - Nevtralno	*->12-2	*[12]	
1-336	1952-1953	,	_	_	_	_	
1-337	1954-1959	drugi	_	_	_	_	
1-338	1960-1961	v	_	_	_	_	
1-339	1962-1965	ZDA	LOC	3 - Nevtralno	*->13-2	*[13]	
1-340	1966-1967	,	_	_	_	_	
1-341	1968-1974	tretji	_	_	_	_	
1-342	1975-1977	pa	_	_	_	_	
1-343	1978-1979	v	_	_	_	_	
1-344	1980-1988	sosednje	_	_	_	_	
1-345	1989-1995	države	_	_	_	_	
1-346	1996-1997	.	_	_	_	_	
1-347	1998-2005	Nacizem	_	_	_	_	
1-348	2006-2008	je	_	_	_	_	
1-349	2009-2010	v	_	_	_	_	
1-350	2011-2020	Sloveniji	LOC	3 - Nevtralno	*->6-4	*[6]	
1-351	2021-2027	pustil	_	_	_	_	
1-352	2028-2032	zelo	_	_	_	_	
1-353	2033-2038	močen	_	_	_	_	
1-354	2039-2044	pečat	_	_	_	_	
1-355	2045-2047	in	_	_	_	_	
1-356	2048-2056	številni	_	_	_	_	
1-357	2057-2059	se	_	_	_	_	
1-358	2060-2064	niso	_	_	_	_	
1-359	2065-2071	želeli	_	_	_	_	
1-360	2072-2078	vrniti	_	_	_	_	
1-361	2079-2084	domov	_	_	_	_	
1-362	2085-2086	.	_	_	_	_	
1-363	2087-2090	Ena	_	_	*->15-1	*[15]	
1-364	2091-2097	redkih	_	_	*->15-1	*[15]	
1-365	2098-2099	,	_	_	*->15-1	*[15]	
1-366	2100-2102	ki	_	_	*->15-1	*[15]	
1-367	2103-2105	pa	_	_	*->15-1	*[15]	
1-368	2106-2108	se	_	_	*->15-1	*[15]	
1-369	2109-2111	je	_	_	*->15-1	*[15]	
1-370	2112-2120	odločila	_	_	*->15-1	*[15]	
1-371	2121-2123	za	_	_	*->15-1	*[15]	
1-372	2124-2131	vrnitev	_	_	*->15-1	*[15]	
1-373	2132-2133	v	_	_	*->15-1	*[15]	
1-374	2134-2140	Mursko	LOC[6]	3 - Nevtralno[13]	*->15-1|*->16-1	*[15]|*[16]	
1-375	2141-2147	Soboto	LOC[6]	3 - Nevtralno[13]	*->15-1|*->16-1	*[15]|*[16]	
1-376	2148-2149	,	_	_	_	_	
1-377	2150-2152	je	_	_	_	_	
1-378	2153-2158	Erika	PER[7]	_	*->15-2	*[15]	
1-379	2159-2164	Fürst	PER[7]	_	*->15-2	*[15]	
1-380	2165-2166	.	_	_	_	_	
1-381	2167-2169	Ob	_	_	_	_	
1-382	2170-2177	prihodu	_	_	_	_	
1-383	2178-2179	v	_	_	_	_	
1-384	2180-2189	taborišče	_	_	_	_	
1-385	2190-2192	je	_	_	*->15-3	*[15]	
1-386	2193-2197	bila	_	_	*->15-3	*[15]	
1-387	2198-2203	stara	_	_	*->15-3	*[15]	
1-388	2204-2206	13	_	_	_	_	
1-389	2207-2210	let	_	_	_	_	
1-390	2211-2212	,	_	_	_	_	
1-391	2213-2219	rešila	_	_	_	_	
1-392	2220-2222	pa	_	_	_	_	
1-393	2223-2225	se	_	_	_	_	
1-394	2226-2228	je	_	_	_	_	
1-395	2229-2230	z	_	_	_	_	
1-396	2231-2239	laganjem	_	_	_	_	
1-397	2240-2251	zloglasnemu	_	_	*->17-1	*[17]	
1-398	2252-2261	zdravniku	_	_	*->17-1	*[17]	
1-399	2262-2269	Josephu	PER[8]	_	*->17-1	*[17]	
1-400	2270-2279	Mengeleju	PER[8]	_	*->17-1	*[17]	
1-401	2280-2281	,	_	_	_	_	
1-402	2282-2289	znanemu	_	_	_	_	
1-403	2290-2294	tudi	_	_	_	_	
1-404	2295-2298	kot	_	_	_	_	
1-405	2299-2305	Angelu	_	1 - Zelo negativno[14]	*->17-2	*[17]	
1-406	2306-2311	smrti	_	1 - Zelo negativno[14]	*->17-2	*[17]	
1-407	2312-2313	.	_	_	_	_	
1-408	2314-2316	Če	_	_	_	_	
1-409	2317-2325	Fürstova	PER	_	*->15-4	*[15]	
1-410	2326-2328	ne	_	_	_	_	
1-411	2329-2331	bi	_	_	_	_	
1-412	2332-2337	rekla	_	_	_	_	
1-413	2338-2339	,	_	_	_	_	
1-414	2340-2342	da	_	_	_	_	
1-415	2343-2345	je	_	_	_	_	
1-416	2346-2351	nekaj	_	_	_	_	
1-417	2352-2355	let	_	_	_	_	
1-418	2356-2364	starejša	_	_	_	_	
1-419	2365-2366	,	_	_	_	_	
1-420	2367-2369	se	_	_	_	_	
1-421	2370-2375	smrti	_	_	_	_	
1-422	2376-2378	ne	_	_	_	_	
1-423	2379-2381	bi	_	_	_	_	
1-424	2382-2387	mogla	_	_	_	_	
1-425	2388-2396	izogniti	_	_	_	_	
1-426	2397-2398	.	_	_	_	_	
1-427	2399-2404	Danes	_	_	_	_	
1-428	2405-2407	bo	_	_	_	_	
1-429	2408-2413	svojo	_	_	_	_	
1-430	2414-2420	zgodbo	_	_	_	_	
1-431	2421-2432	predstavila	_	3 - Nevtralno	*->15-5	*[15]	
1-432	2433-2437	tudi	_	_	_	_	
1-433	2438-2450	obiskovalcem	_	_	_	_	
1-434	2451-2459	razstave	_	_	_	_	
1-435	2460-2462	in	_	_	_	_	
1-436	2463-2474	slovesnosti	_	_	_	_	
1-437	2475-2476	v	_	_	_	_	
1-438	2477-2485	Sinagogi	_	_	_	_	
1-439	2486-2493	Maribor	LOC	_	*->5-2	*[5]	
1-440	2494-2495	.	_	_	_	_	
1-441	2496-2498	Ob	_	_	_	_	
1-442	2499-2504	dnevu	_	_	_	_	
1-443	2505-2512	spomina	_	_	_	_	
1-444	2513-2515	na	_	_	_	_	
1-445	2516-2521	žrtve	_	_	_	_	
1-446	2522-2532	holokavsta	_	_	_	_	
1-447	2533-2536	smo	_	_	_	_	
1-448	2537-2539	se	_	_	_	_	
1-449	2540-2551	pogovarjali	_	_	_	_	
1-450	2552-2553	z	_	_	_	_	
1-451	2554-2559	vodjo	_	_	*->18-1	*[18]	
1-452	2560-2568	Sinagoge	_	_	*->18-1	*[18]	
1-453	2569-2576	Maribor	LOC	3 - Nevtralno	*->18-1|*->5-3	*[18]|*[5]	
1-454	2577-2578	,	_	_	_	_	
1-455	2579-2587	Marjanom	PER[9]	_	*->18-2	*[18]	
1-456	2588-2593	Tošem	PER[9]	_	*->18-2	*[18]	
1-457	2594-2595	.	_	_	_	_	
1-458	2596-2605	Slovenska	_	_	_	_	
1-459	2606-2614	judovska	_	_	_	_	
1-460	2615-2623	skupnost	_	_	_	_	
1-461	2624-2626	si	_	_	_	_	
1-462	2627-2629	ni	_	_	_	_	
1-463	2630-2636	nikoli	_	_	_	_	
1-464	2637-2645	opomogla	_	_	_	_	
