#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=RTV Slovenija je nocoj v okviru dobrodelne akcije Stopimo skupaj , pomagajmo žrtvam poplav zbrala 582.000 evrov . Zbrana sredstva bo nacionalna televizija namenila za pomoč žrtvam novembrskih poplav . Osrednji dogodek akcije je bila nocojšnja posebna oddaja , ki bo potekala v živo iz studia Televizije Slovenija , začela pa se je ob 20 . uri in sedem minut . Oddaja je bila sestavljena iz prispevkov novinarjev in dopisnikov RTVS z najbolj prizadetih območij in pogovora z različnimi gosti , ki so vključeni v saniranje škode in reševanje ljudi ter premoženja ob poplavah . V oddaji je sodeloval tudi Simfonični orkester RTVS s Tinkaro Kovač , Nušo Derenda , Darjo Švajger , Eroiko , Janom Plestenjakom , ansamblom Franca Miheliča , otroškim pevskim zborom RTV SLO in drugimi imeni slovenske glasbe , so sporočili iz RTVS . Voditelji osrednje oddaje so bili Slavko Bobovnik , Jasmina Jamnik in Jelena Aščić . Za žrtve poplav Novembrske poplave so najbolj prizadele Štajersko , Koroško , Posavje in Posočje . Voda je zalila številne stavbe – poškodovanih naj bi bilo nekaj tisoč stanovanjskih in poslovnih objektov – in ceste ter sprožila vrsto plazov . Za pomoč prizadetim so se po poplavah med drugim odločili Slovenska karitas , Rdeči križ Slovenije in poslanske skupine
1-1	0-3	RTV	ORG[1]	_	*->8-1	*[8]	
1-109	650-657	Derenda	PER[8]	3 - Nevtralno[24]	*->2-1	*[2]	
1-110	658-659	,	_	_	_	_	
1-111	660-665	Darjo	PER[9]	3 - Nevtralno[25]	*->3-1	*[3]	
1-112	666-673	Švajger	PER[9]	3 - Nevtralno[25]	*->3-1	*[3]	
1-113	674-675	,	_	_	_	_	
1-114	676-682	Eroiko	ORG	3 - Nevtralno	*->4-1	*[4]	
1-115	683-684	,	_	_	_	_	
1-116	685-690	Janom	PER[10]	3 - Nevtralno[26]	*->5-1	*[5]	
1-117	691-703	Plestenjakom	PER[10]	3 - Nevtralno[26]	*->5-1	*[5]	
1-118	704-705	,	_	_	_	_	
1-119	706-715	ansamblom	ORG[11]	3 - Nevtralno[27]	*->6-1	*[6]	
1-120	716-722	Franca	ORG[11]|PER[12]	3 - Nevtralno[27]|3 - Nevtralno[28]	*->6-1|*->7-1	*[6]|*[7]	
1-121	723-731	Miheliča	ORG[11]|PER[12]	3 - Nevtralno[27]|3 - Nevtralno[28]	*->6-1|*->7-1	*[6]|*[7]	
1-122	732-733	,	_	_	_	_	
1-123	734-742	otroškim	ORG[13]	3 - Nevtralno[29]	*->18-1	*[18]	
1-124	743-750	pevskim	ORG[13]	3 - Nevtralno[29]	*->18-1	*[18]	
1-125	751-757	zborom	ORG[13]	3 - Nevtralno[29]	*->18-1	*[18]	
1-126	758-761	RTV	ORG[13]|ORG[14]	3 - Nevtralno[29]	*->18-1|*->8-6	*[18]|*[8]	
1-127	762-765	SLO	ORG[13]|ORG[14]	3 - Nevtralno[29]	*->18-1|*->8-6	*[18]|*[8]	
1-128	766-768	in	_	_	_	_	
1-129	769-776	drugimi	_	_	_	_	
1-130	777-782	imeni	_	_	_	_	
1-131	783-792	slovenske	_	_	_	_	
1-132	793-799	glasbe	_	_	_	_	
1-133	800-801	,	_	_	_	_	
1-134	802-804	so	_	_	_	_	
1-135	805-814	sporočili	_	_	_	_	
1-136	815-817	iz	_	_	_	_	
1-137	818-822	RTVS	ORG	3 - Nevtralno	*->8-7	*[8]	
1-138	823-824	.	_	_	_	_	
1-139	825-834	Voditelji	_	_	_	_	
1-140	835-843	osrednje	_	_	_	_	
1-141	844-850	oddaje	_	_	_	_	
1-142	851-853	so	_	_	_	_	
1-143	854-858	bili	_	_	_	_	
1-144	859-865	Slavko	PER[15]	3 - Nevtralno[30]	*->9-1	*[9]	
1-145	866-874	Bobovnik	PER[15]	3 - Nevtralno[30]	*->9-1	*[9]	
1-146	875-876	,	_	_	_	_	
1-147	877-884	Jasmina	PER[16]	3 - Nevtralno[31]	*->10-1	*[10]	
1-148	885-891	Jamnik	PER[16]	3 - Nevtralno[31]	*->10-1	*[10]	
1-149	892-894	in	_	_	_	_	
1-150	895-901	Jelena	PER[17]	3 - Nevtralno[32]	*->11-1	*[11]	
1-151	902-907	Aščić	PER[17]	3 - Nevtralno[32]	*->11-1	*[11]	
1-152	908-909	.	_	_	_	_	
1-153	910-912	Za	_	_	_	_	
1-154	913-918	žrtve	_	_	_	_	
1-155	919-925	poplav	_	_	_	_	
1-156	926-936	Novembrske	_	_	_	_	
1-157	937-944	poplave	_	_	_	_	
1-158	945-947	so	_	_	_	_	
1-159	948-955	najbolj	_	_	_	_	
1-160	956-965	prizadele	_	_	_	_	
1-161	966-975	Štajersko	LOC	3 - Nevtralno	*->12-1	*[12]	
1-162	976-977	,	_	_	_	_	
1-163	978-985	Koroško	LOC	3 - Nevtralno	*->13-1	*[13]	
1-164	986-987	,	_	_	_	_	
1-165	988-995	Posavje	LOC	3 - Nevtralno	*->14-1	*[14]	
1-166	996-998	in	_	_	_	_	
1-167	999-1006	Posočje	LOC	3 - Nevtralno	*->15-1	*[15]	
1-168	1007-1008	.	_	_	_	_	
1-169	1009-1013	Voda	_	_	_	_	
1-170	1014-1016	je	_	_	_	_	
1-171	1017-1023	zalila	_	_	_	_	
1-172	1024-1032	številne	_	_	_	_	
1-173	1033-1039	stavbe	_	_	_	_	
1-174	1040-1041	–	_	_	_	_	
1-175	1042-1054	poškodovanih	_	_	_	_	
1-176	1055-1058	naj	_	_	_	_	
1-177	1059-1061	bi	_	_	_	_	
1-178	1062-1066	bilo	_	_	_	_	
1-179	1067-1072	nekaj	_	_	_	_	
1-180	1073-1078	tisoč	_	_	_	_	
1-181	1079-1092	stanovanjskih	_	_	_	_	
1-182	1093-1095	in	_	_	_	_	
1-183	1096-1105	poslovnih	_	_	_	_	
1-184	1106-1114	objektov	_	_	_	_	
1-185	1115-1116	–	_	_	_	_	
1-186	1117-1119	in	_	_	_	_	
1-187	1120-1125	ceste	_	_	_	_	
1-188	1126-1129	ter	_	_	_	_	
1-189	1130-1138	sprožila	_	_	_	_	
1-190	1139-1144	vrsto	_	_	_	_	
1-191	1145-1151	plazov	_	_	_	_	
1-192	1152-1153	.	_	_	_	_	
1-193	1154-1156	Za	_	_	_	_	
1-194	1157-1162	pomoč	_	_	_	_	
1-195	1163-1173	prizadetim	_	_	_	_	
1-196	1174-1176	so	_	_	_	_	
1-197	1177-1179	se	_	_	_	_	
1-198	1180-1182	po	_	_	_	_	
1-199	1183-1191	poplavah	_	_	_	_	
1-200	1192-1195	med	_	_	_	_	
1-201	1196-1202	drugim	_	_	_	_	
1-202	1203-1211	odločili	_	_	_	_	
1-203	1212-1221	Slovenska	ORG[18]|LOC[19]	4 - Pozitivno[33]	*->19-1|*->20-3	*[19]|*[20]	
1-204	1222-1229	karitas	ORG[18]	4 - Pozitivno[33]	*->19-1	*[19]	
1-205	1230-1231	,	_	_	_	_	
1-206	1232-1237	Rdeči	ORG[20]	4 - Pozitivno[34]	*->16-1	*[16]	
1-207	1238-1242	križ	ORG[20]	4 - Pozitivno[34]	*->16-1	*[16]	
1-208	1243-1252	Slovenije	ORG[20]|LOC[21]	4 - Pozitivno[34]|3 - Nevtralno[35]	*->16-1|*->20-4	*[16]|*[20]	
1-209	1253-1255	in	_	_	_	_	
1-210	1256-1265	poslanske	_	_	_	_	
1-211	1266-1273	skupine	_	_	_	_	
