#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ljubljana - Če bosta Kapitalska družba ( Kad ) in Slovenska odškodninska družba ( Sod ) ostali lastnici vseh svojih naložb , skoraj stotih , oziroma jima jih ne bo treba v nekaj letih prodati , pa bo nadzor nad tistimi najpomembnejšimi prevzela nova agencija , ki bo upravljala državne naložbe . Po tem , ko je ministrstvo za finance pod vodstvom Franca Križaniča iz zakona o njunem preoblikovanju črtalo seznam strateških naložb , še ni povsem jasno , katere naložbe se bodo pridružile NLB , Luki Koper in Zavarovalnici Triglav , a je mogoče iz pojasnil državne sekretarke na ministrstvu Helene Kamnar sklepati , da se lahko njihovo število povzpne tudi na deset . Kad in Sod po uveljavitvi zakona namreč ne bosta smela več razpolagati z nobeno kapitalsko naložbo , ki velja za strateško oziroma njena skupna knjigovodska vrednost presega 40 milijonov evrov , je včeraj po tem , ko ga je sprejela vlada , povedala Kamnarjeva . Strateške naložbe so opredeljene kot tiste , kjer imata družbi pristojnost imenovanja nadzornikov in sodelovanja pri imenovanju uprav . " Običajno so to deleži nad 25 odstotkov , da pa bi se izognili izigravanju , je predviden tudi nominalni prag , " je pojasnila . Vseeno pa bo to določeno šele z dokumenti , ki urejajo upravljanje kapitalskih naložb , oziroma bo ta seznam pripravila agencija . Čeprav je v zakonu o preoblikovanju skladov še nejasno , kako izračunati knjigovodsko vrednost , pa bodo med naložbami , s katerimi bo upravljala agencija , skoraj zagotovo delnice Krke , Telekoma Slovenije , NLB , Petrola , Gorenja , NKBM , Zavarovalnice Triglav in Luke Koper . Da bi za strateške označili vse naložbe , kjer Kad in Sod presegata 25 odstotkov , je bolj malo verjetno , saj bi potemtakem agencija prevzela v upravljanje Savo , Pozavarovalnico Savo , Cinkarno Celje , Slovenijales , Žito , PDP ter vsaj še igralniške družbe ( Hit , Loterija Slovenije , Casino Bled , Casino Ljubljana , Casino Portorož ) . Premier Borut Pahor je včeraj ponovil svoje stališče , da mora vlada zelo premišljeno odločiti , katera finančna institucija oziroma gospodarska družba mora ostati v lasti države . tomaz.modic @
1-1	0-9	Ljubljana	LOC	_	*->1-1	*[1]	
1-54	299-302	tem	_	_	_	_	
1-55	303-304	,	_	_	_	_	
1-56	305-307	ko	_	_	_	_	
1-57	308-310	je	_	_	_	_	
1-58	311-322	ministrstvo	_	_	_	_	
1-59	323-325	za	_	_	_	_	
1-60	326-333	finance	_	_	_	_	
1-61	334-337	pod	_	_	_	_	
1-62	338-346	vodstvom	_	_	_	_	
1-63	347-353	Franca	PER[3]	3 - Nevtralno[27]	*->4-1	*[4]	
1-64	354-363	Križaniča	PER[3]	3 - Nevtralno[27]	*->4-1	*[4]	
1-65	364-366	iz	_	_	_	_	
1-66	367-373	zakona	_	_	_	_	
1-67	374-375	o	_	_	_	_	
1-68	376-382	njunem	_	_	_	_	
1-69	383-397	preoblikovanju	_	_	_	_	
1-70	398-404	črtalo	_	_	_	_	
1-71	405-411	seznam	_	_	_	_	
1-72	412-422	strateških	_	_	_	_	
1-73	423-429	naložb	_	_	_	_	
1-74	430-431	,	_	_	_	_	
1-75	432-434	še	_	_	_	_	
1-76	435-437	ni	_	_	_	_	
1-77	438-444	povsem	_	_	_	_	
1-78	445-450	jasno	_	_	_	_	
1-79	451-452	,	_	_	_	_	
1-80	453-459	katere	_	_	_	_	
1-81	460-467	naložbe	_	_	_	_	
1-82	468-470	se	_	_	_	_	
1-83	471-475	bodo	_	_	_	_	
1-84	476-486	pridružile	_	_	_	_	
1-85	487-490	NLB	ORG	_	*->5-1	*[5]	
1-86	491-492	,	_	_	_	_	
1-87	493-497	Luki	ORG[4]	_	*->6-1	*[6]	
1-88	498-503	Koper	ORG[4]|LOC[5]	_	*->6-1|*->7-1	*[6]|*[7]	
1-89	504-506	in	_	_	_	_	
1-90	507-520	Zavarovalnici	ORG[6]	_	*->8-1	*[8]	
1-91	521-528	Triglav	ORG[6]|LOC[7]	_	*->8-1|*->9-1	*[8]|*[9]	
1-92	529-530	,	_	_	_	_	
1-93	531-532	a	_	_	_	_	
1-94	533-535	je	_	_	_	_	
1-95	536-542	mogoče	_	_	_	_	
1-96	543-545	iz	_	_	_	_	
1-97	546-554	pojasnil	_	_	_	_	
1-98	555-562	državne	_	_	*->10-1	*[10]	
1-99	563-573	sekretarke	_	_	*->10-1	*[10]	
1-100	574-576	na	_	_	*->10-1	*[10]	
1-101	577-588	ministrstvu	_	_	*->10-1	*[10]	
1-102	589-595	Helene	PER[8]	_	*->10-1	*[10]	
1-103	596-602	Kamnar	PER[8]	_	*->10-1	*[10]	
1-104	603-611	sklepati	_	_	_	_	
1-105	612-613	,	_	_	_	_	
1-106	614-616	da	_	_	_	_	
1-107	617-619	se	_	_	_	_	
1-108	620-625	lahko	_	_	_	_	
1-109	626-633	njihovo	_	_	_	_	
1-110	634-641	število	_	_	_	_	
1-111	642-649	povzpne	_	_	_	_	
1-112	650-654	tudi	_	_	_	_	
1-113	655-657	na	_	_	_	_	
1-114	658-663	deset	_	_	_	_	
1-115	664-665	.	_	_	_	_	
1-116	666-669	Kad	ORG	_	*->2-3	*[2]	
1-117	670-672	in	_	_	_	_	
1-118	673-676	Sod	ORG	_	*->3-3	*[3]	
1-119	677-679	po	_	_	_	_	
1-120	680-691	uveljavitvi	_	_	_	_	
1-121	692-698	zakona	_	_	_	_	
1-122	699-705	namreč	_	_	_	_	
1-123	706-708	ne	_	_	_	_	
1-124	709-714	bosta	_	_	_	_	
1-125	715-720	smela	_	_	_	_	
1-126	721-724	več	_	_	_	_	
1-127	725-736	razpolagati	_	_	_	_	
1-128	737-738	z	_	_	_	_	
1-129	739-745	nobeno	_	_	_	_	
1-130	746-756	kapitalsko	_	_	_	_	
1-131	757-764	naložbo	_	_	_	_	
1-132	765-766	,	_	_	_	_	
1-133	767-769	ki	_	_	_	_	
1-134	770-775	velja	_	_	_	_	
1-135	776-778	za	_	_	_	_	
1-136	779-788	strateško	_	_	_	_	
1-137	789-796	oziroma	_	_	_	_	
1-138	797-802	njena	_	_	_	_	
1-139	803-809	skupna	_	_	_	_	
1-140	810-822	knjigovodska	_	_	_	_	
1-141	823-831	vrednost	_	_	_	_	
1-142	832-839	presega	_	_	_	_	
1-143	840-842	40	_	_	_	_	
1-144	843-852	milijonov	_	_	_	_	
1-145	853-858	evrov	_	_	_	_	
1-146	859-860	,	_	_	_	_	
1-147	861-863	je	_	_	_	_	
1-148	864-870	včeraj	_	_	_	_	
1-149	871-873	po	_	_	_	_	
1-150	874-877	tem	_	_	_	_	
1-151	878-879	,	_	_	_	_	
1-152	880-882	ko	_	_	_	_	
1-153	883-885	ga	_	_	_	_	
1-154	886-888	je	_	_	_	_	
1-155	889-897	sprejela	_	_	_	_	
1-156	898-903	vlada	_	_	_	_	
1-157	904-905	,	_	_	_	_	
1-158	906-914	povedala	_	_	_	_	
1-159	915-925	Kamnarjeva	PER	_	*->10-2	*[10]	
1-160	926-927	.	_	_	_	_	
1-161	928-937	Strateške	_	_	_	_	
1-162	938-945	naložbe	_	_	_	_	
1-163	946-948	so	_	_	_	_	
1-164	949-960	opredeljene	_	_	_	_	
1-165	961-964	kot	_	_	_	_	
1-166	965-970	tiste	_	_	_	_	
1-167	971-972	,	_	_	_	_	
1-168	973-977	kjer	_	_	_	_	
1-169	978-983	imata	_	_	_	_	
1-170	984-990	družbi	_	_	_	_	
1-171	991-1002	pristojnost	_	_	_	_	
1-172	1003-1013	imenovanja	_	_	_	_	
1-173	1014-1025	nadzornikov	_	_	_	_	
1-174	1026-1028	in	_	_	_	_	
1-175	1029-1040	sodelovanja	_	_	_	_	
1-176	1041-1044	pri	_	_	_	_	
1-177	1045-1055	imenovanju	_	_	_	_	
1-178	1056-1061	uprav	_	_	_	_	
1-179	1062-1063	.	_	_	_	_	
1-180	1064-1065	"	_	_	_	_	
1-181	1066-1074	Običajno	_	_	_	_	
1-182	1075-1077	so	_	_	_	_	
1-183	1078-1080	to	_	_	_	_	
1-184	1081-1087	deleži	_	_	_	_	
1-185	1088-1091	nad	_	_	_	_	
1-186	1092-1094	25	_	_	_	_	
1-187	1095-1104	odstotkov	_	_	_	_	
1-188	1105-1106	,	_	_	_	_	
1-189	1107-1109	da	_	_	_	_	
1-190	1110-1112	pa	_	_	_	_	
1-191	1113-1115	bi	_	_	_	_	
1-192	1116-1118	se	_	_	_	_	
1-193	1119-1127	izognili	_	_	_	_	
1-194	1128-1139	izigravanju	_	_	_	_	
1-195	1140-1141	,	_	_	_	_	
1-196	1142-1144	je	_	_	_	_	
1-197	1145-1154	predviden	_	_	_	_	
1-198	1155-1159	tudi	_	_	_	_	
1-199	1160-1169	nominalni	_	_	_	_	
1-200	1170-1174	prag	_	_	_	_	
1-201	1175-1176	,	_	_	_	_	
1-202	1177-1178	"	_	_	_	_	
1-203	1179-1181	je	_	3 - Nevtralno[28]	*->10-3	*[10]	
1-204	1182-1191	pojasnila	_	3 - Nevtralno[28]	*->10-3	*[10]	
1-205	1192-1193	.	_	_	_	_	
1-206	1194-1200	Vseeno	_	_	_	_	
1-207	1201-1203	pa	_	_	_	_	
1-208	1204-1206	bo	_	_	_	_	
1-209	1207-1209	to	_	_	_	_	
1-210	1210-1218	določeno	_	_	_	_	
1-211	1219-1223	šele	_	_	_	_	
1-212	1224-1225	z	_	_	_	_	
1-213	1226-1235	dokumenti	_	_	_	_	
1-214	1236-1237	,	_	_	_	_	
1-215	1238-1240	ki	_	_	_	_	
1-216	1241-1248	urejajo	_	_	_	_	
1-217	1249-1260	upravljanje	_	_	_	_	
1-218	1261-1272	kapitalskih	_	_	_	_	
1-219	1273-1279	naložb	_	_	_	_	
1-220	1280-1281	,	_	_	_	_	
1-221	1282-1289	oziroma	_	_	_	_	
1-222	1290-1292	bo	_	_	_	_	
1-223	1293-1295	ta	_	_	_	_	
1-224	1296-1302	seznam	_	_	_	_	
1-225	1303-1313	pripravila	_	_	_	_	
1-226	1314-1322	agencija	_	_	_	_	
1-227	1323-1324	.	_	_	_	_	
1-228	1325-1331	Čeprav	_	_	_	_	
1-229	1332-1334	je	_	_	_	_	
1-230	1335-1336	v	_	_	_	_	
1-231	1337-1343	zakonu	_	_	_	_	
1-232	1344-1345	o	_	_	_	_	
1-233	1346-1360	preoblikovanju	_	_	_	_	
1-234	1361-1368	skladov	_	_	_	_	
1-235	1369-1371	še	_	_	_	_	
1-236	1372-1379	nejasno	_	_	_	_	
1-237	1380-1381	,	_	_	_	_	
1-238	1382-1386	kako	_	_	_	_	
1-239	1387-1397	izračunati	_	_	_	_	
1-240	1398-1410	knjigovodsko	_	_	_	_	
1-241	1411-1419	vrednost	_	_	_	_	
1-242	1420-1421	,	_	_	_	_	
1-243	1422-1424	pa	_	_	_	_	
1-244	1425-1429	bodo	_	_	_	_	
1-245	1430-1433	med	_	_	_	_	
1-246	1434-1443	naložbami	_	_	_	_	
1-247	1444-1445	,	_	_	_	_	
1-248	1446-1447	s	_	_	_	_	
1-249	1448-1456	katerimi	_	_	_	_	
1-250	1457-1459	bo	_	_	_	_	
1-251	1460-1470	upravljala	_	_	_	_	
1-252	1471-1479	agencija	_	_	_	_	
1-253	1480-1481	,	_	_	_	_	
1-254	1482-1488	skoraj	_	_	_	_	
1-255	1489-1497	zagotovo	_	_	_	_	
1-256	1498-1505	delnice	_	_	_	_	
1-257	1506-1510	Krke	ORG	3 - Nevtralno	*->11-1	*[11]	
1-258	1511-1512	,	_	_	_	_	
1-259	1513-1521	Telekoma	ORG[9]	_	*->12-1	*[12]	
1-260	1522-1531	Slovenije	ORG[9]|LOC[10]	_	*->12-1|*->13-1	*[12]|*[13]	
1-261	1532-1533	,	_	_	_	_	
1-262	1534-1537	NLB	ORG	3 - Nevtralno	*->5-2	*[5]	
1-263	1538-1539	,	_	_	_	_	
1-264	1540-1547	Petrola	ORG	3 - Nevtralno	*->14-1	*[14]	
1-265	1548-1549	,	_	_	_	_	
1-266	1550-1557	Gorenja	ORG	3 - Nevtralno	*->15-1	*[15]	
1-267	1558-1559	,	_	_	_	_	
1-268	1560-1564	NKBM	ORG	3 - Nevtralno	*->16-1	*[16]	
1-269	1565-1566	,	_	_	_	_	
1-270	1567-1580	Zavarovalnice	ORG[11]	3 - Nevtralno[29]	*->8-2	*[8]	
1-271	1581-1588	Triglav	ORG[11]|LOC[12]	3 - Nevtralno[29]|3 - Nevtralno[30]	*->8-2|*->9-2	*[8]|*[9]	
1-272	1589-1591	in	_	_	_	_	
1-273	1592-1596	Luke	ORG[13]	3 - Nevtralno[31]	*->6-2	*[6]	
1-274	1597-1602	Koper	ORG[13]|LOC[14]	3 - Nevtralno[31]|3 - Nevtralno[32]	*->6-2|*->7-2	*[6]|*[7]	
1-275	1603-1604	.	_	_	_	_	
1-276	1605-1607	Da	_	_	_	_	
1-277	1608-1610	bi	_	_	_	_	
1-278	1611-1613	za	_	_	_	_	
1-279	1614-1623	strateške	_	_	_	_	
1-280	1624-1632	označili	_	_	_	_	
1-281	1633-1636	vse	_	_	_	_	
1-282	1637-1644	naložbe	_	_	_	_	
1-283	1645-1646	,	_	_	_	_	
1-284	1647-1651	kjer	_	_	_	_	
1-285	1652-1655	Kad	ORG	3 - Nevtralno	*->2-4	*[2]	
1-286	1656-1658	in	_	_	_	_	
1-287	1659-1662	Sod	ORG	3 - Nevtralno	*->3-4	*[3]	
1-288	1663-1672	presegata	_	_	_	_	
1-289	1673-1675	25	_	_	_	_	
1-290	1676-1685	odstotkov	_	_	_	_	
1-291	1686-1687	,	_	_	_	_	
1-292	1688-1690	je	_	_	_	_	
1-293	1691-1695	bolj	_	_	_	_	
1-294	1696-1700	malo	_	_	_	_	
1-295	1701-1709	verjetno	_	_	_	_	
1-296	1710-1711	,	_	_	_	_	
1-297	1712-1715	saj	_	_	_	_	
1-298	1716-1718	bi	_	_	_	_	
1-299	1719-1729	potemtakem	_	_	_	_	
1-300	1730-1738	agencija	_	_	_	_	
1-301	1739-1747	prevzela	_	_	_	_	
1-302	1748-1749	v	_	_	_	_	
1-303	1750-1761	upravljanje	_	_	_	_	
1-304	1762-1766	Savo	ORG	3 - Nevtralno	*->17-1	*[17]	
1-305	1767-1768	,	_	_	_	_	
1-306	1769-1784	Pozavarovalnico	ORG[15]	3 - Nevtralno[33]	*->18-1	*[18]	
1-307	1785-1789	Savo	ORG[15]	3 - Nevtralno[33]	*->18-1	*[18]	
1-308	1790-1791	,	_	_	_	_	
1-309	1792-1800	Cinkarno	ORG[16]	3 - Nevtralno[34]	*->19-1	*[19]	
1-310	1801-1806	Celje	ORG[16]|LOC[17]	3 - Nevtralno[34]|3 - Nevtralno[35]	*->19-1|*->20-1	*[19]|*[20]	
1-311	1807-1808	,	_	_	_	_	
1-312	1809-1821	Slovenijales	ORG	3 - Nevtralno	*->21-1	*[21]	
1-313	1822-1823	,	_	_	_	_	
1-314	1824-1828	Žito	ORG	3 - Nevtralno	*->22-1	*[22]	
1-315	1829-1830	,	_	_	_	_	
1-316	1831-1834	PDP	ORG	3 - Nevtralno	*->23-1	*[23]	
1-317	1835-1838	ter	_	_	_	_	
1-318	1839-1843	vsaj	_	_	_	_	
1-319	1844-1846	še	_	_	_	_	
1-320	1847-1857	igralniške	_	_	_	_	
1-321	1858-1864	družbe	_	_	_	_	
1-322	1865-1866	(	_	_	_	_	
1-323	1867-1870	Hit	ORG	3 - Nevtralno	*->24-1	*[24]	
1-324	1871-1872	,	_	_	_	_	
1-325	1873-1881	Loterija	ORG[18]	3 - Nevtralno[36]	*->25-1	*[25]	
1-326	1882-1891	Slovenije	ORG[18]|LOC[19]	3 - Nevtralno[36]	*->25-1|*->13-2	*[25]|*[13]	
1-327	1892-1893	,	_	_	_	_	
1-328	1894-1900	Casino	ORG[20]	3 - Nevtralno[37]	*->26-1	*[26]	
1-329	1901-1905	Bled	ORG[20]|LOC[21]	3 - Nevtralno[37]|3 - Nevtralno[38]	*->26-1|*->27-1	*[26]|*[27]	
1-330	1906-1907	,	_	_	_	_	
1-331	1908-1914	Casino	ORG[22]	3 - Nevtralno[39]	*->28-1	*[28]	
1-332	1915-1924	Ljubljana	ORG[22]|LOC[23]	3 - Nevtralno[39]|3 - Nevtralno[40]	*->28-1|*->1-2	*[28]|*[1]	
1-333	1925-1926	,	_	_	_	_	
1-334	1927-1933	Casino	ORG[24]	3 - Nevtralno[41]	*->30-1	*[30]	
1-335	1934-1942	Portorož	ORG[24]|LOC[25]	3 - Nevtralno[41]|3 - Nevtralno[42]	*->30-1|*->31-1	*[30]|*[31]	
1-336	1943-1944	)	_	_	_	_	
1-337	1945-1946	.	_	_	_	_	
1-338	1947-1954	Premier	_	3 - Nevtralno[43]	*->29-1	*[29]	
1-339	1955-1960	Borut	PER[26]	3 - Nevtralno[43]	*->29-1	*[29]	
1-340	1961-1966	Pahor	PER[26]	3 - Nevtralno[43]	*->29-1	*[29]	
1-341	1967-1969	je	_	_	_	_	
1-342	1970-1976	včeraj	_	_	_	_	
1-343	1977-1984	ponovil	_	_	_	_	
1-344	1985-1990	svoje	_	_	_	_	
1-345	1991-1999	stališče	_	_	_	_	
1-346	2000-2001	,	_	_	_	_	
1-347	2002-2004	da	_	_	_	_	
1-348	2005-2009	mora	_	_	_	_	
1-349	2010-2015	vlada	_	_	_	_	
1-350	2016-2020	zelo	_	_	_	_	
1-351	2021-2032	premišljeno	_	_	_	_	
1-352	2033-2041	odločiti	_	_	_	_	
1-353	2042-2043	,	_	_	_	_	
1-354	2044-2050	katera	_	_	_	_	
1-355	2051-2059	finančna	_	_	_	_	
1-356	2060-2071	institucija	_	_	_	_	
1-357	2072-2079	oziroma	_	_	_	_	
1-358	2080-2091	gospodarska	_	_	_	_	
1-359	2092-2098	družba	_	_	_	_	
1-360	2099-2103	mora	_	_	_	_	
1-361	2104-2110	ostati	_	_	_	_	
1-362	2111-2112	v	_	_	_	_	
1-363	2113-2118	lasti	_	_	_	_	
1-364	2119-2125	države	_	3 - Nevtralno	*->13-3	*[13]	
1-365	2126-2127	.	_	_	_	_	
1-366	2128-2139	tomaz.modic	_	_	_	_	
1-367	2140-2141	@	_	_	_	_	
