#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=IMF opozarja , da bi prenagljeni varčevalni ukrepi lahko škodili okrevanju gospodarstva . K varčevanju sta namreč znova pozvala Merklova in Sarkozy . Ker nista povedala nič novega , so se negativno odzvale tudi borze . Nemška kanclerka Angela Merkel in francoski predsednik Nicolas Sarkozy sta na torkovem srečanju glede gospodarskih razmer v evroobmočju marsikoga razočarala . Pozvala sta k resničnemu skupnemu gospodarskemu vladanju v evroobmočju , s katerim bi se zoperstavili dolžniški krizi v območju evra . To pomeni tudi bolj usklajene gospodarske in fiskalne politike , nadaljnja integracija pa bi bila po besedah Merklove proces korak za korakom . Sarkozy in Merklova sta razočarala , znova nista ponudila nič konkretnega za rešitev krize . Že med njuno novinarsko konferenco so se na njune pogovore negativno odzvali finančni trgi . Tako je na borzi v New Yorku že med novinarsko konferenco indeks Dow Jones padel za 1,3 odstotka . Po poročanju Reutersa naj bi bili ob začetku današnjega trgovanja na evropskih borzah priče do 0,8 - odstotnemu padcu vrednosti evra . Gre za to , da so investitorji od srečanja Merkel - Sarkozy pričakovali veliko več kot to , kar sta predstavila . Merklova znova ni pokazala nobenega navdušenja nad vpeljavo t . i . evroobveznic , torej skupnih garancij vseh 17 vlad v evroobmočju za dolgove kot rešitvijo za krizo . K tem se sicer najbolj nagibata italijanski finančni minister Giulio Tremonti in milijonar George Soros , ker naj bi s tem zagotovili poceni financiranje vlad v težavah in jih hkrati stimulirali , da spravijo svoje finance v red . Merklova pa takšno možnost vidi le kot sklepni del dolgotrajnega procesa vzpostavljanja fiskalne unije . Namesto tega je predlagala , da bi bile zahteve do članic evroobmočja , da morajo biti njihovi proračuni uravnoteženi , zapisane že v ustavah vseh držav članic . Spet bomo vzpostavili izgubljeno zaupanje , je dejala . Zato gremo v fazo nove kakovosti sodelovanja znotraj evroobmočja , je povedala . Voditelja Nemčije in Francije sta se zavzela tudi za uskladitev davčnih stopenj za korporacije znotraj evroobmočja , da bi tako povečali dobiček iz naslova davkov , čemur bi po poročanju BBC ostro nasprotovala najmanj Irska , kjer je ta davčna stopnja nizka . Mnogi ekonomisti tudi ostro kritizirajo nemško vztrajanje pri varčevalnih ukrepih v vseh državah evroobmočja , ker bi to po njihovem tudi precej spodkopalo gospodarsko okrevanje v teh državah . Nemčija in tudi Francija skupaj z Evropsko centralno banko močno pritiskata na tako imenovana obrobna gospodarstva , naj z varčevalnimi ukrepi uravnotežijo svoje proračune . Lagardova svari , da bi varčevalni ukrepi še dodatno škodovali gospodarstvu . Zategovanje pasov sicer ne uide tudi večjim gospodarstvom . Po varčevalnih ukrepih je že morala poseči Italija , pospešitev ukrepov pa je napovedala tudi Španija . Pred prenagljenim poseganjem po varčevalnih ukrepih pa je med drugimi posvarila tudi šefica Mednarodnega denarnega sklada IMF Christine Lagarde . Pravi , da lahko tako namreč države zapadejo še v globljo recesijo . Priznava , da je treba zniževati stopnje zadolženosti , vendar pa bi presunkovito zaviranje lahko škodilo okrevanju in poslabšalo možnosti za večanje stopnje zaposlovanja . Ob tem bi lahko tudi spodkopalo zaupanje mednarodnih vlagateljev
1-1	0-3	IMF	ORG	_	*->1-1	*[1]	
1-78	511-512	.	_	_	_	_	
1-79	513-515	To	_	_	_	_	
1-80	516-522	pomeni	_	_	_	_	
1-81	523-527	tudi	_	_	_	_	
1-82	528-532	bolj	_	_	_	_	
1-83	533-542	usklajene	_	_	_	_	
1-84	543-554	gospodarske	_	_	_	_	
1-85	555-557	in	_	_	_	_	
1-86	558-566	fiskalne	_	_	_	_	
1-87	567-575	politike	_	_	_	_	
1-88	576-577	,	_	_	_	_	
1-89	578-587	nadaljnja	_	_	_	_	
1-90	588-599	integracija	_	_	_	_	
1-91	600-602	pa	_	_	_	_	
1-92	603-605	bi	_	_	_	_	
1-93	606-610	bila	_	_	_	_	
1-94	611-613	po	_	_	_	_	
1-95	614-621	besedah	_	_	_	_	
1-96	622-630	Merklove	PER	_	*->8-3	*[8]	
1-97	631-637	proces	_	_	_	_	
1-98	638-643	korak	_	_	_	_	
1-99	644-646	za	_	_	_	_	
1-100	647-654	korakom	_	_	_	_	
1-101	655-656	.	_	_	_	_	
1-102	657-664	Sarkozy	PER	_	*->5-3	*[5]	
1-103	665-667	in	_	_	_	_	
1-104	668-676	Merklova	PER	_	*->8-4	*[8]	
1-105	677-680	sta	_	_	_	_	
1-106	681-691	razočarala	_	_	_	_	
1-107	692-693	,	_	_	_	_	
1-108	694-699	znova	_	_	_	_	
1-109	700-705	nista	_	_	_	_	
1-110	706-714	ponudila	_	_	_	_	
1-111	715-718	nič	_	_	_	_	
1-112	719-730	konkretnega	_	_	_	_	
1-113	731-733	za	_	_	_	_	
1-114	734-741	rešitev	_	_	_	_	
1-115	742-747	krize	_	_	_	_	
1-116	748-749	.	_	_	_	_	
1-117	750-752	Že	_	_	_	_	
1-118	753-756	med	_	_	_	_	
1-119	757-762	njuno	_	_	_	_	
1-120	763-773	novinarsko	_	_	_	_	
1-121	774-784	konferenco	_	_	_	_	
1-122	785-787	so	_	_	_	_	
1-123	788-790	se	_	_	_	_	
1-124	791-793	na	_	_	_	_	
1-125	794-799	njune	_	_	_	_	
1-126	800-808	pogovore	_	_	_	_	
1-127	809-818	negativno	_	_	_	_	
1-128	819-826	odzvali	_	_	_	_	
1-129	827-835	finančni	_	_	_	_	
1-130	836-840	trgi	_	_	_	_	
1-131	841-842	.	_	_	_	_	
1-132	843-847	Tako	_	_	_	_	
1-133	848-850	je	_	_	_	_	
1-134	851-853	na	_	_	_	_	
1-135	854-859	borzi	_	_	_	_	
1-136	860-861	v	_	_	_	_	
1-137	862-865	New	LOC[3]	3 - Nevtralno[9]	*->2-1	*[2]	
1-138	866-871	Yorku	LOC[3]	3 - Nevtralno[9]	*->2-1	*[2]	
1-139	872-874	že	_	_	_	_	
1-140	875-878	med	_	_	_	_	
1-141	879-889	novinarsko	_	_	_	_	
1-142	890-900	konferenco	_	_	_	_	
1-143	901-907	indeks	_	3 - Nevtralno[10]	*->3-1	*[3]	
1-144	908-911	Dow	ORG[4]	3 - Nevtralno[10]	*->3-1	*[3]	
1-145	912-917	Jones	ORG[4]	3 - Nevtralno[10]	*->3-1	*[3]	
1-146	918-923	padel	_	_	_	_	
1-147	924-926	za	_	_	_	_	
1-148	927-930	1,3	_	_	_	_	
1-149	931-939	odstotka	_	_	_	_	
1-150	940-941	.	_	_	_	_	
1-151	942-944	Po	_	_	_	_	
1-152	945-954	poročanju	_	_	_	_	
1-153	955-963	Reutersa	ORG	3 - Nevtralno	*->4-1	*[4]	
1-154	964-967	naj	_	_	_	_	
1-155	968-970	bi	_	_	_	_	
1-156	971-975	bili	_	_	_	_	
1-157	976-978	ob	_	_	_	_	
1-158	979-986	začetku	_	_	_	_	
1-159	987-997	današnjega	_	_	_	_	
1-160	998-1007	trgovanja	_	_	_	_	
1-161	1008-1010	na	_	_	_	_	
1-162	1011-1020	evropskih	_	_	_	_	
1-163	1021-1027	borzah	_	_	_	_	
1-164	1028-1033	priče	_	_	_	_	
1-165	1034-1036	do	_	_	_	_	
1-166	1037-1040	0,8	_	_	_	_	
1-167	1041-1042	-	_	_	_	_	
1-168	1043-1053	odstotnemu	_	_	_	_	
1-169	1054-1059	padcu	_	_	_	_	
1-170	1060-1069	vrednosti	_	_	_	_	
1-171	1070-1074	evra	_	_	_	_	
1-172	1075-1076	.	_	_	_	_	
1-173	1077-1080	Gre	_	_	_	_	
1-174	1081-1083	za	_	_	_	_	
1-175	1084-1086	to	_	_	_	_	
1-176	1087-1088	,	_	_	_	_	
1-177	1089-1091	da	_	_	_	_	
1-178	1092-1094	so	_	_	_	_	
1-179	1095-1107	investitorji	_	_	_	_	
1-180	1108-1110	od	_	_	_	_	
1-181	1111-1119	srečanja	_	_	_	_	
1-182	1120-1126	Merkel	PER	_	*->8-5	*[8]	
1-183	1127-1128	-	_	_	_	_	
1-184	1129-1136	Sarkozy	PER	2 - Negativno	*->5-4	*[5]	
1-185	1137-1148	pričakovali	_	_	_	_	
1-186	1149-1155	veliko	_	_	_	_	
1-187	1156-1159	več	_	_	_	_	
1-188	1160-1163	kot	_	_	_	_	
1-189	1164-1166	to	_	_	_	_	
1-190	1167-1168	,	_	_	_	_	
1-191	1169-1172	kar	_	_	_	_	
1-192	1173-1176	sta	_	_	_	_	
1-193	1177-1188	predstavila	_	_	_	_	
1-194	1189-1190	.	_	_	_	_	
1-195	1191-1199	Merklova	PER	_	*->8-6	*[8]	
1-196	1200-1205	znova	_	_	_	_	
1-197	1206-1208	ni	_	_	_	_	
1-198	1209-1217	pokazala	_	_	_	_	
1-199	1218-1226	nobenega	_	_	_	_	
1-200	1227-1237	navdušenja	_	_	_	_	
1-201	1238-1241	nad	_	_	_	_	
1-202	1242-1250	vpeljavo	_	_	_	_	
1-203	1251-1252	t	_	_	_	_	
1-204	1253-1254	.	_	_	_	_	
1-205	1255-1256	i	_	_	_	_	
1-206	1257-1258	.	_	_	_	_	
1-207	1259-1271	evroobveznic	_	_	_	_	
1-208	1272-1273	,	_	_	_	_	
1-209	1274-1279	torej	_	_	_	_	
1-210	1280-1287	skupnih	_	_	_	_	
1-211	1288-1296	garancij	_	_	_	_	
1-212	1297-1301	vseh	_	_	_	_	
1-213	1302-1304	17	_	_	_	_	
1-214	1305-1309	vlad	_	_	_	_	
1-215	1310-1311	v	_	_	_	_	
1-216	1312-1323	evroobmočju	_	_	_	_	
1-217	1324-1326	za	_	_	_	_	
1-218	1327-1334	dolgove	_	_	_	_	
1-219	1335-1338	kot	_	_	_	_	
1-220	1339-1348	rešitvijo	_	_	_	_	
1-221	1349-1351	za	_	_	_	_	
1-222	1352-1357	krizo	_	_	_	_	
1-223	1358-1359	.	_	_	_	_	
1-224	1360-1361	K	_	_	_	_	
1-225	1362-1365	tem	_	_	_	_	
1-226	1366-1368	se	_	_	_	_	
1-227	1369-1374	sicer	_	_	_	_	
1-228	1375-1382	najbolj	_	_	_	_	
1-229	1383-1391	nagibata	_	_	_	_	
1-230	1392-1403	italijanski	_	3 - Nevtralno[11]	*->6-1	*[6]	
1-231	1404-1412	finančni	_	3 - Nevtralno[11]	*->6-1	*[6]	
1-232	1413-1421	minister	_	3 - Nevtralno[11]	*->6-1	*[6]	
1-233	1422-1428	Giulio	PER[5]	3 - Nevtralno[11]	*->6-1	*[6]	
1-234	1429-1437	Tremonti	PER[5]	3 - Nevtralno[11]	*->6-1	*[6]	
1-235	1438-1440	in	_	_	_	_	
1-236	1441-1450	milijonar	_	3 - Nevtralno[12]	*->7-1	*[7]	
1-237	1451-1457	George	PER[6]	3 - Nevtralno[12]	*->7-1	*[7]	
1-238	1458-1463	Soros	PER[6]	3 - Nevtralno[12]	*->7-1	*[7]	
1-239	1464-1465	,	_	_	_	_	
1-240	1466-1469	ker	_	_	_	_	
1-241	1470-1473	naj	_	_	_	_	
1-242	1474-1476	bi	_	_	_	_	
1-243	1477-1478	s	_	_	_	_	
1-244	1479-1482	tem	_	_	_	_	
1-245	1483-1493	zagotovili	_	_	_	_	
1-246	1494-1500	poceni	_	_	_	_	
1-247	1501-1513	financiranje	_	_	_	_	
1-248	1514-1518	vlad	_	_	_	_	
1-249	1519-1520	v	_	_	_	_	
1-250	1521-1528	težavah	_	_	_	_	
1-251	1529-1531	in	_	_	_	_	
1-252	1532-1535	jih	_	_	_	_	
1-253	1536-1542	hkrati	_	_	_	_	
1-254	1543-1554	stimulirali	_	_	_	_	
1-255	1555-1556	,	_	_	_	_	
1-256	1557-1559	da	_	_	_	_	
1-257	1560-1568	spravijo	_	_	_	_	
1-258	1569-1574	svoje	_	_	_	_	
1-259	1575-1582	finance	_	_	_	_	
1-260	1583-1584	v	_	_	_	_	
1-261	1585-1588	red	_	_	_	_	
1-262	1589-1590	.	_	_	_	_	
1-263	1591-1599	Merklova	PER	_	*->8-7	*[8]	
1-264	1600-1602	pa	_	_	_	_	
1-265	1603-1609	takšno	_	_	_	_	
1-266	1610-1617	možnost	_	_	_	_	
1-267	1618-1622	vidi	_	_	_	_	
1-268	1623-1625	le	_	_	_	_	
1-269	1626-1629	kot	_	_	_	_	
1-270	1630-1637	sklepni	_	_	_	_	
1-271	1638-1641	del	_	_	_	_	
1-272	1642-1655	dolgotrajnega	_	_	_	_	
1-273	1656-1663	procesa	_	_	_	_	
1-274	1664-1678	vzpostavljanja	_	_	_	_	
1-275	1679-1687	fiskalne	_	_	_	_	
1-276	1688-1693	unije	_	_	_	_	
1-277	1694-1695	.	_	_	_	_	
1-278	1696-1703	Namesto	_	_	_	_	
1-279	1704-1708	tega	_	_	_	_	
1-280	1709-1711	je	_	_	*->8-8	*[8]	
1-281	1712-1722	predlagala	_	_	*->8-8	*[8]	
1-282	1723-1724	,	_	_	_	_	
1-283	1725-1727	da	_	_	_	_	
1-284	1728-1730	bi	_	_	_	_	
1-285	1731-1735	bile	_	_	_	_	
1-286	1736-1743	zahteve	_	_	_	_	
1-287	1744-1746	do	_	_	_	_	
1-288	1747-1753	članic	_	_	_	_	
1-289	1754-1765	evroobmočja	_	_	_	_	
1-290	1766-1767	,	_	_	_	_	
1-291	1768-1770	da	_	_	_	_	
1-292	1771-1777	morajo	_	_	_	_	
1-293	1778-1782	biti	_	_	_	_	
1-294	1783-1790	njihovi	_	_	_	_	
1-295	1791-1800	proračuni	_	_	_	_	
1-296	1801-1813	uravnoteženi	_	_	_	_	
1-297	1814-1815	,	_	_	_	_	
1-298	1816-1824	zapisane	_	_	_	_	
1-299	1825-1827	že	_	_	_	_	
1-300	1828-1829	v	_	_	_	_	
1-301	1830-1837	ustavah	_	_	_	_	
1-302	1838-1842	vseh	_	_	_	_	
1-303	1843-1848	držav	_	_	_	_	
1-304	1849-1855	članic	_	_	_	_	
1-305	1856-1857	.	_	_	_	_	
1-306	1858-1862	Spet	_	_	_	_	
1-307	1863-1867	bomo	_	_	_	_	
1-308	1868-1879	vzpostavili	_	_	_	_	
1-309	1880-1890	izgubljeno	_	_	_	_	
1-310	1891-1899	zaupanje	_	_	_	_	
1-311	1900-1901	,	_	_	_	_	
1-312	1902-1904	je	_	_	*->8-9	*[8]	
1-313	1905-1911	dejala	_	_	*->8-9	*[8]	
1-314	1912-1913	.	_	_	_	_	
1-315	1914-1918	Zato	_	_	_	_	
1-316	1919-1924	gremo	_	_	_	_	
1-317	1925-1926	v	_	_	_	_	
1-318	1927-1931	fazo	_	_	_	_	
1-319	1932-1936	nove	_	_	_	_	
1-320	1937-1946	kakovosti	_	_	_	_	
1-321	1947-1958	sodelovanja	_	_	_	_	
1-322	1959-1966	znotraj	_	_	_	_	
1-323	1967-1978	evroobmočja	_	_	_	_	
1-324	1979-1980	,	_	_	_	_	
1-325	1981-1983	je	_	2 - Negativno[13]	*->8-10	*[8]	
1-326	1984-1992	povedala	_	2 - Negativno[13]	*->8-10	*[8]	
1-327	1993-1994	.	_	_	_	_	
1-328	1995-2004	Voditelja	_	_	_	_	
1-329	2005-2012	Nemčije	LOC	_	*->9-1	*[9]	
1-330	2013-2015	in	_	_	_	_	
1-331	2016-2024	Francije	LOC	_	*->10-1	*[10]	
1-332	2025-2028	sta	_	_	_	_	
1-333	2029-2031	se	_	_	_	_	
1-334	2032-2039	zavzela	_	_	_	_	
1-335	2040-2044	tudi	_	_	_	_	
1-336	2045-2047	za	_	_	_	_	
1-337	2048-2058	uskladitev	_	_	_	_	
1-338	2059-2066	davčnih	_	_	_	_	
1-339	2067-2074	stopenj	_	_	_	_	
1-340	2075-2077	za	_	_	_	_	
1-341	2078-2089	korporacije	_	_	_	_	
1-342	2090-2097	znotraj	_	_	_	_	
1-343	2098-2109	evroobmočja	_	_	_	_	
1-344	2110-2111	,	_	_	_	_	
1-345	2112-2114	da	_	_	_	_	
1-346	2115-2117	bi	_	_	_	_	
1-347	2118-2122	tako	_	_	_	_	
1-348	2123-2131	povečali	_	_	_	_	
1-349	2132-2139	dobiček	_	_	_	_	
1-350	2140-2142	iz	_	_	_	_	
1-351	2143-2150	naslova	_	_	_	_	
1-352	2151-2157	davkov	_	_	_	_	
1-353	2158-2159	,	_	_	_	_	
1-354	2160-2165	čemur	_	_	_	_	
1-355	2166-2168	bi	_	_	_	_	
1-356	2169-2171	po	_	_	_	_	
1-357	2172-2181	poročanju	_	_	_	_	
1-358	2182-2185	BBC	ORG	3 - Nevtralno	*->11-1	*[11]	
1-359	2186-2191	ostro	_	_	_	_	
1-360	2192-2204	nasprotovala	_	_	_	_	
1-361	2205-2212	najmanj	_	_	_	_	
1-362	2213-2218	Irska	LOC	3 - Nevtralno	*->12-1	*[12]	
1-363	2219-2220	,	_	_	_	_	
1-364	2221-2225	kjer	_	_	_	_	
1-365	2226-2228	je	_	_	_	_	
1-366	2229-2231	ta	_	_	_	_	
1-367	2232-2238	davčna	_	_	_	_	
1-368	2239-2246	stopnja	_	_	_	_	
1-369	2247-2252	nizka	_	_	_	_	
1-370	2253-2254	.	_	_	_	_	
1-371	2255-2260	Mnogi	_	_	_	_	
1-372	2261-2271	ekonomisti	_	_	_	_	
1-373	2272-2276	tudi	_	_	_	_	
1-374	2277-2282	ostro	_	_	_	_	
1-375	2283-2294	kritizirajo	_	_	_	_	
1-376	2295-2301	nemško	_	_	_	_	
1-377	2302-2312	vztrajanje	_	_	_	_	
1-378	2313-2316	pri	_	_	_	_	
1-379	2317-2328	varčevalnih	_	_	_	_	
1-380	2329-2336	ukrepih	_	_	_	_	
1-381	2337-2338	v	_	_	_	_	
1-382	2339-2343	vseh	_	_	_	_	
1-383	2344-2351	državah	_	_	_	_	
1-384	2352-2363	evroobmočja	_	_	_	_	
1-385	2364-2365	,	_	_	_	_	
1-386	2366-2369	ker	_	_	_	_	
1-387	2370-2372	bi	_	_	_	_	
1-388	2373-2375	to	_	_	_	_	
1-389	2376-2378	po	_	_	_	_	
1-390	2379-2387	njihovem	_	_	_	_	
1-391	2388-2392	tudi	_	_	_	_	
1-392	2393-2399	precej	_	_	_	_	
1-393	2400-2410	spodkopalo	_	_	_	_	
1-394	2411-2422	gospodarsko	_	_	_	_	
1-395	2423-2432	okrevanje	_	_	_	_	
1-396	2433-2434	v	_	_	_	_	
1-397	2435-2438	teh	_	_	_	_	
1-398	2439-2446	državah	_	_	_	_	
1-399	2447-2448	.	_	_	_	_	
1-400	2449-2456	Nemčija	LOC	2 - Negativno	*->9-2	*[9]	
1-401	2457-2459	in	_	_	_	_	
1-402	2460-2464	tudi	_	_	_	_	
1-403	2465-2473	Francija	LOC	2 - Negativno	*->10-2	*[10]	
1-404	2474-2480	skupaj	_	_	_	_	
1-405	2481-2482	z	_	_	_	_	
1-406	2483-2491	Evropsko	ORG[7]	3 - Nevtralno[14]	*->13-1	*[13]	
1-407	2492-2501	centralno	ORG[7]	3 - Nevtralno[14]	*->13-1	*[13]	
1-408	2502-2507	banko	ORG[7]	3 - Nevtralno[14]	*->13-1	*[13]	
1-409	2508-2513	močno	_	_	_	_	
1-410	2514-2524	pritiskata	_	_	_	_	
1-411	2525-2527	na	_	_	_	_	
1-412	2528-2532	tako	_	_	_	_	
1-413	2533-2542	imenovana	_	_	_	_	
1-414	2543-2550	obrobna	_	_	_	_	
1-415	2551-2563	gospodarstva	_	_	_	_	
1-416	2564-2565	,	_	_	_	_	
1-417	2566-2569	naj	_	_	_	_	
1-418	2570-2571	z	_	_	_	_	
1-419	2572-2584	varčevalnimi	_	_	_	_	
1-420	2585-2591	ukrepi	_	_	_	_	
1-421	2592-2604	uravnotežijo	_	_	_	_	
1-422	2605-2610	svoje	_	_	_	_	
1-423	2611-2620	proračune	_	_	_	_	
1-424	2621-2622	.	_	_	_	_	
1-425	2623-2632	Lagardova	PER	_	*->14-1	*[14]	
1-426	2633-2638	svari	_	_	_	_	
1-427	2639-2640	,	_	_	_	_	
1-428	2641-2643	da	_	_	_	_	
1-429	2644-2646	bi	_	_	_	_	
1-430	2647-2657	varčevalni	_	_	_	_	
1-431	2658-2664	ukrepi	_	_	_	_	
1-432	2665-2667	še	_	_	_	_	
1-433	2668-2675	dodatno	_	_	_	_	
1-434	2676-2685	škodovali	_	_	_	_	
1-435	2686-2698	gospodarstvu	_	_	_	_	
1-436	2699-2700	.	_	_	_	_	
1-437	2701-2712	Zategovanje	_	_	_	_	
1-438	2713-2718	pasov	_	_	_	_	
1-439	2719-2724	sicer	_	_	_	_	
1-440	2725-2727	ne	_	_	_	_	
1-441	2728-2732	uide	_	_	_	_	
1-442	2733-2737	tudi	_	_	_	_	
1-443	2738-2744	večjim	_	_	_	_	
1-444	2745-2758	gospodarstvom	_	_	_	_	
1-445	2759-2760	.	_	_	_	_	
1-446	2761-2763	Po	_	_	_	_	
1-447	2764-2775	varčevalnih	_	_	_	_	
1-448	2776-2783	ukrepih	_	_	_	_	
1-449	2784-2786	je	_	_	_	_	
1-450	2787-2789	že	_	_	_	_	
