#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Irska upa na enake ugodnosti Grčija bo za poplačilo terjatev in nižanje primanjkljaja očitno potrebovala dodatno pomoč , zato že potekajo razprave o prestrukturiranju njenega dolga . To pa je povzročilo znižanje bonitetne ocene . Še vedno odmeva skrivni sestanek finančnih ministrov nekaterih držav evroobmočja z vodilnimi finančniki Unije . Vse bolj se širijo namigi , da naj bi razpravljali tudi o možnosti izstopa Grčije iz evropskega monetarnega sistema , kar pa so sodelujoči na sestanku že zavrnili . Uradno prestrukturiranju dolga niso naklonjeni Tudi nemški borznik Oliver Roth pravi , da ni nobene koristi v morebitnem grškem izhodu iz območja evra , če ne bi obenem odpisali dele grškega dolga , prav prestrukturiranje dolga pa mora biti prvi korak v tej zgodbi , je za Radio Slovenija poročal dopisnik Matjaž Trošt . Dolg Grčije znaša kar 150 odstotkov njenega bruto domačega proizvoda in za poplačilo teh terjatev bo država zagotovo potrebovala pomoč . Uradno odpis dela dolga sicer ni mogoč , pa tudi politiki , najbolj v Nemčiji , zavračajo možnost , da bi bistveno spremenili pogoje , po katerih Grčija odplačuje svoje dolgove . Preberite tudi Nov zaplet v grški drami vpliva na evropske borze Nižja bonitetna ocena , ki se lahko še niža A res je tudi , da je Grčija prestrukturiranje posojila marca že dosegla , zato so upravičena pričakovanja , da bo tudi tokrat tako . In prav temu so se uprli v eni vodilnih svetovnih bonitetnih agencij Standard & Poors ter znižali oceno na dolgoročni in kratkoročni dolg Grčije - za dolgoročni dolg z BB - na B , za kratkoročni pa z B na C . Tudi napovedi ostajajo negativne , kar pomeni , da bi lahko Standard & Poors oceno Grčiji kmalu znova znižal . V agenciji so tudi povedali , da so se za zdajšnje znižanje ocene odločili zaradi omenjene vse večje verjetnosti , da bo morala Grčija prestrukturirati dolg do držav v območju evra in tudi dolg do zasebnih vlagateljev . V Grčiji ogorčeni V Atenah so zaradi znižanja ocene že izrazili ogorčenje . Današnje znižanje bonitetne ocene Grčije agencije Standard & Poors prihaja v času , ko ni bilo nobenih novih negativnih okoliščin ali odločitev , odkar je agencija pred dobrim mesecem dni zadnjič spremenila oceno , zato odločitev ni upravičena , pravijo na grškem finančnem ministrstvu . Ob tem so dodali , da bi morale odločitve bonitetne hiše temeljiti na objektivnih podatkih in realističnih ocenah stanja , ne na govoricah , ki krožijo na trgih , in medijskih poročilih . Podobne težave še na Irskem Ob Grčiji je mednarodno finančno pomoč prejela tudi Irska , ki je zdaj v podobnem težavnem položaju . Njen dolg znaša približno 120 odstotkov BDP - ja , zato si tudi ona želi nižjih obrestnih mer , sploh ker so Grčiji evropski partnerji že popuščali . Evropska komisija je po poročanju dopisnika Trošta že dejala , da je temu naklonjena , a verjetno bodo to pogojevali z dvigom nizkih davkov za podjetja na Irskem
1-1	0-5	Irska	LOC	_	*->1-1	*[1]	
1-72	464-466	pa	_	_	_	_	
1-73	467-469	so	_	_	_	_	
1-74	470-480	sodelujoči	_	_	_	_	
1-75	481-483	na	_	_	_	_	
1-76	484-492	sestanku	_	_	_	_	
1-77	493-495	že	_	_	_	_	
1-78	496-504	zavrnili	_	_	_	_	
1-79	505-506	.	_	_	_	_	
1-80	507-513	Uradno	_	_	_	_	
1-81	514-531	prestrukturiranju	_	_	_	_	
1-82	532-537	dolga	_	_	_	_	
1-83	538-542	niso	_	_	_	_	
1-84	543-553	naklonjeni	_	_	_	_	
1-85	554-558	Tudi	_	_	_	_	
1-86	559-565	nemški	_	3 - Nevtralno[9]	*->3-1	*[3]	
1-87	566-573	borznik	_	3 - Nevtralno[9]	*->3-1	*[3]	
1-88	574-580	Oliver	PER[1]	3 - Nevtralno[9]	*->3-1	*[3]	
1-89	581-585	Roth	PER[1]	3 - Nevtralno[9]	*->3-1	*[3]	
1-90	586-591	pravi	_	_	_	_	
1-91	592-593	,	_	_	_	_	
1-92	594-596	da	_	_	_	_	
1-93	597-599	ni	_	_	_	_	
1-94	600-606	nobene	_	_	_	_	
1-95	607-614	koristi	_	_	_	_	
1-96	615-616	v	_	_	_	_	
1-97	617-627	morebitnem	_	_	_	_	
1-98	628-634	grškem	_	_	_	_	
1-99	635-641	izhodu	_	_	_	_	
1-100	642-644	iz	_	_	_	_	
1-101	645-652	območja	_	_	_	_	
1-102	653-657	evra	_	_	_	_	
1-103	658-659	,	_	_	_	_	
1-104	660-662	če	_	_	_	_	
1-105	663-665	ne	_	_	_	_	
1-106	666-668	bi	_	_	_	_	
1-107	669-675	obenem	_	_	_	_	
1-108	676-684	odpisali	_	_	_	_	
1-109	685-689	dele	_	_	_	_	
1-110	690-697	grškega	_	_	_	_	
1-111	698-703	dolga	_	_	_	_	
1-112	704-705	,	_	_	_	_	
1-113	706-710	prav	_	_	_	_	
1-114	711-728	prestrukturiranje	_	_	_	_	
1-115	729-734	dolga	_	_	_	_	
1-116	735-737	pa	_	_	_	_	
1-117	738-742	mora	_	_	_	_	
1-118	743-747	biti	_	_	_	_	
1-119	748-752	prvi	_	_	_	_	
1-120	753-758	korak	_	_	_	_	
1-121	759-760	v	_	_	_	_	
1-122	761-764	tej	_	_	_	_	
1-123	765-771	zgodbi	_	_	_	_	
1-124	772-773	,	_	_	_	_	
1-125	774-776	je	_	_	_	_	
1-126	777-779	za	_	_	_	_	
1-127	780-785	Radio	ORG[2]	3 - Nevtralno[10]	*->4-1	*[4]	
1-128	786-795	Slovenija	ORG[2]|LOC[3]	3 - Nevtralno[10]|3 - Nevtralno[11]	*->4-1|*->5-1	*[4]|*[5]	
1-129	796-803	poročal	_	_	_	_	
1-130	804-812	dopisnik	_	_	*->6-1	*[6]	
1-131	813-819	Matjaž	PER[4]	_	*->6-1	*[6]	
1-132	820-825	Trošt	PER[4]	_	*->6-1	*[6]	
1-133	826-827	.	_	_	_	_	
1-134	828-832	Dolg	_	_	_	_	
1-135	833-839	Grčije	ORG	_	*->7-4	*[7]	
1-136	840-845	znaša	_	_	_	_	
1-137	846-849	kar	_	_	_	_	
1-138	850-853	150	_	_	_	_	
1-139	854-863	odstotkov	_	_	_	_	
1-140	864-871	njenega	_	_	_	_	
1-141	872-877	bruto	_	_	_	_	
1-142	878-886	domačega	_	_	*->7-5	*[7]	
1-143	887-896	proizvoda	_	_	_	_	
1-144	897-899	in	_	_	_	_	
1-145	900-902	za	_	_	_	_	
1-146	903-912	poplačilo	_	_	_	_	
1-147	913-916	teh	_	_	_	_	
1-148	917-925	terjatev	_	_	_	_	
1-149	926-928	bo	_	_	_	_	
1-150	929-935	država	_	_	*->7-6	*[7]	
1-151	936-944	zagotovo	_	_	_	_	
1-152	945-956	potrebovala	_	_	_	_	
1-153	957-962	pomoč	_	_	_	_	
1-154	963-964	.	_	_	_	_	
1-155	965-971	Uradno	_	_	_	_	
1-156	972-977	odpis	_	_	_	_	
1-157	978-982	dela	_	_	_	_	
1-158	983-988	dolga	_	_	_	_	
1-159	989-994	sicer	_	_	_	_	
1-160	995-997	ni	_	_	_	_	
1-161	998-1003	mogoč	_	_	_	_	
1-162	1004-1005	,	_	_	_	_	
1-163	1006-1008	pa	_	_	_	_	
1-164	1009-1013	tudi	_	_	_	_	
1-165	1014-1022	politiki	_	_	_	_	
1-166	1023-1024	,	_	_	_	_	
1-167	1025-1032	najbolj	_	_	_	_	
1-168	1033-1034	v	_	_	_	_	
1-169	1035-1042	Nemčiji	LOC	3 - Nevtralno	*->8-1	*[8]	
1-170	1043-1044	,	_	_	_	_	
1-171	1045-1054	zavračajo	_	_	_	_	
1-172	1055-1062	možnost	_	_	_	_	
1-173	1063-1064	,	_	_	_	_	
1-174	1065-1067	da	_	_	_	_	
1-175	1068-1070	bi	_	_	_	_	
1-176	1071-1079	bistveno	_	_	_	_	
1-177	1080-1090	spremenili	_	_	_	_	
1-178	1091-1097	pogoje	_	_	_	_	
1-179	1098-1099	,	_	_	_	_	
1-180	1100-1102	po	_	_	_	_	
1-181	1103-1110	katerih	_	_	_	_	
1-182	1111-1117	Grčija	ORG	_	*->7-7	*[7]	
1-183	1118-1127	odplačuje	_	_	_	_	
1-184	1128-1133	svoje	_	_	_	_	
1-185	1134-1141	dolgove	_	_	_	_	
1-186	1142-1143	.	_	_	_	_	
1-187	1144-1153	Preberite	_	_	_	_	
1-188	1154-1158	tudi	_	_	_	_	
1-189	1159-1162	Nov	_	_	_	_	
1-190	1163-1169	zaplet	_	_	_	_	
1-191	1170-1171	v	_	_	_	_	
1-192	1172-1177	grški	_	_	_	_	
1-193	1178-1183	drami	_	_	_	_	
1-194	1184-1190	vpliva	_	_	_	_	
1-195	1191-1193	na	_	_	_	_	
1-196	1194-1202	evropske	_	_	_	_	
1-197	1203-1208	borze	_	_	_	_	
1-198	1209-1214	Nižja	_	_	_	_	
1-199	1215-1224	bonitetna	_	_	_	_	
1-200	1225-1230	ocena	_	_	_	_	
1-201	1231-1232	,	_	_	_	_	
1-202	1233-1235	ki	_	_	_	_	
1-203	1236-1238	se	_	_	_	_	
1-204	1239-1244	lahko	_	_	_	_	
1-205	1245-1247	še	_	_	_	_	
1-206	1248-1252	niža	_	_	_	_	
1-207	1253-1254	A	_	_	_	_	
1-208	1255-1258	res	_	_	_	_	
1-209	1259-1261	je	_	_	_	_	
1-210	1262-1266	tudi	_	_	_	_	
1-211	1267-1268	,	_	_	_	_	
1-212	1269-1271	da	_	_	_	_	
1-213	1272-1274	je	_	_	_	_	
1-214	1275-1281	Grčija	ORG	_	*->7-8	*[7]	
1-215	1282-1299	prestrukturiranje	_	_	_	_	
1-216	1300-1308	posojila	_	_	_	_	
1-217	1309-1314	marca	_	_	_	_	
1-218	1315-1317	že	_	_	_	_	
1-219	1318-1325	dosegla	_	_	_	_	
1-220	1326-1327	,	_	_	_	_	
1-221	1328-1332	zato	_	_	_	_	
1-222	1333-1335	so	_	_	_	_	
1-223	1336-1346	upravičena	_	_	_	_	
1-224	1347-1359	pričakovanja	_	_	_	_	
1-225	1360-1361	,	_	_	_	_	
1-226	1362-1364	da	_	_	_	_	
1-227	1365-1367	bo	_	_	_	_	
1-228	1368-1372	tudi	_	_	_	_	
1-229	1373-1379	tokrat	_	_	_	_	
1-230	1380-1384	tako	_	_	_	_	
1-231	1385-1386	.	_	_	_	_	
1-232	1387-1389	In	_	_	_	_	
1-233	1390-1394	prav	_	_	_	_	
1-234	1395-1399	temu	_	_	_	_	
1-235	1400-1402	so	_	_	_	_	
1-236	1403-1405	se	_	_	_	_	
1-237	1406-1411	uprli	_	_	_	_	
1-238	1412-1413	v	_	_	_	_	
1-239	1414-1417	eni	_	_	*->9-1	*[9]	
1-240	1418-1426	vodilnih	_	_	*->9-1	*[9]	
1-241	1427-1436	svetovnih	_	_	*->9-1	*[9]	
1-242	1437-1447	bonitetnih	_	_	*->9-1	*[9]	
1-243	1448-1455	agencij	_	_	*->9-1	*[9]	
1-244	1456-1464	Standard	ORG[5]	_	*->9-1	*[9]	
1-245	1465-1466	&	ORG[5]	_	*->9-1	*[9]	
1-246	1467-1472	Poors	ORG[5]	_	*->9-1	*[9]	
1-247	1473-1476	ter	_	_	_	_	
1-248	1477-1484	znižali	_	_	*->9-2	*[9]	
1-249	1485-1490	oceno	_	_	_	_	
1-250	1491-1493	na	_	_	_	_	
1-251	1494-1504	dolgoročni	_	_	_	_	
1-252	1505-1507	in	_	_	_	_	
1-253	1508-1519	kratkoročni	_	_	_	_	
1-254	1520-1524	dolg	_	_	_	_	
1-255	1525-1531	Grčije	ORG	_	*->7-9	*[7]	
1-256	1532-1533	-	_	_	_	_	
1-257	1534-1536	za	_	_	_	_	
1-258	1537-1547	dolgoročni	_	_	_	_	
1-259	1548-1552	dolg	_	_	_	_	
1-260	1553-1554	z	_	_	_	_	
1-261	1555-1557	BB	_	_	_	_	
1-262	1558-1559	-	_	_	_	_	
1-263	1560-1562	na	_	_	_	_	
1-264	1563-1564	B	_	_	_	_	
1-265	1565-1566	,	_	_	_	_	
1-266	1567-1569	za	_	_	_	_	
1-267	1570-1581	kratkoročni	_	_	_	_	
1-268	1582-1584	pa	_	_	_	_	
1-269	1585-1586	z	_	_	_	_	
1-270	1587-1588	B	_	_	_	_	
1-271	1589-1591	na	_	_	_	_	
1-272	1592-1593	C	_	_	_	_	
1-273	1594-1595	.	_	_	_	_	
1-274	1596-1600	Tudi	_	_	_	_	
1-275	1601-1609	napovedi	_	_	_	_	
1-276	1610-1618	ostajajo	_	_	_	_	
1-277	1619-1628	negativne	_	_	_	_	
1-278	1629-1630	,	_	_	_	_	
1-279	1631-1634	kar	_	_	_	_	
1-280	1635-1641	pomeni	_	_	_	_	
1-281	1642-1643	,	_	_	_	_	
1-282	1644-1646	da	_	_	_	_	
1-283	1647-1649	bi	_	_	_	_	
1-284	1650-1655	lahko	_	_	_	_	
1-285	1656-1664	Standard	ORG[6]	_	*->9-3	*[9]	
1-286	1665-1666	&	ORG[6]	_	*->9-3	*[9]	
1-287	1667-1672	Poors	ORG[6]	_	*->9-3	*[9]	
1-288	1673-1678	oceno	_	_	_	_	
1-289	1679-1685	Grčiji	ORG	_	*->7-10	*[7]	
1-290	1686-1691	kmalu	_	_	_	_	
1-291	1692-1697	znova	_	_	_	_	
1-292	1698-1704	znižal	_	_	_	_	
1-293	1705-1706	.	_	_	_	_	
1-294	1707-1708	V	_	_	_	_	
1-295	1709-1717	agenciji	_	_	*->9-4	*[9]	
1-296	1718-1720	so	_	_	_	_	
1-297	1721-1725	tudi	_	_	_	_	
1-298	1726-1734	povedali	_	_	_	_	
1-299	1735-1736	,	_	_	_	_	
1-300	1737-1739	da	_	_	_	_	
1-301	1740-1742	so	_	_	_	_	
1-302	1743-1745	se	_	_	_	_	
1-303	1746-1748	za	_	_	_	_	
1-304	1749-1757	zdajšnje	_	_	_	_	
1-305	1758-1766	znižanje	_	_	_	_	
1-306	1767-1772	ocene	_	_	_	_	
1-307	1773-1781	odločili	_	_	*->9-5	*[9]	
1-308	1782-1788	zaradi	_	_	_	_	
1-309	1789-1797	omenjene	_	_	_	_	
1-310	1798-1801	vse	_	_	_	_	
1-311	1802-1807	večje	_	_	_	_	
1-312	1808-1819	verjetnosti	_	_	_	_	
1-313	1820-1821	,	_	_	_	_	
1-314	1822-1824	da	_	_	_	_	
1-315	1825-1827	bo	_	_	_	_	
1-316	1828-1834	morala	_	_	_	_	
1-317	1835-1841	Grčija	ORG	_	*->7-11	*[7]	
1-318	1842-1858	prestrukturirati	_	_	_	_	
1-319	1859-1863	dolg	_	_	_	_	
1-320	1864-1866	do	_	_	_	_	
1-321	1867-1872	držav	_	_	_	_	
1-322	1873-1874	v	_	_	_	_	
1-323	1875-1882	območju	_	_	_	_	
1-324	1883-1887	evra	_	_	_	_	
1-325	1888-1890	in	_	_	_	_	
1-326	1891-1895	tudi	_	_	_	_	
1-327	1896-1900	dolg	_	_	_	_	
1-328	1901-1903	do	_	_	_	_	
1-329	1904-1912	zasebnih	_	_	_	_	
1-330	1913-1924	vlagateljev	_	_	_	_	
1-331	1925-1926	.	_	_	_	_	
1-332	1927-1928	V	_	_	_	_	
1-333	1929-1935	Grčiji	ORG	_	*->7-12	*[7]	
1-334	1936-1944	ogorčeni	_	_	_	_	
1-335	1945-1946	V	_	_	_	_	
1-336	1947-1953	Atenah	LOC	3 - Nevtralno	*->10-1	*[10]	
1-337	1954-1956	so	_	_	_	_	
1-338	1957-1963	zaradi	_	_	_	_	
1-339	1964-1972	znižanja	_	_	_	_	
1-340	1973-1978	ocene	_	_	_	_	
1-341	1979-1981	že	_	_	_	_	
1-342	1982-1990	izrazili	_	_	_	_	
1-343	1991-2000	ogorčenje	_	_	_	_	
1-344	2001-2002	.	_	_	_	_	
1-345	2003-2011	Današnje	_	_	_	_	
1-346	2012-2020	znižanje	_	_	_	_	
1-347	2021-2030	bonitetne	_	_	_	_	
1-348	2031-2036	ocene	_	_	_	_	
1-349	2037-2043	Grčije	ORG	_	*->7-13	*[7]	
1-350	2044-2052	agencije	_	_	*->9-6	*[9]	
1-351	2053-2061	Standard	ORG[7]	_	*->9-6	*[9]	
1-352	2062-2063	&	ORG[7]	_	*->9-6	*[9]	
1-353	2064-2069	Poors	ORG[7]	_	*->9-6	*[9]	
1-354	2070-2077	prihaja	_	_	_	_	
1-355	2078-2079	v	_	_	_	_	
1-356	2080-2084	času	_	_	_	_	
1-357	2085-2086	,	_	_	_	_	
1-358	2087-2089	ko	_	_	_	_	
1-359	2090-2092	ni	_	_	_	_	
1-360	2093-2097	bilo	_	_	_	_	
1-361	2098-2105	nobenih	_	_	_	_	
1-362	2106-2111	novih	_	_	_	_	
1-363	2112-2122	negativnih	_	_	_	_	
1-364	2123-2132	okoliščin	_	_	_	_	
1-365	2133-2136	ali	_	_	_	_	
1-366	2137-2146	odločitev	_	_	_	_	
1-367	2147-2148	,	_	_	_	_	
1-368	2149-2154	odkar	_	_	_	_	
1-369	2155-2157	je	_	_	_	_	
1-370	2158-2166	agencija	_	_	*->9-7	*[9]	
1-371	2167-2171	pred	_	_	_	_	
1-372	2172-2178	dobrim	_	_	_	_	
1-373	2179-2186	mesecem	_	_	_	_	
1-374	2187-2190	dni	_	_	_	_	
1-375	2191-2198	zadnjič	_	_	_	_	
1-376	2199-2209	spremenila	_	_	_	_	
1-377	2210-2215	oceno	_	_	_	_	
1-378	2216-2217	,	_	_	_	_	
1-379	2218-2222	zato	_	_	_	_	
1-380	2223-2232	odločitev	_	_	_	_	
1-381	2233-2235	ni	_	_	_	_	
1-382	2236-2246	upravičena	_	_	_	_	
1-383	2247-2248	,	_	_	_	_	
1-384	2249-2256	pravijo	_	_	_	_	
1-385	2257-2259	na	_	_	_	_	
1-386	2260-2266	grškem	_	_	_	_	
1-387	2267-2276	finančnem	_	_	_	_	
1-388	2277-2288	ministrstvu	_	_	_	_	
1-389	2289-2290	.	_	_	_	_	
1-390	2291-2293	Ob	_	_	_	_	
1-391	2294-2297	tem	_	_	_	_	
1-392	2298-2300	so	_	_	_	_	
1-393	2301-2307	dodali	_	_	_	_	
1-394	2308-2309	,	_	_	_	_	
1-395	2310-2312	da	_	_	_	_	
1-396	2313-2315	bi	_	_	_	_	
1-397	2316-2322	morale	_	_	_	_	
1-398	2323-2332	odločitve	_	_	_	_	
1-399	2333-2342	bonitetne	_	2 - Negativno[12]	*->9-8	*[9]	
1-400	2343-2347	hiše	_	2 - Negativno[12]	*->9-8	*[9]	
1-401	2348-2357	temeljiti	_	_	_	_	
1-402	2358-2360	na	_	_	_	_	
1-403	2361-2372	objektivnih	_	_	_	_	
1-404	2373-2381	podatkih	_	_	_	_	
1-405	2382-2384	in	_	_	_	_	
1-406	2385-2397	realističnih	_	_	_	_	
1-407	2398-2404	ocenah	_	_	_	_	
1-408	2405-2411	stanja	_	_	_	_	
1-409	2412-2413	,	_	_	_	_	
1-410	2414-2416	ne	_	_	_	_	
1-411	2417-2419	na	_	_	_	_	
1-412	2420-2429	govoricah	_	_	_	_	
1-413	2430-2431	,	_	_	_	_	
1-414	2432-2434	ki	_	_	_	_	
1-415	2435-2442	krožijo	_	_	_	_	
1-416	2443-2445	na	_	_	_	_	
1-417	2446-2451	trgih	_	_	_	_	
1-418	2452-2453	,	_	_	_	_	
1-419	2454-2456	in	_	_	_	_	
1-420	2457-2466	medijskih	_	_	_	_	
1-421	2467-2476	poročilih	_	_	_	_	
1-422	2477-2478	.	_	_	_	_	
1-423	2479-2486	Podobne	_	_	_	_	
1-424	2487-2493	težave	_	_	_	_	
1-425	2494-2496	še	_	_	_	_	
1-426	2497-2499	na	_	_	_	_	
1-427	2500-2506	Irskem	LOC	_	*->1-2	*[1]	
1-428	2507-2509	Ob	_	_	_	_	
1-429	2510-2516	Grčiji	ORG	_	*->7-14	*[7]	
1-430	2517-2519	je	_	_	_	_	
1-431	2520-2530	mednarodno	_	_	_	_	
1-432	2531-2539	finančno	_	_	_	_	
1-433	2540-2545	pomoč	_	_	_	_	
1-434	2546-2553	prejela	_	_	_	_	
1-435	2554-2558	tudi	_	_	_	_	
1-436	2559-2564	Irska	ORG	_	*->1-3	*[1]	
1-437	2565-2566	,	_	_	_	_	
1-438	2567-2569	ki	_	_	_	_	
1-439	2570-2572	je	_	_	*->1-4	*[1]	
1-440	2573-2577	zdaj	_	_	_	_	
1-441	2578-2579	v	_	_	_	_	
1-442	2580-2588	podobnem	_	_	_	_	
1-443	2589-2597	težavnem	_	_	_	_	
1-444	2598-2606	položaju	_	_	_	_	
1-445	2607-2608	.	_	_	_	_	
1-446	2609-2613	Njen	_	_	*->1-5	*[1]	
1-447	2614-2618	dolg	_	_	_	_	
1-448	2619-2624	znaša	_	_	_	_	
1-449	2625-2634	približno	_	_	_	_	
1-450	2635-2638	120	_	_	_	_	
1-451	2639-2648	odstotkov	_	_	_	_	
1-452	2649-2652	BDP	_	_	_	_	
1-453	2653-2654	-	_	_	_	_	
1-454	2655-2657	ja	_	_	_	_	
1-455	2658-2659	,	_	_	_	_	
1-456	2660-2664	zato	_	_	_	_	
1-457	2665-2667	si	_	_	_	_	
1-458	2668-2672	tudi	_	_	_	_	
1-459	2673-2676	ona	_	_	*->1-6	*[1]	
1-460	2677-2681	želi	_	_	_	_	
1-461	2682-2688	nižjih	_	_	_	_	
1-462	2689-2698	obrestnih	_	_	_	_	
1-463	2699-2702	mer	_	_	_	_	
1-464	2703-2704	,	_	_	_	_	
1-465	2705-2710	sploh	_	_	_	_	
1-466	2711-2714	ker	_	_	_	_	
1-467	2715-2717	so	_	_	_	_	
1-468	2718-2724	Grčiji	ORG	2 - Negativno	*->7-15	*[7]	
