#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Koper - Koprsko okrožno sodišče je zavrnilo tožbeni zahtevek Luke Koper , ki je od nekdanjega predsednika uprave Luke Koper Bruna Koreliča zaradi domnevnega oškodovanja pri prodaji delnic Autocommercea zahtevala 722.791 evrov odškodnine . Luka Koper bo morala poravnati sodne stroške procesa , ali se namerava zoper razsodbo pritožiti , pa še ni znano . Koreličev odvetnik Miha Kozinc je o razsodbi koprskega sodišča dejal , da so od vsega začetka zastopali stališče , da ni bilo pri poslu v zvezi s prodajo delnic Autocommercea nič narobe . " Šlo je za nagajanje in politično obračunavanje z mano , ker sem si kot občinski svetnik upal opozarjati na nečedne posle župana Borisa Popoviča , " pa je za STA o tožbi dejal Korelič . Koliko bodo znašali sodni stroški , ki jih bo morala Luka Koper plačati zaradi izgubljene tožbe , v Luki Koper danes niso mogli odgovoriti , ker sodba še ni pravnomočna . Uprava družbe tudi še ni sprejela odločitve o vložitvi pritožbe . " Verjamem , da jih bo srečala pamet in ne bodo zapravljali dodatnega denarja za odvetnike , " je v zvezi z morebitno pritožbo dejal Korelič . Podobnega mnenja je tudi Kozinc . " Glede na potek postopka mislim , da ni nikakršne osnove za to , " je pojasnil . Luka Koper je v tožbi od Koreliča zahtevala 722.791 evrov odškodnine , za kolikor naj bi Korelič oškodoval družbo s prodajo 9,9 - odstotnega deleža družbe Autocommerce leta 2005 . Luka Koper je delnice Autocommercea kupila leta 2003 od Slovenske odškodninske družbe , in sicer po ceni 4788 nekdanjih tolarjev na delnico , februarja 2005 pa je delnice prodala družbi Fins po ceni 5500 tolarjev za delnico . Po mnenju uprave in nadzornega sveta je bila prodajna cena v letu 2005 nižja od dejanske vrednosti posamezne delnice . Družba Protej , v kateri so združeni vodilni delavci ACH , je junija istega leta v prevzemni ponudbi namreč ponujala 6100 tolarjev za delnico . Upravo Luke Koper je leta 2008 , ko je bila na sodišče vložena tožba , vodil Robert Časar , nadzorni svet pa koprski župan Boris Popovič . Tako Časarja kot Popoviča je nadzorni svet Luke Koper z njunih funkcij odstavil junija letos . Odvetnik Franci Matoz , ki je Luko Koper zastopal v omenjeni tožbi , je po navedbah predsednika uprave Luke Koper Gregorja Veselka sodelovanje z Luko Koper kmalu menjavi v vrhu Luke Koper prekinil
1-1	0-5	Koper	LOC	_	*->1-1	*[1]	
1-52	340-342	še	_	_	_	_	
1-53	343-345	ni	_	_	_	_	
1-54	346-351	znano	_	_	_	_	
1-55	352-353	.	_	_	_	_	
1-56	354-363	Koreličev	PER	_	*->14-2	*[14]	
1-57	364-372	odvetnik	_	_	*->4-1	*[4]	
1-58	373-377	Miha	PER[8]	_	*->4-1	*[4]	
1-59	378-384	Kozinc	PER[8]	_	*->4-1	*[4]	
1-60	385-387	je	_	_	_	_	
1-61	388-389	o	_	_	_	_	
1-62	390-398	razsodbi	_	_	_	_	
1-63	399-408	koprskega	_	_	_	_	
1-64	409-416	sodišča	_	_	_	_	
1-65	417-422	dejal	_	_	_	_	
1-66	423-424	,	_	_	_	_	
1-67	425-427	da	_	_	_	_	
1-68	428-430	so	_	_	_	_	
1-69	431-433	od	_	_	_	_	
1-70	434-439	vsega	_	_	_	_	
1-71	440-447	začetka	_	_	_	_	
1-72	448-457	zastopali	_	_	_	_	
1-73	458-466	stališče	_	_	_	_	
1-74	467-468	,	_	_	_	_	
1-75	469-471	da	_	_	_	_	
1-76	472-474	ni	_	_	_	_	
1-77	475-479	bilo	_	_	_	_	
1-78	480-483	pri	_	_	_	_	
1-79	484-489	poslu	_	_	_	_	
1-80	490-491	v	_	_	_	_	
1-81	492-497	zvezi	_	_	_	_	
1-82	498-499	s	_	_	_	_	
1-83	500-507	prodajo	_	_	_	_	
1-84	508-514	delnic	_	_	_	_	
1-85	515-528	Autocommercea	ORG	_	*->3-2	*[3]	
1-86	529-532	nič	_	_	_	_	
1-87	533-539	narobe	_	_	_	_	
1-88	540-541	.	_	_	_	_	
1-89	542-543	"	_	_	_	_	
1-90	544-547	Šlo	_	_	_	_	
1-91	548-550	je	_	_	_	_	
1-92	551-553	za	_	_	_	_	
1-93	554-563	nagajanje	_	_	_	_	
1-94	564-566	in	_	_	_	_	
1-95	567-576	politično	_	_	_	_	
1-96	577-590	obračunavanje	_	_	_	_	
1-97	591-592	z	_	_	_	_	
1-98	593-597	mano	_	_	*->14-3	*[14]	
1-99	598-599	,	_	_	_	_	
1-100	600-603	ker	_	_	_	_	
1-101	604-607	sem	_	_	_	_	
1-102	608-610	si	_	_	_	_	
1-103	611-614	kot	_	_	_	_	
1-104	615-623	občinski	_	_	_	_	
1-105	624-631	svetnik	_	_	_	_	
1-106	632-636	upal	_	_	*->14-4	*[14]	
1-107	637-647	opozarjati	_	_	_	_	
1-108	648-650	na	_	_	_	_	
1-109	651-658	nečedne	_	_	_	_	
1-110	659-664	posle	_	_	_	_	
1-111	665-671	župana	_	_	*->5-1	*[5]	
1-112	672-678	Borisa	PER[9]	_	*->5-1	*[5]	
1-113	679-687	Popoviča	PER[9]	_	*->5-1	*[5]	
1-114	688-689	,	_	_	_	_	
1-115	690-691	"	_	_	_	_	
1-116	692-694	pa	_	_	_	_	
1-117	695-697	je	_	_	_	_	
1-118	698-700	za	_	_	_	_	
1-119	701-704	STA	ORG	3 - Nevtralno	*->6-1	*[6]	
1-120	705-706	o	_	_	_	_	
1-121	707-712	tožbi	_	_	_	_	
1-122	713-718	dejal	_	_	_	_	
1-123	719-726	Korelič	PER	_	*->14-5	*[14]	
1-124	727-728	.	_	_	_	_	
1-125	729-735	Koliko	_	_	_	_	
1-126	736-740	bodo	_	_	_	_	
1-127	741-748	znašali	_	_	_	_	
1-128	749-754	sodni	_	_	_	_	
1-129	755-762	stroški	_	_	_	_	
1-130	763-764	,	_	_	_	_	
1-131	765-767	ki	_	_	_	_	
1-132	768-771	jih	_	_	_	_	
1-133	772-774	bo	_	_	_	_	
1-134	775-781	morala	_	_	_	_	
1-135	782-786	Luka	ORG[10]	_	*->2-6	*[2]	
1-136	787-792	Koper	ORG[10]|LOC[11]	_	*->2-6|*->1-5	*[2]|*[1]	
1-137	793-800	plačati	_	_	_	_	
1-138	801-807	zaradi	_	_	_	_	
1-139	808-818	izgubljene	_	_	_	_	
1-140	819-824	tožbe	_	_	_	_	
1-141	825-826	,	_	_	_	_	
1-142	827-828	v	_	_	_	_	
1-143	829-833	Luki	ORG[12]	_	*->2-7	*[2]	
1-144	834-839	Koper	ORG[12]|LOC[13]	_	*->2-7|*->1-6	*[2]|*[1]	
1-145	840-845	danes	_	_	_	_	
1-146	846-850	niso	_	_	_	_	
1-147	851-856	mogli	_	_	_	_	
1-148	857-867	odgovoriti	_	_	_	_	
1-149	868-869	,	_	_	_	_	
1-150	870-873	ker	_	_	_	_	
1-151	874-879	sodba	_	_	_	_	
1-152	880-882	še	_	_	_	_	
1-153	883-885	ni	_	_	_	_	
1-154	886-897	pravnomočna	_	_	_	_	
1-155	898-899	.	_	_	_	_	
1-156	900-906	Uprava	_	_	_	_	
1-157	907-913	družbe	_	_	*->2-8	*[2]	
1-158	914-918	tudi	_	_	_	_	
1-159	919-921	še	_	_	_	_	
1-160	922-924	ni	_	_	_	_	
1-161	925-933	sprejela	_	_	_	_	
1-162	934-943	odločitve	_	_	_	_	
1-163	944-945	o	_	_	_	_	
1-164	946-954	vložitvi	_	_	_	_	
1-165	955-963	pritožbe	_	_	_	_	
1-166	964-965	.	_	_	_	_	
1-167	966-967	"	_	_	_	_	
1-168	968-976	Verjamem	_	_	*->14-6	*[14]	
1-169	977-978	,	_	_	_	_	
1-170	979-981	da	_	_	_	_	
1-171	982-985	jih	_	_	*->2-9	*[2]	
1-172	986-988	bo	_	_	_	_	
1-173	989-996	srečala	_	_	_	_	
1-174	997-1002	pamet	_	_	_	_	
1-175	1003-1005	in	_	_	_	_	
1-176	1006-1008	ne	_	_	_	_	
1-177	1009-1013	bodo	_	_	_	_	
1-178	1014-1025	zapravljali	_	_	*->2-10	*[2]	
1-179	1026-1035	dodatnega	_	_	_	_	
1-180	1036-1043	denarja	_	_	_	_	
1-181	1044-1046	za	_	_	_	_	
1-182	1047-1056	odvetnike	_	_	_	_	
1-183	1057-1058	,	_	_	_	_	
1-184	1059-1060	"	_	_	_	_	
1-185	1061-1063	je	_	_	_	_	
1-186	1064-1065	v	_	_	_	_	
1-187	1066-1071	zvezi	_	_	_	_	
1-188	1072-1073	z	_	_	_	_	
1-189	1074-1083	morebitno	_	_	_	_	
1-190	1084-1092	pritožbo	_	_	_	_	
1-191	1093-1098	dejal	_	_	_	_	
1-192	1099-1106	Korelič	PER	_	*->14-7	*[14]	
1-193	1107-1108	.	_	_	_	_	
1-194	1109-1118	Podobnega	_	_	_	_	
1-195	1119-1125	mnenja	_	_	_	_	
1-196	1126-1128	je	_	_	_	_	
1-197	1129-1133	tudi	_	_	_	_	
1-198	1134-1140	Kozinc	PER	_	*->4-2	*[4]	
1-199	1141-1142	.	_	_	_	_	
1-200	1143-1144	"	_	_	_	_	
1-201	1145-1150	Glede	_	_	_	_	
1-202	1151-1153	na	_	_	_	_	
1-203	1154-1159	potek	_	_	_	_	
1-204	1160-1168	postopka	_	_	_	_	
1-205	1169-1175	mislim	_	_	_	_	
1-206	1176-1177	,	_	_	_	_	
1-207	1178-1180	da	_	_	_	_	
1-208	1181-1183	ni	_	_	_	_	
1-209	1184-1193	nikakršne	_	_	_	_	
1-210	1194-1200	osnove	_	_	_	_	
1-211	1201-1203	za	_	_	_	_	
1-212	1204-1206	to	_	_	_	_	
1-213	1207-1208	,	_	_	_	_	
1-214	1209-1210	"	_	_	_	_	
1-215	1211-1213	je	_	2 - Negativno[35]	*->4-3	*[4]	
1-216	1214-1222	pojasnil	_	2 - Negativno[35]	*->4-3	*[4]	
1-217	1223-1224	.	_	_	_	_	
1-218	1225-1229	Luka	ORG[14]	_	*->2-11	*[2]	
1-219	1230-1235	Koper	ORG[14]|LOC[15]	_	*->2-11|*->1-7	*[2]|*[1]	
1-220	1236-1238	je	_	_	_	_	
1-221	1239-1240	v	_	_	_	_	
1-222	1241-1246	tožbi	_	_	_	_	
1-223	1247-1249	od	_	_	_	_	
1-224	1250-1258	Koreliča	PER	_	*->14-8	*[14]	
1-225	1259-1268	zahtevala	_	_	_	_	
1-226	1269-1276	722.791	_	_	_	_	
1-227	1277-1282	evrov	_	_	_	_	
1-228	1283-1293	odškodnine	_	_	_	_	
1-229	1294-1295	,	_	_	_	_	
1-230	1296-1298	za	_	_	_	_	
1-231	1299-1306	kolikor	_	_	_	_	
1-232	1307-1310	naj	_	_	_	_	
1-233	1311-1313	bi	_	_	_	_	
1-234	1314-1321	Korelič	PER	2 - Negativno	*->14-9	*[14]	
1-235	1322-1331	oškodoval	_	_	_	_	
1-236	1332-1338	družbo	_	_	*->2-12	*[2]	
1-237	1339-1340	s	_	_	_	_	
1-238	1341-1348	prodajo	_	_	_	_	
1-239	1349-1352	9,9	_	_	_	_	
1-240	1353-1354	-	_	_	_	_	
1-241	1355-1365	odstotnega	_	_	_	_	
1-242	1366-1372	deleža	_	_	_	_	
1-243	1373-1379	družbe	_	_	*->3-3	*[3]	
1-244	1380-1392	Autocommerce	ORG	_	*->3-3	*[3]	
1-245	1393-1397	leta	_	_	_	_	
1-246	1398-1402	2005	_	_	_	_	
1-247	1403-1404	.	_	_	_	_	
1-248	1405-1409	Luka	ORG[16]	_	*->2-13	*[2]	
1-249	1410-1415	Koper	ORG[16]|LOC[17]	_	*->2-13|*->1-8	*[2]|*[1]	
1-250	1416-1418	je	_	_	_	_	
1-251	1419-1426	delnice	_	_	_	_	
1-252	1427-1440	Autocommercea	ORG	3 - Nevtralno	*->3-4	*[3]	
1-253	1441-1447	kupila	_	_	_	_	
1-254	1448-1452	leta	_	_	_	_	
1-255	1453-1457	2003	_	_	_	_	
1-256	1458-1460	od	_	_	_	_	
1-257	1461-1470	Slovenske	ORG[18]	3 - Nevtralno[36]	*->7-1	*[7]	
1-258	1471-1483	odškodninske	ORG[18]	3 - Nevtralno[36]	*->7-1	*[7]	
1-259	1484-1490	družbe	ORG[18]	3 - Nevtralno[36]	*->7-1	*[7]	
1-260	1491-1492	,	_	_	_	_	
1-261	1493-1495	in	_	_	_	_	
1-262	1496-1501	sicer	_	_	_	_	
1-263	1502-1504	po	_	_	_	_	
1-264	1505-1509	ceni	_	_	_	_	
1-265	1510-1514	4788	_	_	_	_	
1-266	1515-1524	nekdanjih	_	_	_	_	
1-267	1525-1533	tolarjev	_	_	_	_	
1-268	1534-1536	na	_	_	_	_	
1-269	1537-1544	delnico	_	_	_	_	
1-270	1545-1546	,	_	_	_	_	
1-271	1547-1556	februarja	_	_	_	_	
1-272	1557-1561	2005	_	_	_	_	
1-273	1562-1564	pa	_	_	_	_	
1-274	1565-1567	je	_	_	_	_	
1-275	1568-1575	delnice	_	_	_	_	
1-276	1576-1583	prodala	_	_	*->2-14	*[2]	
1-277	1584-1590	družbi	_	3 - Nevtralno[37]	*->8-1	*[8]	
1-278	1591-1595	Fins	ORG	3 - Nevtralno[37]	*->8-1	*[8]	
1-279	1596-1598	po	_	_	_	_	
1-280	1599-1603	ceni	_	_	_	_	
1-281	1604-1608	5500	_	_	_	_	
1-282	1609-1617	tolarjev	_	_	_	_	
1-283	1618-1620	za	_	_	_	_	
1-284	1621-1628	delnico	_	_	_	_	
1-285	1629-1630	.	_	_	_	_	
1-286	1631-1633	Po	_	_	_	_	
1-287	1634-1640	mnenju	_	_	_	_	
1-288	1641-1647	uprave	_	_	_	_	
1-289	1648-1650	in	_	_	_	_	
1-290	1651-1661	nadzornega	_	_	_	_	
1-291	1662-1667	sveta	_	_	_	_	
1-292	1668-1670	je	_	_	_	_	
1-293	1671-1675	bila	_	_	_	_	
1-294	1676-1684	prodajna	_	_	_	_	
1-295	1685-1689	cena	_	_	_	_	
1-296	1690-1691	v	_	_	_	_	
1-297	1692-1696	letu	_	_	_	_	
1-298	1697-1701	2005	_	_	_	_	
1-299	1702-1707	nižja	_	_	_	_	
1-300	1708-1710	od	_	_	_	_	
1-301	1711-1719	dejanske	_	_	_	_	
1-302	1720-1729	vrednosti	_	_	_	_	
1-303	1730-1739	posamezne	_	_	_	_	
1-304	1740-1747	delnice	_	_	_	_	
1-305	1748-1749	.	_	_	_	_	
1-306	1750-1756	Družba	_	3 - Nevtralno[38]	*->9-1	*[9]	
1-307	1757-1763	Protej	ORG	3 - Nevtralno[38]	*->9-1	*[9]	
1-308	1764-1765	,	_	_	_	_	
1-309	1766-1767	v	_	_	_	_	
1-310	1768-1774	kateri	_	_	_	_	
1-311	1775-1777	so	_	_	_	_	
1-312	1778-1786	združeni	_	_	_	_	
1-313	1787-1794	vodilni	_	_	_	_	
1-314	1795-1802	delavci	_	_	_	_	
1-315	1803-1806	ACH	ORG	3 - Nevtralno	*->10-1	*[10]	
1-316	1807-1808	,	_	_	_	_	
1-317	1809-1811	je	_	_	_	_	
1-318	1812-1818	junija	_	_	_	_	
1-319	1819-1825	istega	_	_	_	_	
1-320	1826-1830	leta	_	_	_	_	
1-321	1831-1832	v	_	_	_	_	
1-322	1833-1842	prevzemni	_	_	_	_	
1-323	1843-1850	ponudbi	_	_	_	_	
1-324	1851-1857	namreč	_	_	_	_	
1-325	1858-1866	ponujala	_	_	_	_	
1-326	1867-1871	6100	_	_	_	_	
1-327	1872-1880	tolarjev	_	_	_	_	
1-328	1881-1883	za	_	_	_	_	
1-329	1884-1891	delnico	_	_	_	_	
1-330	1892-1893	.	_	_	_	_	
1-331	1894-1900	Upravo	_	_	_	_	
1-332	1901-1905	Luke	ORG[19]	_	*->2-15	*[2]	
1-333	1906-1911	Koper	ORG[19]|LOC[20]	_	*->2-15|*->1-9	*[2]|*[1]	
1-334	1912-1914	je	_	_	_	_	
1-335	1915-1919	leta	_	_	_	_	
1-336	1920-1924	2008	_	_	_	_	
1-337	1925-1926	,	_	_	_	_	
1-338	1927-1929	ko	_	_	_	_	
1-339	1930-1932	je	_	_	_	_	
1-340	1933-1937	bila	_	_	_	_	
1-341	1938-1940	na	_	_	_	_	
1-342	1941-1948	sodišče	_	_	_	_	
1-343	1949-1956	vložena	_	_	_	_	
1-344	1957-1962	tožba	_	_	_	_	
1-345	1963-1964	,	_	_	_	_	
1-346	1965-1970	vodil	_	_	_	_	
1-347	1971-1977	Robert	PER[21]	_	*->11-1	*[11]	
1-348	1978-1983	Časar	PER[21]	_	*->11-1	*[11]	
1-349	1984-1985	,	_	_	_	_	
1-350	1986-1994	nadzorni	_	_	_	_	
1-351	1995-1999	svet	_	_	_	_	
1-352	2000-2002	pa	_	_	_	_	
1-353	2003-2010	koprski	_	_	*->5-2	*[5]	
1-354	2011-2016	župan	_	_	*->5-2	*[5]	
1-355	2017-2022	Boris	PER[22]	_	*->5-2	*[5]	
1-356	2023-2030	Popovič	PER[22]	_	*->5-2	*[5]	
1-357	2031-2032	.	_	_	_	_	
1-358	2033-2037	Tako	_	_	_	_	
1-359	2038-2045	Časarja	PER	2 - Negativno	*->11-2	*[11]	
1-360	2046-2049	kot	_	_	_	_	
1-361	2050-2058	Popoviča	PER	2 - Negativno	*->5-3	*[5]	
1-362	2059-2061	je	_	_	_	_	
1-363	2062-2070	nadzorni	_	_	_	_	
1-364	2071-2075	svet	_	_	_	_	
1-365	2076-2080	Luke	ORG[23]	_	*->2-16	*[2]	
1-366	2081-2086	Koper	ORG[23]|LOC[24]	_	*->2-16|*->1-10	*[2]|*[1]	
1-367	2087-2088	z	_	_	_	_	
1-368	2089-2095	njunih	_	_	_	_	
1-369	2096-2103	funkcij	_	_	_	_	
1-370	2104-2112	odstavil	_	_	_	_	
1-371	2113-2119	junija	_	_	_	_	
1-372	2120-2125	letos	_	_	_	_	
1-373	2126-2127	.	_	_	_	_	
1-374	2128-2136	Odvetnik	_	_	*->12-1	*[12]	
1-375	2137-2143	Franci	PER[25]	_	*->12-1	*[12]	
1-376	2144-2149	Matoz	PER[25]	_	*->12-1	*[12]	
1-377	2150-2151	,	_	_	_	_	
1-378	2152-2154	ki	_	_	_	_	
1-379	2155-2157	je	_	_	_	_	
1-380	2158-2162	Luko	ORG[26]	_	*->2-17	*[2]	
1-381	2163-2168	Koper	ORG[26]|LOC[27]	_	*->2-17|*->1-11	*[2]|*[1]	
1-382	2169-2177	zastopal	_	2 - Negativno	*->12-2	*[12]	
1-383	2178-2179	v	_	_	_	_	
1-384	2180-2188	omenjeni	_	_	_	_	
1-385	2189-2194	tožbi	_	_	_	_	
1-386	2195-2196	,	_	_	_	_	
1-387	2197-2199	je	_	_	_	_	
1-388	2200-2202	po	_	_	_	_	
1-389	2203-2211	navedbah	_	_	_	_	
1-390	2212-2223	predsednika	_	_	*->13-1	*[13]	
1-391	2224-2230	uprave	_	_	*->13-1	*[13]	
1-392	2231-2235	Luke	ORG[28]	_	*->13-1|*->2-18	*[13]|*[2]	
1-393	2236-2241	Koper	ORG[28]|LOC[29]	_	*->13-1|*->2-18|*->1-12	*[13]|*[2]|*[1]	
1-394	2242-2250	Gregorja	PER[30]	_	*->13-1	*[13]	
1-395	2251-2258	Veselka	PER[30]	_	*->13-1	*[13]	
1-396	2259-2270	sodelovanje	_	_	_	_	
1-397	2271-2272	z	_	_	_	_	
1-398	2273-2277	Luko	ORG[31]	_	*->2-19	*[2]	
1-399	2278-2283	Koper	ORG[31]|LOC[32]	_	*->2-19|*->1-13	*[2]|*[1]	
1-400	2284-2289	kmalu	_	_	_	_	
1-401	2290-2297	menjavi	_	_	_	_	
1-402	2298-2299	v	_	_	_	_	
1-403	2300-2304	vrhu	_	_	_	_	
1-404	2305-2309	Luke	ORG[33]	2 - Negativno[39]	*->2-20	*[2]	
1-405	2310-2315	Koper	ORG[33]|LOC[34]	2 - Negativno[39]|3 - Nevtralno[40]	*->2-20|*->1-14	*[2]|*[1]	
1-406	2316-2324	prekinil	_	_	_	_	
