#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Koper - Luka Koper je izstopila iz lastništva romunske družbe Trade Trans Terminal iz Arada , ki upravlja s tamkajšnjim terminalom za generalne tovore . Obenem je Luka Koper ponovno postala edina lastnica družbe Adria Terminali , ki upravlja s sežanskim logističnim centrom , so sporočili iz Luke Koper . Za prodajo 17 - odstotnega deleža v romunski družbi Trade Trans Terminal so se odločili , ker terminal ni izpolnjeval pričakovanj , so pojasnili v Luki Koper . Svoj delež je Luka Koper prodala družbi Trade Trans Log , odvisni družbi slovaške družbe Trade Trans Invest ( TTI ) , ki je tudi delna lastnica omenjenega terminala . Sočasno s prodajo deleža v romunski družbi je Luka Koper od slovaške družbe Spedition Trade Trans Holding ponovno odkupila 49 - odstotni delež v svoji odvisni družbi Adria Terminali . " Za ta korak smo se odločili zaradi strateške usmeritve uprave po samostojnem obvladovanju in razvijanju terminala v Sežani , ki ima v strategiji zalednih terminalov osrednjo vlogo , " pojasnjujejo iz Luke Koper . Družbo Adria Terminali je Luka Koper sicer ustanovila leta 2007 . Po odkupu 10 - odstotnega deleža v slovaški TTI je 49 - odstotni delež Adrie Terminali prodala slovaški družbi Spedition Trade Trans Holding , ki naj bi bila lastniško tudi povezani s TTI . Po navedbah iz Luke Koper so posel takrat sklenili zaradi pričakovanih sinergijskih učinkov , ki naj bi jih pripeljal nov lastnik . Koliko so v Luki Koper odšteli za odkup 49 - odstotnega deleža Adrie Terminali in koliko so iztržili od prodaje deleža v romunski Trade Trans Terminal , je po navedbah iz Luke Koper poslovna skrivnost . So pa pojasnili , da je cenitve opravila neodvisna revizijska hiša in da naj bi bila deleža podobno ocenjena . Pogodbe o nakupu in prodaji so podpisali v ponedeljek . Za nakup 10 - odstotnega deleža v TTI je Luka Koper odštela 25,8 milijona evrov , po opravljeni cenitvi pa je trenutna vrednost naložbe le 5 milijonov evrov . Po oceni vodstva Luke Koper naj bi bila Luka Koper zaradi nakupa tako oškodovana za približno 20 milijonov evrov . Pač pa Luka Koper ostaja tretjinski lastnik družbe Rail Port Arad , ki upravlja s terminalom za kontejnerske tovore v romunskem Aradu . Po navedbah iz Luke Koper gre za perspektivno naložbo , zato o izstopu iz te družbe ne razmišljajo
1-1	0-5	Koper	LOC	_	*->1-1	*[1]	
1-49	297-302	Koper	ORG[7]|LOC[8]	_	*->2-4|*->1-4	*[2]|*[1]	
1-50	303-304	.	_	_	_	_	
1-51	305-307	Za	_	_	_	_	
1-52	308-315	prodajo	_	_	_	_	
1-53	316-318	17	_	_	_	_	
1-54	319-320	-	_	_	_	_	
1-55	321-331	odstotnega	_	_	_	_	
1-56	332-338	deleža	_	_	_	_	
1-57	339-340	v	_	_	_	_	
1-58	341-349	romunski	_	_	*->4-3	*[4]	
1-59	350-356	družbi	_	_	*->4-3	*[4]	
1-60	357-362	Trade	ORG[9]	_	*->4-3	*[4]	
1-61	363-368	Trans	ORG[9]	_	*->4-3	*[4]	
1-62	369-377	Terminal	ORG[9]	_	*->4-3	*[4]	
1-63	378-380	so	_	_	_	_	
1-64	381-383	se	_	_	_	_	
1-65	384-392	odločili	_	_	*->2-5	*[2]	
1-66	393-394	,	_	_	_	_	
1-67	395-398	ker	_	_	_	_	
1-68	399-407	terminal	_	_	_	_	
1-69	408-410	ni	_	_	_	_	
1-70	411-422	izpolnjeval	_	_	_	_	
1-71	423-434	pričakovanj	_	_	_	_	
1-72	435-436	,	_	_	_	_	
1-73	437-439	so	_	_	_	_	
1-74	440-449	pojasnili	_	_	_	_	
1-75	450-451	v	_	_	_	_	
1-76	452-456	Luki	ORG[10]	_	*->2-6	*[2]	
1-77	457-462	Koper	ORG[10]|LOC[11]	_	*->2-6|*->1-5	*[2]|*[1]	
1-78	463-464	.	_	_	_	_	
1-79	465-469	Svoj	_	_	_	_	
1-80	470-475	delež	_	_	_	_	
1-81	476-478	je	_	_	_	_	
1-82	479-483	Luka	ORG[12]	_	*->2-7	*[2]	
1-83	484-489	Koper	ORG[12]|LOC[13]	_	*->2-7|*->1-6	*[2]|*[1]	
1-84	490-497	prodala	_	_	_	_	
1-85	498-504	družbi	_	_	*->6-1	*[6]	
1-86	505-510	Trade	ORG[14]	_	*->6-1	*[6]	
1-87	511-516	Trans	ORG[14]	_	*->6-1	*[6]	
1-88	517-520	Log	ORG[14]	_	*->6-1	*[6]	
1-89	521-522	,	_	_	_	_	
1-90	523-530	odvisni	_	3 - Nevtralno[45]	*->6-2	*[6]	
1-91	531-537	družbi	_	3 - Nevtralno[45]	*->6-2	*[6]	
1-92	538-546	slovaške	_	3 - Nevtralno[45]	*->6-2	*[6]	
1-93	547-553	družbe	_	3 - Nevtralno[45]	*->6-2	*[6]	
1-94	554-559	Trade	_	3 - Nevtralno[45]	*->6-2|*->10-1	*[6]|*[10]	
1-95	560-565	Trans	_	3 - Nevtralno[45]	*->6-2|*->10-1	*[6]|*[10]	
1-96	566-572	Invest	_	3 - Nevtralno[45]	*->6-2|*->10-1	*[6]|*[10]	
1-97	573-574	(	_	3 - Nevtralno[45]	*->6-2|*->10-1	*[6]|*[10]	
1-98	575-578	TTI	ORG	3 - Nevtralno[45]	*->6-2|*->10-1	*[6]|*[10]	
1-99	579-580	)	_	_	_	_	
1-100	581-582	,	_	_	_	_	
1-101	583-585	ki	_	_	_	_	
1-102	586-588	je	_	_	*->10-2	*[10]	
1-103	589-593	tudi	_	_	_	_	
1-104	594-599	delna	_	_	_	_	
1-105	600-608	lastnica	_	_	_	_	
1-106	609-619	omenjenega	_	_	_	_	
1-107	620-629	terminala	_	_	_	_	
1-108	630-631	.	_	_	_	_	
1-109	632-639	Sočasno	_	_	_	_	
1-110	640-641	s	_	_	_	_	
1-111	642-649	prodajo	_	_	_	_	
1-112	650-656	deleža	_	_	_	_	
1-113	657-658	v	_	_	_	_	
1-114	659-667	romunski	_	_	*->4-4	*[4]	
1-115	668-674	družbi	_	_	*->4-4	*[4]	
1-116	675-677	je	_	_	_	_	
1-117	678-682	Luka	ORG[15]	_	*->2-8	*[2]	
1-118	683-688	Koper	ORG[15]|LOC[16]	_	*->2-8|*->1-7	*[2]|*[1]	
1-119	689-691	od	_	_	_	_	
1-120	692-700	slovaške	_	_	*->7-1	*[7]	
1-121	701-707	družbe	_	_	*->7-1	*[7]	
1-122	708-717	Spedition	ORG[17]	_	*->7-1	*[7]	
1-123	718-723	Trade	ORG[17]	_	*->7-1	*[7]	
1-124	724-729	Trans	ORG[17]	_	*->7-1	*[7]	
1-125	730-737	Holding	ORG[17]	_	*->7-1	*[7]	
1-126	738-745	ponovno	_	_	_	_	
1-127	746-754	odkupila	_	_	_	_	
1-128	755-757	49	_	_	_	_	
1-129	758-759	-	_	_	_	_	
1-130	760-768	odstotni	_	_	_	_	
1-131	769-774	delež	_	_	_	_	
1-132	775-776	v	_	_	_	_	
1-133	777-782	svoji	_	_	*->2-9	*[2]	
1-134	783-790	odvisni	_	_	_	_	
1-135	791-797	družbi	_	_	*->3-3	*[3]	
1-136	798-803	Adria	ORG[18]	_	*->3-3	*[3]	
1-137	804-813	Terminali	ORG[18]	_	*->3-3	*[3]	
1-138	814-815	.	_	_	_	_	
1-139	816-817	"	_	_	_	_	
1-140	818-820	Za	_	_	_	_	
1-141	821-823	ta	_	_	_	_	
1-142	824-829	korak	_	_	_	_	
1-143	830-833	smo	_	_	_	_	
1-144	834-836	se	_	_	_	_	
1-145	837-845	odločili	_	_	*->2-10	*[2]	
1-146	846-852	zaradi	_	_	_	_	
1-147	853-862	strateške	_	_	_	_	
1-148	863-872	usmeritve	_	_	_	_	
1-149	873-879	uprave	_	_	_	_	
1-150	880-882	po	_	_	_	_	
1-151	883-894	samostojnem	_	_	_	_	
1-152	895-907	obvladovanju	_	_	_	_	
1-153	908-910	in	_	_	_	_	
1-154	911-921	razvijanju	_	_	_	_	
1-155	922-931	terminala	_	_	_	_	
1-156	932-933	v	_	_	_	_	
1-157	934-940	Sežani	LOC	3 - Nevtralno	*->8-1	*[8]	
1-158	941-942	,	_	_	_	_	
1-159	943-945	ki	_	_	_	_	
1-160	946-949	ima	_	_	_	_	
1-161	950-951	v	_	_	_	_	
1-162	952-962	strategiji	_	_	_	_	
1-163	963-971	zalednih	_	_	_	_	
1-164	972-982	terminalov	_	_	_	_	
1-165	983-991	osrednjo	_	_	_	_	
1-166	992-997	vlogo	_	_	_	_	
1-167	998-999	,	_	_	_	_	
1-168	1000-1001	"	_	_	_	_	
1-169	1002-1014	pojasnjujejo	_	_	_	_	
1-170	1015-1017	iz	_	_	_	_	
1-171	1018-1022	Luke	ORG[19]	_	*->2-11	*[2]	
1-172	1023-1028	Koper	ORG[19]|LOC[20]	_	*->2-11|*->1-8	*[2]|*[1]	
1-173	1029-1030	.	_	_	_	_	
1-174	1031-1037	Družbo	_	_	*->3-4	*[3]	
1-175	1038-1043	Adria	ORG[21]	_	*->3-4	*[3]	
1-176	1044-1053	Terminali	ORG[21]	_	*->3-4	*[3]	
1-177	1054-1056	je	_	_	_	_	
1-178	1057-1061	Luka	ORG[22]	_	*->2-12	*[2]	
1-179	1062-1067	Koper	ORG[22]|LOC[23]	_	*->2-12|*->1-9	*[2]|*[1]	
1-180	1068-1073	sicer	_	_	_	_	
1-181	1074-1084	ustanovila	_	_	_	_	
1-182	1085-1089	leta	_	_	_	_	
1-183	1090-1094	2007	_	_	_	_	
1-184	1095-1096	.	_	_	_	_	
1-185	1097-1099	Po	_	_	_	_	
1-186	1100-1106	odkupu	_	_	_	_	
1-187	1107-1109	10	_	_	_	_	
1-188	1110-1111	-	_	_	_	_	
1-189	1112-1122	odstotnega	_	_	_	_	
1-190	1123-1129	deleža	_	_	_	_	
1-191	1130-1131	v	_	_	_	_	
1-192	1132-1140	slovaški	_	_	*->10-3	*[10]	
1-193	1141-1144	TTI	ORG	_	*->10-3	*[10]	
1-194	1145-1147	je	_	_	_	_	
1-195	1148-1150	49	_	_	_	_	
1-196	1151-1152	-	_	_	_	_	
1-197	1153-1161	odstotni	_	_	_	_	
1-198	1162-1167	delež	_	_	_	_	
1-199	1168-1173	Adrie	ORG[24]	_	*->3-5	*[3]	
1-200	1174-1183	Terminali	ORG[24]	_	*->3-5	*[3]	
1-201	1184-1191	prodala	_	_	_	_	
1-202	1192-1200	slovaški	_	3 - Nevtralno[46]	*->7-2	*[7]	
1-203	1201-1207	družbi	_	3 - Nevtralno[46]	*->7-2	*[7]	
1-204	1208-1217	Spedition	ORG[25]	3 - Nevtralno[46]	*->7-2	*[7]	
1-205	1218-1223	Trade	ORG[25]	3 - Nevtralno[46]	*->7-2	*[7]	
1-206	1224-1229	Trans	ORG[25]	3 - Nevtralno[46]	*->7-2	*[7]	
1-207	1230-1237	Holding	ORG[25]	3 - Nevtralno[46]	*->7-2	*[7]	
1-208	1238-1239	,	_	_	_	_	
1-209	1240-1242	ki	_	_	_	_	
1-210	1243-1246	naj	_	_	_	_	
1-211	1247-1249	bi	_	_	_	_	
1-212	1250-1254	bila	_	_	_	_	
1-213	1255-1264	lastniško	_	_	_	_	
1-214	1265-1269	tudi	_	_	_	_	
1-215	1270-1278	povezani	_	_	_	_	
1-216	1279-1280	s	_	_	_	_	
1-217	1281-1284	TTI	ORG	_	*->10-4	*[10]	
1-218	1285-1286	.	_	_	_	_	
1-219	1287-1289	Po	_	_	_	_	
1-220	1290-1298	navedbah	_	_	_	_	
1-221	1299-1301	iz	_	_	_	_	
1-222	1302-1306	Luke	ORG[26]	_	*->2-13	*[2]	
1-223	1307-1312	Koper	ORG[26]|LOC[27]	_	*->2-13|*->1-10	*[2]|*[1]	
1-224	1313-1315	so	_	_	_	_	
1-225	1316-1321	posel	_	_	_	_	
1-226	1322-1328	takrat	_	_	_	_	
1-227	1329-1337	sklenili	_	_	_	_	
1-228	1338-1344	zaradi	_	_	_	_	
1-229	1345-1357	pričakovanih	_	_	_	_	
1-230	1358-1370	sinergijskih	_	_	_	_	
1-231	1371-1378	učinkov	_	_	_	_	
1-232	1379-1380	,	_	_	_	_	
1-233	1381-1383	ki	_	_	_	_	
1-234	1384-1387	naj	_	_	_	_	
1-235	1388-1390	bi	_	_	_	_	
1-236	1391-1394	jih	_	_	_	_	
1-237	1395-1404	pripeljal	_	_	_	_	
1-238	1405-1408	nov	_	_	*->4-5	*[4]	
1-239	1409-1416	lastnik	_	_	*->4-5	*[4]	
1-240	1417-1418	.	_	_	_	_	
1-241	1419-1425	Koliko	_	_	_	_	
1-242	1426-1428	so	_	_	_	_	
1-243	1429-1430	v	_	_	_	_	
1-244	1431-1435	Luki	ORG[28]	_	*->2-14	*[2]	
1-245	1436-1441	Koper	ORG[28]|LOC[29]	_	*->2-14|*->1-11	*[2]|*[1]	
1-246	1442-1449	odšteli	_	_	_	_	
1-247	1450-1452	za	_	_	_	_	
1-248	1453-1458	odkup	_	_	_	_	
1-249	1459-1461	49	_	_	_	_	
1-250	1462-1463	-	_	_	_	_	
1-251	1464-1474	odstotnega	_	_	_	_	
1-252	1475-1481	deleža	_	_	_	_	
1-253	1482-1487	Adrie	ORG[30]	3 - Nevtralno[47]	*->3-6	*[3]	
1-254	1488-1497	Terminali	ORG[30]	3 - Nevtralno[47]	*->3-6	*[3]	
1-255	1498-1500	in	_	_	_	_	
1-256	1501-1507	koliko	_	_	_	_	
1-257	1508-1510	so	_	_	_	_	
1-258	1511-1519	iztržili	_	_	*->2-15	*[2]	
1-259	1520-1522	od	_	_	_	_	
1-260	1523-1530	prodaje	_	_	_	_	
1-261	1531-1537	deleža	_	_	_	_	
1-262	1538-1539	v	_	_	_	_	
1-263	1540-1548	romunski	_	3 - Nevtralno[48]	*->4-6	*[4]	
1-264	1549-1554	Trade	ORG[31]	3 - Nevtralno[48]	*->4-6	*[4]	
1-265	1555-1560	Trans	ORG[31]	3 - Nevtralno[48]	*->4-6	*[4]	
1-266	1561-1569	Terminal	ORG[31]	3 - Nevtralno[48]	*->4-6	*[4]	
1-267	1570-1571	,	_	_	_	_	
1-268	1572-1574	je	_	_	_	_	
1-269	1575-1577	po	_	_	_	_	
1-270	1578-1586	navedbah	_	_	_	_	
1-271	1587-1589	iz	_	_	_	_	
1-272	1590-1594	Luke	ORG[32]	_	*->2-16	*[2]	
1-273	1595-1600	Koper	ORG[32]|LOC[33]	_	*->2-16|*->1-12	*[2]|*[1]	
1-274	1601-1609	poslovna	_	_	_	_	
1-275	1610-1619	skrivnost	_	_	_	_	
1-276	1620-1621	.	_	_	_	_	
1-277	1622-1624	So	_	_	*->2-17	*[2]	
1-278	1625-1627	pa	_	_	_	_	
1-279	1628-1637	pojasnili	_	_	_	_	
1-280	1638-1639	,	_	_	_	_	
1-281	1640-1642	da	_	_	_	_	
1-282	1643-1645	je	_	_	_	_	
1-283	1646-1653	cenitve	_	_	_	_	
1-284	1654-1662	opravila	_	_	_	_	
1-285	1663-1672	neodvisna	_	_	_	_	
1-286	1673-1683	revizijska	_	_	_	_	
1-287	1684-1688	hiša	_	_	_	_	
1-288	1689-1691	in	_	_	_	_	
1-289	1692-1694	da	_	_	_	_	
1-290	1695-1698	naj	_	_	_	_	
1-291	1699-1701	bi	_	_	_	_	
1-292	1702-1706	bila	_	_	_	_	
1-293	1707-1713	deleža	_	_	_	_	
1-294	1714-1721	podobno	_	_	_	_	
1-295	1722-1730	ocenjena	_	_	_	_	
1-296	1731-1732	.	_	_	_	_	
1-297	1733-1740	Pogodbe	_	_	_	_	
1-298	1741-1742	o	_	_	_	_	
1-299	1743-1749	nakupu	_	_	_	_	
1-300	1750-1752	in	_	_	_	_	
1-301	1753-1760	prodaji	_	_	_	_	
1-302	1761-1763	so	_	_	*->2-18	*[2]	
1-303	1764-1773	podpisali	_	_	*->2-18	*[2]	
1-304	1774-1775	v	_	_	_	_	
1-305	1776-1786	ponedeljek	_	_	_	_	
1-306	1787-1788	.	_	_	_	_	
1-307	1789-1791	Za	_	_	_	_	
1-308	1792-1797	nakup	_	_	_	_	
1-309	1798-1800	10	_	_	_	_	
1-310	1801-1802	-	_	_	_	_	
1-311	1803-1813	odstotnega	_	_	_	_	
1-312	1814-1820	deleža	_	_	_	_	
1-313	1821-1822	v	_	_	_	_	
1-314	1823-1826	TTI	ORG	3 - Nevtralno	*->10-5	*[10]	
1-315	1827-1829	je	_	_	_	_	
1-316	1830-1834	Luka	ORG[34]	_	*->2-19	*[2]	
1-317	1835-1840	Koper	ORG[34]|LOC[35]	_	*->2-19|*->1-13	*[2]|*[1]	
1-318	1841-1848	odštela	_	_	_	_	
1-319	1849-1853	25,8	_	_	_	_	
1-320	1854-1862	milijona	_	_	_	_	
1-321	1863-1868	evrov	_	_	_	_	
1-322	1869-1870	,	_	_	_	_	
1-323	1871-1873	po	_	_	_	_	
1-324	1874-1884	opravljeni	_	_	_	_	
1-325	1885-1892	cenitvi	_	_	_	_	
1-326	1893-1895	pa	_	_	_	_	
1-327	1896-1898	je	_	_	_	_	
1-328	1899-1907	trenutna	_	_	_	_	
1-329	1908-1916	vrednost	_	_	_	_	
1-330	1917-1924	naložbe	_	_	_	_	
1-331	1925-1927	le	_	_	_	_	
1-332	1928-1929	5	_	_	_	_	
1-333	1930-1939	milijonov	_	_	_	_	
1-334	1940-1945	evrov	_	_	_	_	
1-335	1946-1947	.	_	_	_	_	
1-336	1948-1950	Po	_	_	_	_	
1-337	1951-1956	oceni	_	_	_	_	
1-338	1957-1964	vodstva	_	_	_	_	
1-339	1965-1969	Luke	ORG[36]	_	*->2-20	*[2]	
1-340	1970-1975	Koper	ORG[36]|LOC[37]	_	*->2-20|*->1-14	*[2]|*[1]	
1-341	1976-1979	naj	_	_	_	_	
1-342	1980-1982	bi	_	_	_	_	
1-343	1983-1987	bila	_	_	_	_	
1-344	1988-1992	Luka	ORG[38]	_	*->2-21	*[2]	
1-345	1993-1998	Koper	ORG[38]|LOC[39]	_	*->2-21|*->1-15	*[2]|*[1]	
1-346	1999-2005	zaradi	_	_	_	_	
1-347	2006-2012	nakupa	_	_	_	_	
1-348	2013-2017	tako	_	_	_	_	
1-349	2018-2028	oškodovana	_	_	_	_	
1-350	2029-2031	za	_	_	_	_	
1-351	2032-2041	približno	_	_	_	_	
1-352	2042-2044	20	_	_	_	_	
1-353	2045-2054	milijonov	_	_	_	_	
1-354	2055-2060	evrov	_	_	_	_	
1-355	2061-2062	.	_	_	_	_	
1-356	2063-2066	Pač	_	_	_	_	
1-357	2067-2069	pa	_	_	_	_	
1-358	2070-2074	Luka	ORG[40]	_	*->2-22	*[2]	
1-359	2075-2080	Koper	ORG[40]|LOC[41]	_	*->2-22|*->1-16	*[2]|*[1]	
1-360	2081-2087	ostaja	_	_	_	_	
1-361	2088-2098	tretjinski	_	_	_	_	
1-362	2099-2106	lastnik	_	_	_	_	
1-363	2107-2113	družbe	_	_	*->9-1	*[9]	
1-364	2114-2118	Rail	ORG[42]	_	*->9-1	*[9]	
1-365	2119-2123	Port	ORG[42]	_	*->9-1	*[9]	
1-366	2124-2128	Arad	ORG[42]	_	*->9-1	*[9]	
1-367	2129-2130	,	_	_	_	_	
1-368	2131-2133	ki	_	_	_	_	
1-369	2134-2142	upravlja	_	_	*->9-2	*[9]	
1-370	2143-2144	s	_	_	_	_	
1-371	2145-2155	terminalom	_	_	_	_	
1-372	2156-2158	za	_	_	_	_	
1-373	2159-2171	kontejnerske	_	_	_	_	
1-374	2172-2178	tovore	_	_	_	_	
1-375	2179-2180	v	_	_	_	_	
1-376	2181-2190	romunskem	_	_	_	_	
1-377	2191-2196	Aradu	LOC	3 - Nevtralno	*->5-2	*[5]	
1-378	2197-2198	.	_	_	_	_	
1-379	2199-2201	Po	_	_	_	_	
1-380	2202-2210	navedbah	_	_	_	_	
1-381	2211-2213	iz	_	_	_	_	
1-382	2214-2218	Luke	ORG[43]	3 - Nevtralno[49]	*->2-23	*[2]	
1-383	2219-2224	Koper	ORG[43]|LOC[44]	3 - Nevtralno[49]|3 - Nevtralno[50]	*->2-23|*->1-17	*[2]|*[1]	
1-384	2225-2228	gre	_	_	_	_	
1-385	2229-2231	za	_	_	_	_	
1-386	2232-2244	perspektivno	_	_	_	_	
1-387	2245-2252	naložbo	_	_	_	_	
1-388	2253-2254	,	_	_	_	_	
1-389	2255-2259	zato	_	_	_	_	
1-390	2260-2261	o	_	_	_	_	
1-391	2262-2269	izstopu	_	_	_	_	
1-392	2270-2272	iz	_	_	_	_	
1-393	2273-2275	te	_	_	_	_	
1-394	2276-2282	družbe	_	2 - Negativno	*->9-3	*[9]	
1-395	2283-2285	ne	_	_	_	_	
1-396	2286-2297	razmišljajo	_	_	_	_	
