#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Pivovarna Laško je , potem ko ji je Urad za varstvo konkurence začasno prepovedal razpolaganje z delnicami Mercatorja , proti temu organu vložila tožbo . Kad pa predlaga dokapitalizacijo družbe . Predsednik uprave Skupine Pivovarne Laško Dušan Zorko Družba Skupina Pivovarna Laško je vložila tožbo zoper Urad za varstvo konkurence UVK , ker je ta v torek tik pred sejo nadzornega sveta izdal odločbo o omejitvi razpolaganja z delnicami Mercatorja . Skupina je namreč 23,34 - odstotna lastnica največjega slovenskega trgovskega podjetja . 30 . aprila se izteče rok za odločanje o prodaji Mercatorjevih delnic hrvaškemu Agrokorju . Pivovarna Laško , ki mora Mercatorjeve delnice prodati , je nameravala to storiti . To je že četrti poskus prodaje Mercatorja , prodajali so ga že pred mojim vstopom v Laško , pa ga je vedno nekdo ustavil . Sprejemam stališče , da je Mercator neki strateški interes , jaz pa odgovarjam za sanacijo Skupine Pivovarna Laško in za njeno upravljanje , je za časopis Delo povedal predsednik uprave Skupine Pivovarne Laško Dušan Zorko . Banke , ki so lastnice okoli 53 - odstotnega deleža Pivovarne Laško , so zahtevale , da družba proda svoj osnovni kapital , ki ni potreben za pijačarski posel , to pa pomeni , da mora prodati delnice Mercatorja , Dela in Večera . Do zdaj niso prodali še nobene delnice teh podjetij , pri tem pa se Zorko sprašuje , kako naj kaj prodajo , če pa jim preprečujejo samostojno odločanje o njihovem premoženju . Smo tik pred tem , da umremo , če nam ne uspe prodati nepotrebnega premoženja in reprogramirati kreditov , še dodaja Zorko . 30 . aprila jim namreč zapade kredit v višini 9 milijonov evrov , do konca junija pa bi morali reprogramirati večino od 450 milijonov evrov posojil . Z urada za varstvo konkurence pa so sporočili , da so v torek izdali odločbo Centralno klirinško depotni družbi KDD , s katero so ji naložili , da prepove izvedbo lastništva delnic Mercatorja do izdaje odločbe o skladnosti koncentracije s pravili konkurence . Ta odločba družbi KDD se nanaša na postopek , ki ga je urad uvedel po uradni dolžnosti s sklepom z dne 30 . marca , ker je bila izkazana verjetnost , da je prišlo do koncentracije , ki je podrejena določbam zakona o preprečevanju omejevanja konkurence , in je podjetja , ki bi morala koncentracijo priglasiti uradu , niso priglasila . Nadzorniki Laškega naj bi v petek znova razpravljal o prodaji svojega deleža v Mercatorju hrvaškemu Agrokorju . Nadzorniki naj bi zaradi odločbe varuha konkurence odločali o morebitni prodaji deleža z odložnim pogojem , razpravljali pa naj bi tudi o pridružitvi konzorciju bank za skupno prodajo delnic Mercatorja . Kad želi dokapitalizacijo pivovarne Sicer pa Kapitalska družba Kad zahteva sklic skupščine družbe Pivovarne Laško , na katerem bi odločali glede predloga o dopolnitvi statuta družbe z določilom o odobrenem kapitalu . To določilo bi upravo pooblaščalo , da v obdobju petih let po vpisu dopolnitve statuta v sodni register poveča osnovni kapital družbe do 50 odstotkov osnovnega kapitala družbe , ki obstaja v času sprejema dopolnitev statuta , kar predstavlja največ 18,25 milijona evrov , z izdajo novih delnic za denarne vložke . Pri tem je Kad v zahtevi zapisal , da , v kolikor bo uprava družbe ocenila , da so izpolnjeni pogoji za odločanje delničarjev na skupščini o rednem povečanju osnovnega kapitala , skupščini s predlaganimi sklepi o rednem povečanju osnovnega kapitala ne bo nasprotoval , ampak bo štel , da je s takšnim sklicem skupščine ugodeno njegovi zahtevi . VZMD poziva upravo Pivovarne Laško , da sprejme edino smiselno in poslovno neškodljivo odločitev ter podpiše sporazum o skupni prodaji večinskega paketa delnic . Vsakršna drugačna odločitev bi po mnenju strokovnih sodelavcev VZMD lahko dodatno ogrozila perspektivo ter celo obstoj Pivovarne Laško . Hkrati v Kadu kot 7,06 - odstotnem lastniku Pivovarne Laško dodajajo , da so pod ekonomsko upravičenimi pogoji pripravljeni sodelovati v sorazmernem deležu pri dokapitalizaciji družbe . Pri tem pozivajo upravo družbe , da skupščina zaseda čim prej , vendar ne pozneje kot v dveh mesecih od prejema zahteve , sicer bodo uveljavili svoje korporacijske pravice v skladu z zakonodajo . V Kadu svojo zahtevo pojasnjujejo s tem , da je finančni položaj skupine Pivovarna Laško zelo resen . Kapital skupine je konec leta 2010 znašal 131,9 milijona evrov in je bil za 30,7 milijona evrov manjši kot konec leta 2009 . Poleg tega visok finančni dolg obremenjuje tekoče poslovanje ter ogroža obstoj in razvoj skupine . Foto Damjan Žibert Ostali bi prezadolženi Konec leta 2010 je skupina izkazovala primanjkljaj obratnega kapitala v višini 44,7 milijona evrov , finančne obveznosti pa so znašale 397,5 milijona evrov . V Kadu menijo , da bi kljub morebitni uspešni izvedbi odprodaje finančnih naložb in poslovno nepotrebnega premoženja obvladujoča družba še vedno ostala prezadolžena . Ob tem navajajo , da razmerje med finančnim dolgom in lastniškim kapitalom skupine znaša 3,0 , finančni odhodki z naslova obresti na dolg matične družbe pa so v letu 2010 znašali 13 milijonov evrov in za 1,8 milijona evrov presegli ustvarjen dobiček iz poslovanja . Tako visoke obresti ogrožajo nemoteno poslovanje in razvoj družbe . S povečanjem trajnih virov bi družba omogočila ohranjanje in povečevanje vrednosti premoženja svojim lastnikom , je zapisal predsednik uprave Kada Borut Jamnik in dodal , da bodo dodatni viri imeli ugoden učinek na vrednost delnice oziroma lastniškega premoženja
1-1	0-9	Pivovarna	ORG[1]	_	*->1-1	*[1]	
1-106	677-684	prodati	_	_	_	_	
1-107	685-686	,	_	_	_	_	
1-108	687-689	je	_	_	_	_	
1-109	690-700	nameravala	_	_	_	_	
1-110	701-703	to	_	_	_	_	
1-111	704-711	storiti	_	_	_	_	
1-112	712-713	.	_	_	_	_	
1-113	714-716	To	_	_	_	_	
1-114	717-719	je	_	_	_	_	
1-115	720-722	že	_	_	_	_	
1-116	723-729	četrti	_	_	_	_	
1-117	730-736	poskus	_	_	_	_	
1-118	737-744	prodaje	_	_	_	_	
1-119	745-755	Mercatorja	ORG	_	*->6-6	*[6]	
1-120	756-757	,	_	_	_	_	
1-121	758-767	prodajali	_	_	_	_	
1-122	768-770	so	_	_	_	_	
1-123	771-773	ga	_	_	*->6-7	*[6]	
1-124	774-776	že	_	_	_	_	
1-125	777-781	pred	_	_	_	_	
1-126	782-787	mojim	_	_	*->3-2	*[3]	
1-127	788-795	vstopom	_	_	_	_	
1-128	796-797	v	_	_	_	_	
1-129	798-803	Laško	ORG	_	*->1-10	*[1]	
1-130	804-805	,	_	_	_	_	
1-131	806-808	pa	_	_	_	_	
1-132	809-811	ga	_	_	*->6-8	*[6]	
1-133	812-814	je	_	_	_	_	
1-134	815-820	vedno	_	_	_	_	
1-135	821-826	nekdo	_	_	_	_	
1-136	827-834	ustavil	_	_	_	_	
1-137	835-836	.	_	_	_	_	
1-138	837-846	Sprejemam	_	_	*->3-3	*[3]	
1-139	847-855	stališče	_	_	_	_	
1-140	856-857	,	_	_	_	_	
1-141	858-860	da	_	_	_	_	
1-142	861-863	je	_	_	_	_	
1-143	864-872	Mercator	ORG	_	*->6-9	*[6]	
1-144	873-877	neki	_	_	_	_	
1-145	878-887	strateški	_	_	_	_	
1-146	888-895	interes	_	_	_	_	
1-147	896-897	,	_	_	_	_	
1-148	898-901	jaz	_	_	*->3-4	*[3]	
1-149	902-904	pa	_	_	_	_	
1-150	905-915	odgovarjam	_	_	_	_	
1-151	916-918	za	_	_	_	_	
1-152	919-927	sanacijo	_	_	_	_	
1-153	928-935	Skupine	_	_	*->1-11	*[1]	
1-154	936-945	Pivovarna	ORG[12]	_	*->1-11	*[1]	
1-155	946-951	Laško	ORG[12]|LOC[13]	_	*->1-11|*->11-5	*[1]|*[11]	
1-156	952-954	in	_	_	_	_	
1-157	955-957	za	_	_	_	_	
1-158	958-963	njeno	_	_	*->1-12	*[1]	
1-159	964-975	upravljanje	_	_	_	_	
1-160	976-977	,	_	_	_	_	
1-161	978-980	je	_	_	_	_	
1-162	981-983	za	_	_	_	_	
1-163	984-991	časopis	_	_	*->5-1	*[5]	
1-164	992-996	Delo	ORG	_	*->5-1	*[5]	
1-165	997-1004	povedal	_	_	_	_	
1-166	1005-1015	predsednik	_	_	*->3-5	*[3]	
1-167	1016-1022	uprave	_	_	*->3-5	*[3]	
1-168	1023-1030	Skupine	_	_	*->3-5|*->1-13	*[3]|*[1]	
1-169	1031-1040	Pivovarne	ORG[14]	_	*->3-5|*->1-13	*[3]|*[1]	
1-170	1041-1046	Laško	ORG[14]|LOC[15]	_	*->3-5|*->1-13|*->11-6	*[3]|*[1]|*[11]	
1-171	1047-1052	Dušan	PER[16]	_	*->3-5	*[3]	
1-172	1053-1058	Zorko	PER[16]	_	*->3-5	*[3]	
1-173	1059-1060	.	_	_	_	_	
1-174	1061-1066	Banke	_	_	_	_	
1-175	1067-1068	,	_	_	_	_	
1-176	1069-1071	ki	_	_	_	_	
1-177	1072-1074	so	_	_	_	_	
1-178	1075-1083	lastnice	_	_	_	_	
1-179	1084-1089	okoli	_	_	_	_	
1-180	1090-1092	53	_	_	_	_	
1-181	1093-1094	-	_	_	_	_	
1-182	1095-1105	odstotnega	_	_	_	_	
1-183	1106-1112	deleža	_	_	_	_	
1-184	1113-1122	Pivovarne	ORG[17]	_	*->1-14	*[1]	
1-185	1123-1128	Laško	ORG[17]|LOC[18]	_	*->1-14|*->11-7	*[1]|*[11]	
1-186	1129-1130	,	_	_	_	_	
1-187	1131-1133	so	_	_	_	_	
1-188	1134-1143	zahtevale	_	_	_	_	
1-189	1144-1145	,	_	_	_	_	
1-190	1146-1148	da	_	_	_	_	
1-191	1149-1155	družba	_	_	*->1-15	*[1]	
1-192	1156-1161	proda	_	_	_	_	
1-193	1162-1166	svoj	_	_	_	_	
1-194	1167-1174	osnovni	_	_	_	_	
1-195	1175-1182	kapital	_	_	_	_	
1-196	1183-1184	,	_	_	_	_	
1-197	1185-1187	ki	_	_	_	_	
1-198	1188-1190	ni	_	_	_	_	
1-199	1191-1199	potreben	_	_	_	_	
1-200	1200-1202	za	_	_	_	_	
1-201	1203-1213	pijačarski	_	_	_	_	
1-202	1214-1219	posel	_	_	_	_	
1-203	1220-1221	,	_	_	_	_	
1-204	1222-1224	to	_	_	_	_	
1-205	1225-1227	pa	_	_	_	_	
1-206	1228-1234	pomeni	_	_	_	_	
1-207	1235-1236	,	_	_	_	_	
1-208	1237-1239	da	_	_	_	_	
1-209	1240-1244	mora	_	_	*->1-16	*[1]	
1-210	1245-1252	prodati	_	_	_	_	
1-211	1253-1260	delnice	_	_	_	_	
1-212	1261-1271	Mercatorja	ORG	_	*->6-10	*[6]	
1-213	1272-1273	,	_	_	_	_	
1-214	1274-1278	Dela	ORG	3 - Nevtralno	*->5-2	*[5]	
1-215	1279-1281	in	_	_	_	_	
1-216	1282-1288	Večera	ORG	3 - Nevtralno	*->7-1	*[7]	
1-217	1289-1290	.	_	_	_	_	
1-218	1291-1293	Do	_	_	_	_	
1-219	1294-1298	zdaj	_	_	_	_	
1-220	1299-1303	niso	_	_	_	_	
1-221	1304-1311	prodali	_	_	*->1-17	*[1]	
1-222	1312-1314	še	_	_	_	_	
1-223	1315-1321	nobene	_	_	_	_	
1-224	1322-1329	delnice	_	_	_	_	
1-225	1330-1333	teh	_	_	_	_	
1-226	1334-1342	podjetij	_	_	_	_	
1-227	1343-1344	,	_	_	_	_	
1-228	1345-1348	pri	_	_	_	_	
1-229	1349-1352	tem	_	_	_	_	
1-230	1353-1355	pa	_	_	_	_	
1-231	1356-1358	se	_	_	_	_	
1-232	1359-1364	Zorko	PER	_	*->3-6	*[3]	
1-233	1365-1373	sprašuje	_	_	_	_	
1-234	1374-1375	,	_	_	_	_	
1-235	1376-1380	kako	_	_	_	_	
1-236	1381-1384	naj	_	_	_	_	
1-237	1385-1388	kaj	_	_	_	_	
1-238	1389-1396	prodajo	_	_	*->1-18	*[1]	
1-239	1397-1398	,	_	_	_	_	
1-240	1399-1401	če	_	_	_	_	
1-241	1402-1404	pa	_	_	_	_	
1-242	1405-1408	jim	_	_	*->1-19	*[1]	
1-243	1409-1421	preprečujejo	_	_	_	_	
1-244	1422-1432	samostojno	_	_	_	_	
1-245	1433-1442	odločanje	_	_	_	_	
1-246	1443-1444	o	_	_	_	_	
1-247	1445-1453	njihovem	_	_	*->1-20	*[1]	
1-248	1454-1464	premoženju	_	_	_	_	
1-249	1465-1466	.	_	_	_	_	
1-250	1467-1470	Smo	_	_	*->1-21	*[1]	
1-251	1471-1474	tik	_	_	_	_	
1-252	1475-1479	pred	_	_	_	_	
1-253	1480-1483	tem	_	_	_	_	
1-254	1484-1485	,	_	_	_	_	
1-255	1486-1488	da	_	_	_	_	
1-256	1489-1495	umremo	_	_	*->1-22	*[1]	
1-257	1496-1497	,	_	_	_	_	
1-258	1498-1500	če	_	_	_	_	
1-259	1501-1504	nam	_	_	_	_	
1-260	1505-1507	ne	_	_	_	_	
1-261	1508-1512	uspe	_	_	*->1-23	*[1]	
1-262	1513-1520	prodati	_	_	_	_	
1-263	1521-1533	nepotrebnega	_	_	_	_	
1-264	1534-1544	premoženja	_	_	_	_	
1-265	1545-1547	in	_	_	_	_	
1-266	1548-1562	reprogramirati	_	_	_	_	
1-267	1563-1571	kreditov	_	_	_	_	
1-268	1572-1573	,	_	_	_	_	
1-269	1574-1576	še	_	_	_	_	
1-270	1577-1583	dodaja	_	_	_	_	
1-271	1584-1589	Zorko	PER	3 - Nevtralno	*->3-7	*[3]	
1-272	1590-1591	.	_	_	_	_	
1-273	1592-1594	30	_	_	_	_	
1-274	1595-1596	.	_	_	_	_	
1-275	1597-1603	aprila	_	_	_	_	
1-276	1604-1607	jim	_	_	*->1-24	*[1]	
1-277	1608-1614	namreč	_	_	_	_	
1-278	1615-1621	zapade	_	_	_	_	
1-279	1622-1628	kredit	_	_	_	_	
1-280	1629-1630	v	_	_	_	_	
1-281	1631-1637	višini	_	_	_	_	
1-282	1638-1639	9	_	_	_	_	
1-283	1640-1649	milijonov	_	_	_	_	
1-284	1650-1655	evrov	_	_	_	_	
1-285	1656-1657	,	_	_	_	_	
1-286	1658-1660	do	_	_	_	_	
1-287	1661-1666	konca	_	_	_	_	
1-288	1667-1673	junija	_	_	_	_	
1-289	1674-1676	pa	_	_	_	_	
1-290	1677-1679	bi	_	_	_	_	
1-291	1680-1686	morali	_	_	*->1-25	*[1]	
1-292	1687-1701	reprogramirati	_	_	_	_	
1-293	1702-1708	večino	_	_	_	_	
1-294	1709-1711	od	_	_	_	_	
1-295	1712-1715	450	_	_	_	_	
1-296	1716-1725	milijonov	_	_	_	_	
1-297	1726-1731	evrov	_	_	_	_	
1-298	1732-1739	posojil	_	_	_	_	
1-299	1740-1741	.	_	_	_	_	
1-300	1742-1743	Z	_	_	_	_	
1-301	1744-1749	urada	_	_	*->2-6	*[2]	
1-302	1750-1752	za	_	_	*->2-6	*[2]	
1-303	1753-1760	varstvo	_	_	*->2-6	*[2]	
1-304	1761-1771	konkurence	_	_	*->2-6	*[2]	
1-305	1772-1774	pa	_	_	_	_	
1-306	1775-1777	so	_	_	_	_	
1-307	1778-1787	sporočili	_	_	_	_	
1-308	1788-1789	,	_	_	_	_	
1-309	1790-1792	da	_	_	_	_	
1-310	1793-1795	so	_	_	_	_	
1-311	1796-1797	v	_	_	_	_	
1-312	1798-1803	torek	_	_	_	_	
1-313	1804-1810	izdali	_	_	_	_	
1-314	1811-1818	odločbo	_	_	_	_	
1-315	1819-1828	Centralno	ORG[19]	_	*->8-1	*[8]	
1-316	1829-1838	klirinško	ORG[19]	_	*->8-1	*[8]	
1-317	1839-1846	depotni	ORG[19]	_	*->8-1	*[8]	
1-318	1847-1853	družbi	ORG[19]	_	*->8-1	*[8]	
1-319	1854-1857	KDD	ORG[19]	_	*->8-1	*[8]	
1-320	1858-1859	,	_	_	_	_	
1-321	1860-1861	s	_	_	_	_	
1-322	1862-1868	katero	_	_	_	_	
1-323	1869-1871	so	_	_	_	_	
1-324	1872-1874	ji	_	_	*->8-2	*[8]	
1-325	1875-1883	naložili	_	_	_	_	
1-326	1884-1885	,	_	_	_	_	
1-327	1886-1888	da	_	_	_	_	
1-328	1889-1896	prepove	_	_	*->8-3	*[8]	
1-329	1897-1904	izvedbo	_	_	_	_	
1-330	1905-1915	lastništva	_	_	_	_	
1-331	1916-1922	delnic	_	_	_	_	
1-332	1923-1933	Mercatorja	ORG	_	*->6-11	*[6]	
1-333	1934-1936	do	_	_	_	_	
1-334	1937-1943	izdaje	_	_	_	_	
1-335	1944-1951	odločbe	_	_	_	_	
1-336	1952-1953	o	_	_	_	_	
1-337	1954-1964	skladnosti	_	_	_	_	
1-338	1965-1978	koncentracije	_	_	_	_	
1-339	1979-1980	s	_	_	_	_	
1-340	1981-1988	pravili	_	_	_	_	
