#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Sevnica - Lisca je na ravni matične družbe do konca septembra ustvarila 15 milijonov evrov prihodkov , kar je sedem odstotkov manj kot v enakem obdobju lani . Do konca leta bo Lisca ustvarila 20 milijonov evrov prihodkov , na ravni skupine pa 30 milijonov evrov . Čisti dobiček naj bi ob koncu leta dosegel pol milijona evrov . Kot so za STA povedali v Lisci , se je prodaja v prvih devetih mesecih zmanjšala na trgih nekdanje Jugoslavije , povečala pa na trgih zahodne Evrope , predvsem v Nemčiji in Rusiji , ki sta za Lisco - ta letos praznuje 55 let obstoja , kar bodo danes obeležili tudi na modni reviji - strateška trga . Lisca vse prihodke ustvari izključno pod lastnima blagovnima znamkama Lisca in Cheek by Lisca . Petino prodaje ustvari v Sloveniji , ostalo pa v evropskih državah in na Bližnjem vzhodu . Največ blaga je Lisca prodala v Sloveniji , na Hrvaškem in v Nemčiji . Lisca tudi letos nadaljuje z odpiranjem novih prodajnih mest , samo v oktobru so oz . še bodo odprli tri nova , in sicer v Pragi , Zagrebu in v Cityparku v Ljubljani . Glavni izziv za leto 2011 za Lisco predstavlja vstop na kitajski trg . S kitajskimi partnerji , ki bodo danes prišli tudi na modno revijo , bodo predvidoma novembra podpisali pogodbo o sodelovanju . Lisca bo ob 55 . rojstnem dnevu danes v Ljubljani pripravila tradicionalni modni dogodek , na katerem bodo med drugim predstavili ekskluzivno linijo prestige , ki jih je Liscina oblikovalka Suzana Gorišek oblikovala posebej za to priložnost , in linijo perila lisca selection s kristali Swarovski . Modne kolekcije so ustvarjale Liscine kreatorke Suzana Gorišek , Melita Letnar , Marjana Češnjevar , Ksenja Dermelj in Maja Ratajc pod vodstvom direktorice razvoja Lisce , Dragice Gantar . Na modni brvi bodo tudi tokrat znane slovenske in hrvaške manekenke , med drugimi Iris Mulej , Natalija Osolnik , Nika Globokar , Nadija Byčkova , Tina Katanić , Antea Kodžoman in druge
1-1	0-7	Sevnica	LOC	3 - Nevtralno	*->1-1	*[1]	
1-100	531-536	letos	_	_	_	_	
1-101	537-545	praznuje	_	_	_	_	
1-102	546-548	55	_	_	_	_	
1-103	549-552	let	_	_	_	_	
1-104	553-560	obstoja	_	_	_	_	
1-105	561-562	,	_	_	_	_	
1-106	563-566	kar	_	_	_	_	
1-107	567-571	bodo	_	_	_	_	
1-108	572-577	danes	_	_	_	_	
1-109	578-587	obeležili	_	_	_	_	
1-110	588-592	tudi	_	_	_	_	
1-111	593-595	na	_	_	_	_	
1-112	596-601	modni	_	_	_	_	
1-113	602-608	reviji	_	_	_	_	
1-114	609-610	-	_	_	_	_	
1-115	611-620	strateška	_	_	_	_	
1-116	621-625	trga	_	_	_	_	
1-117	626-627	.	_	_	_	_	
1-118	628-633	Lisca	ORG	_	*->2-5	*[2]	
1-119	634-637	vse	_	_	_	_	
1-120	638-646	prihodke	_	_	_	_	
1-121	647-654	ustvari	_	_	_	_	
1-122	655-664	izključno	_	_	_	_	
1-123	665-668	pod	_	_	_	_	
1-124	669-677	lastnima	_	_	_	_	
1-125	678-688	blagovnima	_	_	_	_	
1-126	689-697	znamkama	_	_	_	_	
1-127	698-703	Lisca	ORG	_	*->2-6	*[2]	
1-128	704-706	in	_	_	_	_	
1-129	707-712	Cheek	_	_	_	_	
1-130	713-715	by	_	_	_	_	
1-131	716-721	Lisca	ORG	_	*->2-7	*[2]	
1-132	722-723	.	_	_	_	_	
1-133	724-730	Petino	_	_	_	_	
1-134	731-738	prodaje	_	_	_	_	
1-135	739-746	ustvari	_	_	*->2-8	*[2]	
1-136	747-748	v	_	_	_	_	
1-137	749-758	Sloveniji	LOC	_	*->8-1	*[8]	
1-138	759-760	,	_	_	_	_	
1-139	761-767	ostalo	_	_	_	_	
1-140	768-770	pa	_	_	_	_	
1-141	771-772	v	_	_	_	_	
1-142	773-782	evropskih	_	_	_	_	
1-143	783-790	državah	_	_	_	_	
1-144	791-793	in	_	_	_	_	
1-145	794-796	na	_	_	_	_	
1-146	797-805	Bližnjem	LOC[1]	3 - Nevtralno[15]	*->9-1	*[9]	
1-147	806-812	vzhodu	LOC[1]	3 - Nevtralno[15]	*->9-1	*[9]	
1-148	813-814	.	_	_	_	_	
1-149	815-821	Največ	_	_	_	_	
1-150	822-827	blaga	_	_	_	_	
1-151	828-830	je	_	_	_	_	
1-152	831-836	Lisca	ORG	_	*->2-9	*[2]	
1-153	837-844	prodala	_	_	_	_	
1-154	845-846	v	_	_	_	_	
1-155	847-856	Sloveniji	LOC	4 - Pozitivno	*->8-2	*[8]	
1-156	857-858	,	_	_	_	_	
1-157	859-861	na	_	_	_	_	
1-158	862-870	Hrvaškem	LOC	4 - Pozitivno	*->10-1	*[10]	
1-159	871-873	in	_	_	_	_	
1-160	874-875	v	_	_	_	_	
1-161	876-883	Nemčiji	LOC	4 - Pozitivno	*->6-2	*[6]	
1-162	884-885	.	_	_	_	_	
1-163	886-891	Lisca	ORG	_	*->2-10	*[2]	
1-164	892-896	tudi	_	_	_	_	
1-165	897-902	letos	_	_	_	_	
1-166	903-912	nadaljuje	_	_	_	_	
1-167	913-914	z	_	_	_	_	
1-168	915-925	odpiranjem	_	_	_	_	
1-169	926-931	novih	_	_	_	_	
1-170	932-941	prodajnih	_	_	_	_	
1-171	942-946	mest	_	_	_	_	
1-172	947-948	,	_	_	_	_	
1-173	949-953	samo	_	_	_	_	
1-174	954-955	v	_	_	_	_	
1-175	956-963	oktobru	_	_	_	_	
1-176	964-966	so	_	_	_	_	
1-177	967-969	oz	_	_	_	_	
1-178	970-971	.	_	_	_	_	
1-179	972-974	še	_	_	_	_	
1-180	975-979	bodo	_	_	_	_	
1-181	980-986	odprli	_	_	*->2-11	*[2]	
1-182	987-990	tri	_	_	_	_	
1-183	991-995	nova	_	_	_	_	
1-184	996-997	,	_	_	_	_	
1-185	998-1000	in	_	_	_	_	
1-186	1001-1006	sicer	_	_	_	_	
1-187	1007-1008	v	_	_	_	_	
1-188	1009-1014	Pragi	LOC	4 - Pozitivno	*->11-1	*[11]	
1-189	1015-1016	,	_	_	_	_	
1-190	1017-1024	Zagrebu	LOC	4 - Pozitivno	*->12-1	*[12]	
1-191	1025-1027	in	_	_	_	_	
1-192	1028-1029	v	_	_	_	_	
1-193	1030-1039	Cityparku	ORG	4 - Pozitivno	*->13-1	*[13]	
1-194	1040-1041	v	_	_	_	_	
1-195	1042-1051	Ljubljani	LOC	_	*->14-1	*[14]	
1-196	1052-1053	.	_	_	_	_	
1-197	1054-1060	Glavni	_	_	_	_	
1-198	1061-1066	izziv	_	_	_	_	
1-199	1067-1069	za	_	_	_	_	
1-200	1070-1074	leto	_	_	_	_	
1-201	1075-1079	2011	_	_	_	_	
1-202	1080-1082	za	_	_	_	_	
1-203	1083-1088	Lisco	ORG	_	*->2-12	*[2]	
1-204	1089-1100	predstavlja	_	_	_	_	
1-205	1101-1106	vstop	_	_	_	_	
1-206	1107-1109	na	_	_	_	_	
1-207	1110-1118	kitajski	_	_	_	_	
1-208	1119-1122	trg	_	_	_	_	
1-209	1123-1124	.	_	_	_	_	
1-210	1125-1126	S	_	_	_	_	
1-211	1127-1137	kitajskimi	_	_	_	_	
1-212	1138-1147	partnerji	_	_	_	_	
1-213	1148-1149	,	_	_	_	_	
1-214	1150-1152	ki	_	_	_	_	
1-215	1153-1157	bodo	_	_	_	_	
1-216	1158-1163	danes	_	_	_	_	
1-217	1164-1170	prišli	_	_	_	_	
1-218	1171-1175	tudi	_	_	_	_	
1-219	1176-1178	na	_	_	_	_	
1-220	1179-1184	modno	_	_	_	_	
1-221	1185-1191	revijo	_	_	_	_	
1-222	1192-1193	,	_	_	_	_	
1-223	1194-1198	bodo	_	_	_	_	
1-224	1199-1209	predvidoma	_	_	_	_	
1-225	1210-1218	novembra	_	_	_	_	
1-226	1219-1228	podpisali	_	_	*->2-13	*[2]	
1-227	1229-1236	pogodbo	_	_	_	_	
1-228	1237-1238	o	_	_	_	_	
1-229	1239-1250	sodelovanju	_	_	_	_	
1-230	1251-1252	.	_	_	_	_	
1-231	1253-1258	Lisca	PER	_	*->2-14	*[2]	
1-232	1259-1261	bo	_	_	_	_	
1-233	1262-1264	ob	_	_	_	_	
1-234	1265-1267	55	_	_	_	_	
1-235	1268-1269	.	_	_	_	_	
1-236	1270-1278	rojstnem	_	_	_	_	
1-237	1279-1284	dnevu	_	_	_	_	
1-238	1285-1290	danes	_	_	_	_	
1-239	1291-1292	v	_	_	_	_	
1-240	1293-1302	Ljubljani	LOC	4 - Pozitivno	*->14-2	*[14]	
1-241	1303-1313	pripravila	_	_	_	_	
1-242	1314-1327	tradicionalni	_	_	_	_	
1-243	1328-1333	modni	_	_	_	_	
1-244	1334-1341	dogodek	_	_	_	_	
1-245	1342-1343	,	_	_	_	_	
1-246	1344-1346	na	_	_	_	_	
1-247	1347-1354	katerem	_	_	_	_	
1-248	1355-1359	bodo	_	_	_	_	
1-249	1360-1363	med	_	_	_	_	
1-250	1364-1370	drugim	_	_	_	_	
1-251	1371-1382	predstavili	_	_	*->2-15	*[2]	
1-252	1383-1394	ekskluzivno	_	_	_	_	
1-253	1395-1401	linijo	_	_	_	_	
1-254	1402-1410	prestige	_	_	_	_	
1-255	1411-1412	,	_	_	_	_	
1-256	1413-1415	ki	_	_	_	_	
1-257	1416-1419	jih	_	_	_	_	
1-258	1420-1422	je	_	_	_	_	
1-259	1423-1430	Liscina	ORG	_	*->2-16	*[2]	
1-260	1431-1442	oblikovalka	_	_	*->15-1	*[15]	
1-261	1443-1449	Suzana	PER[2]	_	*->15-1	*[15]	
1-262	1450-1457	Gorišek	PER[2]	_	*->15-1	*[15]	
1-263	1458-1468	oblikovala	_	_	_	_	
1-264	1469-1476	posebej	_	_	_	_	
1-265	1477-1479	za	_	_	_	_	
1-266	1480-1482	to	_	_	_	_	
1-267	1483-1493	priložnost	_	_	_	_	
1-268	1494-1495	,	_	_	_	_	
1-269	1496-1498	in	_	_	_	_	
1-270	1499-1505	linijo	_	_	_	_	
1-271	1506-1512	perila	_	_	_	_	
1-272	1513-1518	lisca	_	_	_	_	
1-273	1519-1528	selection	_	_	_	_	
1-274	1529-1530	s	_	_	_	_	
1-275	1531-1539	kristali	_	_	_	_	
1-276	1540-1549	Swarovski	ORG	3 - Nevtralno	*->16-1	*[16]	
1-277	1550-1551	.	_	_	_	_	
1-278	1552-1557	Modne	_	_	_	_	
1-279	1558-1567	kolekcije	_	_	_	_	
1-280	1568-1570	so	_	_	_	_	
1-281	1571-1581	ustvarjale	_	_	_	_	
1-282	1582-1589	Liscine	ORG	_	*->2-17	*[2]	
1-283	1590-1599	kreatorke	_	_	_	_	
1-284	1600-1606	Suzana	PER[3]	4 - Pozitivno[16]	*->15-2	*[15]	
1-285	1607-1614	Gorišek	PER[3]	4 - Pozitivno[16]	*->15-2	*[15]	
1-286	1615-1616	,	_	_	_	_	
1-287	1617-1623	Melita	PER[4]	4 - Pozitivno[17]	*->17-1	*[17]	
1-288	1624-1630	Letnar	PER[4]	4 - Pozitivno[17]	*->17-1	*[17]	
1-289	1631-1632	,	_	_	_	_	
1-290	1633-1640	Marjana	PER[5]	4 - Pozitivno[18]	*->18-1	*[18]	
1-291	1641-1650	Češnjevar	PER[5]	4 - Pozitivno[18]	*->18-1	*[18]	
1-292	1651-1652	,	_	_	_	_	
1-293	1653-1659	Ksenja	PER[6]	4 - Pozitivno[19]	*->19-1	*[19]	
1-294	1660-1667	Dermelj	PER[6]	4 - Pozitivno[19]	*->19-1	*[19]	
1-295	1668-1670	in	_	_	_	_	
1-296	1671-1675	Maja	PER[7]	4 - Pozitivno[20]	*->20-1	*[20]	
1-297	1676-1682	Ratajc	PER[7]	4 - Pozitivno[20]	*->20-1	*[20]	
1-298	1683-1686	pod	_	_	_	_	
1-299	1687-1695	vodstvom	_	_	_	_	
1-300	1696-1707	direktorice	_	4 - Pozitivno[21]	*->21-1	*[21]	
1-301	1708-1715	razvoja	_	4 - Pozitivno[21]	*->21-1	*[21]	
1-302	1716-1721	Lisce	ORG	4 - Pozitivno[21]|3 - Nevtralno[22]	*->21-1|*->2-18	*[21]|*[2]	
1-303	1722-1723	,	_	4 - Pozitivno[21]	*->21-1	*[21]	
1-304	1724-1731	Dragice	PER[8]	4 - Pozitivno[21]	*->21-1	*[21]	
1-305	1732-1738	Gantar	PER[8]	4 - Pozitivno[21]	*->21-1	*[21]	
1-306	1739-1740	.	_	_	_	_	
1-307	1741-1743	Na	_	_	_	_	
1-308	1744-1749	modni	_	_	_	_	
1-309	1750-1754	brvi	_	_	_	_	
1-310	1755-1759	bodo	_	_	_	_	
1-311	1760-1764	tudi	_	_	_	_	
1-312	1765-1771	tokrat	_	_	_	_	
1-313	1772-1777	znane	_	_	_	_	
1-314	1778-1787	slovenske	_	_	_	_	
1-315	1788-1790	in	_	_	_	_	
1-316	1791-1798	hrvaške	_	_	_	_	
1-317	1799-1808	manekenke	_	_	_	_	
1-318	1809-1810	,	_	_	_	_	
1-319	1811-1814	med	_	_	_	_	
1-320	1815-1822	drugimi	_	_	_	_	
1-321	1823-1827	Iris	PER[9]	3 - Nevtralno[23]	*->22-1	*[22]	
1-322	1828-1833	Mulej	PER[9]	3 - Nevtralno[23]	*->22-1	*[22]	
1-323	1834-1835	,	_	_	_	_	
1-324	1836-1844	Natalija	PER[10]	3 - Nevtralno[24]	*->23-1	*[23]	
1-325	1845-1852	Osolnik	PER[10]	3 - Nevtralno[24]	*->23-1	*[23]	
1-326	1853-1854	,	_	_	_	_	
1-327	1855-1859	Nika	PER[11]	3 - Nevtralno[25]	*->24-1	*[24]	
1-328	1860-1868	Globokar	PER[11]	3 - Nevtralno[25]	*->24-1	*[24]	
1-329	1869-1870	,	_	_	_	_	
1-330	1871-1877	Nadija	PER[12]	3 - Nevtralno[26]	*->25-1	*[25]	
1-331	1878-1885	Byčkova	PER[12]	3 - Nevtralno[26]	*->25-1	*[25]	
1-332	1886-1887	,	_	_	_	_	
1-333	1888-1892	Tina	PER[13]	3 - Nevtralno[27]	*->26-1	*[26]	
1-334	1893-1900	Katanić	PER[13]	3 - Nevtralno[27]	*->26-1	*[26]	
1-335	1901-1902	,	_	_	_	_	
1-336	1903-1908	Antea	PER[14]	3 - Nevtralno[28]	*->27-1	*[27]	
1-337	1909-1917	Kodžoman	PER[14]	3 - Nevtralno[28]	*->27-1	*[27]	
1-338	1918-1920	in	_	_	_	_	
1-339	1921-1926	druge	_	_	_	_	
