#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Velenje - Savinjsko - šaleški gospodarstveniki so predsednika SDS Janeza Janšo opozorili na številne težave , s katerimi se srečujejo . Kot je povedal Janša , gospodarstvenike pestijo zlasti dolgi plačilni roki , plačilna nedisciplina in finančni krč . Ob tem je okrcal banke , da financirajo projekte , kot je ljubljanski stadion , podjetje pa težko pridejo do posojil . Predsednik SDS Janša je na današnji novinarski konferenci ob obisku SDS v regiji dejal , da je vlada napovedala številne ukrepe , vendar se gospodarske razmere ne izboljšujejo . Tako je konzorcij bank , v katerem je tudi državna Nova Ljubljanska banka ( NLB ) , za projekt izgradnje nogometnega igrišča v Stožicah odobril 150 milijonov evrov posojil , medtem ko delodajalci , ki ustvarjajo delovna mesta in dodano vrednost , težko pridejo do posojil . Ob tem je ugotovil , da je očitno možno dobiti denar za nekatere projekte , kot je nogometno igrišče , čeprav prinaša malo delovnih mest . Če bo vlada nadaljevala s takšno prakso , bodo po Janševih napovedih v SDS razmislili o izredni seji v DZ . Sicer prvak SDS navaja , da Ljubljana potrebuje nogometno igrišče , vendar se pri tem sprašuje , če je to res prioriteta v času gospodarske recesije . Dodal je , da gospodarska kriza ni razlog , da se ne bi gradilo , prav nasprotno in pri tem izpostavil primer Poljske , ki se je krizi izognila z vlaganji v velike infrastrukturne projekte . Vodja poslanske skupine SDS Jože Tanko pa je v ospredje postavil pokrajinsko zakonodajo . Po njegovem mnenju vladajoča koalicija na tem področju ni naredila ničesar , čeprav je zagotavljala , da je to tudi njena prioriteta . Tanko je spomnil , da je SDS vložila paket pokrajinske zakonodaje oz . šest zakonov s tega področja , vendar je vlada vse njihove predloge zavrnila . Pahorjeva vlada nima težav le s pokrajinami , je prepričan Tanko , ampak tudi z razpisi za lokalne skupnosti . Eden večjih je tudi ta , da se utegne zgoditi , da vlada črta iz nacionalne strategije nekatere pomembne gospodarske projekte , kot so tretja razvojna os , tretja A os in četrta razvojna os . " Za to vlado te osi niso več drugorazredna prioriteta , temveč sploh niso več prioriteta , " pravi Tanko . Poslanec SDS Iztok Podkrižnik je opozoril , da je v Sloveniji previsok strošek dela , kar nas pelje na napačno pot . Številnim gospodarskim družbam tako primanjkuje naročil , gospodarska konkurenčnost pa se zmanjšuje . Prepričan je , da turizem v Savinjsko - šaleški regiji ne more dosegati dodane vrednosti , če ne bo vzpostavljena ustrezna infrastruktura oz . skupna blagovna znamka
1-1	0-7	Velenje	LOC	3 - Nevtralno	*->1-1	*[1]	
1-63	383-386	SDS	ORG	_	*->7-4|*->5-2	*[7]|*[5]	
1-64	387-392	Janša	PER	_	*->7-4	*[7]	
1-65	393-395	je	_	_	_	_	
1-66	396-398	na	_	_	_	_	
1-67	399-407	današnji	_	_	_	_	
1-68	408-418	novinarski	_	_	_	_	
1-69	419-429	konferenci	_	_	_	_	
1-70	430-432	ob	_	_	_	_	
1-71	433-439	obisku	_	_	_	_	
1-72	440-443	SDS	ORG	_	*->5-3	*[5]	
1-73	444-445	v	_	_	_	_	
1-74	446-452	regiji	_	_	_	_	
1-75	453-458	dejal	_	_	_	_	
1-76	459-460	,	_	_	_	_	
1-77	461-463	da	_	_	_	_	
1-78	464-466	je	_	_	_	_	
1-79	467-472	vlada	_	_	_	_	
1-80	473-483	napovedala	_	_	_	_	
1-81	484-492	številne	_	_	_	_	
1-82	493-499	ukrepe	_	_	_	_	
1-83	500-501	,	_	_	_	_	
1-84	502-508	vendar	_	_	_	_	
1-85	509-511	se	_	_	_	_	
1-86	512-523	gospodarske	_	_	_	_	
1-87	524-531	razmere	_	_	_	_	
1-88	532-534	ne	_	_	_	_	
1-89	535-547	izboljšujejo	_	_	_	_	
1-90	548-549	.	_	_	_	_	
1-91	550-554	Tako	_	_	_	_	
1-92	555-557	je	_	_	_	_	
1-93	558-567	konzorcij	_	_	_	_	
1-94	568-572	bank	_	_	_	_	
1-95	573-574	,	_	_	_	_	
1-96	575-576	v	_	_	_	_	
1-97	577-584	katerem	_	_	_	_	
1-98	585-587	je	_	_	_	_	
1-99	588-592	tudi	_	_	_	_	
1-100	593-600	državna	_	_	_	_	
1-101	601-605	Nova	ORG[2]	_	*->2-1	*[2]	
1-102	606-617	Ljubljanska	ORG[2]	_	*->2-1	*[2]	
1-103	618-623	banka	ORG[2]	_	*->2-1	*[2]	
1-104	624-625	(	_	_	_	_	
1-105	626-629	NLB	ORG	3 - Nevtralno	*->2-2	*[2]	
1-106	630-631	)	_	_	_	_	
1-107	632-633	,	_	_	_	_	
1-108	634-636	za	_	_	_	_	
1-109	637-644	projekt	_	_	_	_	
1-110	645-654	izgradnje	_	_	_	_	
1-111	655-666	nogometnega	_	_	_	_	
1-112	667-674	igrišča	_	_	_	_	
1-113	675-676	v	_	_	_	_	
1-114	677-685	Stožicah	LOC	3 - Nevtralno	*->3-1	*[3]	
1-115	686-693	odobril	_	_	_	_	
1-116	694-697	150	_	_	_	_	
1-117	698-707	milijonov	_	_	_	_	
1-118	708-713	evrov	_	_	_	_	
1-119	714-721	posojil	_	_	_	_	
1-120	722-723	,	_	_	_	_	
1-121	724-730	medtem	_	_	_	_	
1-122	731-733	ko	_	_	_	_	
1-123	734-745	delodajalci	_	_	_	_	
1-124	746-747	,	_	_	_	_	
1-125	748-750	ki	_	_	_	_	
1-126	751-761	ustvarjajo	_	_	_	_	
1-127	762-769	delovna	_	_	_	_	
1-128	770-775	mesta	_	_	_	_	
1-129	776-778	in	_	_	_	_	
1-130	779-785	dodano	_	_	_	_	
1-131	786-794	vrednost	_	_	_	_	
1-132	795-796	,	_	_	_	_	
1-133	797-802	težko	_	_	_	_	
1-134	803-810	pridejo	_	_	_	_	
1-135	811-813	do	_	_	_	_	
1-136	814-821	posojil	_	_	_	_	
1-137	822-823	.	_	_	_	_	
1-138	824-826	Ob	_	_	_	_	
1-139	827-830	tem	_	_	_	_	
1-140	831-833	je	_	_	*->7-5	*[7]	
1-141	834-842	ugotovil	_	_	*->7-5	*[7]	
1-142	843-844	,	_	_	_	_	
1-143	845-847	da	_	_	_	_	
1-144	848-850	je	_	_	_	_	
1-145	851-857	očitno	_	_	_	_	
1-146	858-863	možno	_	_	_	_	
1-147	864-870	dobiti	_	_	_	_	
1-148	871-876	denar	_	_	_	_	
1-149	877-879	za	_	_	_	_	
1-150	880-888	nekatere	_	_	_	_	
1-151	889-897	projekte	_	_	_	_	
1-152	898-899	,	_	_	_	_	
1-153	900-903	kot	_	_	_	_	
1-154	904-906	je	_	_	_	_	
1-155	907-916	nogometno	_	_	_	_	
1-156	917-924	igrišče	_	_	_	_	
1-157	925-926	,	_	_	_	_	
1-158	927-933	čeprav	_	_	_	_	
1-159	934-941	prinaša	_	_	_	_	
1-160	942-946	malo	_	_	_	_	
1-161	947-955	delovnih	_	_	_	_	
1-162	956-960	mest	_	_	_	_	
1-163	961-962	.	_	_	_	_	
1-164	963-965	Če	_	_	_	_	
1-165	966-968	bo	_	_	_	_	
1-166	969-974	vlada	_	_	_	_	
1-167	975-986	nadaljevala	_	_	_	_	
1-168	987-988	s	_	_	_	_	
1-169	989-995	takšno	_	_	_	_	
1-170	996-1002	prakso	_	_	_	_	
1-171	1003-1004	,	_	_	_	_	
1-172	1005-1009	bodo	_	_	_	_	
1-173	1010-1012	po	_	_	_	_	
1-174	1013-1021	Janševih	PER	_	*->7-6	*[7]	
1-175	1022-1031	napovedih	_	_	_	_	
1-176	1032-1033	v	_	_	_	_	
1-177	1034-1037	SDS	ORG	_	*->5-4	*[5]	
1-178	1038-1048	razmislili	_	_	_	_	
1-179	1049-1050	o	_	_	_	_	
1-180	1051-1058	izredni	_	_	_	_	
1-181	1059-1063	seji	_	_	_	_	
1-182	1064-1065	v	_	_	_	_	
1-183	1066-1068	DZ	ORG	3 - Nevtralno	*->4-1	*[4]	
1-184	1069-1070	.	_	_	_	_	
1-185	1071-1076	Sicer	_	_	_	_	
1-186	1077-1082	prvak	_	_	*->7-7	*[7]	
1-187	1083-1086	SDS	ORG	_	*->7-7|*->5-5	*[7]|*[5]	
1-188	1087-1093	navaja	_	_	_	_	
1-189	1094-1095	,	_	_	_	_	
1-190	1096-1098	da	_	_	_	_	
1-191	1099-1108	Ljubljana	LOC	3 - Nevtralno	*->6-1	*[6]	
1-192	1109-1118	potrebuje	_	_	_	_	
1-193	1119-1128	nogometno	_	_	_	_	
1-194	1129-1136	igrišče	_	_	_	_	
1-195	1137-1138	,	_	_	_	_	
1-196	1139-1145	vendar	_	_	_	_	
1-197	1146-1148	se	_	_	_	_	
1-198	1149-1152	pri	_	_	_	_	
1-199	1153-1156	tem	_	_	_	_	
1-200	1157-1165	sprašuje	_	_	_	_	
1-201	1166-1167	,	_	_	_	_	
1-202	1168-1170	če	_	_	_	_	
1-203	1171-1173	je	_	_	_	_	
1-204	1174-1176	to	_	_	_	_	
1-205	1177-1180	res	_	_	_	_	
1-206	1181-1191	prioriteta	_	_	_	_	
1-207	1192-1193	v	_	_	_	_	
1-208	1194-1198	času	_	_	_	_	
1-209	1199-1210	gospodarske	_	_	_	_	
1-210	1211-1219	recesije	_	_	_	_	
1-211	1220-1221	.	_	_	_	_	
1-212	1222-1227	Dodal	_	3 - Nevtralno[5]	*->7-8	*[7]	
1-213	1228-1230	je	_	3 - Nevtralno[5]	*->7-8	*[7]	
1-214	1231-1232	,	_	_	_	_	
1-215	1233-1235	da	_	_	_	_	
1-216	1236-1247	gospodarska	_	_	_	_	
1-217	1248-1253	kriza	_	_	_	_	
1-218	1254-1256	ni	_	_	_	_	
1-219	1257-1263	razlog	_	_	_	_	
1-220	1264-1265	,	_	_	_	_	
1-221	1266-1268	da	_	_	_	_	
1-222	1269-1271	se	_	_	_	_	
1-223	1272-1274	ne	_	_	_	_	
1-224	1275-1277	bi	_	_	_	_	
1-225	1278-1285	gradilo	_	_	_	_	
1-226	1286-1287	,	_	_	_	_	
1-227	1288-1292	prav	_	_	_	_	
1-228	1293-1302	nasprotno	_	_	_	_	
1-229	1303-1305	in	_	_	_	_	
1-230	1306-1309	pri	_	_	_	_	
1-231	1310-1313	tem	_	_	_	_	
1-232	1314-1324	izpostavil	_	_	_	_	
1-233	1325-1331	primer	_	_	_	_	
1-234	1332-1339	Poljske	ORG	_	*->8-1	*[8]	
1-235	1340-1341	,	_	_	_	_	
1-236	1342-1344	ki	_	_	_	_	
1-237	1345-1347	se	_	_	_	_	
1-238	1348-1350	je	_	_	_	_	
1-239	1351-1356	krizi	_	_	_	_	
1-240	1357-1365	izognila	_	4 - Pozitivno	*->8-2	*[8]	
1-241	1366-1367	z	_	_	_	_	
1-242	1368-1376	vlaganji	_	_	_	_	
1-243	1377-1378	v	_	_	_	_	
1-244	1379-1385	velike	_	_	_	_	
1-245	1386-1401	infrastrukturne	_	_	_	_	
1-246	1402-1410	projekte	_	_	_	_	
1-247	1411-1412	.	_	_	_	_	
1-248	1413-1418	Vodja	_	_	*->9-1	*[9]	
1-249	1419-1428	poslanske	_	_	*->9-1	*[9]	
1-250	1429-1436	skupine	_	_	*->9-1	*[9]	
1-251	1437-1440	SDS	ORG	_	*->9-1|*->5-6	*[9]|*[5]	
1-252	1441-1445	Jože	PER[3]	_	*->9-1	*[9]	
1-253	1446-1451	Tanko	PER[3]	_	*->9-1	*[9]	
1-254	1452-1454	pa	_	_	_	_	
1-255	1455-1457	je	_	_	_	_	
1-256	1458-1459	v	_	_	_	_	
1-257	1460-1468	ospredje	_	_	_	_	
1-258	1469-1477	postavil	_	_	_	_	
1-259	1478-1489	pokrajinsko	_	_	_	_	
1-260	1490-1500	zakonodajo	_	_	_	_	
1-261	1501-1502	.	_	_	_	_	
1-262	1503-1505	Po	_	_	_	_	
1-263	1506-1514	njegovem	_	_	*->9-2	*[9]	
1-264	1515-1521	mnenju	_	_	_	_	
1-265	1522-1531	vladajoča	_	_	_	_	
1-266	1532-1541	koalicija	_	_	_	_	
1-267	1542-1544	na	_	_	_	_	
1-268	1545-1548	tem	_	_	_	_	
1-269	1549-1557	področju	_	_	_	_	
1-270	1558-1560	ni	_	_	_	_	
1-271	1561-1569	naredila	_	_	_	_	
1-272	1570-1577	ničesar	_	_	_	_	
1-273	1578-1579	,	_	_	_	_	
1-274	1580-1586	čeprav	_	_	_	_	
1-275	1587-1589	je	_	_	_	_	
1-276	1590-1602	zagotavljala	_	_	_	_	
1-277	1603-1604	,	_	_	_	_	
1-278	1605-1607	da	_	_	_	_	
1-279	1608-1610	je	_	_	_	_	
1-280	1611-1613	to	_	_	_	_	
1-281	1614-1618	tudi	_	_	_	_	
1-282	1619-1624	njena	_	_	_	_	
1-283	1625-1635	prioriteta	_	_	_	_	
1-284	1636-1637	.	_	_	_	_	
1-285	1638-1643	Tanko	PER	_	*->9-3	*[9]	
1-286	1644-1646	je	_	_	_	_	
1-287	1647-1654	spomnil	_	_	_	_	
1-288	1655-1656	,	_	_	_	_	
1-289	1657-1659	da	_	_	_	_	
1-290	1660-1662	je	_	_	_	_	
1-291	1663-1666	SDS	ORG	_	*->5-7	*[5]	
1-292	1667-1674	vložila	_	_	_	_	
1-293	1675-1680	paket	_	_	_	_	
1-294	1681-1692	pokrajinske	_	_	_	_	
1-295	1693-1703	zakonodaje	_	_	_	_	
1-296	1704-1706	oz	_	_	_	_	
1-297	1707-1708	.	_	_	_	_	
1-298	1709-1713	šest	_	_	_	_	
1-299	1714-1721	zakonov	_	_	_	_	
1-300	1722-1723	s	_	_	_	_	
1-301	1724-1728	tega	_	_	_	_	
1-302	1729-1737	področja	_	_	_	_	
1-303	1738-1739	,	_	_	_	_	
1-304	1740-1746	vendar	_	_	_	_	
1-305	1747-1749	je	_	_	_	_	
1-306	1750-1755	vlada	_	_	_	_	
1-307	1756-1759	vse	_	_	_	_	
1-308	1760-1767	njihove	_	_	*->5-8	*[5]	
1-309	1768-1776	predloge	_	_	_	_	
1-310	1777-1785	zavrnila	_	_	_	_	
1-311	1786-1787	.	_	_	_	_	
1-312	1788-1797	Pahorjeva	PER	3 - Nevtralno	*->10-1	*[10]	
1-313	1798-1803	vlada	_	_	_	_	
1-314	1804-1808	nima	_	_	_	_	
1-315	1809-1814	težav	_	_	_	_	
1-316	1815-1817	le	_	_	_	_	
1-317	1818-1819	s	_	_	_	_	
1-318	1820-1831	pokrajinami	_	_	_	_	
1-319	1832-1833	,	_	_	_	_	
1-320	1834-1836	je	_	_	_	_	
1-321	1837-1846	prepričan	_	_	_	_	
1-322	1847-1852	Tanko	PER	_	*->9-4	*[9]	
1-323	1853-1854	,	_	_	_	_	
1-324	1855-1860	ampak	_	_	_	_	
1-325	1861-1865	tudi	_	_	_	_	
1-326	1866-1867	z	_	_	_	_	
1-327	1868-1875	razpisi	_	_	_	_	
1-328	1876-1878	za	_	_	_	_	
1-329	1879-1886	lokalne	_	_	_	_	
1-330	1887-1896	skupnosti	_	_	_	_	
1-331	1897-1898	.	_	_	_	_	
1-332	1899-1903	Eden	_	_	_	_	
1-333	1904-1910	večjih	_	_	_	_	
1-334	1911-1913	je	_	_	_	_	
1-335	1914-1918	tudi	_	_	_	_	
1-336	1919-1921	ta	_	_	_	_	
1-337	1922-1923	,	_	_	_	_	
1-338	1924-1926	da	_	_	_	_	
1-339	1927-1929	se	_	_	_	_	
1-340	1930-1936	utegne	_	_	_	_	
1-341	1937-1944	zgoditi	_	_	_	_	
1-342	1945-1946	,	_	_	_	_	
1-343	1947-1949	da	_	_	_	_	
1-344	1950-1955	vlada	_	_	_	_	
1-345	1956-1960	črta	_	_	_	_	
1-346	1961-1963	iz	_	_	_	_	
1-347	1964-1974	nacionalne	_	_	_	_	
1-348	1975-1985	strategije	_	_	_	_	
1-349	1986-1994	nekatere	_	_	_	_	
1-350	1995-2003	pomembne	_	_	_	_	
1-351	2004-2015	gospodarske	_	_	_	_	
1-352	2016-2024	projekte	_	_	_	_	
1-353	2025-2026	,	_	_	_	_	
1-354	2027-2030	kot	_	_	_	_	
1-355	2031-2033	so	_	_	_	_	
1-356	2034-2040	tretja	_	_	_	_	
1-357	2041-2049	razvojna	_	_	_	_	
1-358	2050-2052	os	_	_	_	_	
1-359	2053-2054	,	_	_	_	_	
1-360	2055-2061	tretja	_	_	_	_	
1-361	2062-2063	A	_	_	_	_	
1-362	2064-2066	os	_	_	_	_	
1-363	2067-2069	in	_	_	_	_	
1-364	2070-2076	četrta	_	_	_	_	
1-365	2077-2085	razvojna	_	_	_	_	
1-366	2086-2088	os	_	_	_	_	
1-367	2089-2090	.	_	_	_	_	
1-368	2091-2092	"	_	_	_	_	
1-369	2093-2095	Za	_	_	_	_	
1-370	2096-2098	to	_	_	_	_	
1-371	2099-2104	vlado	_	_	_	_	
1-372	2105-2107	te	_	_	_	_	
1-373	2108-2111	osi	_	_	_	_	
1-374	2112-2116	niso	_	_	_	_	
1-375	2117-2120	več	_	_	_	_	
1-376	2121-2134	drugorazredna	_	_	_	_	
1-377	2135-2145	prioriteta	_	_	_	_	
1-378	2146-2147	,	_	_	_	_	
1-379	2148-2154	temveč	_	_	_	_	
1-380	2155-2160	sploh	_	_	_	_	
1-381	2161-2165	niso	_	_	_	_	
1-382	2166-2169	več	_	_	_	_	
1-383	2170-2180	prioriteta	_	_	_	_	
1-384	2181-2182	,	_	_	_	_	
1-385	2183-2184	"	_	_	_	_	
1-386	2185-2190	pravi	_	_	_	_	
1-387	2191-2196	Tanko	PER	3 - Nevtralno	*->9-5	*[9]	
1-388	2197-2198	.	_	_	_	_	
1-389	2199-2207	Poslanec	_	_	*->11-1	*[11]	
1-390	2208-2211	SDS	ORG	3 - Nevtralno	*->11-1|*->5-9	*[11]|*[5]	
1-391	2212-2217	Iztok	PER[4]	_	*->11-1	*[11]	
1-392	2218-2228	Podkrižnik	PER[4]	_	*->11-1	*[11]	
1-393	2229-2231	je	_	_	_	_	
1-394	2232-2240	opozoril	_	_	_	_	
1-395	2241-2242	,	_	_	_	_	
1-396	2243-2245	da	_	_	_	_	
1-397	2246-2248	je	_	_	_	_	
1-398	2249-2250	v	_	_	_	_	
1-399	2251-2260	Sloveniji	LOC	3 - Nevtralno	*->12-1	*[12]	
1-400	2261-2269	previsok	_	_	_	_	
1-401	2270-2277	strošek	_	_	_	_	
1-402	2278-2282	dela	_	_	_	_	
1-403	2283-2284	,	_	_	_	_	
1-404	2285-2288	kar	_	_	_	_	
1-405	2289-2292	nas	_	_	_	_	
1-406	2293-2298	pelje	_	_	_	_	
1-407	2299-2301	na	_	_	_	_	
1-408	2302-2309	napačno	_	_	_	_	
1-409	2310-2313	pot	_	_	_	_	
1-410	2314-2315	.	_	_	_	_	
1-411	2316-2325	Številnim	_	_	_	_	
1-412	2326-2338	gospodarskim	_	_	_	_	
1-413	2339-2346	družbam	_	_	_	_	
1-414	2347-2351	tako	_	_	_	_	
1-415	2352-2363	primanjkuje	_	_	_	_	
1-416	2364-2371	naročil	_	_	_	_	
1-417	2372-2373	,	_	_	_	_	
1-418	2374-2385	gospodarska	_	_	_	_	
1-419	2386-2399	konkurenčnost	_	_	_	_	
1-420	2400-2402	pa	_	_	_	_	
1-421	2403-2405	se	_	_	_	_	
1-422	2406-2415	zmanjšuje	_	_	_	_	
1-423	2416-2417	.	_	_	_	_	
1-424	2418-2427	Prepričan	_	3 - Nevtralno[6]	*->11-2	*[11]	
1-425	2428-2430	je	_	3 - Nevtralno[6]	*->11-2	*[11]	
1-426	2431-2432	,	_	_	_	_	
1-427	2433-2435	da	_	_	_	_	
1-428	2436-2443	turizem	_	_	_	_	
1-429	2444-2445	v	_	_	_	_	
1-430	2446-2455	Savinjsko	_	_	_	_	
1-431	2456-2457	-	_	_	_	_	
1-432	2458-2465	šaleški	_	_	_	_	
1-433	2466-2472	regiji	_	_	_	_	
1-434	2473-2475	ne	_	_	_	_	
1-435	2476-2480	more	_	_	_	_	
1-436	2481-2489	dosegati	_	_	_	_	
1-437	2490-2496	dodane	_	_	_	_	
1-438	2497-2506	vrednosti	_	_	_	_	
1-439	2507-2508	,	_	_	_	_	
1-440	2509-2511	če	_	_	_	_	
1-441	2512-2514	ne	_	_	_	_	
1-442	2515-2517	bo	_	_	_	_	
1-443	2518-2531	vzpostavljena	_	_	_	_	
1-444	2532-2540	ustrezna	_	_	_	_	
1-445	2541-2555	infrastruktura	_	_	_	_	
1-446	2556-2558	oz	_	_	_	_	
1-447	2559-2560	.	_	_	_	_	
1-448	2561-2567	skupna	_	_	_	_	
1-449	2568-2576	blagovna	_	_	_	_	
1-450	2577-2583	znamka	_	_	_	_	
