#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Moskva - Rusija pričakuje , da bo pred koncem aprila podpisala še zadnji potrebni sporazum za uresničitev projekta Južni tok . Gre za sporazum o sodelovanju z Avstrijo , je napovedal ruski energetski minister Sergej Šmatko . Podobno časovnico predvidevajo tudi na avstrijskem ministrstvu za gospodarstvo . Na avstrijskem gospodarskem ministrstvu so navedli , da bodo pogajanja z rusko stranjo zaključena najkasneje do obiska ruskega premierja Vladimirja Putina v tej državi . Putin se bo konec aprila udeležil evropskega prvenstva v judu , ki bo potekalo na Dunaju , je poročala avstrijska tiskovna agencija APA . Ruska stran je do sedaj že podpisala meddržavne sporazume o sodelovanju pri izgradnji in uporabi plinovoda Južni tok s Srbijo , Bolgarijo , Madžarsko , Grčijo , Slovenijo in Hrvaško . Po plinovodu Južni tok naj bi letno steklo 63 milijard kubičnih metrov plina . Projekt je ocenjen na okoli deset milijard evrov , po nekaterih ocenah bi se številka lahko povzpela do 25 milijard evrov . Južni tok bosta po načrtu sestavljala dva kraka . Poleg kraka iz Rusije , pod Črnim morjem do Bolgarije , Srbije , Madžarske in Avstrije oz . Slovenije v Italijo , bo šel v Italijo tudi krak , ki se bo iz Bolgarije razcepil v Grčijo in nato pod Jadranskim morjem v južno Italijo . Plinovod naj bi Evropi zagotovil zanesljivejšo in varnejšo oskrbo z zemeljskim plinom , saj bo zaobšel Ukrajino , s katero se je Rusija v zadnjih letih večkrat znašla v t.i . plinskih sporih
1-1	0-6	Moskva	LOC	3 - Nevtralno	*->1-1	*[1]	
1-38	225-232	Podobno	_	_	_	_	
1-39	233-242	časovnico	_	_	_	_	
1-40	243-255	predvidevajo	_	_	_	_	
1-41	256-260	tudi	_	_	_	_	
1-42	261-263	na	_	_	_	_	
1-43	264-275	avstrijskem	_	_	_	_	
1-44	276-287	ministrstvu	_	_	_	_	
1-45	288-290	za	_	_	_	_	
1-46	291-303	gospodarstvo	_	_	_	_	
1-47	304-305	.	_	_	_	_	
1-48	306-308	Na	_	_	_	_	
1-49	309-320	avstrijskem	_	_	_	_	
1-50	321-333	gospodarskem	_	_	_	_	
1-51	334-345	ministrstvu	_	_	_	_	
1-52	346-348	so	_	_	_	_	
1-53	349-356	navedli	_	_	_	_	
1-54	357-358	,	_	_	_	_	
1-55	359-361	da	_	_	_	_	
1-56	362-366	bodo	_	_	_	_	
1-57	367-376	pogajanja	_	_	_	_	
1-58	377-378	z	_	_	_	_	
1-59	379-384	rusko	_	_	_	_	
1-60	385-392	stranjo	_	_	_	_	
1-61	393-403	zaključena	_	_	_	_	
1-62	404-414	najkasneje	_	_	_	_	
1-63	415-417	do	_	_	_	_	
1-64	418-424	obiska	_	_	_	_	
1-65	425-432	ruskega	_	_	*->5-1	*[5]	
1-66	433-442	premierja	_	_	*->5-1	*[5]	
1-67	443-453	Vladimirja	PER[2]	_	*->5-1	*[5]	
1-68	454-460	Putina	PER[2]	_	*->5-1	*[5]	
1-69	461-462	v	_	_	_	_	
1-70	463-466	tej	_	_	_	_	
1-71	467-473	državi	_	_	*->3-2	*[3]	
1-72	474-475	.	_	_	_	_	
1-73	476-481	Putin	PER	3 - Nevtralno	*->5-2	*[5]	
1-74	482-484	se	_	_	_	_	
1-75	485-487	bo	_	_	_	_	
1-76	488-493	konec	_	_	_	_	
1-77	494-500	aprila	_	_	_	_	
1-78	501-509	udeležil	_	_	_	_	
1-79	510-520	evropskega	_	_	_	_	
1-80	521-530	prvenstva	_	_	_	_	
1-81	531-532	v	_	_	_	_	
1-82	533-537	judu	_	_	_	_	
1-83	538-539	,	_	_	_	_	
1-84	540-542	ki	_	_	_	_	
1-85	543-545	bo	_	_	_	_	
1-86	546-554	potekalo	_	_	_	_	
1-87	555-557	na	_	_	_	_	
1-88	558-564	Dunaju	LOC	3 - Nevtralno	*->6-1	*[6]	
1-89	565-566	,	_	_	_	_	
1-90	567-569	je	_	_	_	_	
1-91	570-578	poročala	_	_	_	_	
1-92	579-589	avstrijska	_	3 - Nevtralno[4]	*->7-1	*[7]	
1-93	590-598	tiskovna	_	3 - Nevtralno[4]	*->7-1	*[7]	
1-94	599-607	agencija	_	3 - Nevtralno[4]	*->7-1	*[7]	
1-95	608-611	APA	ORG	3 - Nevtralno[4]	*->7-1	*[7]	
1-96	612-613	.	_	_	_	_	
1-97	614-619	Ruska	_	_	_	_	
1-98	620-625	stran	_	_	_	_	
1-99	626-628	je	_	_	_	_	
1-100	629-631	do	_	_	_	_	
1-101	632-637	sedaj	_	_	_	_	
1-102	638-640	že	_	_	_	_	
1-103	641-650	podpisala	_	_	_	_	
1-104	651-661	meddržavne	_	_	_	_	
1-105	662-671	sporazume	_	_	_	_	
1-106	672-673	o	_	_	_	_	
1-107	674-685	sodelovanju	_	_	_	_	
1-108	686-689	pri	_	_	_	_	
1-109	690-699	izgradnji	_	_	_	_	
1-110	700-702	in	_	_	_	_	
1-111	703-710	uporabi	_	_	_	_	
1-112	711-720	plinovoda	_	_	_	_	
1-113	721-726	Južni	_	_	_	_	
1-114	727-730	tok	_	_	_	_	
1-115	731-732	s	_	_	_	_	
1-116	733-739	Srbijo	ORG	_	*->8-1	*[8]	
1-117	740-741	,	_	_	_	_	
1-118	742-751	Bolgarijo	ORG	_	*->9-1	*[9]	
1-119	752-753	,	_	_	_	_	
1-120	754-763	Madžarsko	ORG	_	*->10-1	*[10]	
1-121	764-765	,	_	_	_	_	
1-122	766-772	Grčijo	ORG	_	*->11-1	*[11]	
1-123	773-774	,	_	_	_	_	
1-124	775-784	Slovenijo	ORG	_	*->12-1	*[12]	
1-125	785-787	in	_	_	_	_	
1-126	788-795	Hrvaško	ORG	3 - Nevtralno	*->13-1	*[13]	
1-127	796-797	.	_	_	_	_	
1-128	798-800	Po	_	_	_	_	
1-129	801-810	plinovodu	_	_	_	_	
1-130	811-816	Južni	_	_	_	_	
1-131	817-820	tok	_	_	_	_	
1-132	821-824	naj	_	_	_	_	
1-133	825-827	bi	_	_	_	_	
1-134	828-833	letno	_	_	_	_	
1-135	834-840	steklo	_	_	_	_	
1-136	841-843	63	_	_	_	_	
1-137	844-852	milijard	_	_	_	_	
1-138	853-861	kubičnih	_	_	_	_	
1-139	862-868	metrov	_	_	_	_	
1-140	869-874	plina	_	_	_	_	
1-141	875-876	.	_	_	_	_	
1-142	877-884	Projekt	_	_	_	_	
1-143	885-887	je	_	_	_	_	
1-144	888-895	ocenjen	_	_	_	_	
1-145	896-898	na	_	_	_	_	
1-146	899-904	okoli	_	_	_	_	
1-147	905-910	deset	_	_	_	_	
1-148	911-919	milijard	_	_	_	_	
1-149	920-925	evrov	_	_	_	_	
1-150	926-927	,	_	_	_	_	
1-151	928-930	po	_	_	_	_	
1-152	931-940	nekaterih	_	_	_	_	
1-153	941-947	ocenah	_	_	_	_	
1-154	948-950	bi	_	_	_	_	
1-155	951-953	se	_	_	_	_	
1-156	954-962	številka	_	_	_	_	
1-157	963-968	lahko	_	_	_	_	
1-158	969-977	povzpela	_	_	_	_	
1-159	978-980	do	_	_	_	_	
1-160	981-983	25	_	_	_	_	
1-161	984-992	milijard	_	_	_	_	
1-162	993-998	evrov	_	_	_	_	
1-163	999-1000	.	_	_	_	_	
1-164	1001-1006	Južni	_	_	_	_	
1-165	1007-1010	tok	_	_	_	_	
1-166	1011-1016	bosta	_	_	_	_	
1-167	1017-1019	po	_	_	_	_	
1-168	1020-1026	načrtu	_	_	_	_	
1-169	1027-1038	sestavljala	_	_	_	_	
1-170	1039-1042	dva	_	_	_	_	
1-171	1043-1048	kraka	_	_	_	_	
1-172	1049-1050	.	_	_	_	_	
1-173	1051-1056	Poleg	_	_	_	_	
1-174	1057-1062	kraka	_	_	_	_	
1-175	1063-1065	iz	_	_	_	_	
1-176	1066-1072	Rusije	LOC	_	*->2-3	*[2]	
1-177	1073-1074	,	_	_	_	_	
1-178	1075-1078	pod	_	_	_	_	
1-179	1079-1084	Črnim	_	_	_	_	
1-180	1085-1091	morjem	_	_	_	_	
1-181	1092-1094	do	_	_	_	_	
1-182	1095-1104	Bolgarije	LOC	_	*->9-2	*[9]	
1-183	1105-1106	,	_	_	_	_	
1-184	1107-1113	Srbije	LOC	3 - Nevtralno	*->8-2	*[8]	
1-185	1114-1115	,	_	_	_	_	
1-186	1116-1125	Madžarske	LOC	3 - Nevtralno	*->10-2	*[10]	
1-187	1126-1128	in	_	_	_	_	
1-188	1129-1137	Avstrije	LOC	3 - Nevtralno	*->3-3	*[3]	
1-189	1138-1140	oz	_	_	_	_	
1-190	1141-1142	.	_	_	_	_	
1-191	1143-1152	Slovenije	LOC	3 - Nevtralno	*->12-2	*[12]	
1-192	1153-1154	v	_	_	_	_	
1-193	1155-1162	Italijo	LOC	_	*->14-1	*[14]	
1-194	1163-1164	,	_	_	_	_	
1-195	1165-1167	bo	_	_	_	_	
1-196	1168-1171	šel	_	_	_	_	
1-197	1172-1173	v	_	_	_	_	
1-198	1174-1181	Italijo	LOC	_	*->14-2	*[14]	
1-199	1182-1186	tudi	_	_	_	_	
1-200	1187-1191	krak	_	_	_	_	
1-201	1192-1193	,	_	_	_	_	
1-202	1194-1196	ki	_	_	_	_	
1-203	1197-1199	se	_	_	_	_	
1-204	1200-1202	bo	_	_	_	_	
1-205	1203-1205	iz	_	_	_	_	
1-206	1206-1215	Bolgarije	LOC	3 - Nevtralno	*->9-3	*[9]	
1-207	1216-1224	razcepil	_	_	_	_	
1-208	1225-1226	v	_	_	_	_	
1-209	1227-1233	Grčijo	LOC	3 - Nevtralno	*->11-2	*[11]	
1-210	1234-1236	in	_	_	_	_	
1-211	1237-1241	nato	_	_	_	_	
1-212	1242-1245	pod	_	_	_	_	
1-213	1246-1256	Jadranskim	_	_	_	_	
1-214	1257-1263	morjem	_	_	_	_	
1-215	1264-1265	v	_	_	_	_	
1-216	1266-1271	južno	_	_	_	_	
1-217	1272-1279	Italijo	LOC	3 - Nevtralno	*->14-3	*[14]	
1-218	1280-1281	.	_	_	_	_	
1-219	1282-1290	Plinovod	_	_	_	_	
1-220	1291-1294	naj	_	_	_	_	
1-221	1295-1297	bi	_	_	_	_	
1-222	1298-1304	Evropi	LOC	3 - Nevtralno	*->15-1	*[15]	
1-223	1305-1314	zagotovil	_	_	_	_	
1-224	1315-1328	zanesljivejšo	_	_	_	_	
1-225	1329-1331	in	_	_	_	_	
1-226	1332-1340	varnejšo	_	_	_	_	
1-227	1341-1347	oskrbo	_	_	_	_	
1-228	1348-1349	z	_	_	_	_	
1-229	1350-1360	zemeljskim	_	_	_	_	
1-230	1361-1367	plinom	_	_	_	_	
1-231	1368-1369	,	_	_	_	_	
1-232	1370-1373	saj	_	_	_	_	
1-233	1374-1376	bo	_	_	_	_	
1-234	1377-1384	zaobšel	_	_	_	_	
1-235	1385-1393	Ukrajino	LOC	2 - Negativno	*->16-1	*[16]	
1-236	1394-1395	,	_	_	_	_	
1-237	1396-1397	s	_	_	_	_	
1-238	1398-1404	katero	_	_	_	_	
1-239	1405-1407	se	_	_	_	_	
1-240	1408-1410	je	_	_	_	_	
1-241	1411-1417	Rusija	LOC	3 - Nevtralno	*->2-4	*[2]	
1-242	1418-1419	v	_	_	_	_	
1-243	1420-1427	zadnjih	_	_	_	_	
1-244	1428-1433	letih	_	_	_	_	
1-245	1434-1441	večkrat	_	_	_	_	
1-246	1442-1448	znašla	_	_	_	_	
1-247	1449-1450	v	_	_	_	_	
1-248	1451-1454	t.i	_	_	_	_	
1-249	1455-1456	.	_	_	_	_	
1-250	1457-1465	plinskih	_	_	_	_	
1-251	1466-1472	sporih	_	_	_	_	
