#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=RTV Slovenija - vaša najboljša prijateljica ? Blagovna znamka ne nastane čez noč , na njej moraš nekaj časa delati , moraš pokazati ljudem , da si zaupanja vreden , da se lahko nate zanesejo , pravi radijski voditelj Andrej Karoli . Javni zavod ima številne znamke , programske in osebne , je dejal generalni direktor RTV SLO Marko Filli . Morda pa talentov ne znamo dovolj izkoristiti , je dejal in dodal , da bi se morda morali učiti od Big Banda RTV SLO in Simfoničnega orkestra , saj so v nasprotju s celotnim RTV - jem , kjer programi delujejo vsak po svoje , popolnoma usklajeni . Navzven bi morali po Fillijevem mnenju kazati enotno podobo , vsak pa bi tako bil nekoliko drugačen od drugega . Svojevrstna blagovna znamka je tudi RTV center Koper / Capodistria . Vodja RC - ja Koper / Capodistria Dragomir Mikelič je povedal zgodbo o sodelovanju s podjetjem Silvia Berlusconija in takrat , pred več kot dvema desetletjema , je bil RTV center Koper / Capodistria nekaj časa viden tudi v severni Afriki . Filli je sklenil , da lahko blagovne znamke ustvarijo samo ljudje , če dobro ustvarjajo , se dobro počutijo , imajo radi svoje delo . Blagovne znamke ne more ustvariti organizacija , je še dejal . RTV Slovenija je namreč na duhovit način z živahnimi arhivskimi televizijskimi in radijskimi posnetki na 20 . Slovenskem oglaševalskem festivalu predstavljala svoje pomembne znamke . Na predstavitvi , ki sta jo vodila radijec Matej Praprotnik in televizijka Jasmina Jamnik , so se v živo in prek posnetkov predstavili tisti , ki so sodelovali in še sodelujejo pri nastajanju znamk RTV SLO , pa tudi tisti , ki so s svojim prepoznavnim delom sami postali znamke . Z oceno čustvenih izlivov moških voditeljev in komentatorjev pa so postregle RTV - jeve predstavnice nežnejšega spola , Alenka Trlep , Petra Kos , Živa Rogelj in Marjana Grčman . Gledali oziroma poslušali smo posnetke športnih prenosov , nato pa so RTV - jeve novinarke ocenile njihove čustvene nastope in tako blagovne znamke RTV - ja predstavile na nekoliko drugačen način . Bitka med radijskimi in televizijskimi športnimi komentatorji je bila na koncu izenačena , ugotovile pa so , da so čustveni izpadi le v športu dovoljeni le za moške . Predstavitev so popestrili glasbeni vložki ritem sekcije Big Banda , spremljala pa jih Maja Keuc
1-1	0-3	RTV	ORG[1]	_	*->4-1	*[4]	
1-56	309-317	direktor	_	_	*->7-1	*[7]	
1-57	318-321	RTV	ORG[4]	_	*->7-1|*->4-2	*[7]|*[4]	
1-58	322-325	SLO	ORG[4]|LOC[5]	_	*->7-1|*->4-2|*->1-2	*[7]|*[4]|*[1]	
1-59	326-331	Marko	PER[6]	_	*->7-1	*[7]	
1-60	332-337	Filli	PER[6]	_	*->7-1	*[7]	
1-61	338-339	.	_	_	_	_	
1-62	340-345	Morda	_	_	_	_	
1-63	346-348	pa	_	_	_	_	
1-64	349-357	talentov	_	_	_	_	
1-65	358-360	ne	_	_	_	_	
1-66	361-366	znamo	_	_	_	_	
1-67	367-373	dovolj	_	_	_	_	
1-68	374-385	izkoristiti	_	_	_	_	
1-69	386-387	,	_	_	_	_	
1-70	388-390	je	_	_	*->7-2	*[7]	
1-71	391-396	dejal	_	_	*->7-2	*[7]	
1-72	397-399	in	_	_	_	_	
1-73	400-405	dodal	_	_	*->7-3	*[7]	
1-74	406-407	,	_	_	_	_	
1-75	408-410	da	_	_	_	_	
1-76	411-413	bi	_	_	_	_	
1-77	414-416	se	_	_	_	_	
1-78	417-422	morda	_	_	_	_	
1-79	423-429	morali	_	_	*->4-3	*[4]	
1-80	430-435	učiti	_	_	_	_	
1-81	436-438	od	_	_	_	_	
1-82	439-442	Big	ORG[7]	_	*->5-1	*[5]	
1-83	443-448	Banda	ORG[7]	_	*->5-1	*[5]	
1-84	449-452	RTV	ORG[8]	_	*->4-4	*[4]	
1-85	453-456	SLO	ORG[8]|LOC[9]	_	*->4-4|*->1-3	*[4]|*[1]	
1-86	457-459	in	_	_	_	_	
1-87	460-472	Simfoničnega	ORG[10]	4 - Pozitivno[37]	*->8-1	*[8]	
1-88	473-481	orkestra	ORG[10]	4 - Pozitivno[37]	*->8-1	*[8]	
1-89	482-483	,	_	_	_	_	
1-90	484-487	saj	_	_	_	_	
1-91	488-490	so	_	_	_	_	
1-92	491-492	v	_	_	_	_	
1-93	493-502	nasprotju	_	_	_	_	
1-94	503-504	s	_	_	_	_	
1-95	505-513	celotnim	_	_	_	_	
1-96	514-517	RTV	ORG	_	*->4-5	*[4]	
1-97	518-519	-	_	_	_	_	
1-98	520-523	jem	_	_	_	_	
1-99	524-525	,	_	_	_	_	
1-100	526-530	kjer	_	_	_	_	
1-101	531-539	programi	_	_	_	_	
1-102	540-548	delujejo	_	_	_	_	
1-103	549-553	vsak	_	_	_	_	
1-104	554-556	po	_	_	_	_	
1-105	557-562	svoje	_	_	_	_	
1-106	563-564	,	_	_	_	_	
1-107	565-574	popolnoma	_	_	_	_	
1-108	575-584	usklajeni	_	_	_	_	
1-109	585-586	.	_	_	_	_	
1-110	587-594	Navzven	_	_	_	_	
1-111	595-597	bi	_	_	_	_	
1-112	598-604	morali	_	_	_	_	
1-113	605-607	po	_	_	_	_	
1-114	608-618	Fillijevem	PER	_	*->7-4	*[7]	
1-115	619-625	mnenju	_	_	_	_	
1-116	626-632	kazati	_	_	_	_	
1-117	633-639	enotno	_	_	_	_	
1-118	640-646	podobo	_	_	_	_	
1-119	647-648	,	_	_	_	_	
1-120	649-653	vsak	_	_	_	_	
1-121	654-656	pa	_	_	_	_	
1-122	657-659	bi	_	_	_	_	
1-123	660-664	tako	_	_	_	_	
1-124	665-668	bil	_	_	_	_	
1-125	669-677	nekoliko	_	_	_	_	
1-126	678-686	drugačen	_	_	_	_	
1-127	687-689	od	_	_	_	_	
1-128	690-697	drugega	_	_	_	_	
1-129	698-699	.	_	_	_	_	
1-130	700-711	Svojevrstna	_	_	_	_	
1-131	712-720	blagovna	_	_	_	_	
1-132	721-727	znamka	_	_	_	_	
1-133	728-730	je	_	_	_	_	
1-134	731-735	tudi	_	_	_	_	
1-135	736-739	RTV	ORG[11]|ORG[12]	_	*->2-1|*->4-6	*[2]|*[4]	
1-136	740-746	center	ORG[11]	_	*->2-1	*[2]	
1-137	747-752	Koper	ORG[11]|LOC[13]	_	*->2-1|*->3-1	*[2]|*[3]	
1-138	753-754	/	ORG[11]	_	*->2-1	*[2]	
1-139	755-766	Capodistria	ORG[11]|LOC[14]	_	*->2-1|*->3-2	*[2]|*[3]	
1-140	767-768	.	_	_	_	_	
1-141	769-774	Vodja	_	3 - Nevtralno[38]	*->9-1	*[9]	
1-142	775-777	RC	ORG[15]	3 - Nevtralno[38]	*->9-1|*->2-2	*[9]|*[2]	
1-143	778-779	-	ORG[15]	3 - Nevtralno[38]	*->9-1|*->2-2	*[9]|*[2]	
1-144	780-782	ja	ORG[15]	3 - Nevtralno[38]	*->9-1|*->2-2	*[9]|*[2]	
1-145	783-788	Koper	ORG[15]|LOC[16]	3 - Nevtralno[38]	*->9-1|*->2-2|*->3-3	*[9]|*[2]|*[3]	
1-146	789-790	/	ORG[15]	3 - Nevtralno[38]	*->9-1|*->2-2	*[9]|*[2]	
1-147	791-802	Capodistria	ORG[15]|LOC[17]	3 - Nevtralno[38]	*->9-1|*->2-2|*->3-4	*[9]|*[2]|*[3]	
1-148	803-811	Dragomir	PER[18]	3 - Nevtralno[38]	*->9-1	*[9]	
1-149	812-819	Mikelič	PER[18]	3 - Nevtralno[38]	*->9-1	*[9]	
1-150	820-822	je	_	_	_	_	
1-151	823-830	povedal	_	_	_	_	
1-152	831-837	zgodbo	_	_	_	_	
1-153	838-839	o	_	_	_	_	
1-154	840-851	sodelovanju	_	_	_	_	
1-155	852-853	s	_	_	_	_	
1-156	854-863	podjetjem	_	_	_	_	
1-157	864-870	Silvia	PER[19]	3 - Nevtralno[39]	*->10-1	*[10]	
1-158	871-883	Berlusconija	PER[19]	3 - Nevtralno[39]	*->10-1	*[10]	
1-159	884-886	in	_	_	_	_	
1-160	887-893	takrat	_	_	_	_	
1-161	894-895	,	_	_	_	_	
1-162	896-900	pred	_	_	_	_	
1-163	901-904	več	_	_	_	_	
1-164	905-908	kot	_	_	_	_	
1-165	909-914	dvema	_	_	_	_	
1-166	915-927	desetletjema	_	_	_	_	
1-167	928-929	,	_	_	_	_	
1-168	930-932	je	_	_	_	_	
1-169	933-936	bil	_	_	_	_	
1-170	937-940	RTV	ORG[20]|ORG[21]	4 - Pozitivno[40]	*->2-3|*->4-7	*[2]|*[4]	
1-171	941-947	center	ORG[20]	4 - Pozitivno[40]	*->2-3	*[2]	
1-172	948-953	Koper	ORG[20]|LOC[22]	4 - Pozitivno[40]	*->2-3|*->3-5	*[2]|*[3]	
1-173	954-955	/	ORG[20]	4 - Pozitivno[40]	*->2-3	*[2]	
1-174	956-967	Capodistria	ORG[20]|LOC[23]	4 - Pozitivno[40]|3 - Nevtralno[41]	*->2-3|*->3-6	*[2]|*[3]	
1-175	968-973	nekaj	_	_	_	_	
1-176	974-978	časa	_	_	_	_	
1-177	979-984	viden	_	_	_	_	
1-178	985-989	tudi	_	_	_	_	
1-179	990-991	v	_	_	_	_	
1-180	992-999	severni	_	_	_	_	
1-181	1000-1006	Afriki	LOC	3 - Nevtralno	*->11-1	*[11]	
1-182	1007-1008	.	_	_	_	_	
1-183	1009-1014	Filli	PER	_	*->7-5	*[7]	
1-184	1015-1017	je	_	_	_	_	
1-185	1018-1025	sklenil	_	_	_	_	
1-186	1026-1027	,	_	_	_	_	
1-187	1028-1030	da	_	_	_	_	
1-188	1031-1036	lahko	_	_	_	_	
1-189	1037-1045	blagovne	_	_	_	_	
1-190	1046-1052	znamke	_	_	_	_	
1-191	1053-1062	ustvarijo	_	_	_	_	
1-192	1063-1067	samo	_	_	_	_	
1-193	1068-1074	ljudje	_	_	_	_	
1-194	1075-1076	,	_	_	_	_	
1-195	1077-1079	če	_	_	_	_	
1-196	1080-1085	dobro	_	_	_	_	
1-197	1086-1096	ustvarjajo	_	_	_	_	
1-198	1097-1098	,	_	_	_	_	
1-199	1099-1101	se	_	_	_	_	
1-200	1102-1107	dobro	_	_	_	_	
1-201	1108-1116	počutijo	_	_	_	_	
1-202	1117-1118	,	_	_	_	_	
1-203	1119-1124	imajo	_	_	_	_	
1-204	1125-1129	radi	_	_	_	_	
1-205	1130-1135	svoje	_	_	_	_	
1-206	1136-1140	delo	_	_	_	_	
1-207	1141-1142	.	_	_	_	_	
1-208	1143-1151	Blagovne	_	_	_	_	
1-209	1152-1158	znamke	_	_	_	_	
1-210	1159-1161	ne	_	_	_	_	
1-211	1162-1166	more	_	_	_	_	
1-212	1167-1176	ustvariti	_	_	_	_	
1-213	1177-1189	organizacija	_	_	_	_	
1-214	1190-1191	,	_	_	_	_	
1-215	1192-1194	je	_	_	_	_	
1-216	1195-1197	še	_	_	_	_	
1-217	1198-1203	dejal	_	4 - Pozitivno	*->7-6	*[7]	
1-218	1204-1205	.	_	_	_	_	
1-219	1206-1209	RTV	ORG[24]	_	*->4-8	*[4]	
1-220	1210-1219	Slovenija	ORG[24]|LOC[25]	_	*->4-8|*->1-4	*[4]|*[1]	
1-221	1220-1222	je	_	_	_	_	
1-222	1223-1229	namreč	_	_	_	_	
1-223	1230-1232	na	_	_	_	_	
1-224	1233-1240	duhovit	_	_	_	_	
1-225	1241-1246	način	_	_	_	_	
1-226	1247-1248	z	_	_	_	_	
1-227	1249-1258	živahnimi	_	_	_	_	
1-228	1259-1269	arhivskimi	_	_	_	_	
1-229	1270-1284	televizijskimi	_	_	_	_	
1-230	1285-1287	in	_	_	_	_	
1-231	1288-1298	radijskimi	_	_	_	_	
1-232	1299-1307	posnetki	_	_	_	_	
1-233	1308-1310	na	_	_	_	_	
1-234	1311-1313	20	_	_	_	_	
1-235	1314-1315	.	_	_	_	_	
1-236	1316-1326	Slovenskem	_	_	_	_	
1-237	1327-1340	oglaševalskem	_	_	_	_	
1-238	1341-1350	festivalu	_	_	_	_	
1-239	1351-1364	predstavljala	_	_	_	_	
1-240	1365-1370	svoje	_	_	_	_	
1-241	1371-1379	pomembne	_	_	_	_	
1-242	1380-1386	znamke	_	_	_	_	
1-243	1387-1388	.	_	_	_	_	
1-244	1389-1391	Na	_	_	_	_	
1-245	1392-1404	predstavitvi	_	_	_	_	
1-246	1405-1406	,	_	_	_	_	
1-247	1407-1409	ki	_	_	_	_	
1-248	1410-1413	sta	_	_	_	_	
1-249	1414-1416	jo	_	_	_	_	
1-250	1417-1423	vodila	_	_	_	_	
1-251	1424-1431	radijec	_	3 - Nevtralno[42]	*->12-1	*[12]	
1-252	1432-1437	Matej	PER[26]	3 - Nevtralno[42]	*->12-1	*[12]	
1-253	1438-1448	Praprotnik	PER[26]	3 - Nevtralno[42]	*->12-1	*[12]	
1-254	1449-1451	in	_	_	_	_	
1-255	1452-1463	televizijka	_	3 - Nevtralno[43]	*->13-1	*[13]	
1-256	1464-1471	Jasmina	PER[27]	3 - Nevtralno[43]	*->13-1	*[13]	
1-257	1472-1478	Jamnik	PER[27]	3 - Nevtralno[43]	*->13-1	*[13]	
1-258	1479-1480	,	_	_	_	_	
1-259	1481-1483	so	_	_	_	_	
1-260	1484-1486	se	_	_	_	_	
1-261	1487-1488	v	_	_	_	_	
1-262	1489-1493	živo	_	_	_	_	
1-263	1494-1496	in	_	_	_	_	
1-264	1497-1501	prek	_	_	_	_	
1-265	1502-1511	posnetkov	_	_	_	_	
1-266	1512-1523	predstavili	_	_	_	_	
1-267	1524-1529	tisti	_	_	_	_	
1-268	1530-1531	,	_	_	_	_	
1-269	1532-1534	ki	_	_	_	_	
1-270	1535-1537	so	_	_	_	_	
1-271	1538-1548	sodelovali	_	_	_	_	
1-272	1549-1551	in	_	_	_	_	
1-273	1552-1554	še	_	_	_	_	
1-274	1555-1565	sodelujejo	_	_	_	_	
1-275	1566-1569	pri	_	_	_	_	
1-276	1570-1580	nastajanju	_	_	_	_	
1-277	1581-1586	znamk	_	_	_	_	
1-278	1587-1590	RTV	ORG[28]	_	*->4-9	*[4]	
1-279	1591-1594	SLO	ORG[28]|LOC[29]	3 - Nevtralno	*->4-9|*->1-5	*[4]|*[1]	
1-280	1595-1596	,	_	_	_	_	
1-281	1597-1599	pa	_	_	_	_	
1-282	1600-1604	tudi	_	_	_	_	
1-283	1605-1610	tisti	_	_	_	_	
1-284	1611-1612	,	_	_	_	_	
1-285	1613-1615	ki	_	_	_	_	
1-286	1616-1618	so	_	_	_	_	
1-287	1619-1620	s	_	_	_	_	
1-288	1621-1627	svojim	_	_	_	_	
1-289	1628-1640	prepoznavnim	_	_	_	_	
1-290	1641-1646	delom	_	_	_	_	
1-291	1647-1651	sami	_	_	_	_	
1-292	1652-1659	postali	_	_	_	_	
1-293	1660-1666	znamke	_	_	_	_	
1-294	1667-1668	.	_	_	_	_	
1-295	1669-1670	Z	_	_	_	_	
1-296	1671-1676	oceno	_	_	_	_	
1-297	1677-1686	čustvenih	_	_	_	_	
1-298	1687-1694	izlivov	_	_	_	_	
1-299	1695-1701	moških	_	_	_	_	
1-300	1702-1712	voditeljev	_	_	_	_	
1-301	1713-1715	in	_	_	_	_	
1-302	1716-1729	komentatorjev	_	_	_	_	
1-303	1730-1732	pa	_	_	_	_	
1-304	1733-1735	so	_	_	_	_	
1-305	1736-1745	postregle	_	_	_	_	
1-306	1746-1749	RTV	ORG	_	*->4-10	*[4]	
1-307	1750-1751	-	_	_	_	_	
1-308	1752-1756	jeve	_	_	_	_	
1-309	1757-1769	predstavnice	_	_	_	_	
1-310	1770-1780	nežnejšega	_	_	_	_	
1-311	1781-1786	spola	_	_	_	_	
1-312	1787-1788	,	_	_	_	_	
1-313	1789-1795	Alenka	PER[30]	4 - Pozitivno[44]	*->14-1	*[14]	
1-314	1796-1801	Trlep	PER[30]	4 - Pozitivno[44]	*->14-1	*[14]	
1-315	1802-1803	,	_	_	_	_	
1-316	1804-1809	Petra	PER[31]	4 - Pozitivno[45]	*->15-1	*[15]	
1-317	1810-1813	Kos	PER[31]	4 - Pozitivno[45]	*->15-1	*[15]	
1-318	1814-1815	,	_	_	_	_	
1-319	1816-1820	Živa	PER[32]	4 - Pozitivno[46]	*->16-1	*[16]	
1-320	1821-1827	Rogelj	PER[32]	4 - Pozitivno[46]	*->16-1	*[16]	
1-321	1828-1830	in	_	_	_	_	
1-322	1831-1838	Marjana	PER[33]	4 - Pozitivno[47]	*->17-1	*[17]	
1-323	1839-1845	Grčman	PER[33]	4 - Pozitivno[47]	*->17-1	*[17]	
1-324	1846-1847	.	_	_	_	_	
1-325	1848-1855	Gledali	_	_	_	_	
1-326	1856-1863	oziroma	_	_	_	_	
1-327	1864-1873	poslušali	_	_	_	_	
1-328	1874-1877	smo	_	_	_	_	
1-329	1878-1886	posnetke	_	_	_	_	
1-330	1887-1895	športnih	_	_	_	_	
1-331	1896-1904	prenosov	_	_	_	_	
1-332	1905-1906	,	_	_	_	_	
1-333	1907-1911	nato	_	_	_	_	
1-334	1912-1914	pa	_	_	_	_	
1-335	1915-1917	so	_	_	_	_	
1-336	1918-1921	RTV	ORG	_	*->4-11	*[4]	
1-337	1922-1923	-	_	_	_	_	
1-338	1924-1928	jeve	_	_	_	_	
1-339	1929-1938	novinarke	_	_	_	_	
1-340	1939-1946	ocenile	_	_	_	_	
1-341	1947-1954	njihove	_	_	_	_	
1-342	1955-1963	čustvene	_	_	_	_	
1-343	1964-1971	nastope	_	_	_	_	
1-344	1972-1974	in	_	_	_	_	
1-345	1975-1979	tako	_	_	_	_	
1-346	1980-1988	blagovne	_	_	_	_	
1-347	1989-1995	znamke	_	_	_	_	
1-348	1996-1999	RTV	ORG	4 - Pozitivno	*->4-12	*[4]	
1-349	2000-2001	-	_	_	_	_	
1-350	2002-2004	ja	_	_	_	_	
1-351	2005-2016	predstavile	_	_	_	_	
1-352	2017-2019	na	_	_	_	_	
1-353	2020-2028	nekoliko	_	_	_	_	
1-354	2029-2037	drugačen	_	_	_	_	
1-355	2038-2043	način	_	_	_	_	
1-356	2044-2045	.	_	_	_	_	
1-357	2046-2051	Bitka	_	_	_	_	
1-358	2052-2055	med	_	_	_	_	
1-359	2056-2066	radijskimi	_	_	_	_	
1-360	2067-2069	in	_	_	_	_	
1-361	2070-2084	televizijskimi	_	_	_	_	
1-362	2085-2094	športnimi	_	_	_	_	
1-363	2095-2107	komentatorji	_	_	_	_	
1-364	2108-2110	je	_	_	_	_	
1-365	2111-2115	bila	_	_	_	_	
1-366	2116-2118	na	_	_	_	_	
1-367	2119-2124	koncu	_	_	_	_	
1-368	2125-2134	izenačena	_	_	_	_	
1-369	2135-2136	,	_	_	_	_	
1-370	2137-2146	ugotovile	_	_	_	_	
1-371	2147-2149	pa	_	_	_	_	
1-372	2150-2152	so	_	_	_	_	
1-373	2153-2154	,	_	_	_	_	
1-374	2155-2157	da	_	_	_	_	
1-375	2158-2160	so	_	_	_	_	
1-376	2161-2169	čustveni	_	_	_	_	
1-377	2170-2176	izpadi	_	_	_	_	
1-378	2177-2179	le	_	_	_	_	
1-379	2180-2181	v	_	_	_	_	
1-380	2182-2188	športu	_	_	_	_	
1-381	2189-2198	dovoljeni	_	_	_	_	
1-382	2199-2201	le	_	_	_	_	
1-383	2202-2204	za	_	_	_	_	
1-384	2205-2210	moške	_	_	_	_	
1-385	2211-2212	.	_	_	_	_	
1-386	2213-2225	Predstavitev	_	_	_	_	
1-387	2226-2228	so	_	_	_	_	
1-388	2229-2239	popestrili	_	_	_	_	
1-389	2240-2248	glasbeni	_	_	_	_	
1-390	2249-2255	vložki	_	_	_	_	
1-391	2256-2261	ritem	_	_	_	_	
1-392	2262-2269	sekcije	_	_	_	_	
1-393	2270-2273	Big	ORG[34]	4 - Pozitivno[48]	*->5-2	*[5]	
1-394	2274-2279	Banda	ORG[34]	4 - Pozitivno[48]	*->5-2	*[5]	
1-395	2280-2281	,	_	_	_	_	
1-396	2282-2292	spremljala	_	_	_	_	
1-397	2293-2295	pa	_	_	_	_	
1-398	2296-2299	jih	_	_	_	_	
1-399	2300-2304	Maja	PER[35]	4 - Pozitivno[49]	*->18-1	*[18]	
1-400	2305-2309	Keuc	PER[35]	4 - Pozitivno[49]	*->18-1	*[18]	
