#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=London / Washington / New Orleans - Britanski naftni velikan BP zaradi finančnih posledic okoljske katastrofe po razlitju nafte na globokomorski naftni ploščadi v Mehiškem zalivu po poročanju več britanskih medijev najverjetneje ne bo delil dividend za drugo letošnje četrtletje . S tem naj bi popustil pod pritiski ameriških oblasti , da v celoti poplača nastalo škodo . Po pisanju časnika Financial Times ( FT ) ocene škode , ki jo je povzročilo uhajanje nafte po aprilski eksploziji na ploščadi Deepwater Horizon , segajo od petih pa vse do 40 milijard dolarjev . Ameriške oblasti so v zadnjih dneh okrepile pritisk na britanskega naftnega velikana . Notranji minister Ken Salazar je tako izrazil pričakovanje , da bo BP poleg škode , ki so jo zaradi okoljske katastrofe utrpeli ljudje in okolje v regiji , plačal tudi gospodarsko škodo zaradi šestmesečnega moratorija na raziskovanje in vrtanje novih naftnih vrtin v globokem morju , ki ga je razglasil ameriški predsednik Barack Obama . BP je že napovedal , da bo plačal vse legitimne zahteve , medtem ko je Salazarjeve pozive že zavrnil . Tako naj bi po pisanju FT uprava BP ta teden vodilnim delničarjem sporočila , da ima družba dovolj denarja za dolgoročno zagotavljanje dividend lastnikom kapitala , da pa bi lahko prišlo do izpada izplačila v nekaj četrtletjih " iz političnih razlogov " . BP naj bi si na ta način želel doseči premirje z ameriškimi oblastmi in se izogniti nadaljnjemu pogromu Washingtona in oblasti prizadetih zveznih držav . Nekateri delničarji naj bi se s takim pristopom strinjali , drugi pa se bojijo , da tudi to ne bo dovolj za izboljšanje odnosov z Washingtonom . Katastrofa v Mehiškem zalivu , ena največjih v zgodovini ZDA , je namreč zaradi po mnenju mnogih počasnega in nezadostnega odziva zveznih oblasti občutno prizadela priljubljenost Obame . Ker pred novembrskimi kongresnimi volitvami demokratom ne kaže ravno najbolje , se mora demokratska administracija sedaj izkazati s čim bolj jasno in odločno politiko . Končne odločitve o dividendi zaenkrat še ni , padla pa naj bi šele po prvem srečanju ameriškega predsednika s predsednikom uprave BP Carl - Henricom Svanbergom v sredo v Washingtonu . Zaenkrat še ni jasno , ali bo na srečanju tudi izvršni direktor družbe Tony Hayward , ki je bil v zadnjih dneh tarča ostrih Obamovih kritik . Obama je BP očital , da namerava letos razdeliti za deset milijard dolarjev dividend , medtem ko je razlitje nafte , ki ga BP tedne ni uspel zajeziti , ogrozilo ekonomski obstoj številnih prebivalcev v prizadeti regiji , okoljsko škodo pa bodo odpravljali še leta . Dividenda v drugem četrtletju naj bi sicer po pisanju britanskih medijev dosegla okoli 1,7 milijarde evrov , o delitvi dobička pa naj bi BP odločal 27 . julija . BP je eno največjih podjetij na Otoku , njegov dobiček pa predstavlja več kot desetino vsega dobička družb , ki kotirajo na londonski borzi . BP je tudi izjemno pomembna naložba britanskih pokojninskih skladov . Razlitje nafte in kampanja ameriških oblasti proti družbi so v zadnjih tednih močno najedle vrednost delnic BP , zaradi česar se je v zgodbo vpletla tudi britanska vlada . Obama in britanski premier David Cameron naj bi se tako v današnjem telefonskem pogovoru dotaknila tudi posledic dogajanja v povezavi s katastrofo v Mehiškem zalivu na britansko gospodarstvo
1-1	0-6	London	LOC	3 - Nevtralno	*->1-1	*[1]	
1-76	463-465	po	_	_	_	_	
1-77	466-474	aprilski	_	_	_	_	
1-78	475-485	eksploziji	_	_	_	_	
1-79	486-488	na	_	_	_	_	
1-80	489-497	ploščadi	_	_	_	_	
1-81	498-507	Deepwater	_	_	_	_	
1-82	508-515	Horizon	_	_	_	_	
1-83	516-517	,	_	_	_	_	
1-84	518-524	segajo	_	_	_	_	
1-85	525-527	od	_	_	_	_	
1-86	528-533	petih	_	_	_	_	
1-87	534-536	pa	_	_	_	_	
1-88	537-540	vse	_	_	_	_	
1-89	541-543	do	_	_	_	_	
1-90	544-546	40	_	_	_	_	
1-91	547-555	milijard	_	_	_	_	
1-92	556-564	dolarjev	_	_	_	_	
1-93	565-566	.	_	_	_	_	
1-94	567-575	Ameriške	_	_	_	_	
1-95	576-583	oblasti	_	_	_	_	
1-96	584-586	so	_	_	_	_	
1-97	587-588	v	_	_	_	_	
1-98	589-596	zadnjih	_	_	_	_	
1-99	597-601	dneh	_	_	_	_	
1-100	602-610	okrepile	_	_	_	_	
1-101	611-618	pritisk	_	_	_	_	
1-102	619-621	na	_	_	_	_	
1-103	622-633	britanskega	_	_	_	_	
1-104	634-642	naftnega	_	_	*->12-4	*[12]	
1-105	643-651	velikana	_	_	*->12-4	*[12]	
1-106	652-653	.	_	_	_	_	
1-107	654-662	Notranji	_	_	*->4-1	*[4]	
1-108	663-671	minister	_	_	*->4-1	*[4]	
1-109	672-675	Ken	PER[3]	_	*->4-1	*[4]	
1-110	676-683	Salazar	PER[3]	_	*->4-1	*[4]	
1-111	684-686	je	_	_	_	_	
1-112	687-691	tako	_	_	_	_	
1-113	692-699	izrazil	_	_	_	_	
1-114	700-712	pričakovanje	_	_	_	_	
1-115	713-714	,	_	_	_	_	
1-116	715-717	da	_	_	_	_	
1-117	718-720	bo	_	_	_	_	
1-118	721-723	BP	ORG	_	*->12-5	*[12]	
1-119	724-729	poleg	_	_	_	_	
1-120	730-735	škode	_	_	_	_	
1-121	736-737	,	_	_	_	_	
1-122	738-740	ki	_	_	_	_	
1-123	741-743	so	_	_	_	_	
1-124	744-746	jo	_	_	_	_	
1-125	747-753	zaradi	_	_	_	_	
1-126	754-762	okoljske	_	_	_	_	
1-127	763-773	katastrofe	_	_	_	_	
1-128	774-781	utrpeli	_	_	_	_	
1-129	782-788	ljudje	_	_	_	_	
1-130	789-791	in	_	_	_	_	
1-131	792-798	okolje	_	_	_	_	
1-132	799-800	v	_	_	_	_	
1-133	801-807	regiji	_	_	_	_	
1-134	808-809	,	_	_	_	_	
1-135	810-816	plačal	_	_	*->12-6	*[12]	
1-136	817-821	tudi	_	_	_	_	
1-137	822-833	gospodarsko	_	_	_	_	
1-138	834-839	škodo	_	_	_	_	
1-139	840-846	zaradi	_	_	_	_	
1-140	847-860	šestmesečnega	_	_	_	_	
1-141	861-871	moratorija	_	_	_	_	
1-142	872-874	na	_	_	_	_	
1-143	875-887	raziskovanje	_	_	_	_	
1-144	888-890	in	_	_	_	_	
1-145	891-898	vrtanje	_	_	_	_	
1-146	899-904	novih	_	_	_	_	
1-147	905-912	naftnih	_	_	_	_	
1-148	913-918	vrtin	_	_	_	_	
1-149	919-920	v	_	_	_	_	
1-150	921-929	globokem	_	_	_	_	
1-151	930-935	morju	_	_	_	_	
1-152	936-937	,	_	_	_	_	
1-153	938-940	ki	_	_	_	_	
1-154	941-943	ga	_	_	_	_	
1-155	944-946	je	_	_	_	_	
1-156	947-956	razglasil	_	_	_	_	
1-157	957-965	ameriški	_	_	*->5-1	*[5]	
1-158	966-976	predsednik	_	_	*->5-1	*[5]	
1-159	977-983	Barack	PER[4]	_	*->5-1	*[5]	
1-160	984-989	Obama	PER[4]	_	*->5-1	*[5]	
1-161	990-991	.	_	_	_	_	
1-162	992-994	BP	ORG	_	*->12-7	*[12]	
1-163	995-997	je	_	_	_	_	
1-164	998-1000	že	_	_	_	_	
1-165	1001-1010	napovedal	_	_	_	_	
1-166	1011-1012	,	_	_	_	_	
1-167	1013-1015	da	_	_	_	_	
1-168	1016-1018	bo	_	_	_	_	
1-169	1019-1025	plačal	_	_	*->12-8	*[12]	
1-170	1026-1029	vse	_	_	_	_	
1-171	1030-1039	legitimne	_	_	_	_	
1-172	1040-1047	zahteve	_	_	_	_	
1-173	1048-1049	,	_	_	_	_	
1-174	1050-1056	medtem	_	_	_	_	
1-175	1057-1059	ko	_	_	_	_	
1-176	1060-1062	je	_	_	_	_	
1-177	1063-1074	Salazarjeve	PER	3 - Nevtralno	*->4-2	*[4]	
1-178	1075-1081	pozive	_	_	_	_	
1-179	1082-1084	že	_	_	_	_	
1-180	1085-1092	zavrnil	_	_	*->12-9	*[12]	
1-181	1093-1094	.	_	_	_	_	
1-182	1095-1099	Tako	_	_	_	_	
1-183	1100-1103	naj	_	_	_	_	
1-184	1104-1106	bi	_	_	_	_	
1-185	1107-1109	po	_	_	_	_	
1-186	1110-1117	pisanju	_	_	_	_	
1-187	1118-1120	FT	_	3 - Nevtralno	*->11-2	*[11]	
1-188	1121-1127	uprava	_	_	_	_	
1-189	1128-1130	BP	ORG	_	*->12-10	*[12]	
1-190	1131-1133	ta	_	_	_	_	
1-191	1134-1139	teden	_	_	_	_	
1-192	1140-1148	vodilnim	_	_	_	_	
1-193	1149-1160	delničarjem	_	_	_	_	
1-194	1161-1170	sporočila	_	_	_	_	
1-195	1171-1172	,	_	_	_	_	
1-196	1173-1175	da	_	_	_	_	
1-197	1176-1179	ima	_	_	_	_	
1-198	1180-1186	družba	_	_	*->12-11	*[12]	
1-199	1187-1193	dovolj	_	_	_	_	
1-200	1194-1201	denarja	_	_	_	_	
1-201	1202-1204	za	_	_	_	_	
1-202	1205-1215	dolgoročno	_	_	_	_	
1-203	1216-1229	zagotavljanje	_	_	_	_	
1-204	1230-1238	dividend	_	_	_	_	
1-205	1239-1248	lastnikom	_	_	_	_	
1-206	1249-1257	kapitala	_	_	_	_	
1-207	1258-1259	,	_	_	_	_	
1-208	1260-1262	da	_	_	_	_	
1-209	1263-1265	pa	_	_	_	_	
1-210	1266-1268	bi	_	_	_	_	
1-211	1269-1274	lahko	_	_	_	_	
1-212	1275-1281	prišlo	_	_	_	_	
1-213	1282-1284	do	_	_	_	_	
1-214	1285-1291	izpada	_	_	_	_	
1-215	1292-1301	izplačila	_	_	_	_	
1-216	1302-1303	v	_	_	_	_	
1-217	1304-1309	nekaj	_	_	_	_	
1-218	1310-1321	četrtletjih	_	_	_	_	
1-219	1322-1323	"	_	_	_	_	
1-220	1324-1326	iz	_	_	_	_	
1-221	1327-1337	političnih	_	_	_	_	
1-222	1338-1346	razlogov	_	_	_	_	
1-223	1347-1348	"	_	_	_	_	
1-224	1349-1350	.	_	_	_	_	
1-225	1351-1353	BP	ORG	_	*->12-12	*[12]	
1-226	1354-1357	naj	_	_	_	_	
1-227	1358-1360	bi	_	_	_	_	
1-228	1361-1363	si	_	_	_	_	
1-229	1364-1366	na	_	_	_	_	
1-230	1367-1369	ta	_	_	_	_	
1-231	1370-1375	način	_	_	_	_	
1-232	1376-1381	želel	_	_	_	_	
1-233	1382-1388	doseči	_	_	_	_	
1-234	1389-1397	premirje	_	_	_	_	
1-235	1398-1399	z	_	_	_	_	
1-236	1400-1410	ameriškimi	_	_	_	_	
1-237	1411-1419	oblastmi	_	_	_	_	
1-238	1420-1422	in	_	_	_	_	
1-239	1423-1425	se	_	_	_	_	
1-240	1426-1434	izogniti	_	_	_	_	
1-241	1435-1446	nadaljnjemu	_	_	_	_	
1-242	1447-1454	pogromu	_	_	_	_	
1-243	1455-1466	Washingtona	LOC	_	*->2-2	*[2]	
1-244	1467-1469	in	_	_	_	_	
1-245	1470-1477	oblasti	_	_	_	_	
1-246	1478-1488	prizadetih	_	_	_	_	
1-247	1489-1496	zveznih	_	_	_	_	
1-248	1497-1502	držav	_	_	_	_	
1-249	1503-1504	.	_	_	_	_	
1-250	1505-1513	Nekateri	_	_	_	_	
1-251	1514-1524	delničarji	_	_	_	_	
1-252	1525-1528	naj	_	_	_	_	
1-253	1529-1531	bi	_	_	_	_	
1-254	1532-1534	se	_	_	_	_	
1-255	1535-1536	s	_	_	_	_	
1-256	1537-1542	takim	_	_	_	_	
1-257	1543-1552	pristopom	_	_	_	_	
1-258	1553-1562	strinjali	_	_	_	_	
1-259	1563-1564	,	_	_	_	_	
1-260	1565-1570	drugi	_	_	_	_	
1-261	1571-1573	pa	_	_	_	_	
1-262	1574-1576	se	_	_	_	_	
1-263	1577-1583	bojijo	_	_	_	_	
1-264	1584-1585	,	_	_	_	_	
1-265	1586-1588	da	_	_	_	_	
1-266	1589-1593	tudi	_	_	_	_	
1-267	1594-1596	to	_	_	_	_	
1-268	1597-1599	ne	_	_	_	_	
1-269	1600-1602	bo	_	_	_	_	
1-270	1603-1609	dovolj	_	_	_	_	
1-271	1610-1612	za	_	_	_	_	
1-272	1613-1624	izboljšanje	_	_	_	_	
1-273	1625-1632	odnosov	_	_	_	_	
1-274	1633-1634	z	_	_	_	_	
1-275	1635-1647	Washingtonom	ORG	_	*->2-3	*[2]	
1-276	1648-1649	.	_	_	_	_	
1-277	1650-1660	Katastrofa	_	_	_	_	
1-278	1661-1662	v	_	_	_	_	
1-279	1663-1671	Mehiškem	_	_	_	_	
1-280	1672-1678	zalivu	_	_	_	_	
1-281	1679-1680	,	_	_	_	_	
1-282	1681-1684	ena	_	_	_	_	
1-283	1685-1694	največjih	_	_	_	_	
1-284	1695-1696	v	_	_	_	_	
1-285	1697-1706	zgodovini	_	_	_	_	
1-286	1707-1710	ZDA	LOC	3 - Nevtralno	*->6-1	*[6]	
1-287	1711-1712	,	_	_	_	_	
1-288	1713-1715	je	_	_	_	_	
1-289	1716-1722	namreč	_	_	_	_	
1-290	1723-1729	zaradi	_	_	_	_	
1-291	1730-1732	po	_	_	_	_	
1-292	1733-1739	mnenju	_	_	_	_	
1-293	1740-1746	mnogih	_	_	_	_	
1-294	1747-1756	počasnega	_	_	_	_	
1-295	1757-1759	in	_	_	_	_	
1-296	1760-1772	nezadostnega	_	_	_	_	
1-297	1773-1779	odziva	_	_	_	_	
1-298	1780-1787	zveznih	_	_	_	_	
1-299	1788-1795	oblasti	_	_	_	_	
1-300	1796-1803	občutno	_	_	_	_	
1-301	1804-1813	prizadela	_	_	_	_	
1-302	1814-1828	priljubljenost	_	_	_	_	
1-303	1829-1834	Obame	PER	_	*->5-2	*[5]	
1-304	1835-1836	.	_	_	_	_	
1-305	1837-1840	Ker	_	_	_	_	
1-306	1841-1845	pred	_	_	_	_	
1-307	1846-1858	novembrskimi	_	_	_	_	
1-308	1859-1870	kongresnimi	_	_	_	_	
1-309	1871-1880	volitvami	_	_	_	_	
1-310	1881-1891	demokratom	_	_	_	_	
1-311	1892-1894	ne	_	_	_	_	
1-312	1895-1899	kaže	_	_	_	_	
1-313	1900-1905	ravno	_	_	_	_	
1-314	1906-1914	najbolje	_	_	_	_	
1-315	1915-1916	,	_	_	_	_	
1-316	1917-1919	se	_	_	_	_	
1-317	1920-1924	mora	_	_	_	_	
1-318	1925-1936	demokratska	_	_	_	_	
1-319	1937-1951	administracija	_	_	_	_	
1-320	1952-1957	sedaj	_	_	_	_	
1-321	1958-1966	izkazati	_	_	_	_	
1-322	1967-1968	s	_	_	_	_	
1-323	1969-1972	čim	_	_	_	_	
1-324	1973-1977	bolj	_	_	_	_	
1-325	1978-1983	jasno	_	_	_	_	
1-326	1984-1986	in	_	_	_	_	
1-327	1987-1994	odločno	_	_	_	_	
1-328	1995-2003	politiko	_	_	_	_	
1-329	2004-2005	.	_	_	_	_	
1-330	2006-2012	Končne	_	_	_	_	
1-331	2013-2022	odločitve	_	_	_	_	
1-332	2023-2024	o	_	_	_	_	
1-333	2025-2034	dividendi	_	_	_	_	
1-334	2035-2043	zaenkrat	_	_	_	_	
1-335	2044-2046	še	_	_	_	_	
1-336	2047-2049	ni	_	_	_	_	
1-337	2050-2051	,	_	_	_	_	
1-338	2052-2057	padla	_	_	_	_	
1-339	2058-2060	pa	_	_	_	_	
1-340	2061-2064	naj	_	_	_	_	
1-341	2065-2067	bi	_	_	_	_	
1-342	2068-2072	šele	_	_	_	_	
1-343	2073-2075	po	_	_	_	_	
1-344	2076-2081	prvem	_	_	_	_	
1-345	2082-2090	srečanju	_	_	_	_	
1-346	2091-2101	ameriškega	_	_	*->5-3	*[5]	
1-347	2102-2113	predsednika	_	_	*->5-3	*[5]	
1-348	2114-2115	s	_	_	_	_	
1-349	2116-2128	predsednikom	_	3 - Nevtralno[9]	*->7-1	*[7]	
1-350	2129-2135	uprave	_	3 - Nevtralno[9]	*->7-1	*[7]	
1-351	2136-2138	BP	ORG	3 - Nevtralno[9]	*->7-1|*->12-13	*[7]|*[12]	
1-352	2139-2143	Carl	PER[5]	3 - Nevtralno[9]	*->7-1	*[7]	
1-353	2144-2145	-	PER[5]	3 - Nevtralno[9]	*->7-1	*[7]	
1-354	2146-2154	Henricom	PER[5]	3 - Nevtralno[9]	*->7-1	*[7]	
1-355	2155-2165	Svanbergom	PER[5]	3 - Nevtralno[9]	*->7-1	*[7]	
1-356	2166-2167	v	_	_	_	_	
1-357	2168-2173	sredo	_	_	_	_	
1-358	2174-2175	v	_	_	_	_	
1-359	2176-2187	Washingtonu	LOC	3 - Nevtralno	*->2-4	*[2]	
1-360	2188-2189	.	_	_	_	_	
1-361	2190-2198	Zaenkrat	_	_	_	_	
1-362	2199-2201	še	_	_	_	_	
1-363	2202-2204	ni	_	_	_	_	
1-364	2205-2210	jasno	_	_	_	_	
1-365	2211-2212	,	_	_	_	_	
1-366	2213-2216	ali	_	_	_	_	
1-367	2217-2219	bo	_	_	_	_	
1-368	2220-2222	na	_	_	_	_	
1-369	2223-2231	srečanju	_	_	_	_	
1-370	2232-2236	tudi	_	_	_	_	
1-371	2237-2244	izvršni	_	_	*->8-1	*[8]	
1-372	2245-2253	direktor	_	_	*->8-1	*[8]	
1-373	2254-2260	družbe	_	_	*->8-1	*[8]	
1-374	2261-2265	Tony	PER[6]	_	*->8-1	*[8]	
1-375	2266-2273	Hayward	PER[6]	_	*->8-1	*[8]	
1-376	2274-2275	,	_	_	_	_	
1-377	2276-2278	ki	_	_	_	_	
1-378	2279-2281	je	_	_	_	_	
1-379	2282-2285	bil	_	3 - Nevtralno	*->8-2	*[8]	
1-380	2286-2287	v	_	_	_	_	
1-381	2288-2295	zadnjih	_	_	_	_	
1-382	2296-2300	dneh	_	_	_	_	
1-383	2301-2306	tarča	_	_	_	_	
1-384	2307-2313	ostrih	_	_	_	_	
1-385	2314-2322	Obamovih	PER	_	*->5-4	*[5]	
1-386	2323-2329	kritik	_	_	_	_	
1-387	2330-2331	.	_	_	_	_	
1-388	2332-2337	Obama	PER	_	*->5-5	*[5]	
1-389	2338-2340	je	_	_	_	_	
1-390	2341-2343	BP	ORG	_	*->12-14	*[12]	
1-391	2344-2350	očital	_	_	_	_	
1-392	2351-2352	,	_	_	_	_	
1-393	2353-2355	da	_	_	_	_	
1-394	2356-2364	namerava	_	_	*->12-15	*[12]	
1-395	2365-2370	letos	_	_	_	_	
1-396	2371-2380	razdeliti	_	_	_	_	
1-397	2381-2383	za	_	_	_	_	
1-398	2384-2389	deset	_	_	_	_	
1-399	2390-2398	milijard	_	_	_	_	
1-400	2399-2407	dolarjev	_	_	_	_	
1-401	2408-2416	dividend	_	_	_	_	
1-402	2417-2418	,	_	_	_	_	
1-403	2419-2425	medtem	_	_	_	_	
1-404	2426-2428	ko	_	_	_	_	
1-405	2429-2431	je	_	_	_	_	
1-406	2432-2440	razlitje	_	_	_	_	
1-407	2441-2446	nafte	_	_	_	_	
1-408	2447-2448	,	_	_	_	_	
1-409	2449-2451	ki	_	_	_	_	
1-410	2452-2454	ga	_	_	_	_	
1-411	2455-2457	BP	ORG	_	*->12-16	*[12]	
1-412	2458-2463	tedne	_	_	_	_	
1-413	2464-2466	ni	_	_	_	_	
1-414	2467-2472	uspel	_	_	_	_	
1-415	2473-2481	zajeziti	_	_	_	_	
1-416	2482-2483	,	_	_	_	_	
1-417	2484-2492	ogrozilo	_	_	_	_	
1-418	2493-2502	ekonomski	_	_	_	_	
1-419	2503-2509	obstoj	_	_	_	_	
1-420	2510-2519	številnih	_	_	_	_	
1-421	2520-2531	prebivalcev	_	_	_	_	
1-422	2532-2533	v	_	_	_	_	
1-423	2534-2543	prizadeti	_	_	_	_	
1-424	2544-2550	regiji	_	_	_	_	
1-425	2551-2552	,	_	_	_	_	
1-426	2553-2561	okoljsko	_	_	_	_	
1-427	2562-2567	škodo	_	_	_	_	
1-428	2568-2570	pa	_	_	_	_	
1-429	2571-2575	bodo	_	_	_	_	
1-430	2576-2587	odpravljali	_	_	_	_	
1-431	2588-2590	še	_	_	_	_	
1-432	2591-2595	leta	_	_	_	_	
1-433	2596-2597	.	_	_	_	_	
1-434	2598-2607	Dividenda	_	_	_	_	
1-435	2608-2609	v	_	_	_	_	
1-436	2610-2616	drugem	_	_	_	_	
1-437	2617-2627	četrtletju	_	_	_	_	
1-438	2628-2631	naj	_	_	_	_	
1-439	2632-2634	bi	_	_	_	_	
1-440	2635-2640	sicer	_	_	_	_	
1-441	2641-2643	po	_	_	_	_	
1-442	2644-2651	pisanju	_	_	_	_	
1-443	2652-2662	britanskih	_	_	_	_	
1-444	2663-2670	medijev	_	_	_	_	
1-445	2671-2678	dosegla	_	_	_	_	
1-446	2679-2684	okoli	_	_	_	_	
1-447	2685-2688	1,7	_	_	_	_	
1-448	2689-2698	milijarde	_	_	_	_	
1-449	2699-2704	evrov	_	_	_	_	
1-450	2705-2706	,	_	_	_	_	
