#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Zagreb - Slovenci so najštevilčnejši med tujimi državljani , ki so kupili nepremičnine na Hrvaškem med letoma 2010 in 2012 , je objavila hrvaška davčna uprava . Od 13.883 nepremičnin prodanih tujim državljanom v treh letih , so Slovenci postali lastniki 5673 nepremičnin . Sledijo Nemci s 1757 nepremičninami in Italijani s 1574 kupljenimi nepremičninami . Davčna uprava sicer poudarja , da se število tujcev , ki so kupili nepremičnine na Hrvaškem zmanjšuje . Tako so leta 2010 tuji državljani kupili 5445 nepremičnin na Hraškem , leta 2011 nekoliko manj - 5087 , lani pa le še 3351 nepremičnin . Podoben trend je tudi med slovenskimi kupci , ki so se leta 2010 odločili za nakup 2245 nepremičnin , leto potem so kot svojo lastnino vpisali 2141 nepremičnin na Hrvaškem , lani pa 1287 . Kljub občutnem znižanju nakupov so se Slovenci obdržali na prvem mestu , ker so tudi tuji državljani iz drugih držav lani kupili manj nepremičnin kot v dveh letih pred tem . Poleg najbolj pogostih hrvaških turističnih gostov iz Slovenije , Nemčije , Italije , Avstrije in Madžarske , ki so tudi med vodilnimi kupci nepremičnin na Hrvaškem , so se visoko uvrstili Švedi , ki sicer ne izstopajo s svojim številom med turisti na Hrvaškem . Oni so v treh letih kupili 488 nepremičnin , ali več kot državljani Velike Britanije , Slovaške , Češke in Francije , ki jih je sicer pogosto videti na Hrvaškem . Državljani BiH so lani kupili zgolj pet nepremičnin na Hrvaškem , srbski državljani pa le štiri . Sicer pa so lani zabeležili tudi dva kupca iz Gane , kot tudi posamezne kupce z Nove Zelandije , iz baltskih držav ter iz Grčije , Bolgarije in Romunije . Hrvaški časnik Poslovni dnevnik kot zanimivost poudarja , da med kupci nepremičnin na Hrvaškem niso omenjeni državljani Rusije . Kot pojasnjuje , Rusi praviloma kupujejo nepremičnine preko podjetij , ki jih odpirajo na Hrvaškem . Hrvaška in Rusija namreč nimata dvostranskega sporazuma o recipročnosti pri nakupu nepremičnin , zato ruski državljani potrebujejo posebno dovoljenje , da bi kupili nepremičnino na Hrvaškem
1-1	0-6	Zagreb	LOC	3 - Nevtralno	*->1-1	*[1]	
1-58	364-370	uprava	_	_	_	_	
1-59	371-376	sicer	_	_	_	_	
1-60	377-385	poudarja	_	_	_	_	
1-61	386-387	,	_	_	_	_	
1-62	388-390	da	_	_	_	_	
1-63	391-393	se	_	_	_	_	
1-64	394-401	število	_	_	_	_	
1-65	402-408	tujcev	_	_	_	_	
1-66	409-410	,	_	_	_	_	
1-67	411-413	ki	_	_	_	_	
1-68	414-416	so	_	_	_	_	
1-69	417-423	kupili	_	_	_	_	
1-70	424-436	nepremičnine	_	_	_	_	
1-71	437-439	na	_	_	_	_	
1-72	440-448	Hrvaškem	LOC	_	*->2-2	*[2]	
1-73	449-458	zmanjšuje	_	_	_	_	
1-74	459-460	.	_	_	_	_	
1-75	461-465	Tako	_	_	_	_	
1-76	466-468	so	_	_	_	_	
1-77	469-473	leta	_	_	_	_	
1-78	474-478	2010	_	_	_	_	
1-79	479-483	tuji	_	_	_	_	
1-80	484-494	državljani	_	_	_	_	
1-81	495-501	kupili	_	_	_	_	
1-82	502-506	5445	_	_	_	_	
1-83	507-518	nepremičnin	_	_	_	_	
1-84	519-521	na	_	_	_	_	
1-85	522-529	Hraškem	LOC	_	*->2-3	*[2]	
1-86	530-531	,	_	_	_	_	
1-87	532-536	leta	_	_	_	_	
1-88	537-541	2011	_	_	_	_	
1-89	542-550	nekoliko	_	_	_	_	
1-90	551-555	manj	_	_	_	_	
1-91	556-557	-	_	_	_	_	
1-92	558-562	5087	_	_	_	_	
1-93	563-564	,	_	_	_	_	
1-94	565-569	lani	_	_	_	_	
1-95	570-572	pa	_	_	_	_	
1-96	573-575	le	_	_	_	_	
1-97	576-578	še	_	_	_	_	
1-98	579-583	3351	_	_	_	_	
1-99	584-595	nepremičnin	_	_	_	_	
1-100	596-597	.	_	_	_	_	
1-101	598-605	Podoben	_	_	_	_	
1-102	606-611	trend	_	_	_	_	
1-103	612-614	je	_	_	_	_	
1-104	615-619	tudi	_	_	_	_	
1-105	620-623	med	_	_	_	_	
1-106	624-635	slovenskimi	_	_	_	_	
1-107	636-641	kupci	_	_	_	_	
1-108	642-643	,	_	_	_	_	
1-109	644-646	ki	_	_	_	_	
1-110	647-649	so	_	_	_	_	
1-111	650-652	se	_	_	_	_	
1-112	653-657	leta	_	_	_	_	
1-113	658-662	2010	_	_	_	_	
1-114	663-671	odločili	_	_	_	_	
1-115	672-674	za	_	_	_	_	
1-116	675-680	nakup	_	_	_	_	
1-117	681-685	2245	_	_	_	_	
1-118	686-697	nepremičnin	_	_	_	_	
1-119	698-699	,	_	_	_	_	
1-120	700-704	leto	_	_	_	_	
1-121	705-710	potem	_	_	_	_	
1-122	711-713	so	_	_	_	_	
1-123	714-717	kot	_	_	_	_	
1-124	718-723	svojo	_	_	_	_	
1-125	724-732	lastnino	_	_	_	_	
1-126	733-740	vpisali	_	_	_	_	
1-127	741-745	2141	_	_	_	_	
1-128	746-757	nepremičnin	_	_	_	_	
1-129	758-760	na	_	_	_	_	
1-130	761-769	Hrvaškem	LOC	_	*->2-4	*[2]	
1-131	770-771	,	_	_	_	_	
1-132	772-776	lani	_	_	_	_	
1-133	777-779	pa	_	_	_	_	
1-134	780-784	1287	_	_	_	_	
1-135	785-786	.	_	_	_	_	
1-136	787-792	Kljub	_	_	_	_	
1-137	793-801	občutnem	_	_	_	_	
1-138	802-810	znižanju	_	_	_	_	
1-139	811-818	nakupov	_	_	_	_	
1-140	819-821	so	_	_	_	_	
1-141	822-824	se	_	_	_	_	
1-142	825-833	Slovenci	_	_	_	_	
1-143	834-842	obdržali	_	_	_	_	
1-144	843-845	na	_	_	_	_	
1-145	846-851	prvem	_	_	_	_	
1-146	852-857	mestu	_	_	_	_	
1-147	858-859	,	_	_	_	_	
1-148	860-863	ker	_	_	_	_	
1-149	864-866	so	_	_	_	_	
1-150	867-871	tudi	_	_	_	_	
1-151	872-876	tuji	_	_	_	_	
1-152	877-887	državljani	_	_	_	_	
1-153	888-890	iz	_	_	_	_	
1-154	891-897	drugih	_	_	_	_	
1-155	898-903	držav	_	_	_	_	
1-156	904-908	lani	_	_	_	_	
1-157	909-915	kupili	_	_	_	_	
1-158	916-920	manj	_	_	_	_	
1-159	921-932	nepremičnin	_	_	_	_	
1-160	933-936	kot	_	_	_	_	
1-161	937-938	v	_	_	_	_	
1-162	939-943	dveh	_	_	_	_	
1-163	944-949	letih	_	_	_	_	
1-164	950-954	pred	_	_	_	_	
1-165	955-958	tem	_	_	_	_	
1-166	959-960	.	_	_	_	_	
1-167	961-966	Poleg	_	_	_	_	
1-168	967-974	najbolj	_	_	_	_	
1-169	975-983	pogostih	_	_	_	_	
1-170	984-992	hrvaških	_	_	_	_	
1-171	993-1004	turističnih	_	_	_	_	
1-172	1005-1011	gostov	_	_	_	_	
1-173	1012-1014	iz	_	_	_	_	
1-174	1015-1024	Slovenije	LOC	4 - Pozitivno	*->3-1	*[3]	
1-175	1025-1026	,	_	_	_	_	
1-176	1027-1034	Nemčije	LOC	4 - Pozitivno	*->4-1	*[4]	
1-177	1035-1036	,	_	_	_	_	
1-178	1037-1044	Italije	LOC	4 - Pozitivno	*->5-1	*[5]	
1-179	1045-1046	,	_	_	_	_	
1-180	1047-1055	Avstrije	LOC	4 - Pozitivno	*->6-1	*[6]	
1-181	1056-1058	in	_	_	_	_	
1-182	1059-1068	Madžarske	LOC	4 - Pozitivno	*->7-1	*[7]	
1-183	1069-1070	,	_	_	_	_	
1-184	1071-1073	ki	_	_	_	_	
1-185	1074-1076	so	_	_	_	_	
1-186	1077-1081	tudi	_	_	_	_	
1-187	1082-1085	med	_	_	_	_	
1-188	1086-1095	vodilnimi	_	_	_	_	
1-189	1096-1101	kupci	_	_	_	_	
1-190	1102-1113	nepremičnin	_	_	_	_	
1-191	1114-1116	na	_	_	_	_	
1-192	1117-1125	Hrvaškem	LOC	_	*->2-5	*[2]	
1-193	1126-1127	,	_	_	_	_	
1-194	1128-1130	so	_	_	_	_	
1-195	1131-1133	se	_	_	_	_	
1-196	1134-1140	visoko	_	_	_	_	
1-197	1141-1149	uvrstili	_	_	_	_	
1-198	1150-1155	Švedi	_	_	_	_	
1-199	1156-1157	,	_	_	_	_	
1-200	1158-1160	ki	_	_	_	_	
1-201	1161-1166	sicer	_	_	_	_	
1-202	1167-1169	ne	_	_	_	_	
1-203	1170-1179	izstopajo	_	_	_	_	
1-204	1180-1181	s	_	_	_	_	
1-205	1182-1188	svojim	_	_	_	_	
1-206	1189-1197	številom	_	_	_	_	
1-207	1198-1201	med	_	_	_	_	
1-208	1202-1209	turisti	_	_	_	_	
1-209	1210-1212	na	_	_	_	_	
1-210	1213-1221	Hrvaškem	LOC	_	*->2-6	*[2]	
1-211	1222-1223	.	_	_	_	_	
1-212	1224-1227	Oni	_	_	_	_	
1-213	1228-1230	so	_	_	_	_	
1-214	1231-1232	v	_	_	_	_	
1-215	1233-1237	treh	_	_	_	_	
1-216	1238-1243	letih	_	_	_	_	
1-217	1244-1250	kupili	_	_	_	_	
1-218	1251-1254	488	_	_	_	_	
1-219	1255-1266	nepremičnin	_	_	_	_	
1-220	1267-1268	,	_	_	_	_	
1-221	1269-1272	ali	_	_	_	_	
1-222	1273-1276	več	_	_	_	_	
1-223	1277-1280	kot	_	_	_	_	
1-224	1281-1291	državljani	_	_	_	_	
1-225	1292-1298	Velike	LOC[1]	3 - Nevtralno[4]	*->8-1	*[8]	
1-226	1299-1308	Britanije	LOC[1]	3 - Nevtralno[4]	*->8-1	*[8]	
1-227	1309-1310	,	_	_	_	_	
1-228	1311-1319	Slovaške	LOC	3 - Nevtralno	*->9-1	*[9]	
1-229	1320-1321	,	_	_	_	_	
1-230	1322-1327	Češke	LOC	3 - Nevtralno	*->10-1	*[10]	
1-231	1328-1330	in	_	_	_	_	
1-232	1331-1339	Francije	LOC	3 - Nevtralno	*->11-1	*[11]	
1-233	1340-1341	,	_	_	_	_	
1-234	1342-1344	ki	_	_	_	_	
1-235	1345-1348	jih	_	_	_	_	
1-236	1349-1351	je	_	_	_	_	
1-237	1352-1357	sicer	_	_	_	_	
1-238	1358-1365	pogosto	_	_	_	_	
1-239	1366-1372	videti	_	_	_	_	
1-240	1373-1375	na	_	_	_	_	
1-241	1376-1384	Hrvaškem	LOC	_	*->2-7	*[2]	
1-242	1385-1386	.	_	_	_	_	
1-243	1387-1397	Državljani	_	_	_	_	
1-244	1398-1401	BiH	LOC	3 - Nevtralno	*->12-1	*[12]	
1-245	1402-1404	so	_	_	_	_	
1-246	1405-1409	lani	_	_	_	_	
1-247	1410-1416	kupili	_	_	_	_	
1-248	1417-1422	zgolj	_	_	_	_	
1-249	1423-1426	pet	_	_	_	_	
1-250	1427-1438	nepremičnin	_	_	_	_	
1-251	1439-1441	na	_	_	_	_	
1-252	1442-1450	Hrvaškem	LOC	_	*->2-8	*[2]	
1-253	1451-1452	,	_	_	_	_	
1-254	1453-1459	srbski	_	_	_	_	
1-255	1460-1470	državljani	_	_	_	_	
1-256	1471-1473	pa	_	_	_	_	
1-257	1474-1476	le	_	_	_	_	
1-258	1477-1482	štiri	_	_	_	_	
1-259	1483-1484	.	_	_	_	_	
1-260	1485-1490	Sicer	_	_	_	_	
1-261	1491-1493	pa	_	_	_	_	
1-262	1494-1496	so	_	_	_	_	
1-263	1497-1501	lani	_	_	_	_	
1-264	1502-1512	zabeležili	_	_	_	_	
1-265	1513-1517	tudi	_	_	_	_	
1-266	1518-1521	dva	_	_	_	_	
1-267	1522-1527	kupca	_	_	_	_	
1-268	1528-1530	iz	_	_	_	_	
1-269	1531-1535	Gane	LOC	3 - Nevtralno	*->13-1	*[13]	
1-270	1536-1537	,	_	_	_	_	
1-271	1538-1541	kot	_	_	_	_	
1-272	1542-1546	tudi	_	_	_	_	
1-273	1547-1556	posamezne	_	_	_	_	
1-274	1557-1562	kupce	_	_	_	_	
1-275	1563-1564	z	_	_	_	_	
1-276	1565-1569	Nove	LOC[2]	3 - Nevtralno[5]	*->14-1	*[14]	
1-277	1570-1579	Zelandije	LOC[2]	3 - Nevtralno[5]	*->14-1	*[14]	
1-278	1580-1581	,	_	_	_	_	
1-279	1582-1584	iz	_	_	_	_	
1-280	1585-1593	baltskih	_	_	_	_	
1-281	1594-1599	držav	_	_	_	_	
1-282	1600-1603	ter	_	_	_	_	
1-283	1604-1606	iz	_	_	_	_	
1-284	1607-1613	Grčije	LOC	3 - Nevtralno	*->15-1	*[15]	
1-285	1614-1615	,	_	_	_	_	
1-286	1616-1625	Bolgarije	LOC	3 - Nevtralno	*->16-1	*[16]	
1-287	1626-1628	in	_	_	_	_	
1-288	1629-1637	Romunije	LOC	3 - Nevtralno	*->17-1	*[17]	
1-289	1638-1639	.	_	_	_	_	
1-290	1640-1647	Hrvaški	_	3 - Nevtralno[6]	*->19-1	*[19]	
1-291	1648-1654	časnik	_	3 - Nevtralno[6]	*->19-1	*[19]	
1-292	1655-1663	Poslovni	ORG[3]	3 - Nevtralno[6]	*->19-1	*[19]	
1-293	1664-1671	dnevnik	ORG[3]	3 - Nevtralno[6]	*->19-1	*[19]	
1-294	1672-1675	kot	_	_	_	_	
1-295	1676-1686	zanimivost	_	_	_	_	
1-296	1687-1695	poudarja	_	_	_	_	
1-297	1696-1697	,	_	_	_	_	
1-298	1698-1700	da	_	_	_	_	
1-299	1701-1704	med	_	_	_	_	
1-300	1705-1710	kupci	_	_	_	_	
1-301	1711-1722	nepremičnin	_	_	_	_	
1-302	1723-1725	na	_	_	_	_	
1-303	1726-1734	Hrvaškem	LOC	_	*->2-9	*[2]	
1-304	1735-1739	niso	_	_	_	_	
1-305	1740-1748	omenjeni	_	_	_	_	
1-306	1749-1759	državljani	_	_	_	_	
1-307	1760-1766	Rusije	LOC	_	*->18-1	*[18]	
1-308	1767-1768	.	_	_	_	_	
1-309	1769-1772	Kot	_	_	_	_	
1-310	1773-1783	pojasnjuje	_	_	_	_	
1-311	1784-1785	,	_	_	_	_	
1-312	1786-1790	Rusi	_	_	_	_	
1-313	1791-1800	praviloma	_	_	_	_	
1-314	1801-1809	kupujejo	_	_	_	_	
1-315	1810-1822	nepremičnine	_	_	_	_	
1-316	1823-1828	preko	_	_	_	_	
1-317	1829-1837	podjetij	_	_	_	_	
1-318	1838-1839	,	_	_	_	_	
1-319	1840-1842	ki	_	_	_	_	
1-320	1843-1846	jih	_	_	_	_	
1-321	1847-1855	odpirajo	_	_	_	_	
1-322	1856-1858	na	_	_	_	_	
1-323	1859-1867	Hrvaškem	LOC	_	*->2-10	*[2]	
1-324	1868-1869	.	_	_	_	_	
1-325	1870-1877	Hrvaška	ORG	_	*->2-11	*[2]	
1-326	1878-1880	in	_	_	_	_	
1-327	1881-1887	Rusija	ORG	3 - Nevtralno	*->18-2	*[18]	
1-328	1888-1894	namreč	_	_	_	_	
1-329	1895-1901	nimata	_	_	_	_	
1-330	1902-1915	dvostranskega	_	_	_	_	
1-331	1916-1925	sporazuma	_	_	_	_	
1-332	1926-1927	o	_	_	_	_	
1-333	1928-1941	recipročnosti	_	_	_	_	
1-334	1942-1945	pri	_	_	_	_	
1-335	1946-1952	nakupu	_	_	_	_	
1-336	1953-1964	nepremičnin	_	_	_	_	
1-337	1965-1966	,	_	_	_	_	
1-338	1967-1971	zato	_	_	_	_	
1-339	1972-1977	ruski	_	_	_	_	
1-340	1978-1988	državljani	_	_	_	_	
1-341	1989-2000	potrebujejo	_	_	_	_	
1-342	2001-2008	posebno	_	_	_	_	
1-343	2009-2019	dovoljenje	_	_	_	_	
1-344	2020-2021	,	_	_	_	_	
1-345	2022-2024	da	_	_	_	_	
1-346	2025-2027	bi	_	_	_	_	
1-347	2028-2034	kupili	_	_	_	_	
1-348	2035-2047	nepremičnino	_	_	_	_	
1-349	2048-2050	na	_	_	_	_	
1-350	2051-2059	Hrvaškem	LOC	3 - Nevtralno	*->2-12	*[2]	
