#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Bruselj - Prodaja avtomobilov v Evropi se je povečala tudi februarja . V 28 evropskih državah ( brez Cipra in Malte , a vključujoč Islandijo , Norveško in Švico ) so drugi letošnji mesec prodali 1.000.754 osebnih avtomobilov , kar je 3,2 odstotka več kot februarja lani . V državah članicah EU , brez upoštevanja Cipra in Malte , je bilo februarja prodanih 974.346 novih avtomobilov , kar je tri odstotke več kot februarja lani , je danes objavilo Združenje evropskih avtomobilskih proizvajalcev ( ACEA ) . Kot navaja ACEA , se podatki po posameznih državah zelo razlikujejo . Tako se je februarja močno zmanjšala prodaja avtomobilov v Nemčiji , in sicer za 29,8 odstotka na 194.846 . Padec je pripisati koncu sheme subvencioniranja nakupa novih avtomobilov . V drugih evropskih državah se je prodaja avtomobilov povečala : v Španiji za 47 odstotkov na 91.281 , v Veliki Britaniji za 26,4 odstotka na 68.686 , v Italiji za 20,6 odstotka na 200.560 in v Franciji za 18,2 odstotka na 180,535 avtomobilov . V Sloveniji se je prodaja novih avtomobilov februarja na letni ravni povečala za 1,8 odstotka na 4803 avtomobilov , v prvih dveh mesecih letos pa za 6,1 odstotka na 9853 avtomobilov . S februarsko prodajo se lahko najbolj pohvalijo francoski avtomobilski proizvajalci . Skupina Renault ( Renault in Dacia ) je na letni ravni prodajo povečala za 30 odstotkov na 109.663 avtomobilov , skupina PSA ( Peugeot in Citroen ) pa za 18,4 odstotka na 149.128 avtomobilov . Evropski avtomobilski proizvajalec številka ena , nemški Volkswagen ( Volkswagen , Audi , Seat in Škoda ) je prodajo na letni ravni zmanjšal za 1,7 odstotka na 207.969 avtomobilov . V prvih dveh mesecih letos se je prodaja avtomobilov v Evropi povečala za 8,1 odstotka na približno 2,09 milijona . Skupina Volkswagen je v prvih dveh mesecih letos ohranila položaj največjega evropskega proizvajalca avtomobilov , tržni delež skupine znaša 20,1 odstotka , medtem ko je ta v enakem obdobju lani dosegal 21,3 odstotka . Sledijo PSA Peugeot Citroen s 14,4 - odstotnim deležem , Renault z 10,8 - odstotnim in Ford z 10,1 - odstotnim deležem
1-1	0-7	Bruselj	LOC	3 - Nevtralno	*->1-1	*[1]	
1-55	301-312	upoštevanja	_	_	_	_	
1-56	313-318	Cipra	LOC	3 - Nevtralno	*->3-2	*[3]	
1-57	319-321	in	_	_	_	_	
1-58	322-327	Malte	LOC	3 - Nevtralno	*->4-2	*[4]	
1-59	328-329	,	_	_	_	_	
1-60	330-332	je	_	_	_	_	
1-61	333-337	bilo	_	_	_	_	
1-62	338-347	februarja	_	_	_	_	
1-63	348-356	prodanih	_	_	_	_	
1-64	357-364	974.346	_	_	_	_	
1-65	365-370	novih	_	_	_	_	
1-66	371-382	avtomobilov	_	_	_	_	
1-67	383-384	,	_	_	_	_	
1-68	385-388	kar	_	_	_	_	
1-69	389-391	je	_	_	_	_	
1-70	392-395	tri	_	_	_	_	
1-71	396-404	odstotke	_	_	_	_	
1-72	405-408	več	_	_	_	_	
1-73	409-412	kot	_	_	_	_	
1-74	413-422	februarja	_	_	_	_	
1-75	423-427	lani	_	_	_	_	
1-76	428-429	,	_	_	_	_	
1-77	430-432	je	_	_	_	_	
1-78	433-438	danes	_	_	_	_	
1-79	439-447	objavilo	_	_	_	_	
1-80	448-457	Združenje	ORG[1]	_	*->8-1	*[8]	
1-81	458-467	evropskih	ORG[1]	_	*->8-1	*[8]	
1-82	468-481	avtomobilskih	ORG[1]	_	*->8-1	*[8]	
1-83	482-495	proizvajalcev	ORG[1]	_	*->8-1	*[8]	
1-84	496-497	(	_	_	_	_	
1-85	498-502	ACEA	ORG	_	*->8-2	*[8]	
1-86	503-504	)	_	_	_	_	
1-87	505-506	.	_	_	_	_	
1-88	507-510	Kot	_	_	_	_	
1-89	511-517	navaja	_	_	_	_	
1-90	518-522	ACEA	ORG	3 - Nevtralno	*->8-3	*[8]	
1-91	523-524	,	_	_	_	_	
1-92	525-527	se	_	_	_	_	
1-93	528-535	podatki	_	_	_	_	
1-94	536-538	po	_	_	_	_	
1-95	539-549	posameznih	_	_	_	_	
1-96	550-557	državah	_	_	_	_	
1-97	558-562	zelo	_	_	_	_	
1-98	563-574	razlikujejo	_	_	_	_	
1-99	575-576	.	_	_	_	_	
1-100	577-581	Tako	_	_	_	_	
1-101	582-584	se	_	_	_	_	
1-102	585-587	je	_	_	_	_	
1-103	588-597	februarja	_	_	_	_	
1-104	598-603	močno	_	_	_	_	
1-105	604-613	zmanjšala	_	_	_	_	
1-106	614-621	prodaja	_	_	_	_	
1-107	622-633	avtomobilov	_	_	_	_	
1-108	634-635	v	_	_	_	_	
1-109	636-643	Nemčiji	LOC	2 - Negativno	*->9-1	*[9]	
1-110	644-645	,	_	_	_	_	
1-111	646-648	in	_	_	_	_	
1-112	649-654	sicer	_	_	_	_	
1-113	655-657	za	_	_	_	_	
1-114	658-662	29,8	_	_	_	_	
1-115	663-671	odstotka	_	_	_	_	
1-116	672-674	na	_	_	_	_	
1-117	675-682	194.846	_	_	_	_	
1-118	683-684	.	_	_	_	_	
1-119	685-690	Padec	_	_	_	_	
1-120	691-693	je	_	_	_	_	
1-121	694-703	pripisati	_	_	_	_	
1-122	704-709	koncu	_	_	_	_	
1-123	710-715	sheme	_	_	_	_	
1-124	716-732	subvencioniranja	_	_	_	_	
1-125	733-739	nakupa	_	_	_	_	
1-126	740-745	novih	_	_	_	_	
1-127	746-757	avtomobilov	_	_	_	_	
1-128	758-759	.	_	_	_	_	
1-129	760-761	V	_	_	_	_	
1-130	762-768	drugih	_	_	_	_	
1-131	769-778	evropskih	_	_	_	_	
1-132	779-786	državah	_	_	_	_	
1-133	787-789	se	_	_	_	_	
1-134	790-792	je	_	_	_	_	
1-135	793-800	prodaja	_	_	_	_	
1-136	801-812	avtomobilov	_	_	_	_	
1-137	813-821	povečala	_	_	_	_	
1-138	822-823	:	_	_	_	_	
1-139	824-825	v	_	_	_	_	
1-140	826-833	Španiji	LOC	4 - Pozitivno	*->10-1	*[10]	
1-141	834-836	za	_	_	_	_	
1-142	837-839	47	_	_	_	_	
1-143	840-849	odstotkov	_	_	_	_	
1-144	850-852	na	_	_	_	_	
1-145	853-859	91.281	_	_	_	_	
1-146	860-861	,	_	_	_	_	
1-147	862-863	v	_	_	_	_	
1-148	864-870	Veliki	LOC[2]	4 - Pozitivno[17]	*->11-1	*[11]	
1-149	871-880	Britaniji	LOC[2]	4 - Pozitivno[17]	*->11-1	*[11]	
1-150	881-883	za	_	_	_	_	
1-151	884-888	26,4	_	_	_	_	
1-152	889-897	odstotka	_	_	_	_	
1-153	898-900	na	_	_	_	_	
1-154	901-907	68.686	_	_	_	_	
1-155	908-909	,	_	_	_	_	
1-156	910-911	v	_	_	_	_	
1-157	912-919	Italiji	LOC	4 - Pozitivno	*->12-1	*[12]	
1-158	920-922	za	_	_	_	_	
1-159	923-927	20,6	_	_	_	_	
1-160	928-936	odstotka	_	_	_	_	
1-161	937-939	na	_	_	_	_	
1-162	940-947	200.560	_	_	_	_	
1-163	948-950	in	_	_	_	_	
1-164	951-952	v	_	_	_	_	
1-165	953-961	Franciji	LOC	4 - Pozitivno	*->13-1	*[13]	
1-166	962-964	za	_	_	_	_	
1-167	965-969	18,2	_	_	_	_	
1-168	970-978	odstotka	_	_	_	_	
1-169	979-981	na	_	_	_	_	
1-170	982-989	180,535	_	_	_	_	
1-171	990-1001	avtomobilov	_	_	_	_	
1-172	1002-1003	.	_	_	_	_	
1-173	1004-1005	V	_	_	_	_	
1-174	1006-1015	Sloveniji	LOC	4 - Pozitivno	*->14-1	*[14]	
1-175	1016-1018	se	_	_	_	_	
1-176	1019-1021	je	_	_	_	_	
1-177	1022-1029	prodaja	_	_	_	_	
1-178	1030-1035	novih	_	_	_	_	
1-179	1036-1047	avtomobilov	_	_	_	_	
1-180	1048-1057	februarja	_	_	_	_	
1-181	1058-1060	na	_	_	_	_	
1-182	1061-1066	letni	_	_	_	_	
1-183	1067-1072	ravni	_	_	_	_	
1-184	1073-1081	povečala	_	_	_	_	
1-185	1082-1084	za	_	_	_	_	
1-186	1085-1088	1,8	_	_	_	_	
1-187	1089-1097	odstotka	_	_	_	_	
1-188	1098-1100	na	_	_	_	_	
1-189	1101-1105	4803	_	_	_	_	
1-190	1106-1117	avtomobilov	_	_	_	_	
1-191	1118-1119	,	_	_	_	_	
1-192	1120-1121	v	_	_	_	_	
1-193	1122-1127	prvih	_	_	_	_	
1-194	1128-1132	dveh	_	_	_	_	
1-195	1133-1140	mesecih	_	_	_	_	
1-196	1141-1146	letos	_	_	_	_	
1-197	1147-1149	pa	_	_	_	_	
1-198	1150-1152	za	_	_	_	_	
1-199	1153-1156	6,1	_	_	_	_	
1-200	1157-1165	odstotka	_	_	_	_	
1-201	1166-1168	na	_	_	_	_	
1-202	1169-1173	9853	_	_	_	_	
1-203	1174-1185	avtomobilov	_	_	_	_	
1-204	1186-1187	.	_	_	_	_	
1-205	1188-1189	S	_	_	_	_	
1-206	1190-1200	februarsko	_	_	_	_	
1-207	1201-1208	prodajo	_	_	_	_	
1-208	1209-1211	se	_	_	_	_	
1-209	1212-1217	lahko	_	_	_	_	
1-210	1218-1225	najbolj	_	_	_	_	
1-211	1226-1235	pohvalijo	_	_	_	_	
1-212	1236-1245	francoski	_	_	_	_	
1-213	1246-1258	avtomobilski	_	_	_	_	
1-214	1259-1271	proizvajalci	_	_	_	_	
1-215	1272-1273	.	_	_	_	_	
1-216	1274-1281	Skupina	_	_	*->15-1	*[15]	
1-217	1282-1289	Renault	ORG	_	*->15-1|*->16-1	*[15]|*[16]	
1-218	1290-1291	(	_	_	_	_	
1-219	1292-1299	Renault	ORG[3]|ORG[4]	3 - Nevtralno	*->15-2|*->16-2	*[15]|*[16]	
1-220	1300-1302	in	ORG[3]	_	*->15-2	*[15]	
1-221	1303-1308	Dacia	ORG[3]|ORG[5]	3 - Nevtralno	*->15-2|*->17-1	*[15]|*[17]	
1-222	1309-1310	)	_	_	_	_	
1-223	1311-1313	je	_	_	_	_	
1-224	1314-1316	na	_	_	_	_	
1-225	1317-1322	letni	_	_	_	_	
1-226	1323-1328	ravni	_	_	_	_	
1-227	1329-1336	prodajo	_	_	_	_	
1-228	1337-1345	povečala	_	_	_	_	
1-229	1346-1348	za	_	_	_	_	
1-230	1349-1351	30	_	_	_	_	
1-231	1352-1361	odstotkov	_	_	_	_	
1-232	1362-1364	na	_	_	_	_	
1-233	1365-1372	109.663	_	_	_	_	
1-234	1373-1384	avtomobilov	_	_	_	_	
1-235	1385-1386	,	_	_	_	_	
1-236	1387-1394	skupina	_	_	_	_	
1-237	1395-1398	PSA	ORG	_	*->18-1	*[18]	
1-238	1399-1400	(	_	_	_	_	
1-239	1401-1408	Peugeot	ORG[6]|ORG[7]	_	*->18-2|*->19-1	*[18]|*[19]	
1-240	1409-1411	in	ORG[6]	_	*->18-2	*[18]	
1-241	1412-1419	Citroen	ORG[6]|ORG[8]	_	*->18-2|*->20-1	*[18]|*[20]	
1-242	1420-1421	)	_	_	_	_	
1-243	1422-1424	pa	_	_	_	_	
1-244	1425-1427	za	_	_	_	_	
1-245	1428-1432	18,4	_	_	_	_	
1-246	1433-1441	odstotka	_	_	_	_	
1-247	1442-1444	na	_	_	_	_	
1-248	1445-1452	149.128	_	_	_	_	
1-249	1453-1464	avtomobilov	_	_	_	_	
1-250	1465-1466	.	_	_	_	_	
1-251	1467-1475	Evropski	_	_	*->21-1	*[21]	
1-252	1476-1488	avtomobilski	_	_	*->21-1	*[21]	
1-253	1489-1501	proizvajalec	_	_	*->21-1	*[21]	
1-254	1502-1510	številka	_	_	*->21-1	*[21]	
1-255	1511-1514	ena	_	_	*->21-1	*[21]	
1-256	1515-1516	,	_	_	_	_	
1-257	1517-1523	nemški	_	_	*->21-2	*[21]	
1-258	1524-1534	Volkswagen	ORG	_	*->21-2|*->22-1	*[21]|*[22]	
1-259	1535-1536	(	_	_	_	_	
1-260	1537-1547	Volkswagen	ORG[9]|ORG[10]	_	*->21-3|*->22-2	*[21]|*[22]	
1-261	1548-1549	,	ORG[9]	_	*->21-3	*[21]	
1-262	1550-1554	Audi	ORG[9]|ORG[11]	3 - Nevtralno	*->21-3|*->24-1	*[21]|*[24]	
1-263	1555-1556	,	ORG[9]	_	*->21-3	*[21]	
1-264	1557-1561	Seat	ORG[9]|ORG[12]	3 - Nevtralno	*->21-3|*->25-1	*[21]|*[25]	
1-265	1562-1564	in	ORG[9]	_	*->21-3	*[21]	
1-266	1565-1570	Škoda	ORG[9]|ORG[13]	3 - Nevtralno	*->21-3|*->26-1	*[21]|*[26]	
1-267	1571-1572	)	_	_	_	_	
1-268	1573-1575	je	_	_	_	_	
1-269	1576-1583	prodajo	_	_	_	_	
1-270	1584-1586	na	_	_	_	_	
1-271	1587-1592	letni	_	_	_	_	
1-272	1593-1598	ravni	_	_	_	_	
1-273	1599-1607	zmanjšal	_	_	_	_	
1-274	1608-1610	za	_	_	_	_	
1-275	1611-1614	1,7	_	_	_	_	
1-276	1615-1623	odstotka	_	_	_	_	
1-277	1624-1626	na	_	_	_	_	
1-278	1627-1634	207.969	_	_	_	_	
1-279	1635-1646	avtomobilov	_	_	_	_	
1-280	1647-1648	.	_	_	_	_	
1-281	1649-1650	V	_	_	_	_	
1-282	1651-1656	prvih	_	_	_	_	
1-283	1657-1661	dveh	_	_	_	_	
1-284	1662-1669	mesecih	_	_	_	_	
1-285	1670-1675	letos	_	_	_	_	
1-286	1676-1678	se	_	_	_	_	
1-287	1679-1681	je	_	_	_	_	
1-288	1682-1689	prodaja	_	_	_	_	
1-289	1690-1701	avtomobilov	_	_	_	_	
1-290	1702-1703	v	_	_	_	_	
1-291	1704-1710	Evropi	LOC	4 - Pozitivno	*->2-2	*[2]	
1-292	1711-1719	povečala	_	_	_	_	
1-293	1720-1722	za	_	_	_	_	
1-294	1723-1726	8,1	_	_	_	_	
1-295	1727-1735	odstotka	_	_	_	_	
1-296	1736-1738	na	_	_	_	_	
1-297	1739-1748	približno	_	_	_	_	
1-298	1749-1753	2,09	_	_	_	_	
1-299	1754-1762	milijona	_	_	_	_	
1-300	1763-1764	.	_	_	_	_	
1-301	1765-1772	Skupina	_	_	*->21-4	*[21]	
1-302	1773-1783	Volkswagen	ORG	3 - Nevtralno	*->21-4|*->22-3	*[21]|*[22]	
1-303	1784-1786	je	_	_	_	_	
1-304	1787-1788	v	_	_	_	_	
1-305	1789-1794	prvih	_	_	_	_	
1-306	1795-1799	dveh	_	_	_	_	
1-307	1800-1807	mesecih	_	_	_	_	
1-308	1808-1813	letos	_	_	_	_	
1-309	1814-1822	ohranila	_	_	_	_	
1-310	1823-1830	položaj	_	_	_	_	
1-311	1831-1841	največjega	_	4 - Pozitivno[18]	*->21-5	*[21]	
1-312	1842-1852	evropskega	_	4 - Pozitivno[18]	*->21-5	*[21]	
1-313	1853-1865	proizvajalca	_	4 - Pozitivno[18]	*->21-5	*[21]	
1-314	1866-1877	avtomobilov	_	4 - Pozitivno[18]	*->21-5	*[21]	
1-315	1878-1879	,	_	_	_	_	
1-316	1880-1885	tržni	_	_	_	_	
1-317	1886-1891	delež	_	_	_	_	
1-318	1892-1899	skupine	_	_	_	_	
1-319	1900-1905	znaša	_	_	_	_	
1-320	1906-1910	20,1	_	_	_	_	
1-321	1911-1919	odstotka	_	_	_	_	
1-322	1920-1921	,	_	_	_	_	
1-323	1922-1928	medtem	_	_	_	_	
1-324	1929-1931	ko	_	_	_	_	
1-325	1932-1934	je	_	_	_	_	
1-326	1935-1937	ta	_	_	_	_	
1-327	1938-1939	v	_	_	_	_	
1-328	1940-1946	enakem	_	_	_	_	
1-329	1947-1954	obdobju	_	_	_	_	
1-330	1955-1959	lani	_	_	_	_	
1-331	1960-1967	dosegal	_	_	_	_	
1-332	1968-1972	21,3	_	_	_	_	
1-333	1973-1981	odstotka	_	_	_	_	
1-334	1982-1983	.	_	_	_	_	
1-335	1984-1991	Sledijo	_	_	_	_	
1-336	1992-1995	PSA	ORG[14]	4 - Pozitivno[19]	*->18-3	*[18]	
1-337	1996-2003	Peugeot	ORG[14]|ORG[15]	4 - Pozitivno[19]|3 - Nevtralno[20]	*->18-3|*->19-2	*[18]|*[19]	
1-338	2004-2011	Citroen	ORG[14]|ORG[16]	4 - Pozitivno[19]|3 - Nevtralno[21]	*->18-3|*->20-2	*[18]|*[20]	
1-339	2012-2013	s	_	_	_	_	
1-340	2014-2018	14,4	_	_	_	_	
1-341	2019-2020	-	_	_	_	_	
1-342	2021-2030	odstotnim	_	_	_	_	
1-343	2031-2038	deležem	_	_	_	_	
1-344	2039-2040	,	_	_	_	_	
1-345	2041-2048	Renault	ORG	4 - Pozitivno	*->15-3	*[15]	
1-346	2049-2050	z	_	_	_	_	
1-347	2051-2055	10,8	_	_	_	_	
1-348	2056-2057	-	_	_	_	_	
1-349	2058-2067	odstotnim	_	_	_	_	
1-350	2068-2070	in	_	_	_	_	
1-351	2071-2075	Ford	ORG	4 - Pozitivno	*->23-1	*[23]	
1-352	2076-2077	z	_	_	_	_	
1-353	2078-2082	10,1	_	_	_	_	
1-354	2083-2084	-	_	_	_	_	
1-355	2085-2094	odstotnim	_	_	_	_	
1-356	2095-2102	deležem	_	_	_	_	
