#FORMAT=WebAnno TSV 3.2
#T_SP=de.tudarmstadt.ukp.dkpro.core.api.ner.type.NamedEntity|value
#T_SP=webanno.custom.Sentiment|Polarity
#T_CH=webanno.custom.CorefLink|referenceRelation|referenceType


#Text=Ajdovščina - Delničarjem Primorja Holding , zbranih okrog nekdanjega predsednika uprave Dušana Črnigoja , je včeraj uspel preobrat . Na skupščini so prepričali veliko večino lastnikov , da ostajajo v lastništvu in svojo vlogo še okrepijo s pomočjo strateškega partnerja , ki naj bi v družbo v roku treh mesecev prinesel svežih 30 milijonov evrov . Strateškega partnerja naj bi javnosti predstavili v roku enega meseca , z bankami upnicami pa se bo nova uprava Primorja Holding poskušala dogovoriti , da ne izberejo scenarija stečaja . S tem so izbrali pot mimo države , iz katere so vseskozi prihajali signali , da bi ajdovskemu gradbincu pomagali le , če se reši zasebnih lastnikov . Banke so medtem - kot nam je potrdil tudi župan Ajdovščine Marjan Poljšak - dale vedeti , da ob morebitnem ponovnem Črnigojevem prevzemu Primorja dvigajo roke in družbi odpirajo prosto pot k stečaju . Včeraj so nam tudi v eni od bank upnic povedali , da se brez trdnih zavez z lastniki ne bodo pogovarjali . Nekdanji finančni direktor Primorja in solastnik Alojz Bolčina medtem odločno zagotavlja , da to ni še en manever v zavlačevanju agonije . Poznavalci razmer nasprotno dodajajo , da gre za zgodbo , ki smo jo že videli v primeru SCT in drugih propadlih gradbincev . Včerajšnja skupščina Primorja Holding je tudi sicer minila v znamenju nasprotnih predlogov , kot jih je predlagala uprava na čelu z Jožetom Brecljem . V nadzornem svetu bodo sedeli Miran Lavrenčič , Jožef Lozej , Jože Vrabec , Andrej Bandelj in Gorazd Humar . Njihova prva naloga bo zelo verjetno razrešitev Breclja . Slednji je bil hkratni član uprave Primorja , lastnik Primorja Holding in zastopnik Primorja Holding . Večina lastnikov holdinga mu ne zaupa več , proti njemu in upravi Primorja so že napovedali odškodninske tožbe . Ker v Primorju včeraj pred skupščino delničarjev Primorja Holding niso želeli komentirati dogajanj , pa ni jasno , ali mu še vedno zaupajo tudi v Primorju . Z novim vodstvom Primorja Holding bi bila lahko ogrožena tudi uprava Primorja , a lastniki za zdaj zagotavljajo , da Marjana Novak ostaja na čelu družbe . Naslednji prelomni trenutek za Primorje prihaja že naslednji teden . Do srede mora uprava zagotoviti denar za izplačilo plač . " Jasnih pisnih zagotovil o plači od uprave še nimamo , v povezavi s tem smo v stalnih kontaktih z upravo , ki se trudi zagotoviti sredstva , " pravi predsednik koordinacije sindikatov v Primorju Damjan Volf . Ker je plačilo za opravljeno delo v tem trenutku za zaposlene še edina prava motivacija za delo , v sindikatih že napovedujejo , da če plač do srede ne bo , bodo ukrepali takoj . Razočarani so nad državo oziroma posameznimi vladnimi predstavniki , ki ne sprevidijo , da gre za usodo 1500 zaposlenih , 15 povezanih družb in izgubo edinega gradbinca z referencami za večje naložbe . Glede na to , da je Vipavska dolina velika volilna baza sedanje vladajoče stranke SDS , ugotavljajo , da slednja na cedilu pušča svoje lastne volilce . Delavce in njihove družine . natasa.ozebek @ dnevnik.si , vesna.vukovic @
1-1	0-10	Ajdovščina	LOC	_	*->1-1	*[1]	
1-75	453-459	uprava	_	_	_	_	
1-76	460-468	Primorja	ORG[3]	_	*->2-3	*[2]	
1-77	469-476	Holding	ORG[3]	_	*->2-3	*[2]	
1-78	477-486	poskušala	_	_	_	_	
1-79	487-497	dogovoriti	_	_	_	_	
1-80	498-499	,	_	_	_	_	
1-81	500-502	da	_	_	_	_	
1-82	503-505	ne	_	_	_	_	
1-83	506-514	izberejo	_	_	*->2-4	*[2]	
1-84	515-524	scenarija	_	_	_	_	
1-85	525-532	stečaja	_	_	_	_	
1-86	533-534	.	_	_	_	_	
1-87	535-536	S	_	_	_	_	
1-88	537-540	tem	_	_	_	_	
1-89	541-543	so	_	_	_	_	
1-90	544-551	izbrali	_	_	*->2-5	*[2]	
1-91	552-555	pot	_	_	_	_	
1-92	556-560	mimo	_	_	_	_	
1-93	561-567	države	_	_	_	_	
1-94	568-569	,	_	_	_	_	
1-95	570-572	iz	_	_	_	_	
1-96	573-579	katere	_	_	_	_	
1-97	580-582	so	_	_	_	_	
1-98	583-591	vseskozi	_	_	_	_	
1-99	592-601	prihajali	_	_	_	_	
1-100	602-609	signali	_	_	_	_	
1-101	610-611	,	_	_	_	_	
1-102	612-614	da	_	_	_	_	
1-103	615-617	bi	_	_	_	_	
1-104	618-628	ajdovskemu	_	_	*->2-6	*[2]	
1-105	629-638	gradbincu	_	_	*->2-6	*[2]	
1-106	639-647	pomagali	_	_	_	_	
1-107	648-650	le	_	_	_	_	
1-108	651-652	,	_	_	_	_	
1-109	653-655	če	_	_	_	_	
1-110	656-658	se	_	_	_	_	
1-111	659-663	reši	_	_	_	_	
1-112	664-672	zasebnih	_	_	_	_	
1-113	673-682	lastnikov	_	_	_	_	
1-114	683-684	.	_	_	_	_	
1-115	685-690	Banke	_	_	_	_	
1-116	691-693	so	_	_	_	_	
1-117	694-700	medtem	_	_	_	_	
1-118	701-702	-	_	_	_	_	
1-119	703-706	kot	_	_	_	_	
1-120	707-710	nam	_	_	_	_	
1-121	711-713	je	_	_	_	_	
1-122	714-721	potrdil	_	_	_	_	
1-123	722-726	tudi	_	_	_	_	
1-124	727-732	župan	_	3 - Nevtralno[20]	*->3-1	*[3]	
1-125	733-743	Ajdovščine	LOC	3 - Nevtralno[20]|3 - Nevtralno[21]	*->3-1|*->1-2	*[3]|*[1]	
1-126	744-750	Marjan	PER[4]	3 - Nevtralno[20]	*->3-1	*[3]	
1-127	751-758	Poljšak	PER[4]	3 - Nevtralno[20]	*->3-1	*[3]	
1-128	759-760	-	_	_	_	_	
1-129	761-765	dale	_	_	_	_	
1-130	766-772	vedeti	_	_	_	_	
1-131	773-774	,	_	_	_	_	
1-132	775-777	da	_	_	_	_	
1-133	778-780	ob	_	_	_	_	
1-134	781-791	morebitnem	_	_	_	_	
1-135	792-800	ponovnem	_	_	_	_	
1-136	801-812	Črnigojevem	PER	2 - Negativno	*->15-2	*[15]	
1-137	813-821	prevzemu	_	_	_	_	
1-138	822-830	Primorja	ORG	_	*->2-7	*[2]	
1-139	831-838	dvigajo	_	_	_	_	
1-140	839-843	roke	_	_	_	_	
1-141	844-846	in	_	_	_	_	
1-142	847-853	družbi	_	_	*->2-8	*[2]	
1-143	854-862	odpirajo	_	_	_	_	
1-144	863-869	prosto	_	_	_	_	
1-145	870-873	pot	_	_	_	_	
1-146	874-875	k	_	_	_	_	
1-147	876-883	stečaju	_	_	_	_	
1-148	884-885	.	_	_	_	_	
1-149	886-892	Včeraj	_	_	_	_	
1-150	893-895	so	_	_	_	_	
1-151	896-899	nam	_	_	_	_	
1-152	900-904	tudi	_	_	_	_	
1-153	905-906	v	_	_	_	_	
1-154	907-910	eni	_	_	_	_	
1-155	911-913	od	_	_	_	_	
1-156	914-918	bank	_	_	_	_	
1-157	919-924	upnic	_	_	_	_	
1-158	925-933	povedali	_	_	_	_	
1-159	934-935	,	_	_	_	_	
1-160	936-938	da	_	_	_	_	
1-161	939-941	se	_	_	_	_	
1-162	942-946	brez	_	_	_	_	
1-163	947-953	trdnih	_	_	_	_	
1-164	954-959	zavez	_	_	_	_	
1-165	960-961	z	_	_	_	_	
1-166	962-970	lastniki	_	_	_	_	
1-167	971-973	ne	_	_	_	_	
1-168	974-978	bodo	_	_	_	_	
1-169	979-990	pogovarjali	_	_	_	_	
1-170	991-992	.	_	_	_	_	
1-171	993-1001	Nekdanji	_	3 - Nevtralno[22]	*->4-1	*[4]	
1-172	1002-1010	finančni	_	3 - Nevtralno[22]	*->4-1	*[4]	
1-173	1011-1019	direktor	_	3 - Nevtralno[22]	*->4-1	*[4]	
1-174	1020-1028	Primorja	ORG	3 - Nevtralno[22]	*->4-1|*->2-9	*[4]|*[2]	
1-175	1029-1031	in	_	3 - Nevtralno[22]	*->4-1	*[4]	
1-176	1032-1041	solastnik	_	3 - Nevtralno[22]	*->4-1	*[4]	
1-177	1042-1047	Alojz	PER[5]	3 - Nevtralno[22]	*->4-1	*[4]	
1-178	1048-1055	Bolčina	PER[5]	3 - Nevtralno[22]	*->4-1	*[4]	
1-179	1056-1062	medtem	_	_	_	_	
1-180	1063-1070	odločno	_	_	_	_	
1-181	1071-1081	zagotavlja	_	_	_	_	
1-182	1082-1083	,	_	_	_	_	
1-183	1084-1086	da	_	_	_	_	
1-184	1087-1089	to	_	_	_	_	
1-185	1090-1092	ni	_	_	_	_	
1-186	1093-1095	še	_	_	_	_	
1-187	1096-1098	en	_	_	_	_	
1-188	1099-1106	manever	_	_	_	_	
1-189	1107-1108	v	_	_	_	_	
1-190	1109-1121	zavlačevanju	_	_	_	_	
1-191	1122-1129	agonije	_	_	_	_	
1-192	1130-1131	.	_	_	_	_	
1-193	1132-1142	Poznavalci	_	_	_	_	
1-194	1143-1149	razmer	_	_	_	_	
1-195	1150-1159	nasprotno	_	_	_	_	
1-196	1160-1168	dodajajo	_	_	_	_	
1-197	1169-1170	,	_	_	_	_	
1-198	1171-1173	da	_	_	_	_	
1-199	1174-1177	gre	_	_	_	_	
1-200	1178-1180	za	_	_	_	_	
1-201	1181-1187	zgodbo	_	_	_	_	
1-202	1188-1189	,	_	_	_	_	
1-203	1190-1192	ki	_	_	_	_	
1-204	1193-1196	smo	_	_	_	_	
1-205	1197-1199	jo	_	_	_	_	
1-206	1200-1202	že	_	_	_	_	
1-207	1203-1209	videli	_	_	_	_	
1-208	1210-1211	v	_	_	_	_	
1-209	1212-1219	primeru	_	_	_	_	
1-210	1220-1223	SCT	ORG	2 - Negativno	*->5-1	*[5]	
1-211	1224-1226	in	_	_	_	_	
1-212	1227-1233	drugih	_	_	_	_	
1-213	1234-1243	propadlih	_	_	_	_	
1-214	1244-1254	gradbincev	_	_	_	_	
1-215	1255-1256	.	_	_	_	_	
1-216	1257-1267	Včerajšnja	_	_	_	_	
1-217	1268-1277	skupščina	_	_	_	_	
1-218	1278-1286	Primorja	ORG[6]	_	*->2-10	*[2]	
1-219	1287-1294	Holding	ORG[6]	_	*->2-10	*[2]	
1-220	1295-1297	je	_	_	_	_	
1-221	1298-1302	tudi	_	_	_	_	
1-222	1303-1308	sicer	_	_	_	_	
1-223	1309-1315	minila	_	_	_	_	
1-224	1316-1317	v	_	_	_	_	
1-225	1318-1326	znamenju	_	_	_	_	
1-226	1327-1337	nasprotnih	_	_	_	_	
1-227	1338-1347	predlogov	_	_	_	_	
1-228	1348-1349	,	_	_	_	_	
1-229	1350-1353	kot	_	_	_	_	
1-230	1354-1357	jih	_	_	_	_	
1-231	1358-1360	je	_	_	_	_	
1-232	1361-1371	predlagala	_	_	_	_	
1-233	1372-1378	uprava	_	_	_	_	
1-234	1379-1381	na	_	_	_	_	
1-235	1382-1386	čelu	_	_	_	_	
1-236	1387-1388	z	_	_	_	_	
1-237	1389-1396	Jožetom	PER[7]	_	*->6-1	*[6]	
1-238	1397-1405	Brecljem	PER[7]	_	*->6-1	*[6]	
1-239	1406-1407	.	_	_	_	_	
1-240	1408-1409	V	_	_	_	_	
1-241	1410-1419	nadzornem	_	_	_	_	
1-242	1420-1425	svetu	_	_	_	_	
1-243	1426-1430	bodo	_	_	_	_	
1-244	1431-1437	sedeli	_	_	_	_	
1-245	1438-1443	Miran	PER[8]	3 - Nevtralno[23]	*->7-1	*[7]	
1-246	1444-1453	Lavrenčič	PER[8]	3 - Nevtralno[23]	*->7-1	*[7]	
1-247	1454-1455	,	_	_	_	_	
1-248	1456-1461	Jožef	PER[9]	3 - Nevtralno[24]	*->8-1	*[8]	
1-249	1462-1467	Lozej	PER[9]	3 - Nevtralno[24]	*->8-1	*[8]	
1-250	1468-1469	,	_	_	_	_	
1-251	1470-1474	Jože	PER[10]	3 - Nevtralno[25]	*->9-1	*[9]	
1-252	1475-1481	Vrabec	PER[10]	3 - Nevtralno[25]	*->9-1	*[9]	
1-253	1482-1483	,	_	_	_	_	
1-254	1484-1490	Andrej	PER[11]	3 - Nevtralno[26]	*->10-1	*[10]	
1-255	1491-1498	Bandelj	PER[11]	3 - Nevtralno[26]	*->10-1	*[10]	
1-256	1499-1501	in	_	_	_	_	
1-257	1502-1508	Gorazd	PER[12]	3 - Nevtralno[27]	*->11-1	*[11]	
1-258	1509-1514	Humar	PER[12]	3 - Nevtralno[27]	*->11-1	*[11]	
1-259	1515-1516	.	_	_	_	_	
1-260	1517-1524	Njihova	_	_	_	_	
1-261	1525-1529	prva	_	_	_	_	
1-262	1530-1536	naloga	_	_	_	_	
1-263	1537-1539	bo	_	_	_	_	
1-264	1540-1544	zelo	_	_	_	_	
1-265	1545-1553	verjetno	_	_	_	_	
1-266	1554-1564	razrešitev	_	_	_	_	
1-267	1565-1572	Breclja	PER	_	*->6-2	*[6]	
1-268	1573-1574	.	_	_	_	_	
1-269	1575-1582	Slednji	_	_	*->6-3	*[6]	
1-270	1583-1585	je	_	_	_	_	
1-271	1586-1589	bil	_	_	_	_	
1-272	1590-1597	hkratni	_	_	_	_	
1-273	1598-1602	član	_	_	*->6-4	*[6]	
1-274	1603-1609	uprave	_	_	*->6-4	*[6]	
1-275	1610-1618	Primorja	ORG	_	*->6-4|*->2-11	*[6]|*[2]	
1-276	1619-1620	,	_	_	_	_	
1-277	1621-1628	lastnik	_	_	*->6-5	*[6]	
1-278	1629-1637	Primorja	ORG[13]	_	*->6-5|*->2-12	*[6]|*[2]	
1-279	1638-1645	Holding	ORG[13]	_	*->6-5|*->2-12	*[6]|*[2]	
1-280	1646-1648	in	_	_	_	_	
1-281	1649-1658	zastopnik	_	_	*->6-6	*[6]	
1-282	1659-1667	Primorja	ORG[14]	_	*->6-6|*->2-13	*[6]|*[2]	
1-283	1668-1675	Holding	ORG[14]	_	*->6-6|*->2-13	*[6]|*[2]	
1-284	1676-1677	.	_	_	_	_	
1-285	1678-1684	Večina	_	_	_	_	
1-286	1685-1694	lastnikov	_	_	_	_	
1-287	1695-1703	holdinga	_	_	*->2-14	*[2]	
1-288	1704-1706	mu	_	_	*->6-7	*[6]	
1-289	1707-1709	ne	_	_	_	_	
1-290	1710-1715	zaupa	_	_	_	_	
1-291	1716-1719	več	_	_	_	_	
1-292	1720-1721	,	_	_	_	_	
1-293	1722-1727	proti	_	_	_	_	
1-294	1728-1733	njemu	_	_	*->6-8	*[6]	
1-295	1734-1736	in	_	_	_	_	
1-296	1737-1743	upravi	_	_	_	_	
1-297	1744-1752	Primorja	ORG	_	*->2-15	*[2]	
1-298	1753-1755	so	_	_	_	_	
1-299	1756-1758	že	_	_	_	_	
1-300	1759-1769	napovedali	_	_	_	_	
1-301	1770-1782	odškodninske	_	_	_	_	
1-302	1783-1788	tožbe	_	_	_	_	
1-303	1789-1790	.	_	_	_	_	
1-304	1791-1794	Ker	_	_	_	_	
1-305	1795-1796	v	_	_	_	_	
1-306	1797-1805	Primorju	ORG	_	*->2-16	*[2]	
1-307	1806-1812	včeraj	_	_	_	_	
1-308	1813-1817	pred	_	_	_	_	
1-309	1818-1827	skupščino	_	_	_	_	
1-310	1828-1839	delničarjev	_	_	_	_	
1-311	1840-1848	Primorja	ORG[15]	_	*->2-17	*[2]	
1-312	1849-1856	Holding	ORG[15]	_	*->2-17	*[2]	
1-313	1857-1861	niso	_	_	_	_	
1-314	1862-1868	želeli	_	_	_	_	
1-315	1869-1880	komentirati	_	_	_	_	
1-316	1881-1889	dogajanj	_	_	_	_	
1-317	1890-1891	,	_	_	_	_	
1-318	1892-1894	pa	_	_	_	_	
1-319	1895-1897	ni	_	_	_	_	
1-320	1898-1903	jasno	_	_	_	_	
1-321	1904-1905	,	_	_	_	_	
1-322	1906-1909	ali	_	_	_	_	
1-323	1910-1912	mu	_	2 - Negativno	*->6-9	*[6]	
1-324	1913-1915	še	_	_	_	_	
1-325	1916-1921	vedno	_	_	_	_	
1-326	1922-1929	zaupajo	_	_	_	_	
1-327	1930-1934	tudi	_	_	_	_	
1-328	1935-1936	v	_	_	_	_	
1-329	1937-1945	Primorju	ORG	_	*->2-18	*[2]	
1-330	1946-1947	.	_	_	_	_	
1-331	1948-1949	Z	_	_	_	_	
1-332	1950-1955	novim	_	_	_	_	
1-333	1956-1964	vodstvom	_	_	_	_	
1-334	1965-1973	Primorja	ORG[16]	_	*->2-19	*[2]	
1-335	1974-1981	Holding	ORG[16]	_	*->2-19	*[2]	
1-336	1982-1984	bi	_	_	_	_	
1-337	1985-1989	bila	_	_	_	_	
1-338	1990-1995	lahko	_	_	_	_	
1-339	1996-2004	ogrožena	_	_	_	_	
1-340	2005-2009	tudi	_	_	_	_	
1-341	2010-2016	uprava	_	_	_	_	
1-342	2017-2025	Primorja	ORG	_	*->2-20	*[2]	
1-343	2026-2027	,	_	_	_	_	
1-344	2028-2029	a	_	_	_	_	
1-345	2030-2038	lastniki	_	_	_	_	
1-346	2039-2041	za	_	_	_	_	
1-347	2042-2046	zdaj	_	_	_	_	
1-348	2047-2059	zagotavljajo	_	_	_	_	
1-349	2060-2061	,	_	_	_	_	
1-350	2062-2064	da	_	_	_	_	
1-351	2065-2072	Marjana	PER[17]	3 - Nevtralno[28]	*->12-1	*[12]	
1-352	2073-2078	Novak	PER[17]	3 - Nevtralno[28]	*->12-1	*[12]	
1-353	2079-2085	ostaja	_	_	_	_	
1-354	2086-2088	na	_	_	_	_	
1-355	2089-2093	čelu	_	_	_	_	
1-356	2094-2100	družbe	_	_	*->2-21	*[2]	
1-357	2101-2102	.	_	_	_	_	
1-358	2103-2112	Naslednji	_	_	_	_	
1-359	2113-2121	prelomni	_	_	_	_	
1-360	2122-2130	trenutek	_	_	_	_	
1-361	2131-2133	za	_	_	_	_	
1-362	2134-2142	Primorje	ORG	_	*->2-22	*[2]	
1-363	2143-2150	prihaja	_	_	_	_	
1-364	2151-2153	že	_	_	_	_	
1-365	2154-2163	naslednji	_	_	_	_	
1-366	2164-2169	teden	_	_	_	_	
1-367	2170-2171	.	_	_	_	_	
1-368	2172-2174	Do	_	_	_	_	
1-369	2175-2180	srede	_	_	_	_	
1-370	2181-2185	mora	_	_	_	_	
1-371	2186-2192	uprava	_	_	_	_	
1-372	2193-2203	zagotoviti	_	_	_	_	
1-373	2204-2209	denar	_	_	_	_	
1-374	2210-2212	za	_	_	_	_	
1-375	2213-2222	izplačilo	_	_	_	_	
1-376	2223-2227	plač	_	_	_	_	
1-377	2228-2229	.	_	_	_	_	
1-378	2230-2231	"	_	_	_	_	
1-379	2232-2238	Jasnih	_	_	_	_	
1-380	2239-2245	pisnih	_	_	_	_	
1-381	2246-2255	zagotovil	_	_	_	_	
1-382	2256-2257	o	_	_	_	_	
1-383	2258-2263	plači	_	_	_	_	
1-384	2264-2266	od	_	_	_	_	
1-385	2267-2273	uprave	_	_	_	_	
1-386	2274-2276	še	_	_	_	_	
1-387	2277-2283	nimamo	_	_	_	_	
1-388	2284-2285	,	_	_	_	_	
1-389	2286-2287	v	_	_	_	_	
1-390	2288-2296	povezavi	_	_	_	_	
1-391	2297-2298	s	_	_	_	_	
1-392	2299-2302	tem	_	_	_	_	
1-393	2303-2306	smo	_	_	_	_	
1-394	2307-2308	v	_	_	_	_	
1-395	2309-2316	stalnih	_	_	_	_	
1-396	2317-2326	kontaktih	_	_	_	_	
1-397	2327-2328	z	_	_	_	_	
1-398	2329-2335	upravo	_	_	_	_	
1-399	2336-2337	,	_	_	_	_	
1-400	2338-2340	ki	_	_	_	_	
1-401	2341-2343	se	_	_	_	_	
1-402	2344-2349	trudi	_	_	_	_	
1-403	2350-2360	zagotoviti	_	_	_	_	
1-404	2361-2369	sredstva	_	_	_	_	
1-405	2370-2371	,	_	_	_	_	
1-406	2372-2373	"	_	_	_	_	
1-407	2374-2379	pravi	_	_	_	_	
1-408	2380-2390	predsednik	_	3 - Nevtralno[29]	*->13-1	*[13]	
1-409	2391-2403	koordinacije	_	3 - Nevtralno[29]	*->13-1	*[13]	
1-410	2404-2414	sindikatov	_	3 - Nevtralno[29]	*->13-1	*[13]	
1-411	2415-2416	v	_	3 - Nevtralno[29]	*->13-1	*[13]	
1-412	2417-2425	Primorju	ORG	3 - Nevtralno[29]	*->13-1|*->2-23	*[13]|*[2]	
1-413	2426-2432	Damjan	PER[18]	3 - Nevtralno[29]	*->13-1	*[13]	
1-414	2433-2437	Volf	PER[18]	3 - Nevtralno[29]	*->13-1	*[13]	
1-415	2438-2439	.	_	_	_	_	
1-416	2440-2443	Ker	_	_	_	_	
1-417	2444-2446	je	_	_	_	_	
1-418	2447-2454	plačilo	_	_	_	_	
1-419	2455-2457	za	_	_	_	_	
1-420	2458-2468	opravljeno	_	_	_	_	
1-421	2469-2473	delo	_	_	_	_	
1-422	2474-2475	v	_	_	_	_	
1-423	2476-2479	tem	_	_	_	_	
1-424	2480-2488	trenutku	_	_	_	_	
1-425	2489-2491	za	_	_	_	_	
1-426	2492-2501	zaposlene	_	_	_	_	
1-427	2502-2504	še	_	_	_	_	
1-428	2505-2510	edina	_	_	_	_	
1-429	2511-2516	prava	_	_	_	_	
1-430	2517-2527	motivacija	_	_	_	_	
1-431	2528-2530	za	_	_	_	_	
1-432	2531-2535	delo	_	_	_	_	
1-433	2536-2537	,	_	_	_	_	
1-434	2538-2539	v	_	_	_	_	
1-435	2540-2550	sindikatih	_	_	_	_	
1-436	2551-2553	že	_	_	_	_	
1-437	2554-2566	napovedujejo	_	_	_	_	
1-438	2567-2568	,	_	_	_	_	
