isPerson,isSubject,isObject,hasDescriptors,contPol,docPol,polarity
1.0,0.0,0.0,1.0,1.00,1.0,4
1.0,1.0,1.0,1.0,-1.00,1.0,4
0.0,1.0,1.0,1.0,1.00,0.0,2
0.0,1.0,0.0,1.0,1.00,0.0,2
0.0,1.0,0.0,1.0,0.00,-1.0,2
0.0,1.0,1.0,1.0,-1.00,0.0,2
0.0,1.0,1.0,0.0,1.00,1.0,4
1.0,0.0,0.0,1.0,0.00,-1.0,2
1.0,0.0,0.0,0.0,0.00,0.0,2
0.0,1.0,0.0,1.0,1.00,-1.0,4
1.0,1.0,0.0,1.0,1.00,0.0,4
0.0,0.0,0.0,0.0,-1.00,-1.0,2
1.0,0.0,0.0,0.0,0.00,1.0,4
0.0,1.0,0.0,1.0,-1.00,0.0,4
1.0,0.0,1.0,1.0,-1.00,-1.0,2
1.0,1.0,0.0,0.0,1.00,0.0,4
1.0,1.0,0.0,1.0,1.00,0.0,4
0.0,1.0,0.0,0.0,1.00,-1.0,2
0.0,1.0,0.0,0.0,1.00,-1.0,2
0.0,1.0,1.0,0.0,-1.00,-1.0,2
0.0,1.0,0.0,1.0,0.00,0.0,4
0.0,1.0,1.0,0.0,-1.00,-1.0,2
1.0,1.0,0.0,1.0,1.00,0.0,4
1.0,0.0,0.0,0.0,0.00,0.0,4
0.0,1.0,0.0,1.0,1.00,-1.0,4
1.0,1.0,1.0,0.0,1.00,-1.0,1
0.0,1.0,1.0,1.0,-1.00,-1.0,2
0.0,1.0,0.0,1.0,-1.00,-1.0,2
0.0,1.0,0.0,0.0,1.00,-1.0,4
0.0,1.0,0.0,1.0,-1.00,0.0,4
0.0,1.0,0.0,0.0,0.00,0.0,4
0.0,1.0,1.0,1.0,1.00,0.0,2
1.0,0.0,0.0,0.0,0.00,0.0,4
0.0,1.0,0.0,0.0,-1.00,0.0,4
0.0,1.0,0.0,0.0,1.00,0.0,2
1.0,1.0,0.0,1.0,1.00,0.0,4
1.0,0.0,0.0,1.0,-1.00,-1.0,2
1.0,1.0,0.0,1.0,1.00,-1.0,2
0.0,1.0,0.0,1.0,1.00,-1.0,2
1.0,0.0,0.0,1.0,0.00,-1.0,2
0.0,1.0,1.0,1.0,-1.00,-1.0,2
0.0,1.0,0.0,1.0,0.00,0.0,4
0.0,1.0,0.0,1.0,1.00,0.0,4
1.0,1.0,0.0,0.0,-1.00,0.0,2
0.0,1.0,1.0,0.0,-1.00,0.0,2
0.0,0.0,1.0,1.0,-1.00,-1.0,2
1.0,1.0,0.0,0.0,1.00,1.0,4
1.0,0.0,0.0,1.0,-1.00,0.0,2
0.0,0.0,0.0,0.0,-1.00,-1.0,2
1.0,1.0,0.0,0.0,-1.00,0.0,4
0.0,1.0,0.0,1.0,0.00,-1.0,2
0.0,1.0,0.0,1.0,-1.00,-1.0,2
1.0,1.0,0.0,0.0,-1.00,0.0,4
0.0,1.0,0.0,0.0,1.00,0.0,2
1.0,0.0,0.0,0.0,0.00,1.0,4
0.0,1.0,1.0,1.0,1.00,0.0,4
0.0,1.0,0.0,1.0,1.00,-1.0,2
1.0,1.0,0.0,1.0,-1.00,-1.0,2
0.0,0.0,1.0,0.0,-1.00,0.0,2
1.0,1.0,0.0,0.0,1.00,0.0,2
1.0,0.0,0.0,0.0,0.00,1.0,4
1.0,1.0,1.0,1.0,-1.00,0.0,2
0.0,1.0,0.0,1.0,1.00,0.0,2
1.0,0.0,0.0,0.0,1.00,1.0,4
1.0,1.0,1.0,0.0,-1.00,0.0,2
1.0,1.0,0.0,1.0,1.00,-1.0,2
1.0,1.0,0.0,1.0,1.00,-1.0,2
1.0,0.0,0.0,0.0,0.00,0.0,4
0.0,0.0,1.0,1.0,1.00,-1.0,2
0.0,1.0,0.0,1.0,0.00,-1.0,2
1.0,1.0,0.0,1.0,1.00,-1.0,2
1.0,0.0,0.0,0.0,0.00,-1.0,2
1.0,0.0,0.0,0.0,0.00,0.0,4
0.0,1.0,0.0,1.0,0.00,0.0,4
1.0,1.0,0.0,1.0,1.00,1.0,4
0.0,1.0,0.0,1.0,1.00,1.0,4
0.0,1.0,1.0,1.0,0.00,0.0,4
0.0,1.0,0.0,1.0,0.00,-1.0,2
0.0,1.0,0.0,0.0,1.00,0.0,2
1.0,1.0,0.0,0.0,1.00,0.0,2
0.0,1.0,0.0,1.0,1.00,-1.0,4
1.0,1.0,0.0,0.0,1.00,0.0,4
1.0,0.0,0.0,1.0,1.00,1.0,4
1.0,0.0,0.0,0.0,1.00,1.0,4
1.0,1.0,0.0,1.0,1.00,0.0,4
1.0,0.0,0.0,1.0,0.00,1.0,4
0.0,0.0,0.0,0.0,-1.00,-1.0,2
0.0,1.0,0.0,0.0,1.00,-1.0,4
0.0,0.0,1.0,0.0,-1.00,0.0,2
0.0,1.0,0.0,1.0,1.00,0.0,4
1.0,0.0,0.0,0.0,0.00,1.0,4
1.0,1.0,1.0,1.0,1.00,0.0,2
0.0,0.0,0.0,0.0,-1.00,-1.0,4
0.0,1.0,0.0,0.0,1.00,-1.0,2
0.0,1.0,0.0,1.0,1.00,0.0,2
0.0,1.0,1.0,1.0,-1.00,0.0,2
0.0,1.0,0.0,1.0,1.00,0.0,4
1.0,1.0,0.0,1.0,1.00,-1.0,2
1.0,1.0,0.0,1.0,1.00,1.0,4
1.0,1.0,1.0,1.0,-1.00,0.0,4
0.0,1.0,1.0,0.0,1.00,-1.0,4
0.0,1.0,1.0,1.0,1.00,-1.0,2
1.0,1.0,1.0,1.0,1.00,0.0,5
1.0,0.0,1.0,0.0,-1.00,0.0,4
0.0,1.0,1.0,1.0,1.00,-1.0,2
0.0,1.0,0.0,1.0,1.00,1.0,4
1.0,1.0,0.0,1.0,0.00,1.0,4
0.0,1.0,0.0,1.0,1.00,0.0,2
1.0,1.0,0.0,1.0,1.00,0.0,4
1.0,0.0,0.0,1.0,-1.00,-1.0,2
0.0,1.0,0.0,0.0,-1.00,-1.0,2
0.0,1.0,1.0,1.0,1.00,-1.0,2
0.0,1.0,1.0,1.0,1.00,-1.0,2
1.0,0.0,1.0,1.0,-1.00,-1.0,2
1.0,0.0,0.0,0.0,1.00,1.0,4
1.0,1.0,0.0,0.0,1.00,0.0,4
1.0,1.0,0.0,0.0,1.50,0.0,4
0.0,1.0,1.0,0.0,-1.00,-1.0,2
0.0,1.0,0.0,0.0,-1.00,0.0,4
0.0,1.0,1.0,1.0,1.00,-1.0,2
1.0,0.0,0.0,1.0,0.00,1.0,4
0.0,1.0,1.0,1.0,1.00,0.0,2
1.0,1.0,0.0,0.0,1.00,1.0,4
0.0,1.0,0.0,0.0,-1.00,0.0,4
1.0,0.0,0.0,1.0,-1.00,0.0,2
1.0,1.0,0.0,1.0,1.00,0.0,2
1.0,1.0,0.0,0.0,-1.00,0.0,4
0.0,1.0,1.0,1.0,-1.00,-1.0,2
1.0,0.0,0.0,0.0,0.00,0.0,2
0.0,1.0,0.0,1.0,-1.00,-1.0,2
0.0,1.0,0.0,0.0,1.00,-1.0,4
0.0,1.0,1.0,1.0,1.00,-1.0,2
1.0,0.0,0.0,1.0,0.00,-1.0,2
0.0,1.0,1.0,1.0,-1.00,-1.0,2
1.0,1.0,0.0,1.0,-1.00,-1.0,2
0.0,1.0,0.0,1.0,0.00,-1.0,2
1.0,0.0,0.0,1.0,0.00,1.0,2
0.0,1.0,0.0,1.0,1.00,0.0,4
0.0,1.0,0.0,0.0,1.00,0.0,4
0.0,0.0,0.0,0.0,-1.00,-1.0,4
1.0,1.0,0.0,1.0,1.00,1.0,4
1.0,1.0,0.0,1.0,1.00,1.0,4
1.0,0.0,0.0,1.0,0.00,1.0,4
1.0,1.0,0.0,1.0,1.00,1.0,4
0.0,1.0,1.0,1.0,1.00,1.0,4
1.0,1.0,0.0,1.0,1.00,0.0,2
0.0,1.0,1.0,1.0,1.00,-1.0,2
0.0,1.0,0.0,1.0,-1.00,-1.0,2
0.0,1.0,0.0,1.0,-1.00,-1.0,2
1.0,0.0,0.0,1.0,1.00,-1.0,2
0.0,1.0,0.0,1.0,0.00,0.0,4
0.0,1.0,1.0,1.0,-1.00,-1.0,2
0.0,1.0,0.0,1.0,-1.00,0.0,4
1.0,0.0,1.0,1.0,-1.00,-1.0,2
0.0,1.0,0.0,1.0,1.00,0.0,2
1.0,0.0,0.0,1.0,1.00,1.0,4
0.0,1.0,0.0,1.0,1.00,0.0,4
1.0,1.0,1.0,1.0,1.00,1.0,4
0.0,1.0,0.0,1.0,1.00,0.0,2
0.0,1.0,0.0,0.0,0.00,-1.0,2
0.0,1.0,0.0,0.0,0.00,-1.0,2
0.0,1.0,1.0,1.0,1.00,-1.0,2
0.0,1.0,0.0,1.0,1.00,-1.0,2
1.0,0.0,0.0,0.0,0.00,1.0,4
1.0,1.0,0.0,1.0,1.00,-1.0,2
1.0,0.0,0.0,0.0,0.00,-1.0,2
1.0,1.0,0.0,1.0,1.00,0.0,4
1.0,1.0,1.0,0.0,1.00,-1.0,2
0.0,1.0,0.0,1.0,1.00,-1.0,2
0.0,0.0,1.0,1.0,-1.00,-1.0,4
0.0,1.0,0.0,0.0,1.00,-1.0,2
0.0,1.0,0.0,1.0,0.00,0.0,4
0.0,0.0,0.0,0.0,-1.00,-1.0,2
1.0,0.0,0.0,1.0,1.00,1.0,2
0.0,1.0,0.0,1.0,0.00,-1.0,2
0.0,1.0,1.0,1.0,-1.00,0.0,2
1.0,1.0,1.0,0.0,-1.00,0.0,2
0.0,1.0,1.0,1.0,1.00,0.0,2
0.0,0.0,1.0,0.0,-1.00,0.0,2
0.0,1.0,0.0,0.0,1.00,1.0,4
1.0,1.0,0.0,0.0,1.00,1.0,4
0.0,1.0,1.0,1.0,1.00,-1.0,1
0.0,1.0,0.0,1.0,-1.00,-1.0,2
0.0,1.0,1.0,1.0,1.00,0.0,4
0.0,1.0,0.0,0.0,1.00,0.0,2
1.0,1.0,1.0,1.0,1.50,-1.0,4
1.0,0.0,0.0,1.0,0.00,-1.0,2
1.0,0.0,0.0,1.0,1.00,-1.0,2
0.0,1.0,0.0,0.0,1.00,1.0,2
0.0,1.0,0.0,1.0,1.00,0.0,4
0.0,1.0,0.0,0.0,1.00,0.0,4
0.0,1.0,0.0,1.0,1.00,0.0,4
1.0,1.0,0.0,1.0,1.00,1.0,4
0.0,1.0,0.0,1.0,1.00,1.0,4
1.0,1.0,0.0,0.0,1.00,0.0,4
1.0,1.0,1.0,0.0,1.00,0.0,2
0.0,1.0,1.0,1.0,1.00,0.0,4
0.0,1.0,0.0,1.0,1.00,0.0,4
1.0,0.0,1.0,0.0,1.00,0.0,4
1.0,1.0,1.0,1.0,1.00,0.0,2
1.0,0.0,0.0,0.0,0.00,0.0,4
0.0,1.0,0.0,1.0,1.00,0.0,4
1.0,1.0,0.0,1.0,1.00,-1.0,2
1.0,0.0,0.0,1.0,-1.00,0.0,2
1.0,1.0,0.0,0.0,1.00,0.0,4
0.0,1.0,0.0,1.0,0.00,0.0,4
1.0,1.0,1.0,1.0,1.00,0.0,2
0.0,1.0,0.0,1.0,1.00,1.0,4
0.0,1.0,0.0,0.0,0.00,-1.0,4
1.0,1.0,0.0,0.0,1.00,0.0,2
0.0,1.0,0.0,1.0,-1.00,0.0,2
0.0,1.0,0.0,1.0,0.00,-1.0,2
0.0,1.0,0.0,1.0,0.00,0.0,2
0.0,1.0,0.0,0.0,-1.00,0.0,2
0.0,1.0,0.0,1.0,-1.00,1.0,4
1.0,1.0,1.0,0.0,1.00,0.0,4
0.0,1.0,0.0,1.0,1.00,0.0,4
1.0,1.0,0.0,1.0,-1.00,-1.0,2
1.0,1.0,0.0,0.0,1.00,0.0,2
0.0,1.0,0.0,1.0,0.00,0.0,4
1.0,1.0,0.0,0.0,1.00,0.0,4
0.0,0.0,0.0,0.0,-1.50,0.0,2
0.0,0.0,1.0,0.0,-1.00,-1.0,2
0.0,1.0,0.0,1.0,1.00,0.0,2
0.0,1.0,1.0,0.0,-1.00,0.0,2
1.0,1.0,0.0,0.0,1.00,1.0,2
1.0,0.0,0.0,0.0,-1.00,0.0,4
0.0,1.0,1.0,1.0,1.00,0.0,2
0.0,1.0,0.0,0.0,1.00,1.0,4
0.0,0.0,1.0,1.0,-1.00,-1.0,2
1.0,1.0,1.0,0.0,-1.00,0.0,2
1.0,0.0,0.0,0.0,0.00,0.0,2
0.0,0.0,1.0,1.0,1.00,-1.0,2
1.0,1.0,0.0,1.0,-1.50,-1.0,2
1.0,0.0,1.0,0.0,1.00,0.0,2
0.0,1.0,0.0,1.0,1.00,0.0,4
1.0,1.0,1.0,1.0,1.00,0.0,2
0.0,0.0,0.0,0.0,-1.00,-1.0,2
1.0,0.0,0.0,0.0,1.00,1.0,4
1.0,0.0,0.0,1.0,-1.00,-1.0,2
1.0,0.0,0.0,0.0,1.00,1.0,4
1.0,0.0,0.0,1.0,-1.00,-1.0,4
0.0,1.0,1.0,1.0,-1.00,-1.0,2
1.0,0.0,0.0,1.0,1.00,1.0,4
0.0,1.0,0.0,0.0,-1.00,0.0,2
1.0,1.0,0.0,1.0,0.00,1.0,4
1.0,0.0,0.0,1.0,1.00,1.0,2
1.0,0.0,0.0,0.0,0.00,0.0,4
0.0,1.0,0.0,1.0,1.00,0.0,4
0.0,1.0,1.0,1.0,-1.00,-1.0,2
1.0,1.0,1.0,1.0,1.00,0.0,4
1.0,0.0,0.0,1.0,1.00,1.0,4
0.0,1.0,0.0,0.0,-1.00,0.0,2
0.0,1.0,0.0,1.0,0.00,0.0,2
0.0,1.0,0.0,1.0,-1.00,-1.0,2
0.0,1.0,1.0,1.0,1.00,0.0,2
0.0,1.0,0.0,1.0,1.00,-1.0,2
0.0,1.0,0.0,0.0,0.00,-1.0,2
0.0,1.0,0.0,1.0,1.00,1.0,4
0.0,0.0,0.0,0.0,-1.00,-1.0,2
0.0,1.0,0.0,1.0,0.00,0.0,4
1.0,1.0,0.0,1.0,1.00,0.0,4
0.0,1.0,1.0,0.0,-1.00,1.0,2
1.0,0.0,0.0,1.0,-1.00,-1.0,2
0.0,1.0,0.0,1.0,1.00,0.0,4
0.0,1.0,0.0,1.0,-1.00,-1.0,2
1.0,1.0,0.0,1.0,-1.00,-1.0,2
1.0,1.0,0.0,1.0,1.00,1.0,4
1.0,0.0,0.0,1.0,-1.00,-1.0,2
1.0,1.0,0.0,0.0,1.00,0.0,2
1.0,0.0,0.0,0.0,0.00,1.0,4
0.0,1.0,0.0,0.0,1.00,0.0,4
1.0,1.0,1.0,1.0,-1.00,-1.0,2
0.0,1.0,0.0,0.0,1.00,-1.0,2
0.0,1.0,0.0,1.0,1.00,0.0,4
1.0,1.0,1.0,1.0,-1.00,0.0,2
0.0,1.0,0.0,1.0,-1.00,0.0,4
0.0,1.0,0.0,1.0,-1.00,-1.0,4
0.0,0.0,0.0,0.0,-1.00,-1.0,4
0.0,1.0,0.0,1.0,1.00,0.0,4
0.0,1.0,0.0,0.0,1.00,1.0,4
1.0,0.0,0.0,0.0,-1.00,-1.0,2
0.0,1.0,0.0,0.0,-1.00,0.0,2
1.0,0.0,0.0,0.0,0.00,-1.0,2
1.0,1.0,0.0,1.0,0.00,1.0,2
0.0,1.0,0.0,1.0,0.00,0.0,2
0.0,1.0,1.0,1.0,1.00,0.0,4
0.0,1.0,1.0,0.0,1.00,-1.0,2
0.0,1.0,0.0,1.0,1.00,-1.0,4
0.0,1.0,0.0,1.0,-1.00,-1.0,2
0.0,1.0,1.0,1.0,-1.00,-1.0,2
1.0,1.0,0.0,0.0,1.00,0.0,2
1.0,0.0,0.0,0.0,0.00,0.0,2
0.0,1.0,0.0,0.0,-1.00,-1.0,2
1.0,0.0,0.0,0.0,0.00,0.0,4
1.0,1.0,0.0,0.0,1.00,0.0,4
0.0,0.0,1.0,1.0,-1.00,0.0,2
0.0,1.0,0.0,0.0,0.00,0.0,2
1.0,1.0,0.0,1.0,1.00,-1.0,4
0.0,1.0,0.0,1.0,1.00,0.0,4
1.0,0.0,0.0,0.0,1.00,1.0,4
0.0,1.0,0.0,1.0,1.00,0.0,4
1.0,1.0,1.0,1.0,1.00,0.0,4
0.0,1.0,0.0,0.0,1.00,0.0,4
0.0,1.0,1.0,0.0,-1.00,-1.0,2
0.0,1.0,0.0,1.0,1.00,0.0,2
0.0,1.0,0.0,1.0,0.00,-1.0,2
1.0,1.0,0.0,1.0,1.00,0.0,2
1.0,1.0,1.0,1.0,-1.00,-1.0,4
1.0,1.0,0.0,1.0,1.00,1.0,4
0.0,1.0,0.0,1.0,0.00,0.0,4
0.0,1.0,0.0,1.0,-1.00,0.0,4
1.0,1.0,0.0,1.0,0.00,-1.0,2
1.0,0.0,0.0,1.0,1.00,-1.0,2
0.0,1.0,1.0,1.0,1.00,0.0,4
0.0,0.0,0.0,0.0,-1.00,-1.0,2
1.0,0.0,0.0,0.0,-1.00,0.0,2
1.0,1.0,0.0,1.0,-1.00,-1.0,2
0.0,1.0,0.0,1.0,1.00,0.0,2
0.0,1.0,0.0,1.0,-1.00,0.0,2
1.0,1.0,0.0,0.0,1.00,0.0,4
0.0,1.0,1.0,1.0,1.00,0.0,2
0.0,1.0,0.0,1.0,1.00,-1.0,2
0.0,0.0,1.0,1.0,1.00,-1.0,2
1.0,1.0,0.0,1.0,1.00,0.0,2
0.0,1.0,0.0,0.0,1.00,0.0,4
0.0,1.0,0.0,1.0,-1.00,-1.0,2
